SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Labor force participation rate   (%),...,...,...,...,...,...,...,...,...,62.9,...,...,...,...,...,...,...,...,...
,     Male,...,...,...,...,...,...,...,...,...,63.5,...,...,...,...,...,...,...,...,...
,     Female,...,...,...,...,...,...,...,...,...,62.2,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS  calendar year (SI$ million),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current factor cost | current market prices,"1,453.4","1,435.9","1,527.6 |","2,429.3","2,714.4","3,226.1","3,639.8","4,122.8","4,661.1","5,028.3","5,612.7","6,299.7","6,755.3","7,409.8","7,720.3","8,129.9","8,685.9",...,...
,"     Agriculture, forestry, and fishing",...,...,...,910.4,"1,028.2","1,031.1","1,129.7","1,226.1","1,461.8","1,517.9","1,707.1","1,842.3","1,989.1","2,080.2","2,159.2","2,181.4","2,392.1",...,...
,     Mining and quarrying,...,...,...,1.2,2.9,3.2,3.9,5.3,8.6,23.3,37.3,268.0,180.3,192.6,59.7,17.6,16.4,...,...
,     Manufacturing,...,...,...,155.6,177.0,192.0,231.5,310.1,343.6,398.0,465.4,527.3,530.3,534.6,609.6,698.6,692.9,...,...
,"     Electricity, gas, steam, and air-conditioning supply",...,...,...,43.4,47.7,22.8,38.9,36.1,35.7,61.5,113.5,127.8,160.0,195.8,245.4,264.6,286.5,...,...
,"     Water supply; sewerage, waste management, and remediation
          activities",,,,,,,,,,,,,,,,,,,
,     Construction,...,...,...,100.7,73.4,84.1,97.0,102.9,118.1,133.9,131.5,133.7,163.6,189.3,240.5,259.4,297.2,...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,...,182.3,202.1,374.2,460.4,497.3,584.7,641.7,731.3,821.7,919.8,"1,029.5","1,143.1","1,266.1","1,404.2",...,...
,     Accommodation and food service activities,...,...,...,45.1,51.7,47.7,54.5,63.1,71.1,97.3,137.7,176.6,183.3,207.3,173.4,190.5,197.5,...,...
,     Transportation and storage,...,...,...,152.8,191.8,197.2,225.6,241.5,271.3,302.7,324.2,342.3,351.3,386.5,421.5,439.8,447.7,...,...
,     Information and communication,...,...,...,43.5,62.3,83.4,105.7,122.3,132.2,136.0,130.2,85.6,76.3,78.7,80.4,105.7,108.8,...,...
,     Financial and insurance activities,...,...,...,28.9,48.3,90.8,149.3,192.9,251.1,228.1,206.1,245.5,299.3,336.0,372.9,401.6,439.5,...,...
,     Real estate activities,...,...,...,323.9,344.4,373.8,403.6,424.8,451.2,470.6,490.4,514.7,568.9,698.1,725.5,783.3,806.7,...,...
,"     Professional, scientific, and technical activities",,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,...,...,...,160.2,165.4,362.4,342.8,431.2,446.4,510.4,570.1,563.1,618.0,708.1,728.0,744.0,793.9,...,...
,     Education,...,...,...,86.2,102.2,130.1,144.7,187.1,217.8,236.9,269.1,286.5,316.8,366.1,367.0,373.8,408.6,...,...
,     Human health and social work activities,...,...,...,29.6,36.1,47.1,73.7,76.6,89.3,101.0,113.5,121.9,137.5,164.0,166.4,172.6,184.6,...,...
,"     Arts, entertainment, and recreation",...,...,...,109.9,120.1,137.7,156.8,182.6,192.7,188.6,205.5,216.2,234.3,235.6,250.9,277.9,291.6,...,...
,     Other service activities,,,,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,...,...,...,"2,373.7","2,653.6","3,177.6","3,618.1","4,099.9","4,675.6","5,047.9","5,632.9","6,273.2","6,728.8","7,402.4","7,743.5","8,176.9","8,768.2",...,...
,Taxes less subsidies on production and imports,...,...,...,71.3,82.4,84.5,87.7,108.7,121.8,127.9,129.0,186.9,222.2,226.9,220.5,215.4,204.7,...,...
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Less: Imputed bank charges,...,...,...,-15.6,-21.4,-36.1,-66.2,-85.5,-136.3,-147.5,-149.2,-160.4,-195.5,-219.5,-243.6,-262.4,-287.2,...,...
,GNI ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,...,...,...,38.4,38.7,32.4,31.2,29.9,31.3,30.1,30.3,29.4,29.6,28.1,27.9,26.7,27.3,...,...
,               Industry,...,...,...,12.7,11.3,9.5,10.3,11.1,10.8,12.2,13.3,16.8,15.4,15.0,14.9,15.2,14.7,...,...
,               Services,...,...,...,49.0,49.9,58.0,58.5,59.0,57.9,57.7,56.4,53.8,55.1,56.9,57.2,58.2,58.0,...,...
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current factor cost | current market prices,"1,453.4","1,435.9","1,527.6 |","2,429.3","2,714.4","3,226.1","3,639.8","4,122.8","4,661.1","5,028.3","5,612.7","6,299.7","6,755.3","7,409.8","7,720.3","8,129.9","8,685.9",...,...
,     Final consumption expenditure,...,...,...,"2,176.5","2,591.9","3,637.6","3,966.8","4,339.1","4,999.5","5,231.7","5,869.9","5,845.8","6,042.5","6,839.5","7,401.0","7,593.6","8,005.4",...,...
,          Household final consumption,...,...,...,"1,518.0","1,727.4","2,019.4","2,218.5","2,492.6","2,975.6","3,059.7","3,379.5","3,630.7","3,852.9","4,265.2","4,604.5","4,796.7","5,081.4",...,...
,          NPISHs final consumption ,...,...,...,133.9,135.5,156.3,180.1,180.8,193.8,187.3,205.6,218.5,231.4,234.8,255.8,278.7,341.4,...,...
,          Government final consumption,...,...,...,524.6,729.0,"1,461.9","1,568.2","1,665.7","1,830.1","1,984.7","2,284.8","1,996.5","1,958.2","2,339.4","2,540.7","2,518.3","2,582.5",...,...
,     Gross capital formation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Gross fixed capital formation,...,...,...,219.5,290.7,517.7,559.5,685.7,742.1,725.5,"1,427.0","1,052.9","1,116.5","1,274.7","1,304.1","1,446.1","1,395.6",...,...
,          Changes in inventories,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,...,...,...,659.5,868.4,"1,065.0","1,271.2","1,710.4","2,089.1","1,891.9","2,663.0","4,077.1","4,371.6","4,187.6","4,182.3","4,133.8","4,355.9",...,...
,          Exports of goods,...,...,...,500.1,641.0,753.1,867.7,"1,259.2","1,631.4","1,328.6","1,804.0","3,184.1","3,495.4","3,269.8","3,357.7","3,333.0","3,435.0",...,...
,          Exports of services,...,...,...,159.4,227.4,311.9,403.5,451.2,457.6,563.3,859.0,893.0,876.2,917.8,824.7,800.8,921.0,...,...
,     Less: Imports of goods and services,...,...,...,791.1,"1,189.5","1,459.0","2,006.8","2,745.3","3,165.2","2,772.6","4,418.0","4,642.6","4,688.2","5,202.9","5,040.9","4,913.0","4,974.6",...,...
,          Imports of goods,...,...,...,676.6,"1,019.5","1,184.6","1,489.3","2,004.9","2,267.1","1,926.6","2,906.0","3,219.6","3,192.8","3,392.3","3,392.7","3,464.7","3,327.2",...,...
,          Imports of services,...,...,...,114.5,170.0,274.3,517.6,740.4,898.1,846.0,"1,512.0","1,423.0","1,495.4","1,810.5","1,648.2","1,448.3","1,647.4",...,...
,     Statistical discrepancy ,...,...,...,165.0,152.8,-535.3,-150.8,132.9,-4.4,-48.3,70.7,-33.5,-87.0,310.9,-126.2,-130.7,-96.4,...,...
,,,,,,,,,,,,,,,,,,,,
,              Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumption,...,...,...,62.5,63.6,62.6,61.0,60.5,63.8,60.8,60.2,57.6,57.0,57.6,59.6,59.0,58.5,...,...
,               Government final consumption,...,...,...,21.6,26.9,45.3,43.1,40.4,39.3,39.5,40.7,31.7,29.0,31.6,32.9,31.0,29.7,...,...
,               Gross capital formation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,                    Changes in inventories,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,               Exports of goods and services,...,...,...,27.1,32.0,33.0,34.9,41.5,44.8,37.6,47.4,64.7,64.7,56.5,54.2,50.8,50.1,...,...
,               Imports of goods and services,...,...,...,32.6,43.8,45.2,55.1,66.6,67.9,55.1,78.7,73.7,69.4,70.2,65.3,60.4,57.3,...,...
,               Statistical discrepancy,...,...,...,6.8,5.6,-16.6,-4.1,3.2,-0.1,-1.0,1.3,-0.5,-1.3,4.2,-1.6,-1.6,-1.1,...,...
,,,,,,,,,,,,,,,,,,,,
,At Constant Pricesd,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 1985 factor cost | constant 2004 prices,291.1,267.9,260.5 |,"2,520.7","2,714.4","2,914.2","3,034.7","3,145.2","3,341.0","3,436.7","3,770.4","4,050.5","4,146.1","4,263.2","4,339.7","4,450.7","4,603.4",...,...
,"     Agriculture, forestry, and fishing",123.1,118.8,124.5 |,957.3,"1,028.2","1,012.6","1,044.5","1,005.5","1,149.8","1,173.6","1,347.0","1,377.8","1,383.8","1,365.3","1,444.6","1,480.0","1,566.2",…,…
,     Mining and quarrying,9.3,0.1,0.1 |,1.3,2.9,2.7,2.0,3.1,9.1,19.4,27.4,221.5,221.5,192.8,79.1,25.7,25.1,…,…
,     Manufacturing,13.9,11.2,10.6 |,175.9,177.0,166.4,184.2,226.0,222.2,222.2,241.1,246.6,251.8,252.1,260.9,270.9,273.6,…,…
,"     Electricity, gas, steam, and air-conditioning supply",5.0,4.5,4.6 |,46.3,47.7,47.6,58.3,25.1,70.2,54.9,96.5,85.8,72.9,80.9,87.8,94.9,101.3,…,…
,"     Water supply, sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,7.1,6.8,6.2 |,91.5,73.4,75.1,80.6,88.4,93.9,98.0,90.1,75.1,73.8,81.8,100.7,110.6,106.7,…,…
,     Wholesale and retail trade; repair of motor vehicles and motorcycle,28.1,24.8,27.2 |,175.3,202.1,199.9,216.3,243.6,239.7,255.7,261.1,263.7,272.0,293.8,316.8,336.7,342.8,…,…
,     Accommodation and food service activities ,...,...,…| ,39.3,51.7,50.1,54.7,56.6,54.0,66.4,83.3,86.9,94.4,102.6,107.7,117.6,119.1,...,...
,     Transportation and storage,12.3,10.1,11.2 |,164.9,191.8,189.7,205.3,211.1,207.8,221.7,226.3,228.6,235.7,254.7,274.6,291.9,297.2,…,…
,     Information and communication,,,,47.0,62.3,67.8,83.7,96.0,101.8,104.7,115.6,123.4,126.3,130.2,133.0,136.9,140.8,...,...
,     Financial and insurance activities,15.9,15.4,15.2 |,31.0,48.3,110.0,128.4,154.2,145.7,149.5,191.4,212.2,244.1,260.1,274.5,297.4,323.7,…,…
,     Real estate activities,...,...,…| ,332.4,344.4,358.8,383.1,398.4,413.0,428.5,445.7,464.0,481.4,500.0,517.8,541.7,558.1,...,...
,"     Professional, scientific, and technical activities",,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,...,...,…| ,155.5,165.4,326.4,279.0,313.2,290.6,290.8,305.3,287.2,296.3,330.7,334.7,343.1,354.9,...,...
,     Education,...,...,…| ,92.3,102.2,116.3,118.5,132.5,140.3,145.8,148.5,155.4,163.6,188.4,187.9,194.2,200.1,...,...
,     Human health and social work activities,...,...,…| ,31.7,36.1,38.0,53.5,47.6,48.7,49.9,51.1,54.7,55.6,66.1,65.9,67.9,69.6,...,...
,"     Arts, entertainment, and recreation activities",76.4,76.2,60.9 |,117.7,120.1,124.8,126.3,129.3,132.3,135.4,138.6,141.9,145.2,148.6,152.1,155.7,159.3,...,...
,     Other service activities,,,,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…
,     Activities of extraterritorial organizations and bodies,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…
,Gross value added at basic prices,...,...,…| ,"2,459.4","2,653.6","2,886.2","3,018.4","3,130.6","3,319.1","3,416.5","3,769.0","4,024.8","4,118.4","4,248.1","4,338.1","4,465.2","4,638.5",...,…
,Taxes less subsidies on production and imports,...,...,…| ,76.4,82.4,76.7,73.2,83.0,86.5,86.6,86.3,119.9,136.0,130.2,123.5,117.6,108.3,...,...
,Net factor income from abroad,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…
,Less: Imputed bank charges,...,...,…| ,-15.1,-21.4,-48.8,-57.0,-68.3,-64.6,-66.3,-84.9,-94.1,-108.3,-115.3,-121.7,-131.9,-143.5,...,...
,GNI ,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…
,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,-14.2,-8.0,-2.8,…,7.7,7.4,4.1,3.6,6.2,2.9,9.7,7.4,2.4,2.8,1.8,2.6,3.4,...,...
,               Agriculture,-17.1,-3.5,4.8,…,7.4,-1.5,3.2,-3.7,14.4,2.1,14.8,2.3,0.4,-1.3,5.8,2.5,5.8,...,...
,               Industry,-29.7,-36.2,-4.5,…,-4.4,-3.1,11.4,5.4,15.4,-0.2,15.4,38.2,-1.4,-2.0,-13.0,-5.0,0.9,...,...
,               Services,-5.7,-4.6,-9.5,…,11.6,19.4,4.2,8.1,-0.5,4.2,6.4,2.6,4.8,7.6,3.9,5.0,3.3,...,...
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 1985 factor cost | constant 2004 prices,291.1,267.9,260.5 |,"2,520.7","2,714.4","2,914.2","3,034.7","3,145.2","3,341.0","3,436.7","3,770.4","4,050.5","4,146.1","4,263.2","4,339.7","4,450.7","4,603.4",...,...
,     Final consumption expenditure,...,...,…| ,"2,311.1","2,591.9","3,343.6","3,430.3","3,561.4","3,625.7","3,594.5","3,915.1","3,779.0","3,755.1","4,035.7","4,267.1","4,374.7","4,468.7",...,...
,          Household final consumption,...,...,…| ,"1,622.6","1,727.4","1,888.2","1,966.6","2,122.8","2,211.1","2,176.6","2,366.4","2,464.5","2,539.7","2,661.3","2,789.1","2,910.5","2,974.4",...,...
,          NPISHs final consumption ,...,...,…| ,143.3,135.5,139.2,143.0,146.9,151.0,155.1,159.4,163.8,168.3,172.9,177.7,182.6,187.7,...,...
,          Government final consumption,...,...,…| ,545.2,729.0,"1,316.3","1,320.7","1,291.7","1,263.6","1,262.8","1,389.3","1,150.7","1,047.1","1,201.4","1,300.4","1,281.6","1,306.6",...,...
,     Gross capital formation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Gross fixed capital formation,...,...,…| ,232.4,290.7,497.5,485.0,582.7,577.6,500.0,943.3,616.7,638.9,651.2,672.9,741.5,704.3,...,...
,          Changes in inventories,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,...,...,…| ,805.4,868.4,959.9,988.2,"1,141.5","1,240.9","1,060.7","1,429.7","1,827.8","2,039.8","1,942.3","1,770.1","1,801.5","1,866.6",...,...
,          Exports of goods,...,...,…| ,635.0,641.0,678.8,663.1,786.7,905.7,660.7,831.4,"1,223.4","1,485.0","1,394.1","1,280.6","1,340.5","1,337.0",...,...
,          Exports of services,...,...,…| ,170.4,227.4,281.0,325.0,354.8,335.2,400.0,598.3,604.4,554.8,548.1,489.5,461.0,529.6,...,...
,     Less: Imports of goods and services,...,...,…| ,910.2,"1,189.5","1,355.8","1,687.3","2,160.1","2,001.1","1,646.7","2,498.6","2,330.4","2,377.6","2,534.4","2,383.8","2,475.6","2,505.4",...,...
,          Imports of goods,...,...,…| ,778.4,"1,019.5","1,100.9","1,252.1","1,577.6","1,433.3","1,144.3","1,609.3","1,579.4","1,619.2","1,652.5","1,604.4","1,745.8","1,675.7",...,...
,          Imports of services,...,...,…| ,131.8,170.0,254.9,435.1,582.5,567.8,502.5,889.3,751.1,758.4,881.9,779.4,729.8,829.7,...,...
,     Statistical discrepancy ,...,...,…| ,82.0,152.8,-531.1,-181.5,19.8,-102.0,-71.6,-19.1,157.4,89.9,168.5,13.3,8.6,69.2,...,...
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumption,...,...,...,...,6.5,9.3,4.2,7.9,4.2,-1.6,8.7,4.1,3.1,4.8,4.8,4.4,2.2,...,...
,               Government final consumption,...,...,...,...,33.7,80.6,0.3,-2.2,-2.2,-0.1,10.0,-17.2,-9.0,14.7,8.2,-1.4,2.0,...,...
,               Gross capital formation,...,...,...,...,25.1,71.1,-2.5,20.1,-0.9,-13.4,88.7,-34.6,3.6,1.9,3.3,10.2,-5.0,...,...
,               Exports of goods and services,...,...,...,...,7.8,10.5,2.9,15.5,8.7,-14.5,34.8,27.8,11.6,-4.8,-8.9,1.8,3.6,...,...
,               Imports of goods and services,...,...,...,...,30.7,14.0,24.5,28.0,-7.4,-17.7,51.7,-6.7,2.0,6.6,-5.9,3.9,1.2,...,...
,,,,,,,,,,,,,,,,,,,,
,At Current Factor Cost  | Current Market Prices   (SI$),,,,,,,,,,,,,,,,,,,
,Per Capita GDP,"3,471.7","3,351.2","3,483.5 |","5,311.3","5,752.6","6,627.3","7,248.0","7,958.2","8,721.4","9,120.0","9,867.9","10,736.2","11,159.8","11,865.7","11,983.9","12,232.9","12,668.8",...,...
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES  period averages ,,,,,,,,,,,,,,,,,,,
,Agriculture;  2004–2006 = 100,81.6,78.8,79.6,81.6,92.0,103.2,104.9,112.3,116.9,107.7,110.8,112.1,112.1,115.1,117.0,116.1,112.4,...,...
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,62.2,56.9,57.1,57.8,56.4,67.1,68.0,77.0,78.4,75.5,79.1,74.7,75.3,81.1,84.0,85.6,92.5,94.8,97.0
,     Consumptione,56.1,49.7,50.4,54.8,57.2,53.9,55.1,59.6,57.4,70.7,55.9,60.9,55.2,61.5,67.0,67.0,71.6,74.0,76.9
,,,,,,,,,,,,,,,,,,,,
,Retail prices    (SI$/L),,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",…,…,…,…,…,…,…,6.6,9.4,7.9,9.2,11.6,11.1,11.0,10.9,8.7,7.6,8.0,8.9
,     Diesel,…,…,…,…,…,…,…,6.6,10.3,8.1,9.3,11.9,11.3,11.2,11.2,8.5,7.3,7.8,9.2
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXESf  period averages ,,,,,,,,,,,,,,,,,,,
, Consumer (Honiara);  Q4 1992 | Q4 2005 | 2017 = 100,207.4,223.3,244.2,268.5,287.6,308.2,342.8,369.0 |,136.7,146.5,147.9,158.9,168.3,177.3,186.5,185.5,186.4,187.3 |,103.5
,          Food and nonalcoholic beveragesg,...,...,...,...,...,...,...,…| ,142.5,159.4,155.3,162.8,169.9,174.4,179.7,174.6,175.5,174.3 |,101.9
,"          Alcoholic beverages, tobacco, and narcoticsh",...,...,...,...,...,...,...,…| ,124.2,132.0,147.5,169.5,176.3,197.6,243.1,247.3,275.9,300.3 |,112.2
,          Clothing and footwear,...,...,...,...,...,...,...,…| ,119.7,128.8,140.7,141.6,143.7,156.3,162.7,175.0,173.2,167.2 |,100.2
,"          Housing, water, electricity, gas, and other fuelsi",...,...,...,...,...,...,...,…| ,148.3,149.3,148.1,175.2,198.9,231.0,251.0,250.4,247.4,249.1 |,102.2
,"          Furnishings, household equipment, and routine household 
               maintenancej",...,...,...,...,...,...,...,…| ,136.2,151.1,158.6,166.8,169.7,176.5,180.3,183.7,179.5,174.0 |,98.7
,          Healthk,...,...,...,...,...,...,...,…| ,117.3,112.2,119.4,122.8,130.0,127.7,132.9,143.8,144.9,149.6 |,100.0
,          Transport,...,...,...,...,...,...,...,…| ,125.5,131.3,137.8,144.0,143.3,146.0,147.7,144.9,147.4,151.9 |,104.3
,          Communication,...,...,...,...,...,...,...,…| ,...,...,...,...,...,...,...,...,...,…| ,100.0
,          Recreation and culture,…,…,…,…,…,…,…,…| ,…,…,…,…,…,…,…,…,…,…| ,100.0
,          Education,...,...,...,...,...,...,...,…| ,...,...,...,...,...,...,...,...,...,…| ,122.7
,          Restaurants and hotels,...,...,...,...,...,...,...,…| ,...,...,...,...,...,...,...,...,...,…| ,104.9
,          Miscellaneous goods and services,...,...,...,...,...,...,...,…| ,143.9,155.1,167.4,177.5,192.6,197.4,198.0,201.1,187.6,160.7 |,99.0
,Implicit GDP deflator;  1985 | 2004 = 100,499.3,535.9,586.3 |,94.9,100.0,108.8,118.3,129.7,137.9,145.8,148.4,155.5,162.0,173.0,176.3,183.4,188.7,...,...
,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
,          Consumer price index (Honiara),7.1,7.7,9.3,10.0,7.1,7.2,11.2,7.6,…,7.1,0.9,7.4,5.9,5.4,5.2,-0.6,0.5,0.5,3.5
,          Food and nonalcoholic beverages price indexg ,...,...,...,...,...,...,...,...,...,11.9,-2.6,4.8,4.4,2.6,3.1,-2.8,0.5,-0.7,1.9
,          Implicit GDP deflator,6.9,7.3,9.4,…,5.3,8.8,8.7,9.7,6.3,5.7,1.8,4.8,4.2,6.8,1.9,4.0,2.9,...,...
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKING   as of end of period (SI$ million),,,,,,,,,,,,,,,,,,,
,Money supply (M1),248.3,237.7,248.8,329.7,368.7,588.4,775.3,974.7,995.4,"1,127.6","1,303.8","1,872.7","2,395.8","2,698.5","2,652.9","3,272.0","3,520.6","3,647.9","3,935.7"
,     Currency in circulation,88.3,74.8,84.1,99.4,116.4,141.6,161.4,213.2,250.1,305.2,411.8,481.0,532.8,531.1,574.9,655.2,741.9,821.0,827.6
,     Demand deposits ,160.0,162.9,164.6,230.3,252.3,446.8,614.0,761.5,745.3,822.3,892.0,"1,391.7","1,863.0","2,167.3","2,078.0","2,616.8","2,778.7","2,826.8","3,108.1"
,Quasi-moneyl,211.7,178.6,194.0,218.5,276.7,354.7,417.0,476.3,571.8,703.2,770.8,737.1,667.9,744.7,981.0,908.2,"1,221.3","1,220.3","1,307.2"
,Money supply (M2)m,...,343.2,342.3,423.4,471.6,704.3,903.1,"1,130.1","1,149.8","1,260.2","1,564.7","1,983.2","2,484.5","2,836.3","2,763.9","3,447.0","3,825.5","3,986.8","4,172.3"
,Money supply (M3)n,460.0,416.3,442.8,548.2,645.4,943.1,"1,192.3","1,451.0","1,567.2","1,830.8","2,074.6","2,609.8","3,063.7","3,443.2","3,618.2","4,180.2","4,742.0","4,907.8","5,242.9"
,     Foreign assets (net),144.2,100.2,141.9,278.5,588.7,778.2,861.2,969.9,844.6,"1,232.9","1,993.5","2,865.9","3,424.8","3,783.8","3,826.9","4,156.9","4,173.2","4,583.3","5,052.4"
,     Domestic credit,457.0,464.7,506.9,498.9,345.1,437.9,659.2,968.9,"1,327.2","1,210.4",870.7,368.1,277.5,180.0,331.0,683.3,"1,225.5","1,184.5","1,215.0"
,          Claims on government sector (net),259.1,281.5,305.0,253.8,81.8,22.7,-12.6,-54.2,37.9,-26.4,-307.9,-865.6,"-1,042.7","-1,328.2","-1,425.8","-1,352.1","-1,047.8","-1,227.7","-1,283.5"
