CAMBODIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,GNI,...,...,...,...,"21,243.3","25,477.2","29,480.4","34,652.6","41,561.5","42,682.9","46,632.8","51,647.7","56,194.7","61,033.4",...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,37.8,36.1,32.9,33.6,31.2,32.4,31.7,31.9,34.9,35.7,36.0,36.7,35.6,33.6,30.7,28.2,26.3,24.9,23.5
,               Industry,23.0,23.5,25.6,26.3,27.2,26.4,27.6,26.8,23.8,23.1,23.3,23.5,24.4,25.6,27.2,29.4,31.3,32.8,34.4
,               Services,39.1,40.4,41.5,40.1,41.7,41.2,40.8,41.3,41.3,41.3,40.7,39.8,40.1,40.9,42.2,42.3,42.4,42.3,42.1
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"14,082.6","15,633.2","16,780.5","18,535.2","21,438.3","25,754.3","29,849.5","35,042.2","41,968.4","43,056.7","47,048.0","52,068.7","56,681.6","61,326.9","67,436.8","73,422.7","81,241.9","89,830.5","99,544.3"
,     Final consumption expenditure,"13,243.4","14,078.6","14,991.6","16,465.3","19,212.0","22,757.6","25,199.7","29,393.0","35,706.1","35,445.4","41,231.2","46,278.2","48,670.4","51,668.0","56,002.7","60,355.8","66,073.8","70,530.4","75,209.0"
,          Household final consumption,"12,210.9","12,950.4","13,715.2","15,059.0","17,753.4","21,103.6","23,500.3","26,627.1","32,511.7","31,873.8","37,256.3","42,046.7","44,255.6","47,028.4","51,010.7","55,042.4","60,417.0","64,427.3","68,744.0"
,          NPISHs final consumption ,295.6,300.2,363.2,431.2,497.3,605.8,666.5,757.7,829.7,918.3,989.9,"1,097.3","1,137.5","1,197.5","1,287.0","1,350.0","1,424.1","1,500.6","1,561.2"
,          Government final consumption,736.9,827.9,913.2,975.0,961.2,"1,048.2","1,032.9","2,008.2","2,364.7","2,653.4","2,985.0","3,134.2","3,277.4","3,442.1","3,704.9","3,963.3","4,232.7","4,602.5","4,903.8"
,     Gross capital formation,"2,468.5","2,928.9","3,359.6","4,090.6","3,821.7","5,211.3","6,721.2","7,428.0","7,813.1","9,196.9","8,171.1","8,902.7","10,492.5","12,270.9","14,899.8","16,485.6","18,446.6","20,564.0","23,341.4"
,          Gross fixed capital formation,"2,578.6","2,474.6","3,193.1","3,460.8","3,931.8","4,864.2","5,774.7","6,928.3","7,246.7","8,665.4","7,619.0","8,316.3","9,840.6","11,619.0","14,188.5","15,738.1","17,617.5","19,670.8","22,448.3"
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Changes in inventories ,-110.1,454.4,166.5,629.8,-110.1,347.1,946.5,499.7,566.4,531.4,552.1,586.4,651.9,651.9,711.3,747.5,829.2,893.1,893.1
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,"7,019.7","8,213.9","9,300.1","10,476.2","13,636.0","16,504.6","20,474.7","22,891.6","27,507.4","21,192.9","25,444.9","28,159.1","32,812.8","38,260.6","42,217.8","45,315.3","49,786.3","54,510.9","61,315.0"
,          Exports of goods,"5,372.2","6,157.5","6,934.3","8,298.5","10,403.1","11,925.1","15,156.0","16,601.2","20,751.6","14,584.3","17,997.0","20,206.4","23,547.9","27,729.8","30,773.3","33,327.6","36,989.5","40,565.5","45,836.4"
,          Exports of services,"1,647.5","2,056.4","2,365.9","2,177.6","3,233.0","4,579.4","5,318.7","6,290.4","6,755.9","6,608.6","7,447.9","7,952.7","9,264.9","10,530.9","11,444.5","11,987.7","12,796.7","13,945.4","15,478.6"
,     Less: Imports of goods and services,"8,697.9","9,630.0","10,785.0","12,337.1","15,201.0","18,735.5","22,691.9","25,560.5","28,444.9","24,076.3","28,003.4","30,981.4","35,543.7","41,492.9","45,188.6","48,565.9","53,350.3","57,586.6","63,014.4"
,          Imports of goods,"7,437.9","8,206.8","9,247.1","10,612.1","13,134.6","16,085.8","19,450.4","21,888.9","24,406.1","20,132.0","23,735.6","26,296.2","30,395.9","35,790.5","38,928.1","42,081.6","46,225.5","49,917.8","54,879.0"
,          Imports of services,"1,260.0","1,423.2","1,537.9","1,725.0","2,066.4","2,649.8","3,241.5","3,671.7","4,038.8","3,944.4","4,267.8","4,685.3","5,147.8","5,702.4","6,260.5","6,484.3","7,124.8","7,668.8","8,135.4"
,     Statistical discrepancy ,48.9,41.9,-85.8,-159.8,-30.3,16.4,145.8,890.0,-613.4,"1,297.9",204.2,-289.9,249.5,620.4,-494.9,-168.1,285.5,"1,811.8","2,693.3"
,,,,,,,,,,,,,,,,,,,,
,              Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumptionc,88.8,84.8,83.9,83.6,85.1,84.3,81.0,78.1,79.4,76.2,81.3,82.9,80.1,78.6,77.6,76.8,76.1,73.4,70.6
,               Government final consumption,5.2,5.3,5.4,5.3,4.5,4.1,3.5,5.7,5.6,6.2,6.3,6.0,5.8,5.6,5.5,5.4,5.2,5.1,4.9
,               Gross capital formation ,17.5,18.7,20.0,22.1,17.8,20.2,22.5,21.2,18.6,21.4,17.4,17.1,18.5,20.0,22.1,22.5,22.7,22.9,23.4
,                     Changes in inventories, -0.8,2.9,1.0,3.4, -0.5,1.3,3.2,1.4,1.3,1.2,1.2,1.1,1.2,1.1,1.1,1.0,1.0,1.0,0.9
,               Exports of goods and services ,49.8,52.5,55.4,56.5,63.6,64.1,68.6,65.3,65.5,49.2,54.1,54.1,57.9,62.4,62.6,61.7,61.3,60.7,61.6
,               Imports of goods and services,61.8,61.6,64.3,66.6,70.9,72.7,76.0,72.9,67.8,55.9,59.5,59.5,62.7,67.7,67.0,66.1,65.7,64.1,63.3
,               Statistical discrepancy,0.3,0.3, -0.5, -0.9, -0.1,0.1,0.5,2.5, -1.5,3.0,0.4, -0.6,0.4,1.0, -0.7, -0.2,0.4,2.0,2.7
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 2000 market prices,"14,174.6","15,230.1","16,232.1","17,612.8","19,434.1","22,009.1","24,379.7","26,869.5","28,667.5","28,692.4","30,403.3","32,552.7","34,933.4","37,503.3","40,182.0","43,009.3","46,033.2","49,262.5","52,956.2"
,"     Agriculture, forestry, and fishing","5,058.3","5,238.2","5,108.0","5,644.7","5,595.9","6,475.5","6,830.3","7,173.8","7,583.8","7,994.7","8,311.0","8,567.0","8,935.9","9,075.9","9,101.4","9,119.9","9,240.6","9,401.2","9,517.5"
,     Mining and quarrying,33.5,37.4,47.0,55.5,68.9,87.0,100.9,108.7,125.9,151.1,193.4,231.7,293.1,346.5,431.0,517.0,614.9,720.5,830.7
,     Manufacturing,"2,254.8","2,597.5","2,971.7","3,337.4","3,926.7","4,308.6","5,059.8","5,509.3","5,681.1","4,799.9","6,218.8","7,224.1","7,719.6","8,477.8","9,041.3","9,875.3","10,571.2","11,252.6","12,287.0"
,"     Electricity, gas, steam, and air-conditioning supply",58.1,69.5,75.5,82.3,91.5,103.0,135.5,151.2,164.1,178.0,190.8,200.5,216.3,231.5,253.9,278.2,302.3,328.4,360.9
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,731.6,718.3,912.8,"1,014.4","1,147.9","1,401.1","1,681.2","1,794.7","1,898.8","1,993.7","1,485.3","1,603.0","1,894.8","2,153.9","2,614.4","3,117.3","3,796.6","4,479.9","5,252.8"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"1,512.0","1,563.0","1,606.1","1,665.3","1,762.6","1,912.8","2,049.2","2,244.0","2,454.9","2,558.0","2,749.8","2,870.9","3,048.4","3,291.9","3,577.6","3,854.6","4,101.1","4,369.0","4,662.3"
,     Accommodation and food service activities,520.9,638.6,758.6,631.5,779.5,953.1,"1,083.7","1,194.6","1,311.6","1,335.2","1,484.8","1,582.5","1,781.0","2,026.5","2,151.1","2,203.4","2,260.4","2,393.6","2,532.1"
,     Transportation and storage,930.1,"1,085.9","1,152.0","1,188.9","1,302.6","1,491.1","1,523.0","1,632.7","1,748.6","1,816.8","1,962.2","2,076.0","2,202.4","2,398.9","2,584.2","2,792.1","3,008.5","3,248.7","3,493.2"
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,175.1,147.8,163.8,174.5,210.3,251.5,311.7,380.9,454.0,490.4,556.6,640.6,730.1,796.0,902.3,976.2,"1,053.7","1,134.4","1,219.9"
,     Real estate activities,855.0,960.5,"1,046.5","1,290.7","1,552.7","1,673.5","1,856.0","2,055.1","2,157.9","2,103.9","1,771.5","1,840.5","2,078.0","2,243.3","2,552.5","2,855.2","3,137.4","3,409.2","3,663.8"
,"     Professional, scientific, and technical activities",,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,376.6,353.5,357.2,341.2,318.5,337.1,333.2,333.6,348.6,352.1,392.6,405.2,411.3,428.7,450.1,470.7,495.7,523.4,554.0
,     Education,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,861.2,"1,062.6","1,174.6","1,335.0","1,575.5","1,864.5","2,184.7","2,448.0","2,741.8","2,821.3","2,939.8","3,033.5","3,206.6","3,440.5","3,685.5","3,874.4","4,124.9","4,378.9","4,642.3"
,"     Activities of households as employers; undifferentiated goods- and services-producing
         activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"13,367.2","14,472.9","15,373.7","16,761.5","18,332.6","20,858.7","23,149.3","25,026.6","26,671.0","26,595.1","28,256.5","30,275.4","32,517.5","34,911.4","37,345.3","39,934.3","42,707.2","45,639.9","49,016.5"
,Less: Imputed bank service charges,154.8,134.7,145.8,158.5,186.6,216.2,239.8,299.8,341.8,382.8,418.8,457.1,530.1,599.0,652.2,709.5,762.6,828.5,901.3
,Taxes less subsidies on products,962.2,892.0,"1,004.2","1,009.8","1,288.1","1,366.6","1,470.2","2,142.8","2,338.3","2,480.1","2,565.6","2,734.4","2,946.1","3,190.9","3,488.9","3,784.5","4,088.6","4,451.1","4,841.0"
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,10.7,7.4,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6.0,7.1,7.3,7.4,7.1,7.0,7.0,7.0,7.5
,               Agriculture,2.5,3.6,-2.5,10.5,-0.9,15.7,5.5,5.0,5.7,5.4,4.0,3.1,4.3,1.6,0.3,0.2,1.3,1.7,1.2
,               Industry,31.2,11.2,17.1,12.0,16.6,12.7,18.3,8.4,4.0,-9.5,13.6,14.5,9.3,10.7,10.1,11.7,10.9,9.8,11.6
,               Services,8.9,11.1,7.7,5.9,13.2,13.1,10.1,10.1,9.0,2.3,3.3,5.0,8.1,8.7,8.7,7.1,6.8,7.0,6.7
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 2000 market prices,"14,174.6","15,230.1","16,232.1","17,612.8","19,434.1","22,009.1","24,379.7","26,869.5","28,667.5","28,692.4","30,403.3","32,552.7","34,933.4","37,503.3","40,182.0","43,009.3","46,033.2","49,262.5","52,956.2"
,     Final consumption expenditure,"13,243.4","13,592.4","14,426.5","15,564.6","17,331.0","19,385.7","20,591.3","22,500.2","25,248.7","25,557.9","27,871.9","30,716.9","32,168.1","34,008.3","35,479.1","37,539.6","40,041.1","41,928.2","43,905.5"
,          Household final consumption,"12,210.9","12,499.4","13,194.4","14,232.1","16,018.8","17,980.7","19,201.2","20,378.3","22,944.5","22,828.5","24,837.4","27,437.2","28,707.8","30,371.0","31,730.6","33,632.0","35,910.9","37,562.2","39,289.5"
,          NPISHs final consumption ,295.6,290.9,350.6,408.8,450.1,517.9,546.5,585.9,691.3,766.7,826.5,899.9,943.8,989.0,"1,037.4","1,077.6","1,139.9","1,180.3","1,222.1"
,          Government final consumption,736.9,802.1,881.4,923.7,862.1,887.1,843.5,"1,536.1","1,612.9","1,962.7","2,208.0","2,379.8","2,516.5","2,648.3","2,711.1","2,830.0","2,990.3","3,185.7","3,393.9"
,     Gross capital formation,"2,468.8","2,936.3","3,311.6","4,001.2","3,626.3","4,738.2","5,910.8","6,211.5","7,206.2","7,482.8","6,890.6","7,564.5","8,800.0","10,042.4","10,921.5","12,003.6","13,198.9","13,990.3","14,829.9"
,          Gross fixed capital formation,"2,578.6","2,469.6","3,148.1","3,377.7","3,749.4","4,480.6","5,228.2","5,757.2","6,674.0","6,942.3","6,259.1","6,933.0","8,137.9","9,380.3","10,229.2","11,312.3","12,454.8","13,213.8","14,019.5"
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Changes in inventories ,-109.8,466.7,163.5,623.6,-123.0,257.6,682.5,454.3,532.2,540.5,631.5,631.5,662.1,662.1,692.3,691.3,744.1,776.5,810.5
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,"7,019.7","8,192.4","9,259.2","10,284.4","13,174.0","15,333.3","18,275.0","20,129.3","23,280.6","20,983.8","25,298.4","30,075.8","34,414.2","39,239.8","43,666.0","46,815.4","50,849.7","53,525.2","56,343.9"
,          Exports of goods,"5,372.2","6,192.3","6,966.5","8,218.1","10,274.3","11,467.2","13,993.6","15,343.8","17,612.9","15,423.8","19,032.2","22,793.2","26,382.3","30,254.1","34,089.2","36,764.1","40,027.9","41,994.3","44,057.3"
,          Exports of services,"1,647.5","2,000.1","2,292.7","2,066.3","2,899.7","3,866.1","4,281.5","4,785.5","5,667.7","5,560.0","6,266.1","7,282.7","8,031.9","8,985.7","9,576.7","10,051.3","10,821.8","11,531.0","12,286.6"
,     Less: Imports of goods and services,"8,697.9","9,589.4","10,982.6","12,404.5","14,863.6","17,438.1","20,219.8","22,658.5","27,780.2","24,957.7","29,155.9","33,922.8","39,643.4","45,633.4","50,258.4","53,525.7","58,136.3","60,496.7","62,953.2"
,          Imports of goods,"7,437.9","8,184.6","9,462.5","10,759.2","13,065.3","15,317.1","17,778.6","20,028.3","24,406.1","22,181.6","26,152.1","30,559.9","35,955.2","41,654.0","45,891.5","48,968.1","53,271.2","55,474.9","57,769.6"
,          Imports of services,"1,260.0","1,404.8","1,520.1","1,645.3","1,798.3","2,121.0","2,441.2","2,630.3","3,374.1","2,776.1","3,003.7","3,362.9","3,688.2","3,979.4","4,366.9","4,557.6","4,865.1","5,021.8","5,183.6"
,     Statistical discrepancy ,140.6,98.4,217.5,167.1,166.3,-10.0,-177.6,687.0,712.2,-374.4,-501.8,"-1,881.8",-805.4,-153.7,374.0,176.3,79.9,315.4,830.0
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumptionc,4.9,2.4,5.6,7.9,12.6,12.2,6.8,6.1,12.6,-0.5,8.8,10.5,4.6,5.8,4.5,6.0,6.8,4.6,4.6
,               Government final consumption,12.4,8.9,9.9,4.8,-6.7,2.9,-4.9,82.1,5.0,21.7,12.5,7.8,5.7,5.2,2.4,4.4,5.7,6.5,6.5
,               Gross capital formation,12.7,18.9,12.8,20.8,-9.4,30.7,24.7,5.1,16.0,3.8,-7.9,9.8,16.3,14.1,8.8,9.9,10.0,6.0,6.0
,               Exports of goods and services,30.3,16.7,13.0,11.1,28.1,16.4,19.2,10.1,15.7,-9.9,20.6,18.9,14.4,14.0,11.3,7.2,8.6,5.3,5.3
,               Imports of goods and services,23.7,10.2,14.5,12.9,19.8,17.3,16.0,12.1,22.6,-10.2,16.8,16.3,16.9,15.1,10.1,6.5,8.6,4.1,4.1
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"2,468.5","2,928.9","3,359.6","4,090.6","3,821.7","5,211.3","6,721.2","7,428.0","7,813.1","9,196.9","8,171.1","8,902.7","10,492.5","12,270.9","14,899.8","16,485.6","18,446.6","20,564.0","23,341.4"
,Gross national saving,...,...,...,...,"4,521.9","5,514.7","7,534.2","8,428.7","9,178.0","10,523.3","9,452.4","8,324.1","10,677.2","11,931.2",...,...,...,...,...
,     Gross domestic savingd,"1,134.8","1,854.9","2,152.2","2,501.1","2,723.7","3,602.5","5,316.3","6,406.9","7,092.0","8,529.6","6,806.6","6,887.8","9,148.6","10,856.4","12,721.2","14,417.0","16,592.2","20,800.7","25,896.5"
,     Net factor income from abroad,...,...,...,...,-195.0,-277.1,-369.0,-389.6,-406.9,-382.9,-415.6,-421.0,-422.1,-457.4,...,...,...,...,...
,     Net current transfers from abroad,"1,768.1","1,724.7","1,747.5","1,904.3","1,993.3","2,189.3","2,586.9","2,411.4","2,492.9","2,376.6","3,061.3","1,857.2","1,950.6","1,532.2","2,392.7","3,448.3","3,698.9",...,...
,,,,,,,,,,,,,,,,,,,,
,              Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,8.1,11.9,12.8,13.5,12.7,14.0,17.8,18.3,16.9,19.8,14.5,13.2,16.1,17.7,18.9,19.6,20.4,23.2,26.0
,               Gross national saving,...,...,...,...,21.1,21.4,25.2,24.1,21.9,24.4,20.1,16.0,18.8,19.5,...,...,...,...,...
,               Gross capital formation,17.5,18.7,20.0,22.1,17.8,20.2,22.5,21.2,18.6,21.4,17.4,17.1,18.5,20.0,22.1,22.5,22.7,22.9,23.4
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (KR '000),,,,,,,,,,,,,,,,,,,
,Per capita GDP,"1,130.1","1,237.8","1,311.0","1,428.9","1,630.8","1,933.1","2,210.7","2,560.8","3,047.8","3,087.2","3,330.7","3,639.4","3,911.6","4,178.6","4,536.6","4,876.7","5,327.7","5,816.3","6,363.6"
