,"     Agriculture, forestry, and fishingd",152.6,117.1,118.3,138.0,138.1,135.9,122.0,122.1
,     Mining and quarryingd,…,…,…,…,…,…,…,…
,     Manufacturing,"42,835.0","57,598.5","67,926.3","71,809.7","76,598.2","77,399.3","88,184.9","102,251.6"
,"     Electricity, gas, steam, and air-conditioning supplye","2,735.3","3,202.1","4,765.0","5,430.3","5,815.9","5,603.4","5,425.8","5,571.3"
,"     Water supply; sewerage, waste management, and remediation activitiese",…,…,…,…,…,…,…,…
,     Construction,"8,191.5","6,010.7","14,405.2","19,183.8","20,433.8","19,707.5","16,668.8","15,962.9"
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesf,"20,732.0","34,655.5","59,177.5","64,724.5","65,584.5","73,937.0","79,782.6","81,774.5"
,     Accommodation and food service activities,"3,805.7","3,980.7","6,065.5","8,665.3","8,763.0","9,224.7","9,358.8","9,735.3"
,     Transportation and storage,"15,464.5","20,698.4","25,271.1","27,092.7","30,014.6","27,680.0","31,113.3","31,360.1"
,     Information and communication,"5,722.1","7,980.3","11,350.2","15,798.6","15,779.4","17,084.4","18,109.1","19,061.3"
,     Financial and insurance activities,"15,598.8","19,680.3","33,986.8","45,968.7","49,874.5","51,127.2","55,802.4","60,222.3"
,     Real estate activitiesg,"17,653.6","22,167.1","42,214.3","57,934.4","63,122.4","65,632.7","66,010.7","69,045.7"
,"     Professional, scientific, and technical activitiesg",…,…,…,…,…,…,…,…
,     Administrative and support service activitiesg,…,…,…,…,…,…,…,…
,     Public administration and defense; compulsory social securityi,…,…,…,…,…,…,…,…
,     Educationi,…,…,…,…,…,…,…,…
,     Human health and social work activitiesi,…,…,…,…,…,…,…,…
,"     Arts, entertainment, and recreationi",…,…,…,…,…,…,…,…
,     Other service activitiesi,"15,745.3","20,818.3","32,420.0","42,655.3","44,963.1","47,773.1","50,460.2","52,390.5"
,"     Activities of households as employers; undifferentiated goods- and services-producing
         activities of households for own usej","5,758.1","6,317.8","11,347.1","17,797.2","18,100.1","17,589.4","17,436.3","17,172.4"
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"154,394.5","203,226.8","309,047.0","377,198.8","399,187.4","412,894.6","438,474.9","464,670.1"
,Taxes less subsidies on production and imports,"11,237.9","9,496.2","17,933.1","21,749.1","24,256.7","26,517.0","28,830.6","26,504.4"
,Net factor income from abroad,"-1,012.5","-12,035.8","-3,532.9","-13,877.9","-28,892.8","-30,591.3","-32,500.0","-33,191.7"
,GNI,"164,619.9","200,687.2","323,447.2","385,070.0","394,551.3","408,820.3","434,805.5","457,982.8"
,,,,,,,,,
,              Structure of Output   (% of gross value added at current basic prices),,,,,,,,
,               Agriculturek,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
,               Industryl,34.8,32.9,28.2,25.6,25.8,24.9,25.2,26.6
,               Servicesm,65.1,67.1,71.8,74.4,74.2,75.1,74.8,73.3
,,,,,,,,,
,Expenditure on GDP at current market prices,"165,632.4","212,723.0","326,980.1","398,947.9","423,444.1","439,411.6","467,305.5","491,174.5"
,     Final consumption expenditure,"86,724.1","105,819.1","150,507.0","188,364.9","200,496.5","205,469.9","215,188.6","223,379.8"
,          Household final consumption,"69,325.8","84,765.6","118,817.5","149,942.1","157,343.7","160,034.3","166,460.9","171,646.2"
,          NPISHs final consumption,...,...,...,...,...,...,...,...
,          Government final consumption,"17,398.3","21,053.5","31,689.5","38,422.8","43,152.8","45,435.6","48,727.7","51,733.6"
,     Gross capital formation,"58,259.6","45,750.2","90,436.9","117,410.4","107,356.7","117,433.3","131,606.2","130,702.6"
,          Gross fixed capital formation,"53,542.9","49,326.2","83,607.9","112,216.9","115,271.1","115,387.1","122,419.0","118,514.6"
,               Public,"10,956.4","9,022.9","14,595.5","19,454.7","21,716.5","23,772.1","22,425.7","20,890.9"
,               Private,"42,586.5","40,303.3","69,012.4","92,762.2","93,554.7","91,615.0","99,993.3","97,623.7"
,          Changes in inventories,"4,716.7","-3,576.0","6,829.0","5,193.5","-7,914.5","2,046.2","9,187.2","12,188.1"
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...
,     Exports of goods and services,"311,970.1","478,966.4","647,417.2","765,794.6","755,359.1","727,469.8","801,059.1","866,327.2"
,          Export of goods,"267,115.3","403,061.6","510,544.9","570,951.4","544,736.4","513,108.8","564,163.1","620,116.5"
,          Export of services,"44,854.8","75,904.8","136,872.3","194,843.2","210,622.7","214,361.0","236,896.0","246,210.7"
,     Less: Imports of goods and services,"291,535.6","415,386.0","561,381.0","672,282.2","639,768.1","610,443.9","684,190.5","735,857.9"
,          Imports of goods,"239,938.0","323,758.0","424,323.6","461,104.6","417,468.5","392,712.9","436,430.5","487,427.7"
,          Imports of services,"51,597.6","91,628.0","137,057.4","211,177.6","222,299.6","217,731.0","247,760.0","248,430.2"
,     Statistical discrepancy,214.2,"-2,426.7",–,-339.9,–,-517.5,"3,642.1","6,622.8"
,,,,,,,,,
,              Structure of Demand   (% of GDP at current market prices),,,,,,,,
,               Household final consumption,41.9,39.8,36.3,37.6,37.2,36.4,35.6,34.9
,               Government final consumption,10.5,9.9,9.7,9.6,10.2,10.3,10.4,10.5
,               Gross capital formation,35.2,21.5,27.7,29.4,25.4,26.7,28.2,26.6
,                         Changes in inventories,2.8,-1.7,2.1,1.3,-1.9,0.5,2.0,2.5
,               Exports of goods and services,188.4,225.2,198.0,192.0,178.4,165.6,171.4,176.4
,               Imports of goods and services,176.0,195.3,171.7,168.5,151.1,138.9,146.4,149.8
,               Statistical discrepancy,0.1,-1.1,–,-0.1,–,-0.1,0.8,1.3
,,,,,,,,,
,At Chained Pricesn,,,,,,,,
,GDP by industrial origin at chained 2015 market prices,"193,582.3","245,277.5","340,475.7","411,540.3","423,444.1","435,987.9","452,118.5","466,312.6"
,"     Agriculture, forestry, and fishingd",165.4,117.1,119.6,138.8,138.1,137.4,121.9,120.2
,     Mining and quarryingd,...,...,...,...,...,...,...,...
,     Manufacturing,"41,131.9","50,640.8","71,506.5","80,737.9","76,598.2","79,432.7","87,698.7","93,862.6"
,"     Electricity, gas, steam, and air-conditioning supplye","3,344.8","4,189.3","5,209.4","5,705.8","5,815.9","5,917.8","5,910.7","5,865.0"
,"     Water supply; sewerage, waste management, and remediation activitiese",...,...,...,...,...,...,...,...
,     Construction,"9,308.2","7,083.3","15,102.0","19,280.0","20,433.8","20,226.2","17,897.7","17,241.3"
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesf,"23,713.9","36,472.5","50,374.5","63,588.8","65,584.5","65,504.3","66,170.9","67,313.7"
,     Accommodation and food service activities,"5,612.6","5,716.1","7,144.7","8,756.2","8,763.0","9,039.3","9,207.5","9,468.2"
,     Transportation and storage,"17,439.1","21,554.9","24,961.0","29,300.2","30,014.6","30,528.1","31,861.7","32,267.4"
,     Information and communication,"5,895.6","8,842.6","11,915.9","15,844.5","15,779.4","16,505.7","17,364.2","18,308.3"
,     Financial and insurance activities,"14,947.1","20,685.6","32,553.0","47,653.8","49,874.5","50,106.2","53,363.5","56,467.4"
,     Real estate activitiesg,"25,197.7","31,863.1","48,009.7","58,279.6","63,122.4","65,587.8","66,092.1","67,936.4"
,"     Professional, scientific, and technical activitiesg",...,...,...,...,...,...,...,...
,     Administrative and support service activitiesg,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social securityi,...,...,...,...,...,...,...,...
,     Educationi,...,...,...,...,...,...,...,...
,     Human health and social work activitiesi,...,...,...,...,...,...,...,...
,"     Arts, entertainment, and recreationi",...,...,...,...,...,...,...,...
,     Other service activitiesi,"23,125.8","28,732.0","38,589.6","43,790.1","44,963.1","46,666.6","47,947.8","48,733.5"
,"     Activities of households as employers; undifferentiated goods- and services-producing
         activities of households for own usej","12,559.9","14,220.3","14,937.0","17,304.7","18,100.1","18,944.6","19,805.7","20,754.5"
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"178,449.2","227,020.2","318,353.7","389,762.7","399,187.4","408,596.9","423,168.1","437,950.0"
,Taxes less subsidies on production and imports,"16,355.0","19,472.6","22,563.1","21,829.2","24,256.7","27,391.1","28,974.1","28,325.3"
,Net factor income from abroad,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...
,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,
,               GDP,9.0,7.4,14.5,3.9,2.9,3.0,3.7,3.1
,               Agriculturek,-6.0,6.9,2.7,3.3,-0.5,-0.5,-11.3,-1.4
,               Industryl,11.1,7.9,24.0,3.7,-2.7,2.7,5.6,4.9
,               Servicesm,7.9,6.9,10.9,4.2,4.1,2.3,2.9,3.0
,,,,,,,,,
,Expenditure on GDP at chained 2015 market prices,"193,582.3","245,277.5","340,475.7","411,540.3","423,444.1","435,987.9","452,118.5","466,312.6"
,     Final consumption expenditure,"108,890.8","133,434.1","165,375.9","189,298.4","200,496.4","206,376.7","213,842.3","220,355.0"
,          Household final consumption,"86,636.3","107,480.6","130,273.1","149,636.9","157,343.7","161,642.6","167,107.1","171,701.1"
,          NPISHs final consumption,...,...,...,...,...,...,...,...
,          Government final consumption,"22,237.2","25,916.1","35,008.6","39,625.3","43,152.8","44,734.1","46,725.6","48,621.7"
,     Gross capital formation,"63,553.9","52,787.6","94,457.0","117,407.1","107,356.6","118,346.9","132,074.2","129,318.0"
,          Gross fixed capital formation,"60,084.2","56,095.6","88,436.8","113,055.2","115,271.1","116,538.3","123,955.0","119,020.5"
,               Public,"13,546.1","10,500.3","15,069.7","19,607.9","21,716.5","24,464.9","24,204.4","22,603.6"
,               Private,"46,944.6","45,845.9","73,357.4","93,446.4","93,554.7","92,073.5","99,708.0","96,327.5"
,          Changes in inventories,"3,469.7","-3,308.0","6,020.2","4,351.9","-7,914.5","1,808.6","8,119.2","10,297.5"
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...
,     Exports of goods and services,"272,573.4","432,462.8","599,201.4","719,611.0","755,359.1","755,726.9","799,082.6","840,223.9"
,          Exports of goods,...,...,...,...,...,...,...,...
,          Exports of services,...,...,...,...,...,...,...,...
,     Less: Imports of goods and services,"256,230.1","378,827.6","521,467.7","618,846.5","639,768.1","640,345.2","688,651.6","720,695.8"
,          Imports of goods,...,...,...,...,...,...,...,...
,          Imports of services,...,...,...,...,...,...,...,...
,     Statistical discrepancy,"11,413.3","8,924.7","2,665.4","3,390.8",–,"-4,117.5","-4,836.0","-3,984.8"
,,,,,,,,,
,              Growth of Demand  (% annual change),,,,,,,,
,               Household final consumption,13.6,4.1,4.4,3.6,5.2,2.7,3.4,2.7
,               Government final consumption,18.3,4.0,10.2,0.6,8.9,3.7,4.5,4.1
,               Gross capital formation,23.6,1.3,20.0,0.8,-8.6,10.2,11.6,-2.1
,               Exports of goods and services,14.3,12.8,17.8,3.6,5.0,0.0,5.7,5.1
,               Imports of goods and services,20.0,11.6,16.3,2.8,3.4,0.1,7.5,4.7
,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,
,Gross capital formation,"58,259.6","45,750.2","90,436.9","117,410.4","107,356.7","117,433.3","131,606.2","130,702.6"
,Gross national saving,"76,597.6","95,230.6","165,424.4","189,022.4","180,254.1","194,330.0","208,116.3","218,474.6"
,     Gross domestic saving,"78,694.1","109,330.6","176,473.1","210,922.8","222,947.7","234,459.2","248,474.9","261,171.9"
,     Net factor income from abroad,"-1,012.5","-12,035.8","-3,532.9","-13,877.9","-28,892.8","-30,591.3","-32,500.0","-33,191.7"
,     Net current transfers from abroad,"-1,084.0","-2,064.2","-7,515.8","-8,022.5","-13,800.8","-9,537.9","-7,858.6","-9,505.6"
,,,,,,,,,
,              Savings and Investment   (% of GDP at current market prices),,,,,,,,
,               Gross domestic saving,47.5,51.4,54.0,52.9,52.7,53.4,53.2,53.2
,               Gross national saving,46.2,44.8,50.6,47.4,42.6,44.2,44.5,44.5
,               Gross capital formation,35.2,21.5,27.7,29.4,25.4,26.7,28.2,26.6
,,,,,,,,,
,At Current Market Prices   (S$),,,,,,,,
,Per capita GDP ,"41,121","49,867","64,408","72,938","76,503","78,364","83,265","87,108"
,Per capita GNI,"40,870","47,046","63,712","70,401","71,283","72,909","77,474","81,221"
,,,,,,,,,
,PRODUCTION INDEXES  period averages,,,,,,,,
,Agriculture;   2004–2006 = 100,70.0,90.1,92.3,111.7,109.5,114.9,…,…
,Manufacturingo;  2015 = 100,53.7,66.1,93.4,105.4,100.0,103.7,114.5,122.5
,, , , , , , , , 
,ENERGY   annual values,,,,,,,,
,Crude petroleum   (t '000),,,,,,,,
,     Production,...,...,...,...,...,...,...,...
,     Exports,0,164,38,0,58,0,145,103
,     Imports,"40,876","54,786","41,247","43,866","44,742","48,051","52,690","51,348"
,     Consumption,...,...,...,...,...,...,...,...
,,,,,,,,,
,Coal   (t '000),,,,,,,,
,     Production,...,...,...,...,...,...,...,...
,     Exports,0,0,0,12,0,1,1,0
,     Imports,0,10,0,642,659,692,"1,435",772
,     Consumption,...,...,...,...,...,...,...,...
,,,,,,,,,
,Electricity   (kWh million),,,,,,,,
,     Productionp,"31,665","38,213","45,367","49,310","50,272","51,587","52,225",...
,     Consumptionq,...,"35,489","42,252","46,403","47,514","48,627","49,644",...
,,,,,,,,,
,Retail prices   (S$/L),,,,,,,,
,"     Petrol, 98 octane",1.41,1.53,1.84,2.22,2.19,2.17,2.33,2.47
,     Diesel,0.57,0.94,1.22,1.50,1.17,1.04,1.34,1.56
,,,,,,,,,
,PRICE INDEXES   period averages ,,,,,,,,
,Consumer;   2014 = 100,74.8,77.3,87.8,100.0,99.5,98.9,99.5,99.9
,     Food and nonalcoholic beverages,70.2,73.3,89.4,100.0,101.2,103.5,104.8,106.2
,"     Alcoholic beverages, tobacco, and narcoticsr",,,,,,,,
,     Clothing and footwear,93.1,94.7,98.9,100.0,100.1,100.3,100.9,102.3
,"     Housing, water, electricity, gas, and other fuels",65.9,66.2,82.2,100.0,96.5,92.5,90.2,89.0
,"     Furnishings, household equipment, and routine household maintenance",87.1,82.4,85.9,100.0,99.4,101.2,102.2,103.0
,     Health,66.8,76.5,87.7,100.0,99.9,101.0,103.5,105.6
,     Transport,76.1,73.5,82.6,100.0,98.6,96.2,98.7,98.2
,     Communication,107.9,105.4,103.2,100.0,100.3,99.9,100.5,99.5
,     Recreation and cultures,88.9,92.1,97.6,100.0,100.3,101.2,101.6,102.8
,     Education,63.6,74.8,86.4,100.0,103.4,106.6,109.8,113.0
,     Restaurants and hotelst,76.8,80.3,90.7,100.0,102.3,104.3,105.8,107.4
,     Miscellaneous goods and servicesu,73.2,88.1,95.0,100.0,99.9,100.1,100.3,101.2
,Wholesalev;  2012 = 100,80.3,89.9,91.8,94.1,79.7,74.1,79.4,84.4
,Implicit GDP deflator;   2015 = 100,85.6,86.7,96.0,96.9,100.0,100.8,103.4,105.3
,,,,,,,,,
,               Price Indexes   (% annual change), , , , , , , , 
,               Consumer price index,1.3,0.5,2.8,1.0,-0.5,-0.5,0.6,0.4
,               Food and nonalcoholic beverages price index,0.5,2.0,2.3,3.0,1.2,2.3,1.3,1.3
,               Wholesale price index,10.0,9.6,4.7,-3.3,-15.3,-6.9,7.0,6.3
,               Implicit GDP deflator,3.9,1.9,1.1,-0.3,3.2,0.8,2.6,1.8
,,,,,,,,,
,MONEY AND BANKING   calendar year (S$ million),,,,,,,,
,Money supply (M1),"33,262","46,086","112,487","160,218","160,446","172,754","183,699","184,489"
,     Currency in circulation,"11,289","14,585","22,300","31,507","34,042","38,525","42,340","45,292"
,     Demand deposits ,"21,973","31,501","90,188","128,711","126,404","134,229","141,360","139,196"
,Quasi-money,"137,636","173,712","290,609","352,213","359,794","389,334","396,367","417,945"
,Money supply (M2),"170,898","219,798","403,096","512,431","520,240","562,087","580,067","602,433"
,     Foreign assets (net),"126,343","194,979","309,700","291,404","303,668","315,115","317,845","311,926"
,     Domestic claims,"126,639","129,707","260,314","492,592","487,182","554,496","629,838","670,950"
,          Claims on government sectorw,"-32,455","-60,091","-49,854","-18,579","-31,204","9,188","56,366","72,206"
,          Claims on private sectorx,"117,021","129,172","202,642","357,002","369,036","391,000","406,988","419,776"
,          Claims on other financial institutionsy,"42,073","60,627","107,526","154,169","149,351","154,309","166,483","178,968"
,     Other itemsz,"-82,084","-104,888","-166,918","-271,565","-270,610","-307,524","-367,616","-380,443"
,Money supply (M3)aa,"182,913","225,700","410,109","524,166","532,945","573,906","592,155","614,997"
,,,,,,,,,
,               Money Supply (M2)   (% annual change),-2.0,6.2,8.6,3.3,1.5,8.0,3.2,3.9
,               M2   (% of GDP at current market prices),103.2,103.3,123.3,128.4,122.9,127.9,124.1,122.7
,,,,,,,,,
,Deposit Money Banks,,,,,,,,
,Demand deposits,"23,650","35,140","100,394","147,007","141,953","151,194","157,981","156,154"
,Savings deposits,"57,477","69,306","146,803","192,102","197,140","211,446","220,444","218,984"
,Time deposits,"89,775","118,496","185,565","207,959","216,839","228,464","223,141","246,567"
,Domestic credits outstanding,"150,458","177,801","302,693","531,857","546,909","572,748","602,489","624,573"
,,,,,,,,,
,Interest Ratesab   period averages (% per annum),,,,,,,,
,On deposits,,,,,,,,
,     Savings,1.30,0.24,0.14,0.11,0.14,0.14,0.16,0.16
,     Time:   6 months,2.06,0.55,0.30,0.21,0.24,0.25,0.20,0.23
,               12 months,2.45,0.76,0.48,0.31,0.34,0.35,0.33,0.45
,,,,,,,,,
,GOVERNMENT FINANCE   fiscal year beginning 1 April (S$ million),,,,,,,,
,General Government,,,,,,,,
,     Revenue,"42,537","38,663","54,864","71,894","76,208","81,396","95,696",...
,          Taxes,"24,606","24,627","41,807","54,084","55,640","58,663","66,315",...
,"               Taxes on income, profits, and capital gains","12,347","11,663","18,646","23,914","24,883","26,342","32,018",...
,                    Payable by individuals,...,...,"6,470","8,927","9,235","10,526","10,724",...
,                    Payable by corporations and other enterprises,...,...,"12,176","14,987","15,648","15,815","21,341",...
,"                    Other taxes on income, profits, and capital gains",...,...,0,0,0,0,-48,...
,               Taxes on payroll and workforce,0,0,0,0,0,0,0,...
,               Taxes on property,"1,605","1,910","2,803","4,341","4,455","4,360","4,440",...
,               Taxes on goods and services,"7,675","9,050","14,376","16,949","17,657","18,639","18,933",...
,               Taxes on international trade and transaction,607,24,0,0,0,0,0,...
,               Other taxes,"2,372","1,980","5,982","8,881","8,645","9,323","10,924",...
,          Social contributions,0,0,0,0,0,0,0,...
,          Grants,0,0,0,0,0,0,0,...
,          Other revenue,"17,931","14,036","13,057","17,810","20,568","22,734","29,381",...
,     Expense,"26,032","26,790","40,587","52,466","67,436","63,661","67,809",...
,          Compensation of employees,"7,634","9,110","12,336","15,034","16,076","16,937","17,972",...
,          Use of goods and services,"8,557","10,604","14,512","17,147","19,299","20,747","22,937",...
,          Consumption of fixed capital,0,...,...,...,...,...,...,...
,          Interest,531,203,5,1,2,3,1,...
,          Subsidies,0,...,0,0,0,0,0,...
,          Grants,"4,079","2,191",136,123,175,205,226,...
,          Social benefits,"5,231",...,...,...,...,"14,902","15,295",...
,          Other expense,...,...,...,...,...,"10,867","11,378",...
,     Net operating balance,"16,505","11,873","14,277","19,428","8,772","17,735","27,887",...
,     Gross operating balance,"16,505","11,873","14,277","19,428","8,772","17,735","27,887",...
,     Transactions in Nonfinancial Assets,,,,,,,,
,     Net/gross investment in nonfinancial assets,"-1,774","-1,675","-10,130","-8,905","-9,006","-4,474","-7,985",...
,          Fixed assets,"4,003","3,526","2,723","4,619","5,123","4,985","5,992",...
,          Inventories,0,0,0,0,0,0,0,...
,          Valuables,0,0,0,0,0,0,0,...
,          Nonproduced assets,"-5,777","-5,201","-12,853","-13,524","-14,128","-9,459","-13,977",...
,     Expenditure,"24,258","25,115","30,457","43,561","58,430","59,187","59,824",...
,     Net lending/Net borrowing,"18,279","13,548","24,407","28,333","17,778","22,209","35,873",...
,     Primary balance,"18,810","13,751","24,412","28,334","17,780","22,212","35,873",...
,     Transactions in Financial Assets and Liabilities (Financing), , , , , , , , 
,     Net acquisition of financial assets,"2,263","-4,475","-3,840",-802,"2,548","1,206","-2,865",...
,          Domestic,"2,263","-4,475","-3,840",-802,"2,548","1,206","-2,865",...
,          External,0,0,0,0,0,0,0,...
,     Net incurrence of liabilities,"12,736","11,933","31,331","14,652","40,115","43,201","37,528",...
,          Domestic,"12,736","11,933","31,331","14,652","40,115","43,201","37,528",...
,          External,0,0,0,0,0,0,0,...
,,,,,,,,,
,              Government Finance   (% of GDP at current market prices),,,,,,,,
,               Revenue,25.7,18.2,16.8,18.0,18.0,18.5,20.5,...
,               Taxes,14.9,11.6,12.8,13.6,13.1,13.4,14.2,...
,               Taxes payable by individuals,...,...,2.0,2.2,2.2,2.4,2.3,...
,               Taxes payable by corporations and other enterprises,...,...,3.7,3.8,3.7,3.6,4.6,...
,               Expenditure,14.6,11.8,9.3,10.9,13.8,13.5,12.8,...
,               Net lending/Net borrowing,11.0,6.4,7.5,7.1,4.2,5.1,7.7,...
,               Primary balance,11.4,6.5,7.5,7.1,4.2,5.1,7.7,...
,,,,,,,,,
,"Expenditure by Function, General Government",,,,,,,,
,Total expenditure,"30,121","30,763","46,759","58,445","73,972","71,702","75,698",...
,     General public services,"2,492","2,972","3,436","4,356","4,425","4,430","5,279",...
,     Defense,"7,701","9,557","11,431","12,714","13,593","14,521","14,376",...
,     Public order and safety,"1,687","1,871","2,592","3,754","4,102","4,361","5,262",...
,     Economic affairs,"6,044","3,563","6,856","6,857","15,869","11,730","13,355",...
,     Environmental protection,0,0,0,0,963,"1,029","1,455",...
,     Housing and community amenities,"3,233","3,704","4,232","3,626","3,395","4,451","5,511",...
,     Health,"1,543","1,790","3,801","7,075","8,937","9,816","10,196",...
,"     Recreation, culture, and religion",19,31,968,"2,041","2,752","2,343","2,530",...
,     Education,"6,333","6,649","9,829","11,667","12,124","12,656","13,068",...
,     Social protection,"1,069",626,"3,616","6,355","7,814","6,365","4,666",...
,,,,,,,,,
,               Expenditure by Function   (% of GDP at current market prices),,,,,,,,
,               Education,0.9,0.8,1.2,1.8,2.1,2.2,2.2,...
,               Health,3.8,3.1,3.0,2.9,2.9,2.9,2.8,...
,               Social Protection,0.6,0.3,1.1,1.6,1.8,1.4,1.0,...
,,,,,,,,,
,EXTERNAL TRADEac   calendar year (S$ million),,,,,,,,
,"Exports, fob","237,826","383,683","480,709","526,067","491,816","466,912","515,001","555,665"
,"Imports, cif","232,175","334,314","426,327","478,583","423,403","403,305","452,102","500,194"
,     Trade balance,"5,651","49,370","54,383","47,485","68,414","63,607","62,899","55,471"
,,,,,,,,,
,              External Trade   (% annual change),,,,,,,,
,               Exports,22.4,13.9,22.3,0.1,-6.5,-5.1,10.3,7.9
,               Imports,23.4,13.6,19.0,-1.4,-11.5,-4.7,12.1,10.6
,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,
,"Exports, total","138,046","229,545","352,312","410,090","351,530","330,544","366,066","412,966"
,"     1. China, People's Republic of","5,377","19,752","36,496","51,471","48,254","42,249","53,871","50,619"
,"     2. Hong Kong, China","10,841","21,570","41,326","45,087","40,337","41,355","46,013","48,633"
,     3. Malaysia,"25,041","30,405","41,913","49,041","37,841","34,701","39,604","44,895"
,     4. Indonesia,…,"22,109","33,091","38,560","28,906","25,855","21,373","33,018"
,     5. United States,"23,891","23,880","23,005","24,247","24,115","22,589","24,254","31,890"
,     6. Japan,"10,404","12,536","16,412","16,753","15,281","14,922","17,150","20,036"
,"     7. Taipei,China","8,225","8,970","12,820","16,150","14,449","14,880","16,473","16,991"
,"     8. Korea, Republic of","4,916","8,053","14,398","16,703","14,510","14,418","16,776","15,681"
,     9. Thailand,"5,872","9,431","12,702","15,048","13,807","12,919","14,725","15,561"
,     10 Viet Nam,"2,091","4,421","7,387","12,991","12,667","11,250","12,367","12,059"
,,,,,,,,,
,"Imports, total","134,633","200,197","310,879","366,301","297,035","281,891","324,024","370,890"
,"     1. China, People's Republic of","7,116","20,526","33,666","44,374","42,191","40,229","45,183","49,666"
,     2. Malaysia,"22,848","27,347","36,358","39,041","33,143","32,122","38,829","42,821"
,     3. United States,"20,270","23,482","35,633","37,876","33,371","30,458","34,737","42,120"
,"     4. Taipei,China","5,965","11,835","18,518","30,050","24,670","23,184","27,142","31,400"
,     5. Japan,"23,189","19,244","24,454","20,106","18,589","19,638","20,464","22,264"
,"     6. Korea, Republic of","4,822","8,599","18,030","21,601","18,193","17,220","16,178","14,199"
,     7. Indonesia,…,"10,452","16,839","18,789","14,377","13,478","11,495","15,279"
,     8. Saudi Arabia,"4,338","8,958","11,241","14,645","7,939","8,083","9,156","12,624"
,     9. United Arab Emirates,"1,506","2,538","6,371","15,396","8,173","6,795","8,825","9,775"
,     10. Germany,"4,236","5,955","8,904","10,643","8,950","8,628","9,464","10,140"
,,,,,,,,,
,BALANCE OF PAYMENTSad  calendar year ($ million),,,,,,,,
,Current account balance,"10,637","29,729","54,996","56,519","53,023","55,660","55,405","65,072"
,     Balance on goods,"15,764","47,647","63,235","86,695","92,570","87,146","92,498","98,373"
,          Exports,"154,943","242,166","374,434","450,615","396,221","371,401","408,539","459,741"
,          Imports,"139,178","194,519","311,199","363,920","303,651","284,255","316,041","361,368"
,     Balance on services,"-3,911","-9,447",-136,"-12,892","-8,493","-2,439","-7,867","-1,645"
