VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying,3.9,4.3,4.6,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC45,,,,,3,,Mining and quarrying,,N,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,,,,4.6,4.8,5.0,6.1,5.7,6.0,6.4,6.6,7.0,7.1,7.3,7.4,8.1,8.9,9.3,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Manufacturing,,N,Manufacturing,,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas, steam, and air-conditioning supply; water supply; sewerage,
     waste management, and remediation activities",,,,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC36,,,,,3,3,"Electricity, gas, steam and air conditioning supply; Water supply, sewerage, waste management and remediation activities",,N,,,,,,,,,,,,,,,,,,,,,
,Construction,1.0,1.3,1.5,1.7,1.9,2.0,2.3,2.4,2.5,2.6,3.1,3.2,3.3,3.3,3.3,3.4,3.8,4.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC37,,,,,3,3,Construction,,N,,,,,,,,,,,,,,,,,,,,,
,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.9,4.1,4.3,4.5,4.8,4.6,4.8,4.9,5.1,5.2,5.5,5.8,6.3,6.6,6.7,6.7,6.7,6.9,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC38,,,,,3,3,Wholesale and retail trade; repair of motor vehicles and motorcycles,,N,,,,,,,,,,,,,,,,,,,,,
,Accommodation and food service activities,0.7,0.7,0.7,0.7,0.8,0.8,0.7,1.1,1.3,1.6,1.7,2.0,2.1,2.2,2.3,2.4,2.5,2.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC39,,,,,3,3,Accommodation and food service activities,,N,,,,,,,,,,,,,,,,,,,,,
,Transportation and storage,1.2,1.2,1.2,1.2,1.2,1.3,1.1,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC40,,,,,3,3,Transportation and storage,,N,,,,,,,,,,,,,,,,,,,,,
,Information and communication,,,,,,0.2,…,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC41,,,,,3,3,Information and communication,,N,,,,,,,,,,,,,,,,,,,,,
,Financial and insurance activities,…,…,…,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC42,,,,,3,3,Financial and insurance activities,,N,,,,,,,,,,,,,,,,,,,,,
,Real estate activities,…,…,…,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC43,,,,,3,3,Real estate activities,,N,,,,,,,,,,,,,,,,,,,,,
,Other services,2.4,2.6,2.8,2.8,3.0,4.6,3.6,4.9,4.9,4.9,5.2,5.3,5.5,5.6,5.8,6.0,6.1,6.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC44,,,,,3,3,Other services,,N,,,,,,,,,,,,,,,,,,,,,
,Unemployed,0.9,1.0,0.9,0.9,0.9,2.1,2.3,2.0,1.7,1.3,1.3,1.0,0.9,0.9,1.0,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Unemployed,,N,Unemployed,,,,,,,,,,,,,,,,,,,,,,
,Unemployment rate (%),2.3,2.5,2.2,2.2,2.1,4.7,4.9,4.1,3.6,2.6,2.7,2.0,1.8,1.7,1.9,2.1,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Unemployment rate,,N,Unemployment rate (%),,,,,,,,,,,,,,,,,,,,,,
,Labor force (% annual change),2.2,2.8,2.1,2.7,2.4,5.7,3.0,2.0,2.2,2.3,2.2,2.0,1.8,1.7,0.9,0.5,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Labor force ,,N,"Labor force annual change, %",,,,,,,,,,,,,,,,,,,,,,
,Labor force participation rate  (%),…,…,…,…,…,…,…,74.7,…,76.5,77.4,77.0,76.8,77.5,77.7,77.8,77.3,76.7,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Labor force participation rate,,N,"Labor force participation rate, %",,,,,,,,,,,,,,,,,,,,,,
,     Male,…,…,…,…,…,…,…,78.8,…,81.0,82.0,81.7,81.2,82.1,82.5,83.0,82.4,81.9,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Male,,N,Male,,,,,,,,,,,,,,,,,,,,,,
,     Female,…,…,…,…,…,…,…,70.9,…,72.3,73.0,72.6,72.5,73.2,73.3,72.9,72.5,71.9,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Female,,N,Female,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS  calendar year (D billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,NATIONAL ACCOUNTS{|},,Y,NATIONAL ACCOUNTS{|},,,,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,At Current Market Prices,,Y,At Current Market Prices,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"441,646","481,295","535,762","613,443","715,307","914,001","1,061,565","1,246,769","1,616,047","1,809,149","2,157,828","2,779,880","3,245,419","3,584,262","3,937,856","4,192,862","4,502,733","5,005,975","5,542,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,GDP by industrial origin,,N,GDP by industrial origin,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry, and fishing","108,356","111,858","123,383","138,284","155,992","176,402","198,797","232,586","329,886","346,786","396,576","543,960","623,815","643,862","696,969","712,460","734,830","768,161","813,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Agriculture,,N,Agriculture,,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying,"42,606","44,345","46,153","57,326","72,492","88,897","99,702","111,700","146,607","165,310","204,544","274,321","370,617","394,468","426,184","402,869","365,522","373,931","408,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Mining,,N,Mining,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,"81,979","95,211","110,285","125,476","145,475","172,045","205,739","241,629","300,256","331,093","279,360","371,242","431,144","477,968","518,962","574,201","642,338","767,495","886,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Manufacturing,,N,Manufacturing,,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas, steam, and air-conditioning supply","13,993","16,028","18,201","22,224","25,090","29,785","33,857","40,187","49,136","61,665","65,721","81,077","97,311","115,280","142,060","167,402","188,876","217,443","250,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC46,,,,,3,3,"Electricity, gas, steam and air conditioning supply",,N,,,,,,,,,,,,,,,,,,,,,
,"Water supply; sewerage, waste management, and remediation activities",,,,,,"4,516","5,801","6,922","7,497","8,085","11,107","13,640","15,280","17,883","19,526","21,556","23,541","25,946","28,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC47,,,,,,,"Water supply; sewerage, waste management and remediation activities",,,,,,,,,,,,,,,,,,,,,,,
,Construction,"23,642","27,931","31,558","37,100","44,558","53,276","64,503","79,712","95,696","110,255","132,618","156,077","174,739","184,020","201,203","228,102","252,794","287,137","323,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Construction,,N,Construction,,,,,,,,,,,,,,,,,,,,,,
,Wholesale and retail trade; repair of motor vehicles and motorcycles,"62,836","67,788","75,617","83,297","96,995","111,745","130,432","153,660","208,366","240,577","172,608","235,024","299,536","339,275","387,749","425,543","472,942","536,259","602,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC48,,,,,3,3,Wholesale and retail trade; repair of motor vehicles and motorcycles,,N,,,,,,,,,,,,,,,,,,,,,
,Accommodation and food service activities,,,,,,"29,329","35,861","44,992","57,067","67,394","77,800","101,943","118,140","134,454","147,720","155,590","171,195","191,743","209,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportation and storage,"17,341","19,431","21,095","24,725","30,402","28,013","33,516","39,093","50,749","55,378","62,064","79,135","93,258","102,596","112,351","114,558","120,728","133,073","149,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC50,,,,,3,3,Transportation and storage,,N,,,,,,,,,,,,,,,,,,,,,
,Information and communication,,,,,,"9,998","11,812","13,778","17,593","19,349","19,895","21,090","22,781","24,652","26,974","29,392","31,840","34,293","37,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC51,,,,,,,Information and communication,,,,,,,,,,,,,,,,,,,,,,,
,Financial and insurance activities,"8,148","8,762","9,763","10,858","12,737","47,825","55,869","65,861","86,356","100,324","116,515","148,453","171,172","195,016","207,083","230,149","248,598","273,809","295,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC52,,,,,3,3,Financial and insurance activities,,N,,,,,,,,,,,,,,,,,,,,,
,Real estate activitiesb,,,,,,"61,413","70,501","83,322","102,920","115,351","131,692","163,107","178,473","189,508","202,103","212,882","228,684","239,868","253,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC53,,,,,4,4,Real estate activities,,N,,,,,,,,,,,,,,,,,,,,,
,"Professional, scientific, and technical activitiesb",,,,,,"12,908","14,450","16,975","21,528","24,291","28,004","35,333","41,412","47,399","51,166","55,574","59,762","64,258","69,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC54,,,,,,3,"Professional, scientific and technical activities",,,,,,,,,,,,,,,,,,,,,,,
,Administrative and support service activitiesb,,,,,,"3,865","4,358","5,127","6,443","7,154","7,881","10,054","11,768","13,504","14,761","15,829","17,263","18,729","20,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC55,,,,,,3,Administrative and support service activities,,,,,,,,,,,,,,,,,,,,,,,
,Public administration and defense; compulsory social security,"37,809","40,891","44,940","54,016","61,255","23,038","26,737","31,310","41,279","47,042","55,194","70,109","82,187","94,393","106,127","114,186","125,399","137,635","150,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC56,,,,,3,3,"Public administration and defense, compulsory social security",,N,,,,,,,,,,,,,,,,,,,,,
,Education,,,,,,"26,948","30,718","34,843","38,261","42,780","50,237","66,384","84,070","105,121","120,696","136,699","154,718","177,619","203,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC57,,,,,4,4,Education,,N,,,,,,,,,,,,,,,,,,,,,
,Human health and social work activities,,,,,,"12,262","13,922","15,964","18,946","21,276","23,335","26,552","33,402","58,641","66,204","72,206","96,949","132,507","151,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC58,,,,,4,4,Health and social work,,N,,,,,,,,,,,,,,,,,,,,,
,"Arts, entertainment, and recreation",,,,,,"6,319","7,177","8,253","9,986","13,053","14,592","16,819","18,684","21,220","23,047","24,969","27,128","29,990","32,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC59,,,,,4,4,"Arts, entertainment, and recreation activities",,N,,,,,,,,,,,,,,,,,,,,,
,Other service activities,"44,936","49,050","54,767","60,138","70,310","13,998","16,173","18,927","24,923","29,087","34,396","43,372","50,164","57,607","65,463","71,946","80,286","87,620","94,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC60,,,,,3,3,Other service activities,,N,,,,,,,,,,,,,,,,,,,,,
,"Activities of households as employers; undifferentiated goods- and services-
    producing activities of households for own use",...,...,...,...,...,"1,421","1,640","1,927","2,551","2,898","2,944","3,750","4,417","5,022","5,753","6,439","7,236","8,082","9,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC61,,,,,3,3,Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use,,N,,,,,,,,,,,,,,,,,,,,,
,Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC62,,,,,,,Activities of extra-territorial organizations and bodies,,,,,,,,,,,,,,,,,,,,,,,
,Less: Financial intermediation services indirectly measured,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross value added at basic prices,...,...,...,...,...,...,...,...,...,...,"1,887,083","2,461,442","2,922,370","3,221,889","3,542,101","3,772,552","4,050,630","4,505,601","4,989,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plus: Taxes less subsidies on production and imports,...,...,...,...,...,...,...,...,...,...,"270,746","318,438","323,049","362,375","395,755","420,310","452,103","500,374","552,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,"-6,327","-6,440","-8,706","-9,755","-13,401","-16,779","-22,810","-34,963","-48,083","-77,928","-82,250","-119,804","-130,192","-153,594","-187,033","-215,253","-188,412","-241,018","-387,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Net factor income from abroad,,N,Net factor income from abroad,,,,,,,,,,,,,,,,,,,,,,
,GNI,"435,319","474,855","527,056","603,688","701,906","897,222","1,038,755","1,211,806","1,567,964","1,731,221","2,075,578","2,660,076","3,115,227","3,430,668","3,750,823","3,977,610","4,314,321","4,764,958","5,154,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,GNI,,N,GNI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,Structure of Output,,Y,Structure of Output % of GDP {#GDPAlias#},,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,24.5,23.2,23.0,22.5,21.8,19.3,18.7,18.7,20.4,19.2,21.0,22.1,21.3,20.0,19.7,18.9,18.1,17.0,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,Agriculture,,N,Agriculture,,,,,,,,,,,,,,,,,,,,,,
,               Industry,36.7,38.1,38.5,39.5,40.2,38.1,38.6,38.5,37.1,37.4,36.7,36.4,37.3,36.9,36.9,37.0,36.4,37.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,Industry,,N,Industry,,,,,,,,,,,,,,,,,,,,,,
,               Services,38.7,38.6,38.5,38.0,38.0,42.6,42.7,42.8,42.5,43.4,42.2,41.5,41.4,43.1,43.4,44.2,45.5,45.8,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,Services,,N,Services,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"441,646","481,295","535,762","613,443","715,307","914,001","1,061,565","1,246,769","1,616,047","1,809,149","2,157,828","2,779,880","3,245,419","3,584,262","3,937,856","4,192,862","4,502,733","5,005,975","5,542,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Expenditure on GDP,,N,Expenditure on GDP,,,,,,,,,,,,,,,,,,,,,,
,Final consumption expenditure,"321,853","342,607","382,137","445,221","511,221","648,519","749,688","918,388","1,236,265","1,343,691","1,565,602","2,008,700","2,285,623","2,566,803","2,838,048","3,115,085","3,379,404","3,731,554","4,103,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC83,,,,,3,3,Final consumption expenditure,,N,,,,,,,,,,,,,,,,,,,,,
,Household final consumption,"293,507","312,144","348,747","406,451","465,506","598,567","690,954","849,141","1,145,361","1,239,151","1,436,289","1,844,377","2,093,261","2,346,161","2,591,337","2,849,540","3,086,298","3,405,750","3,745,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC63,,,,,4,4,Household final consumption,,N,,,,,,,,,,,,,,,,,,,,,
