KIRIBATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Information and communication,...,...,...,...,...,,...,...,...,...,0.6,...,...,...,...,0.2,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activitiesi,...,...,...,...,...,0.4 |,...,...,...,...,0.8,...,...,...,...,0.2,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Real estate activities,...,...,...,...,...,...,...,...,...,...,,...,...,...,...,0.1,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Othersj,...,...,...,...,...,7.0 |,...,...,...,...,9.2,...,...,...,...,10.2,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unemployedk,0.6,...,...,...,...,2.3 |,...,...,...,...,11.9,...,...,...,...,19.3,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unemployment rate   (%),1.6,...,...,...,...,6.1 |,...,...,...,...,30.6,...,...,...,...,40.9,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force   (% annual change),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force participation rate    (%),80.9,...,...,...,...,63.6 |,...,...,...,...,59.3,...,...,...,...,66.0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Male,86.1,...,...,...,...,71.5 |,...,...,...,...,66.8,...,...,...,...,72.7,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Female,76.1,...,...,...,...,56.3 |,...,...,...,...,52.3,...,...,...,...,59.8,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSl   calendar year  (A$ '000) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"116,446","118,739","132,885","139,129","138,504 |","146,839","146,392","158,556","168,151","169,789","170,203","176,163","183,737","191,741","199,363","227,775","239,888","242,135* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishingm","21,100","23,423","26,943","31,498","32,188 |","29,796","32,268","36,730","41,522","45,182","40,958","44,171","44,714","44,192","47,338","49,146","63,141","74,556* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Mining and quarrying,118,107,99,93,61 |,101,143,146,145,147,169,210,281,519,510,"1,042","1,246",942* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Manufacturing,"5,629","5,784","6,153","5,884","6,155 |","6,945","6,789","8,685","8,767","8,166","9,556","10,197","9,130","8,658","9,268","8,758","10,095","10,511* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supply","1,176","2,096","2,108","2,105","1,530 |",673,502,533,"2,146","1,881","2,019","1,700","1,605","1,291","1,897","2,371","2,195","1,804* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Construction,"5,919","5,369","4,926","4,659","3,030 |","5,031","7,135","7,284","7,268","7,352","8,447","10,490","14,037","17,283","17,013","22,501","21,715","16,727* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesn,"9,363","9,739","10,996","8,964","9,189 |","7,108","6,700","9,840","12,314","12,867","11,223","11,162","10,327","9,094","8,094","14,616","19,241","19,801* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Accommodation and food service activitieso,"2,136","1,941","1,505","1,070",929 |,940,"1,118","1,050",968,"1,042",922,"1,071",976,"1,053","1,137","1,219","1,475","2,038* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transportation and storage,"8,472","7,378","6,853","8,842","7,703 |","9,175","6,489","8,097","7,567","11,350","12,607","12,635","13,400","14,393","14,815","12,232","12,054","11,092* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Information and communicationp,"5,319","5,849","5,669","5,273","4,610 |","9,921","8,614","7,168","6,254","4,976","5,799","4,332","4,132","5,107","4,679","4,433","6,124","6,102* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activitiesq,"4,621","5,289","5,075","6,791","7,644 |","9,828","10,636","10,050","11,506","12,234","9,551","8,826","10,797","11,272","14,365","17,128","16,912","18,570* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Real estate activitiesr,"13,433","13,930","14,549","15,214","15,226 |","15,576","16,200","16,366","16,874","17,380","18,255","18,731","19,399","20,091","21,935","23,718","25,195","26,381* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activitiess","1,043","1,084","1,191","1,271","1,263 |","1,354","1,408","1,509","1,642","1,659","1,676","1,736","1,802","1,866","1,970","2,199","2,441","2,556* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social securityt,"24,986","25,337","31,974","34,373","35,722 |","37,992","41,843","42,380","46,316","40,490","45,325","47,215","48,524","50,854","53,009","59,750","61,662","63,929* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreationu","2,022","2,141","2,220","2,302","2,322 |","2,357","2,373","2,527","2,530","2,801","2,793","2,852","2,833","2,826","2,926","2,982","3,080","3,133* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less: Imputed bank service charges ,"2,143","2,534","2,588","3,140","3,340 |","4,114","5,624","5,794","6,504","7,525","6,746","5,787","5,930","5,381","5,673","7,041","6,894","8,381* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross value added at factor cost | basic prices,"103,194","106,934","117,673","125,199","124,231 |","132,683","136,593","146,568","159,316","160,001","162,555","169,540","176,025","183,119","193,283","215,053","239,683","249,760* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes less subsidies on products ,"13,252","11,805","15,212","13,930","14,273 |","14,156","9,799","11,988","8,835","9,788","7,647","6,623","7,712","8,622","6,080","12,722",205,"-7,625* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,...,"87,187","82,124","67,415","63,982 |","61,408","58,884","67,670","76,649","64,524","79,025","68,980","94,408","131,682","180,023","239,136","226,969","232,633* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNI ,...,"205,926","215,009","206,544","202,485 |","208,247","205,276","226,225","244,800","234,313","249,227","245,143","278,029","323,422","379,386","466,911","466,857","474,769* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Output    (% GDP at current prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,20.0,21.4,22.4,24.5,25.2 |,21.8,22.7,24.1,25.0,27.0,24.2,25.2,24.6,23.4,23.8,22.1,25.6,28.9* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Industry,12.2,12.2,11.0,9.9,8.4 |,9.3,10.2,10.9,11.1,10.5,11.9,12.9,13.8,14.7,14.4,15.6,14.3,11.6* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Services,67.8,66.4,66.5,65.5,66.3 |,68.9,67.1,65.0,63.9,62.6,63.9,61.9,61.7,61.8,61.8,62.3,60.1,59.5* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 2006 market prices,"134,064","135,006","135,786","141,258","145,740 |","146,464","146,392","149,371","146,247","147,421","146,059","148,388","155,382","161,931","160,801","177,533","186,640","187,253* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishingm","28,418","29,348","28,215","31,555","32,864 |","29,236","32,268","32,301","33,414","33,305","32,009","34,675","35,414","35,177","37,256","37,751","41,775","45,538* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Mining and quarrying,69,74,33,69,137 |,102,143,140,123,114,135,166,229,429,413,840,985,741* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Manufacturing,"6,224","6,449","6,578","6,153","6,059 |","7,013","6,789","6,947","6,481","6,846","7,036","6,382","6,452","6,340","6,301","6,526","6,675","6,909* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supply",301,315,291,374,431 |,471,502,503,477,474,462,467,482,497,510,475,515,515* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Construction,"3,435","3,693","1,632","3,435","6,870 |","5,083","7,135","7,005","6,150","5,719","6,772","8,286","11,437","14,303","13,780","18,122","17,159","13,171* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesn,"9,701","10,045","11,060","8,967","9,094 |","7,096","6,700","9,573","11,192","11,152","9,808","9,474","8,957","7,957","6,766","12,608","16,391","16,801* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Accommodation and food service activitieso,"1,514","1,530","1,665","1,957","1,822 |","1,164","1,118","1,017",847,815,735,842,802,889,943,"1,058","1,339","1,619* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transportation and storage,"8,107","7,335","6,520","7,733","7,473 |","8,111","6,489","6,072","5,511","8,629","8,838","9,101","9,069","9,575","9,780","7,753","6,915","6,414* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Information and communicationp,"5,901","6,168","6,447","6,739","7,044 |","9,551","8,614","7,594","7,121","5,792","7,202","5,643","5,820","6,452","5,783","5,468","7,520","7,519* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activitiesq,"5,556","6,135","5,251","6,800","7,379 |","9,809","10,636","9,626","9,571","9,195","6,921","5,997","7,589","8,040","9,952","11,859","11,430","12,430* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Real estate activitiesr,"13,778","14,045","14,602","15,188","15,203 |","15,652","16,200","16,366","16,874","17,380","18,255","18,731","19,204","19,987","20,153","20,228","20,841","21,658* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activitiess","1,215","1,243","1,219","1,292","1,335 |","1,351","1,408","1,419","1,432","1,449","1,447","1,472","1,535","1,588","1,600","1,727","1,834","1,870* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social securityt,"36,245","36,788","37,340","37,900","36,903 |","39,438","41,843","42,348","43,384","43,358","44,362","45,206","45,736","46,836","46,008","47,679","49,410","51,204* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreationu","2,234","2,333","2,260","2,304","2,262 |","2,352","2,373","2,432","2,099","2,123","2,206","2,221","2,275","2,306","2,337","2,368","2,400","2,432* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less: Imputed bank service charges ,"2,649","2,991","2,683","3,145","3,197 |","4,104","5,624","5,571","5,481","5,919","5,355","4,291","4,651","4,209","4,354","5,682","5,401","6,862* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross value added at factor cost | basic price,"120,049","122,510","120,430","127,321","131,682 |","132,325","136,593","137,773","139,194","140,432","140,835","144,371","150,349","156,166","157,229","168,778","179,786","181,958* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
