JAPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry, and fishing","8,090","7,231","7,183","6,777","6,472","5,898","5,766","5,641","5,511","5,299","5,515","5,285","5,651","5,556","5,428","5,918","6,491","6,483",...,,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying,611,604,524,496,414,414,402,395,352,287,304,313,281,311,327,315,286,301,...,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,"118,815","111,158","107,757","108,803","111,135","113,448","113,879","117,376","111,580","93,721","104,239","96,639","97,663","97,799","101,394","110,585","110,817","112,988",...,,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas, steam, and air-conditioning supply","16,898","17,244","16,859","16,254","16,064","15,237","14,532","13,559","12,687","14,054","13,797","11,054","9,962","10,655","12,090","13,924","13,938","14,253",...,,,,,,,,,,,,,,,,,,,,,,
,"Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Construction,"36,215","34,537","32,441","31,208","30,233","29,186","29,159","27,552","26,416","25,437","23,984","24,093","24,485","26,779","28,470","29,362","29,887","31,329",...,,,,,,,,,,,,,,,,,,,,,,
,Wholesale and retail trade; repair of motor vehicles and motorcycles,"68,830","69,562","69,192","69,255","73,494","75,313","72,829","71,555","72,436","67,003","69,088","70,580","72,789","74,271","73,188","74,270","74,012","75,919",...,,,,,,,,,,,,,,,,,,,,,,
,Accommodation and food service activities,"16,580","16,255","16,117","15,614","15,011","14,350","14,419","14,560","13,802","13,388","12,847","12,451","11,858","12,345","12,648","12,405","13,656","13,791",...,,,,,,,,,,,,,,,,,,,,,,
,Transportation and storage,"25,643","25,683","25,793","26,021","26,738","26,573","27,560","28,495","27,400","24,775","25,231","24,497","25,250","25,366","26,752","27,153","26,993","27,695",...,,,,,,,,,,,,,,,,,,,,,,
,Information and communication,"24,236","25,191","25,583","25,777","25,510","25,911","26,018","26,351","26,543","25,703","25,514","25,384","25,354","25,718","26,082","26,723","26,856","26,684",...,,,,,,,,,,,,,,,,,,,,,,
,Financial and insurance activities,"25,637","28,028","30,127","31,298","30,966","31,192","30,336","30,358","25,326","24,238","24,115","23,110","22,442","23,055","22,808","23,208","22,323","22,516",...,,,,,,,,,,,,,,,,,,,,,,
,Real estate activities,"54,138","53,672","53,216","53,221","53,738","54,571","56,203","57,092","58,107","59,310","59,531","59,528","59,372","59,889","60,128","60,616","61,154","61,789",...,,,,,,,,,,,,,,,,,,,,,,
,"Professional, scientific, and technical activities","30,291","30,552","30,312","30,700","31,391","33,394","35,177","37,282","38,685","35,898","34,940","35,682","35,546","36,513","37,144","38,387","39,868","40,483",...,,,,,,,,,,,,,,,,,,,,,,
,Administrative and support service activitiesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public administration and defense; compulsory social security,"27,314","27,404","27,469","27,268","27,154","26,930","27,117","27,418","27,574","26,920","26,306","26,423","26,032","25,759","26,446","26,572","26,697","26,883",...,,,,,,,,,,,,,,,,,,,,,,
,Education,"19,003","19,048","19,123","18,758","18,609","18,620","18,761","18,812","18,837","18,477","18,247","18,520","18,487","18,377","18,861","19,205","19,397","19,598",...,,,,,,,,,,,,,,,,,,,,,,
,Human health and social work activities,"27,874","28,579","28,060","28,163","28,193","28,916","29,136","29,608","29,668","30,816","32,025","32,496","34,132","34,818","34,910","36,267","37,740","38,102",...,,,,,,,,,,,,,,,,,,,,,,
,"Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other service activities,"27,353","25,890","26,211","26,210","26,092","25,700","25,739","25,790","24,905","23,628","23,454","22,904","23,056","22,891","23,251","23,377","22,903","23,302",...,,,,,,,,,,,,,,,,,,,,,,
,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,...,,,,,,,,,,,,,,,,,,,,,,
,Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,...,,,,,,,,,,,,,,,,,,,,,,
,Taxes and duties on imports ,"3,869","3,997","3,875","4,052","4,280","4,770","5,408","5,712","5,945","4,368","4,847","5,550","5,703","6,377","8,686","8,755","7,676","8,571",...,,,,,,,,,,,,,,,,,,,,,,
,Less: Consumption taxes for gross capital formation,"3,525","3,491","3,054","3,155","3,409","3,308","3,402","3,793","3,740","2,730","2,898","3,046","3,118","3,120","4,910","5,742","5,683","5,940",...,,,,,,,,,,,,,,,,,,,,,,
,Statistical discrepancy,"-1,165","1,863",-801,"-1,321","-1,119","-2,980","-2,159","-2,074","-1,319","-1,092",-731,-54,11,-182,173,19,976,375,...,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,"7,524","7,971","7,313","8,139","9,789","11,362","13,799","15,963","13,644","11,965","12,925","13,920","13,258","16,892","18,494","20,410","18,021","19,459","19,659",,,,,,,,,,,,,,,,,,,,,,
,GNId,"534,230","530,976","523,299","523,540","530,755","535,495","540,679","547,651","534,360","501,466","513,279","505,329","508,215","520,067","532,370","551,730","554,008","564,563","568,471",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture ,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,...,,,,,,,,,,,,,,,,,,,,,,
,               Industry ,32.7,31.4,30.5,30.4,30.3,30.1,30.0,29.9,29.1,27.3,28.5,27.0,26.9,27.1,27.9,29.2,29.1,29.3,...,,,,,,,,,,,,,,,,,,,,,,
,               Services,65.8,67.2,68.1,68.3,68.5,68.8,68.9,69.1,69.9,71.6,70.4,71.9,72.0,71.8,71.0,69.7,69.7,69.5,...,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"526,706","523,005","515,986","515,401","520,965","524,133","526,880","531,688","520,716","489,501","500,354","491,409","494,957","503,176","513,876","531,320","535,986","545,104","548,812",,,,,,,,,,,,,,,,,,,,,,
,Household final consumption,"280,998","283,294","282,778","281,447","283,526","285,672","288,422","290,123","289,102","280,474","282,865","279,650","283,173","289,446","293,078","293,126","290,817","294,534","296,923",,,,,,,,,,,,,,,,,,,,,,
,NPISHs final consumption ,"5,591","5,639","5,486","5,703","5,749","5,872","6,022","5,911","5,851","5,839","6,092","6,605","7,069","7,227","7,005","7,486","7,827","7,958","8,138",,,,,,,,,,,,,,,,,,,,,,
,Government final consumption,"88,761","91,707","93,534","93,769","94,310","94,958","94,590","95,415","95,601","96,112","97,527","99,205","100,241","101,469","103,562","105,297","106,575","107,235","108,360",,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"143,828","138,913","127,219","125,744","126,848","129,720","130,396","130,176","127,825","104,380","106,563","108,618","112,130","116,691","122,899","127,637","125,461","130,300","134,011",,,,,,,,,,,,,,,,,,,,,,
,Gross fixed capital formation,"144,237","138,834","129,152","126,090","125,298","128,942","130,232","128,232","124,776","109,459","106,724","107,638","110,966","117,382","123,146","126,403","124,981","129,928","132,786",,,,,,,,,,,,,,,,,,,,,,
,Public,"40,193","38,105","35,771","33,134","30,271","28,020","27,027","25,884","25,236","26,218","25,493","23,893","24,423","26,335","27,242","27,138","26,852","27,507","27,063",,,,,,,,,,,,,,,,,,,,,,
,Private,"104,044","100,729","93,382","92,956","95,027","100,922","103,205","102,347","99,539","83,241","81,231","83,744","86,543","91,046","95,904","99,265","98,130","102,421","105,723",,,,,,,,,,,,,,,,,,,,,,
,Changes in inventories,-409,79,"-1,933",-346,"1,550",778,163,"1,944","3,049","-5,080",-161,980,"1,164",-691,-247,"1,234",479,373,"1,225",,,,,,,,,,,,,,,,,,,,,,
,Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,Exports of goods and services,"55,960","53,499","56,853","59,989","67,580","73,444","83,631","93,010","90,730","61,290","75,237","73,343","71,990","80,082","90,135","93,571","87,113","96,905","101,287",,,,,,,,,,,,,,,,,,,,,,
,Exports of goods,"48,964","46,037","48,903","51,329","57,704","63,010","72,027","80,024","77,611","51,122","64,391","62,965","61,957","67,829","74,075","75,274","69,093","77,254","81,239",,,,,,,,,,,,,,,,,,,,,,
,Exports of services,"6,996","7,462","7,950","8,660","9,876","10,434","11,604","12,986","13,119","10,169","10,846","10,377","10,034","12,254","16,061","18,297","18,020","19,652","20,048",,,,,,,,,,,,,,,,,,,,,,
,Less: Imports of goods and services,"48,432","50,047","49,882","51,251","57,047","65,533","76,181","82,946","88,391","58,593","67,929","76,011","79,645","91,740","102,803","95,797","81,806","91,829","99,906",,,,,,,,,,,,,,,,,,,,,,
,Imports of goods,"36,265","37,190","36,782","38,866","43,280","51,238","60,957","65,836","71,808","45,734","54,875","63,296","66,229","76,602","84,540","76,160","63,575","72,342","80,041",,,,,,,,,,,,,,,,,,,,,,
,Imports of services,"12,166","12,857","13,101","12,385","13,767","14,294","15,224","17,110","16,583","12,859","13,054","12,716","13,417","15,137","18,263","19,637","18,230","19,486","19,866",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumptione,54.4,55.2,55.9,55.7,55.5,55.6,55.9,55.7,56.6,58.5,57.8,58.3,58.6,59.0,58.4,56.6,55.7,55.5,55.6,,,,,,,,,,,,,,,,,,,,,,
,               Government final consumption,16.9,17.5,18.1,18.2,18.1,18.1,18.0,17.9,18.4,19.6,19.5,20.2,20.3,20.2,20.2,19.8,19.9,19.7,19.7,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,27.3,26.6,24.7,24.4,24.3,24.7,24.7,24.5,24.5,21.3,21.3,22.1,22.7,23.2,23.9,24.0,23.4,23.9,24.4,,,,,,,,,,,,,,,,,,,,,,
,               Changes in inventories,-0.1,0.0,-0.4,-0.1,0.3,0.1,0.0,0.4,0.6,-1.0,-0.0,0.2,0.2,-0.1,-0.0,0.2,0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,10.6,10.2,11.0,11.6,13.0,14.0,15.9,17.5,17.4,12.5,15.0,14.9,14.5,15.9,17.5,17.6,16.3,17.8,18.5,,,,,,,,,,,,,,,,,,,,,,
,               Imports of goods and services,9.2,9.6,9.7,9.9,11.0,12.5,14.5,15.6,17.0,12.0,13.6,15.5,16.1,18.2,20.0,18.0,15.3,16.8,18.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Chained Prices ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 2011 market prices,"461,712","463,588","464,135","471,228","481,617","489,625","496,577","504,792","499,271","472,229","492,023","491,456","498,803","508,781","510,687","516,932","520,081","530,112","534,289",,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry, and fishing","6,807","6,270","6,640","5,993","5,360","5,359","5,283","5,600","6,020","5,549","5,225","5,285","5,318","5,334","5,166","4,934","4,557","4,481",…,,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying,878,922,850,832,693,706,681,624,541,296,307,313,270,294,284,230,208,232,…,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,"87,160","82,799","81,882","85,664","90,450","94,969","98,675","103,955","103,750","85,401","99,346","96,639","98,975","98,887","101,847","106,073","105,311","109,204",…,,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas, steam, and air-conditioning supply","12,461","12,843","12,825","12,788","13,080","13,902","13,878","13,201","13,815","11,577","12,611","11,054","8,883","9,471","9,575","8,642","8,748","9,567",…,,,,,,,,,,,,,,,,,,,,,,
,"Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Construction,"36,188","34,999","33,389","31,879","30,824","29,786","29,626","27,548","25,632","25,242","23,962","24,093","24,569","26,812","27,863","28,109","28,530","29,714",…,,,,,,,,,,,,,,,,,,,,,,
,Wholesale and retail trade; repair of motor vehicles and motorcycles,"67,063","69,472","70,692","71,141","74,640","75,872","72,606","70,669","69,656","66,973","69,080","70,580","73,505","74,787","71,942","73,362","73,390","74,528",…,,,,,,,,,,,,,,,,,,,,,,
,Accommodation and food service activities,"17,068","16,982","16,691","16,074","15,476","14,801","14,798","14,959","14,098","12,927","12,662","12,451","11,907","12,624","12,760","12,071","12,633","12,878",…,,,,,,,,,,,,,,,,,,,,,,
,Transportation and storage,"24,272","24,404","24,676","25,192","26,054","26,066","27,558","28,607","27,833","24,193","24,969","24,497","25,076","25,255","25,840","24,857","24,456","25,234",…,,,,,,,,,,,,,,,,,,,,,,
,Information and communication,"20,009","21,640","22,658","23,293","23,047","23,644","24,256","24,882","25,428","25,062","25,204","25,384","25,496","26,228","26,379","26,988","26,942","27,174",…,,,,,,,,,,,,,,,,,,,,,,
,Financial and insurance activities,"26,922","25,903","25,526","25,711","25,482","25,823","25,669","26,757","22,922","23,155","23,316","23,110","23,746","25,801","25,808","26,860","26,473","27,133",…,,,,,,,,,,,,,,,,,,,,,,
,Real estate activities,"51,931","52,416","52,964","53,686","54,430","55,129","56,456","56,864","57,343","58,246","58,957","59,528","59,715","60,632","61,410","62,191","62,844","63,874",…,,,,,,,,,,,,,,,,,,,,,,
,"Professional, scientific, and technical activities","23,992","25,363","26,205","27,552","28,980","31,615","33,464","35,678","37,135","34,854","34,650","35,682","35,813","36,476","36,056","36,457","37,926","37,959",…,,,,,,,,,,,,,,,,,,,,,,
,Administrative and support service activitiesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public administration and defense; compulsory social security,"25,237","25,476","25,661","26,041","26,052","25,858","26,021","26,307","26,377","26,536","26,212","26,423","26,363","26,198","26,306","26,262","26,267","26,260",…,,,,,,,,,,,,,,,,,,,,,,
,Education,"16,666","16,725","16,907","17,067","17,113","17,229","17,470","17,662","17,815","18,041","18,095","18,520","18,699","18,766","18,892","19,105","19,184","19,301",…,,,,,,,,,,,,,,,,,,,,,,
,Human health and social work activities,"27,639","28,223","28,038","28,425","28,727","29,517","30,069","30,767","30,753","31,436","32,106","32,496","33,823","34,640","34,457","35,922","36,883","37,171",…,,,,,,,,,,,,,,,,,,,,,,
,"Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other service activities,"26,170","25,041","25,561","25,695","25,608","25,167","25,246","25,172","24,672","23,447","23,238","22,904","23,147","22,705","22,662","22,318","21,861","21,996",…,,,,,,,,,,,,,,,,,,,,,,
,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,
,Taxes and duties on imports,"5,246","5,341","5,155","5,366","5,454","5,533","5,639","5,584","5,387","5,133","5,529","5,550","5,646","5,615","5,611","5,846","5,992","6,059",…,,,,,,,,,,,,,,,,,,,,,,
,Less: Consumption taxes for gross capital formation,"3,103","3,102","2,805","2,963","3,157","3,359","3,429","3,555","3,524","2,680","2,892","3,050","3,189","3,203","3,393","3,619","3,519","3,633",…,,,,,,,,,,,,,,,,,,,,,,
,Statistical discrepancy,"-7,565","-4,222","-5,530","-5,212","-4,267","-6,344","-6,208","-6,104","-5,871","-2,487",-810,-2,"1,040","1,470","1,241",778,"1,731",998,…,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad ,"6,949","7,448","6,937","7,825","9,464","11,019","13,386","15,517","13,197","11,796","12,894","13,957","13,366","17,014","18,288","20,089","17,861","19,214","19,280",,,,,,,,,,,,,,,,,,,,,,
,GNId,"488,396","490,341","490,931","498,417","509,840","516,275","521,479","529,387","514,150","492,509","510,651","505,422","511,259","524,100","526,671","542,180","547,697","555,818","556,482",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Growth of Output  (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               GDP,2.8,0.4,0.1,1.5,2.2,1.7,1.4,1.7,-1.1,-5.4,4.2,-0.1,1.5,2.0,0.4,1.2,0.6,1.9,0.8,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,7.3,-7.9,5.9,-9.7,-10.6,-0.0,-1.4,6.0,7.5,-7.8,-5.8,1.1,0.6,0.3,-3.1,-4.5,-7.6,-1.7,…,,,,,,,,,,,,,,,,,,,,,,
,               Industryf,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,
,               Servicesf ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 2011 market prices,"461,712","463,588","464,135","471,228","481,617","489,625","496,577","504,792","499,271","472,229","492,023","491,456","498,803","508,781","510,687","516,932","520,081","530,084","534,237",,,,,,,,,,,,,,,,,,,,,,
,Household final consumption,"258,052","262,979","266,158","267,688","271,171","274,495","277,243","279,976","277,128","274,943","281,345","279,650","284,933","291,646","289,393","288,268","287,526","290,770","291,750",,,,,,,,,,,,,,,,,,,,,,
,NPISHs final consumption ,"4,986","5,053","5,042","5,298","5,394","5,487","5,635","5,549","5,497","5,686","6,021","6,605","7,130","7,335","7,025","7,452","7,835","7,942","8,068",,,,,,,,,,,,,,,,,,,,,,
,Government final consumption,"83,899","86,760","89,062","90,709","91,776","92,505","92,567","93,636","93,562","95,472","97,324","99,205","100,869","102,382","102,938","104,524","106,019","106,296","107,118",,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"131,489","129,569","120,989","121,614","123,809","126,702","126,547","125,896","122,425","102,708","105,878","108,665","112,717","116,292","120,287","123,737","122,685","126,147","128,315",,,,,,,,,,,,,,,,,,,,,,
,Gross fixed capital formation,"131,746","129,498","122,879","121,931","122,065","125,840","126,318","123,905","119,210","107,599","105,884","107,638","111,452","116,948","120,520","122,506","122,122","125,710","127,070",,,,,,,,,,,,,,,,,,,,,,
,Public,"39,223","37,892","36,203","33,837","30,893","28,401","27,070","25,640","24,386","26,063","25,497","23,893","24,526","26,181","26,388","25,907","25,811","25,968","25,087",,,,,,,,,,,,,,,,,,,,,,
,Private,"92,523","91,606","86,677","88,093","91,171","97,438","99,248","98,265","94,824","81,536","80,388","83,744","86,926","90,767","94,132","96,599","96,311","99,741","101,983",,,,,,,,,,,,,,,,,,,,,,
,Changes in inventories,-258,71,"-1,890",-317,"1,744",862,228,"1,991","3,216","-4,891",-6,"1,027","1,265",-656,-233,"1,232",563,437,"1,245",,,,,,,,,,,,,,,,,,,,,,
,Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,
,Exports of goods and services,"46,824","43,683","47,075","51,555","58,914","63,137","69,650","75,690","76,869","58,861","73,524","73,343","73,278","73,836","80,695","83,069","84,492","90,251","93,267",,,,,,,,,,,,,,,,,,,,,,
,Exports of goods,"40,356","37,107","40,084","43,776","50,005","53,937","59,736","64,972","65,989","49,138","63,054","62,965","63,142","62,636","66,532","67,069","67,422","72,159","75,195",,,,,,,,,,,,,,,,,,,,,,
,Exports of services,"6,437","6,610","7,018","7,818","8,953","9,233","9,941","10,745","10,908","9,714","10,469","10,377","10,136","11,191","14,133","15,939","16,991","18,013","18,001",,,,,,,,,,,,,,,,,,,,,,
,Less: Imports of goods and services,"58,934","59,541","59,950","61,986","67,020","71,108","74,455","76,081","76,611","64,621","71,842","76,011","80,123","82,746","89,587","90,260","88,798","91,868","95,004",,,,,,,,,,,,,,,,,,,,,,
