SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supply; water supply;
          sewerage, waste management, and remediation activities","1,491","1,491","1,459","1,611","1,781","1,787","1,890","1,874","1,888","1,823","1,777","1,820","1,941",540,564,550,617,688,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,,,,,,,,,,,,"1,013","1,046","1,046","1,012","1,060","1,102","1,160","1,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Accommodation and food service activities,,,,,,,,,,,,130,119,171,181,203,203,210,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transportation and storage,,,,,,,,,,,,467,485,468,481,480,516,513,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Information and communication,"2,545","2,711","2,813","3,017","3,138","2,942","2,928","2,966","2,942","2,998","3,105",,,55,63,52,62,70,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,,,,,,,,,,,,265,260,137,146,145,159,160,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Real estate activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other services,,,,,,,,,,,,"1,382","1,304","1,485","1,566","1,628","1,654","1,623","1,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unemployed ,517,537,629,643,669,563,493,447,394,433,400,335,310,353,348,383,363,359,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unemployment rate    (%),7.6,7.9,8.8,8.4,8.3,7.4,6.5,6.0,5.2,5.7,4.9,4.2,4.0,4.4,4.3,4.7,4.4,4.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor forced   (% annual change),2.3,-0.8,5.5,7.1,5.3,-5.8,0.0,-1.4,1.1,-1.2,...,...,-1.6,3.0,0.2,2.1,1.2,3.1,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force participation ratee    (%),50.3,48.8,50.3,48.9,48.6,49.3,51.2,49.8,50.2,49.2,48.6,52.9,52.5,53.7,53.2,53.8,53.8,54.1,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Male ,67.2,66.2,67.9,67.2,66.7,67.3,68.1,67.8,67.9,74.7,75.0,74.0,74.9,74.9,74.6,74.7,75.1,74.5,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Female ,33.9,31.9,33.6,31.4,31.5,32.6,35.7,33.4,34.3,36.2,34.4,34.3,32.9,35.4,34.6,35.9,35.9,36.6,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (SLRs million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices | producer price,"1,287,286","1,434,257 |","1,636,037","1,822,467","2,090,841","2,452,782","2,938,680","3,578,688","4,410,682","4,835,293","6,413,667","7,219,106","8,732,463","9,592,126","10,361,151","10,950,621","11,996,083","13,418,287","14,449,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishing","202,146","215,325 |","233,615","241,122","262,271","289,906","333,137","418,104","590,114","613,694","544,914","637,567","650,510","735,382","829,577","896,229","890,925","1,044,218","1,137,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Mining and quarrying,"17,151","17,968 |","19,888","25,523","30,129","35,932","46,202","56,645","71,768","79,204","124,926","153,772","213,318","245,382","254,392","249,098","313,635","350,794","358,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Manufacturing,"224,063","253,012 |","302,365","338,832","391,421","478,611","564,987","661,983","791,898","875,562","1,157,975","1,330,067","1,697,818","1,723,093","1,758,713","1,780,785","1,964,786","2,141,366","2,343,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supplyf","21,679","29,613 |","35,608","43,562","49,116","57,908","72,457","88,005","104,666","113,687","68,491","67,665","78,833","90,539","77,639","82,966","86,882","90,944","104,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,"21,093","17,819","19,657","22,860","27,565","31,971","37,337","37,964","39,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Construction,"81,160","91,439 |","100,404","110,111","127,692","167,999","216,833","264,104","327,138","366,248","336,381","451,714","621,140","715,455","813,689","830,412","934,787","1,040,876","1,054,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesg,"248,376","267,873 |","389,332","441,950","513,498","569,255","659,597","790,628","949,372","948,425",,,,,"1,117,234","1,193,649","1,270,056","1,404,494","1,537,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Accommodation and food service activities,,,,,,,,,,,"1,459,691","1,746,884","2,191,057","2,370,519","166,608","171,356","185,041","207,053","227,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transportation and storageh,"134,827","158,664 |","173,745","200,702","240,307","287,491","344,909","423,820","530,980","599,934",,,,,"1,292,945","1,302,310","1,425,988","1,516,276","1,643,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Information and communication,,,,,,,,,,,"31,650","37,819","45,560","58,085","61,818","81,140","93,777","95,519","107,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,"92,607","106,462 |","130,465","153,869","178,119","205,322","266,972","328,158","413,322","499,304","342,763","283,544","361,537","390,522","433,665","450,228","527,550","675,010","701,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Real estate activities,...,...,…,…,…,…,…,…,…,…,"307,112","350,090","424,415","512,063","562,687","625,695","690,153","770,244","833,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activities",...,...,…,…,…,…,…,…,…,…,"112,062","135,904","178,781","198,873","210,966","197,247","201,976","224,429","243,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,...,...,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social securityi,"73,728","78,032 |","139,094","142,793","163,474","206,497","257,837","333,758","380,765","445,543",,,,,"563,280","637,473","678,675","746,439","920,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education,...,...,…,…,…,…,…,…,…,…,"658,950","740,119","818,584","889,849","212,148","250,174","256,889","266,318","280,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,...,...,…,…,…,…,…,…,…,…,,,,,"210,304","257,206","266,177","276,134","304,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",...,...,…,…,…,…,…,…,…,…,,,,,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other service activities,"54,381","62,394 |","111,522","124,003","134,814","153,863","175,749","213,483","250,660","293,692","592,095","686,140","838,358","986,633","1,063,962","1,116,902","1,174,954","1,291,805","1,411,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods-
          and services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross value added at basic prices,"1,150,118","1,280,782 |","1,636,037","1,822,467","2,090,841","2,452,784","2,938,680","3,578,688","4,410,682","4,835,293","5,758,103","6,639,104","8,139,568","8,939,255","9,657,194","10,154,839","10,999,589","12,179,886","13,249,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes and duties on imports ,"137,168","153,475 |",0,–,–,-2,–,–,–,–,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes on products,...,…,...,...,...,...,...,...,...,...,"687,833","618,848","639,903","687,833","750,801","906,990","1,160,105","1,354,211","1,360,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subsidies on products,...,…,...,...,...,...,...,...,...,...,"32,269","38,846","47,008","34,962","46,844","111,209","163,610","115,810","159,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,"-23,009","-23,841 |","-24,043","-16,535","-20,732","-30,049","-40,424","-39,054","-105,032","-55,795","-69,775","-72,041","-154,889","-226,087","-236,073","-274,741","-319,652","-352,856","-391,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNI ,"1,264,277","1,410,416 |","1,611,994","1,805,933","2,070,109","2,422,733","2,898,256","3,539,634","4,305,651","4,779,497","6,343,892","7,147,065","8,577,574","9,366,039","10,125,078","10,675,880","11,676,431","13,065,431","14,057,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,17.6,16.8,14.3,13.2,12.5,11.8,11.3,11.7,13.4,12.7,9.5,9.6,8.0,8.2,8.6,8.8,8.1,8.6,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Industry,29.9,30.6,28.0,28.4,28.6,30.2,30.6,29.9,29.4,29.7,29.7,30.4,32.3,31.3,30.4,29.3,30.3,30.1,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Services,52.5,52.6,57.7,58.3,58.8,58.0,58.0,58.4,57.2,57.6,60.9,60.0,59.7,60.5,61.0,61.9,61.6,61.4,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"1,287,285","1,434,257","1,636,037","1,822,468","2,090,841","2,452,782","2,938,680","3,578,688","4,410,682","4,835,293","6,413,668","7,219,105","8,732,462","9,592,125","10,361,151","10,950,621","11,996,083","13,418,287","14,449,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Final consumption expenditure,"1,089,384","1,197,881","1,374,112","1,531,033","1,747,261","2,013,802","2,439,816","2,949,712","3,799,084","3,967,770","4,932,545","5,762,797","6,357,545","7,229,353","7,850,006","8,360,930","9,529,202","10,513,141","11,381,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Household final consumption,"912,528","1,009,528","1,166,027","1,309,411","1,483,192","1,692,765","1,988,378","2,403,167","3,085,296","3,116,221","4,390,215","5,144,879","5,691,714","6,483,669","6,981,947","7,376,176","8,514,456","9,382,467","10,081,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          NPISHs final consumption ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Government final consumption,"176,856","188,353","208,085","221,622","264,069","321,037","451,438","546,545","713,788","851,549","542,330","617,918","665,831","745,684","868,059","984,755","1,014,746","1,130,674","1,300,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Gross capital formation,"327,086","318,208","360,406","394,092","517,077","641,068","803,974","977,193","1,195,260","1,174,647","1,946,707","2,408,573","3,410,510","3,189,325","3,347,638","3,414,556","3,341,171","3,867,947","4,130,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Gross fixed capital formation,"318,748","297,938","328,406","365,194","473,323","573,263","730,910","884,688","1,115,310","1,147,440","1,522,847","1,896,225","2,533,056","2,809,789","2,874,377","2,814,288","3,210,061","3,553,236","3,707,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Changes in inventories,"8,338","20,270","32,000","28,898","43,754","67,805","73,064","92,505","79,950","27,207","377,651","369,934","800,232","305,057","428,615","563,196","43,722","180,073","313,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,"46,209","142,414","77,222","74,479","44,646","37,071","87,388","134,638","109,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Exports of goods and services,"492,301","551,309","571,195","631,549","738,713","793,153","885,381","1,041,935","1,095,679","1,031,289","1,254,021","1,508,565","1,730,467","1,949,158","2,185,039","2,301,065","2,540,049","2,909,720","3,292,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Exports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Exports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
