TUVALU,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
,               Industry,7.4,8.6,8.5,10.7,9.9,8.3,6.0,8.3,13.7,11.9,5.7,9.3,5.8,8.2,8.6,12.7,15.4,17.8,…,,
,               Services,72.2,70.2,71.9,69.9,69.8,69.4,69.9,66.9,62.8,62.9,67.0,64.6,68.3,67.3,68.4,65.9,63.9,62.2,…,,
,,,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at constant 2005 prices,"28,440","28,853","31,078","30,113","29,608","28,389","29,209","31,063","33,267","31,892","30,834","33,139","31,852","33,416","33,809","36,930","39,103","41,425",…,,
,"     Agriculture, forestry, and fishing","6,043","5,912","5,768","5,863","6,001","5,937","6,551","6,624","6,672","6,897","7,779","7,695","7,421","7,218","7,179","7,051","7,255","7,310",…,,
,     Mining and quarrying,35,34,34,34,35,36,38,39,39,39,39,39,38,37,36,35,34,34,…,,
,     Manufacturing,215,231,274,366,285,236,259,236,324,317,332,339,360,273,302,339,349,321,…,,
,"     Electricity, gas, steam, and air-conditioning supply",334,364,468,463,496,512,513,515,521,479,562,531,519,541,548,587,564,553,…,,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,…,,
,     Construction,"1,485","1,543","2,019","2,255","1,903","1,441","1,826","3,025","4,617","3,922","1,846","3,054","2,024","3,280","3,006","4,360","5,447","6,838",…,,
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"3,150","2,752","2,959","2,299","2,436","2,522","2,221","2,888","2,856","1,920","2,114","2,380","2,255","2,140","2,286","2,429","2,367","2,531",…,,
,     Accommodation and food service activities,366,357,395,465,420,314,264,282,364,386,422,438,501,503,421,656,681,724,…,,
,     Transportation and storage,"1,053","1,066","1,089","1,119","1,130","1,137","1,116","1,130","1,124","1,144","1,146","1,334","1,295","1,280","1,233","1,356","1,406","1,416",…,,
,     Information and communication,"1,019",867,"1,423","1,141","1,569","1,050",835,650,535,615,648,623,434,450,519,622,809,920,…,,
,     Financial and insurance activities,"3,473","3,344","3,858","3,442","2,886","2,541","2,743","2,649","3,081","3,139","3,127","3,367","3,369","3,257","3,414","3,541","3,523","3,290",…,,
,     Real estate activities,"1,836","1,805","1,770","1,773","1,849","1,863","1,994","2,049","2,051","2,046","2,040","2,006","1,966","1,943","1,893","1,835","1,805","1,807",…,,
,"     Professional, scientific, and technical activities",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Administrative and support service activities,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Public administration and defense; compulsory social security,"3,932","4,228","4,450","4,607","4,560","4,589","4,731","4,756","4,955","5,041","5,109","5,078","5,284","5,374","5,723","6,155","6,506","6,734",…,,
,     Education,"2,038","2,323","2,457","2,454","2,445","2,473","2,448","2,475","2,501","2,621","2,484","2,756","2,776","2,952","2,943","3,144","3,087","3,113",…,,
,     Human health and social work activities,"1,259","1,289","1,317","1,474","1,494","1,483","1,528","1,526","1,669","1,710","1,859","1,808","1,732","1,751","1,739","1,896","1,940","2,147",…,,
,"     Arts, entertainment, and recreation",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Other service activities,–,–,490,634,701,565,574,439,534,646,754,"1,133","1,348","1,319","1,298","1,365","1,340","1,530",…,,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,Imputed bank service charges (constant prices),"1,190","1,172","1,419","1,693","1,575","1,120",918,800,"1,176","1,265","1,415","1,550","1,572","1,211","1,220","1,276",880,935,…,,
,Taxes less subsidies on production and imports,"3,391","3,911","3,728","3,418","2,974","2,810","2,482","2,578","2,597","2,235","1,989","2,110","2,102","2,307","2,490","2,834","2,870","3,092",…,,
,,,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,,,
,               GDP,...,1.5,7.7,-3.1,-1.7,-4.1,2.9,6.3,7.1,-4.1,-3.3,7.5,-3.9,4.9,1.2,9.2,5.9,5.9,…,,
,               Agriculture,...,-2.2,-2.4,1.6,2.4,-1.1,10.3,1.1,0.7,3.4,12.8,-1.1,-3.6,-2.7,-0.5,-1.8,2.9,0.8,…,,
,               Industry,...,5.0,28.6,11.6,-12.8,-18.2,18.5,44.7,44.2,-13.5,-41.6,42.5,-25.8,40.5,-5.8,36.7,20.2,21.1,…,,
,               Services,...,-0.5,12.1,-4.0,0.4,-4.9,-0.4,2.1,4.4,-2.1,2.3,6.2,0.2,0.0,2.4,7.1,2.0,3.2,…,,
,,,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (A$),,,,,,,,,,,,,,,,,,,,,
,Per capita GDP,"2,501","2,681","2,990","2,924","2,947","2,760","2,914","2,901","3,242","3,112","3,070","3,504","3,332","3,523","3,695","4,174","4,704","5,006",…,,
,,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages ,,,,,,,,,,,,,,,,,,,,,
,Agriculture;  2004–2006 = 100,94.32,93.21,97.47,99.59,98.82,100.25,100.93,104.51,104.21,105.48,104.15,105.02,106.57,108.99,108.60,109.60,110.72,…,…,,
,,,,,,,,,,,,,,,,,,,,,,
,ENERGY  annual values,,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh '000),,,,,,,,,,,,,,,,,,,,,
,     Consumption,"2,759","3,005","3,859","3,822","4,121","4,226","4,235",...,"4,000","5,000","5,000","5,000","5,000","5,000","5,000","7,000","8,000",...,...,,
,,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES  period averages; November 2010 = 100,,,,,,,,,,,,,,,,,,,,,
,Consumer (national),75.4,76.5,80.4,82.8,84.7,87.4,91.1,93.2,102.9,102.6,100.7,101.2,102.7,104.7,105.9,109.2,113.1,117.7,120.2,,
,          Food and nonalcoholic beverages,65.5,68.9,71.6,76.8,79.0,83.4,87.1,90.0,102.9,107.8,101.5,102.3,102.5,102.6,103.2,107.4,111.1,116.1,120.0,,
,"          Alcoholic beverages, tobacco, and narcotics",79.7,82.4,79.7,78.7,82.1,85.9,86.3,87.8,99.5,103.7,101.8,97.8,96.5,102.9,100.1,108.7,118.5,121.2,124.6,,
,          Clothing and footwear,76.9,70.5,83.3,85.9,87.5,88.8,98.5,122.5,119.0,102.6,100.1,91.9,86.8,92.3,93.1,94.7,94.5,95.2,95.2,,
,"          Housing, water, electricity, gas, and other fuelsa",71.2,72.1,85.4,89.6,90.6,93.4,96.6,95.2,104.4,97.7,99.3,100.6,102.0,104.0,106.6,107.1,110.3,110.3,111.9,,
,"          Furnishings, household equipment, and routine household maintenance",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
,          Health,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
,          Transport,75.6,79.8,79.9,77.4,79.6,78.9,88.7,91.3,119.1,104.3,102.6,105.2,110.1,115.4,120.2,125.1,126.1,138.2,144.5,,
,          Communication,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
,          Recreation and culture,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
,          Education,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
,          Restaurants and hotels,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
,          Miscellaneous goods and servicesb,114.0,100.3,108.1,102.2,101.6,102.4,102.9,102.2,87.1,88.4,97.7,101.4,108.6,111.0,111.2,113.6,118.0,128.5,125.5,,
,,,,,,,,,,,,,,,,,,,,,,
,Implicit GDP deflator;   2005 = 100,83.9,89.0,92.0,94.0,99.3,100.0,104.1,103.9,107.5,108.3,111.0,111.9,112.8,115.0,120.7,126.3,136.0,138.3,…,,
,,,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,,,
,               Consumer price index,3.9,1.5,5.1,2.9,2.4,3.2,4.2,2.3,10.4,-0.3,-1.9,0.5,1.4,2.0,1.1,3.2,3.5,4.1,2.2,,
,               Food price Index,1.1,5.3,3.9,7.4,2.8,5.5,4.4,3.4,14.4,4.7,-5.9,0.8,0.2,0.1,0.6,4.0,3.4,4.5,3.3,,
,               Implicit GDP deflator,...,6.1,3.4,2.2,5.7,0.7,4.1,-0.1,3.5,0.7,2.5,0.8,0.8,2.0,4.9,4.6,7.7,1.7,…,,
,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE    fiscal year ending 31 December (A$ '000) ,,,,,,,,,,,,,,,,,,,,,
,Central Government,,,,,,,,,,,,,,,,,,,,,
,     Revenue,…,…,…,…,…,…,…,…,…,…,…,…,"37,834","47,376","57,299","85,830","85,923",…,…,,
,          Taxes,…,…,…,…,…,…,…,…,…,…,…,…,"10,222","13,346","12,270","15,419","14,913",…,…,,
,"               Taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,                    Payable by individuals,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,                    Payable by corporations and other enterprises,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,"                    Other taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,               Taxes on payroll and workforce,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,               Taxes on property,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,               Taxes on goods and services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,               Taxes on international trade and transaction,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,               Other taxes,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,          Social contributions,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,          Grants (revenue),…,…,…,…,…,…,…,…,…,…,…,…,"16,107","13,471","26,245","37,534","29,940",…,…,,
,          Other revenue,…,…,…,…,…,…,…,…,…,…,…,…,"11,505","20,559","18,784","32,877","41,070",…,…,,
,     Expense,…,…,…,…,…,…,…,…,…,…,…,…,"33,061","35,860","43,529","54,582","64,850",…,…,,
,          Compensation of employees,…,…,…,…,…,…,…,…,…,…,…,…,"12,527","13,226","15,562","17,017","19,855",…,…,,
,          Use of goods and services,…,…,…,…,…,…,…,…,…,…,…,…,"14,782","14,654","17,570","27,545","30,448",…,…,,
,          Consumption of fixed capital,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,          Interest,…,…,…,…,…,…,…,…,…,…,…,…,113,148,531,94,98,…,…,,
,          Subsidies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,          Grants (expense),…,…,…,…,…,…,…,…,…,…,…,…,"2,330","4,939","5,848","5,139","9,729",…,…,,
,          Social benefits,…,…,…,…,…,…,…,…,…,…,…,…,231,227,311,315,435,…,…,,
,          Other expense,…,…,…,…,…,…,…,…,…,…,…,…,"3,078","2,666","3,707","4,471","4,285",…,…,,
,Net operating balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,Gross operating balance,…,…,…,…,…,…,…,…,…,…,…,…,"4,773","11,516","13,770","31,248","21,073",…,…,,
,Transactions in Nonfinancial Assets,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,Net/gross investment in nonfinancial assets,…,…,…,…,…,…,…,…,…,…,…,…,636,"1,300","1,942","12,590","18,493",…,…,,
,     Fixed assets,…,…,…,…,…,…,…,…,…,…,…,…,636,"1,300","1,942","12,590","18,493",…,…,,
,     Inventories,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Nonproduced assets,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,Expenditure,…,…,…,…,…,…,…,…,…,…,…,…,"33,697","37,160","45,471","67,172","83,343",…,…,,
,Net lending/Net borrowing,…,…,…,…,…,…,…,…,…,…,…,…,"4,137","10,216","11,828","18,658","2,580",…,…,,
,Primary balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,Transactions in Financial Assets and Liabilities (Financing),…,…,…,…,…,…,…,…,…,…,…,…,"4,137","12,526","12,161","19,117","2,138",…,…,,
,Net acquisition of financial assets,…,…,…,…,…,…,…,…,…,…,…,…,"4,079","12,461","14,660","15,675",182,…,…,,
,          Domestic,…,…,…,…,…,…,…,…,…,…,…,…,"4,086","12,484","14,757","15,215","-4,531",…,…,,
,          External,…,…,…,…,…,…,…,…,…,…,…,…,-7,-23,-98,460,"4,713",…,…,,
,     Net incurrence of liabilities,…,…,…,…,…,…,…,…,…,…,…,…,-58,-66,"2,499","-3,442","-1,956",…,…,,
,          Domestic,…,…,…,…,…,…,…,…,…,…,…,…,314,379,"2,976","-2,901","-1,421",…,…,,
,          External,…,…,…,…,…,…,…,…,…,…,…,…,-372,-445,-477,-541,-535,…,…,,
,,,,,,,,,,,,,,,,,,,,,,
,     Government Finance   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,
,     Total revenue,…,…,…,…,…,…,…,…,…,…,…,…,105.3,123.3,140.4,184.0,161.5,…,…,,
,     Tax revenue ,…,…,…,…,…,…,…,…,…,…,…,…,28.5,34.7,30.1,33.1,28.0,…,…,,
,     Taxes payable by individuals ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Taxes payable by corporations and other enterprises ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Total expenditure,…,…,…,…,…,…,…,…,…,…,…,…,92.0,93.3,106.7,117.0,121.9,…,…,,
,     Net lending/net borrowing ,…,…,…,…,…,…,…,…,…,…,…,…,11.5,26.6,29.0,40.0,4.8,…,…,,
,     Primary balance ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, Central Government",,,,,,,,,,,,,,,,,,,,,
,     Total expenditure,…,…,…,…,…,…,…,…,…,…,…,…,"29,196","33,358","41,777","58,024","71,102",…,…,,
,          General public services,…,…,…,…,…,…,…,…,…,…,…,…,"8,117","10,947","15,697","15,538","24,278",…,…,,
,          Defense,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,…,…,,
,          Public order and safety,…,…,…,…,…,…,…,…,…,…,…,…,"1,141","1,027","1,860","1,710","2,628",…,…,,
,          Economic affairs,…,…,…,…,…,…,…,…,…,…,…,…,"7,478","7,526","8,159","11,844","11,277",…,…,,
,          Environmental protection,…,…,…,…,…,…,…,…,…,…,…,…,180,286,479,541,"8,643",…,…,,
,          Housing and community amenities,…,…,…,…,…,…,…,…,…,…,…,…,"1,177","1,339","1,586","4,073","2,945",…,…,,
,          Health,…,…,…,…,…,…,…,…,…,…,…,…,"3,038","3,227","3,867","4,384","5,119",…,…,,
,"          Recreation, culture, and religion",…,…,…,…,…,…,…,…,…,…,…,…,116,198,297,573,527,…,…,,
,          Education,…,…,…,…,…,…,…,…,…,…,…,…,"5,749","6,190","6,846","10,810","10,853",…,…,,
,          Social protection,…,…,…,…,…,…,…,…,…,…,…,…,"2,200","2,618","2,986","8,551","4,832",…,…,,
,,,,,,,,,,,,,,,,,,,,,,
,     Expenditure by Function  (% of GDP at current prices),,,,,,,,,,,,,,,,,,,,,
,     Education,…,…,…,…,…,…,…,…,…,…,…,…,16.0,16.1,16.8,23.2,20.4,…,…,,
,     Health,…,…,…,…,…,…,…,…,…,…,…,…,8.5,8.4,9.5,9.4,9.6,…,…,,
,     Social Protection,…,…,…,…,…,…,…,…,…,…,…,…,6.1,6.8,7.3,18.3,9.1,…,…,,
,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year (A$ '000),,,,,,,,,,,,,,,,,,,,,
,"Exports, fob",17,32,276,147,182,80,68,110,238,385,577,243,40,44,268,283,306,273,…,,
,"Imports, cif","8,883","6,725","20,362","24,043","15,499","16,908","17,019","18,679","31,468","17,951","24,305","26,350","20,229","21,430","24,561","49,037","31,596","34,656",…,,
,     Trade balance,"-8,866","-6,693","-20,086","-23,896","-15,317","-16,828","-16,952","-18,569","-31,229","-17,566","-23,728","-26,107","-20,189","-21,386","-24,293","-48,754","-31,289","-34,383",…,,
,,,,,,,,,,,,,,,,,,,,,,
,              External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,,
,               Exports,-90.5,88.9,769.2,-46.7,23.4,-55.7,-15.8,62.3,116.9,61.3,50.0,-57.9,-83.7,11.9,504.9,5.6,8.4,-10.8,…,,
,               Imports,-28.7,-24.3,202.8,18.1,-35.5,9.1,0.7,9.8,68.5,-43.0,35.4,8.4,-23.2,5.9,14.6,99.7,-35.6,9.7,…,,
,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,
,"Exports, total",0.4,0.5,1.2,2.1,0.6,0.9,1.3,1.9,1.2,0.7,1.6,0.9,10.5,1.8,2.9,2.7,1.2,1.3,10.4,,
,1. Philippines,…,…,…,0.2,…,…,…,…,…,…,…,…,…,…,…,…,…,…,5.4,,
,2. Ecuador,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,–,3.4,,
,3. United Kingdom,0.0,0.2,0.6,0.8,0.1,0.0,…,–,–,…,–,0.0,0.0,…,1.0,0.5,0.0,0.0,0.1,,
,4. India,…,…,…,–,…,–,…,1.1,0.3,0.1,…,…,0.0,…,1.3,0.0,…,0.1,…,,
,5. Mexico,…,…,–,…,0.0,–,–,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.5,,
,"6. China, People's Republic of",…,…,…,…,…,…,0.1,0.1,…,0.0,–,–,…,–,–,0.9,0.0,0.0,0.0,,
,7. Nigeria,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,…,…,0.2,0.2,…,0.2,0.2,0.2,0.2,,
,8. United States,0.0,0.0,0.0,…,0.0,…,…,…,…,0.1,…,0.0,0.0,0.0,0.1,0.2,0.1,0.2,0.1,,
,9. Bosnia and Herzegovina,…,…,…,–,–,0.1,0.0,–,0.0,…,…,–,…,–,–,–,0.3,0.2,–,,
,10. Fiji,…,…,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.1,,
,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total",2.6,3.6,9.4,15.1,11.6,13.0,14.8,15.0,27.0,43.5,19.7,21.3,51.9,62.5,58.0,44.5,36.4,45.2,41.4,,
,1. Singapore,0.0,0.0,0.3,0.3,0.3,2.3,0.3,0.1,0.1,0.1,0.1,0.1,30.5,46.9,38.2,16.4,19.4,14.8,23.0,,
,2. Australia,1.0,0.7,3.2,4.8,4.7,4.4,4.9,5.2,4.8,4.2,3.2,3.0,2.7,2.9,2.7,8.4,3.1,4.8,2.8,,
,3. New Zealand,0.3,0.5,1.1,1.4,1.6,1.3,2.1,2.4,4.6,1.9,2.0,3.6,2.0,1.9,6.9,3.7,3.1,3.4,1.9,,
,4. Fiji,…,1.2,3.2,4.4,2.7,2.5,2.4,2.4,6.3,3.5,1.5,1.6,1.7,1.6,1.9,4.3,2.3,4.3,3.0,,
,5. Japan,0.2,0.2,0.6,0.1,0.6,0.5,1.9,2.3,4.3,7.3,5.8,4.1,2.1,4.2,1.8,2.4,2.0,2.2,2.5,,
,6. United States,0.0,0.0,0.0,…,0.2,0.0,0.0,…,0.2,0.2,1.0,1.4,1.2,1.1,1.2,1.2,2.3,1.7,2.7,,
,"7. Korea, Republic of",…,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.5,0.6,0.4,0.5,0.5,0.5,0.5,5.1,0.5,,
,8. South Africa,…,…,0.0,…,…,…,…,…,…,…,0.2,0.4,1.4,0.4,0.6,1.0,1.0,2.1,0.6,,
,9. Indonesia,…,0.0,0.0,0.1,0.1,0.2,1.1,0.4,0.4,0.4,1.2,1.0,0.5,0.5,1.1,0.4,0.4,0.5,0.4,,
,10. Chile,0.0,0.0,…,…,0.0,…,0.0,…,…,0.1,…,…,…,0.0,…,…,…,2.7,…,,
,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSc    calendar year ($ million),,,,,,,,,,,,,,,,,,,,,
,Current account balance,7.5,-3.8,1.7,-11.7,...,...,-0.4,-0.5,-3.9,7.5,-1.2 |,-14.3,6.8,-2.6,1.1,-18.6,9.1,2.6,…,,
,Balance on goods,-9.0,-9.3,-14.2,-18.5,...,...,-9.3,-11.6,-15.4,-12.5,-17.1 |,-7.6,-1.6,-16.7,-17.3,-42.4,-24.1,-26.8,…,,
,     Exports,0.3,0.2,0.2,0.3,...,...,0.5,0.4,0.5,0.5,0.5 |,10.5,20.6,0.4,0.4,0.4,0.4,0.4,…,,
,     Imports,-9.3,-9.5,-14.4,-18.8,...,...,-9.6,-12.0,-15.9,-12.9,-17.5 |,18.2,22.2,17.1,17.7,42.4,24.5,27.2,…,,
,Balance on services,-7.1,-6.1,-4.9,-6.7,...,...,1.3,3.2,-1.6,4.6,-1.2 |,-31.2,-23.2,-27.1,-27.2,-33.3,-29.3,-35.1,…,,
,     Credit,4.4,3.6,3.9,4.8,...,...,18.6,19.6,24.6,24.7,23.6 |,4.3,4.5,3.3,3.3,4.6,5.1,5.3,…,,
,     Debit,-11.4,-9.7,-8.8,-11.5,...,...,-17.3,-16.4,-26.1,-20.1,-24.9 |,35.5,27.5,30.4,30.5,37.8,34.4,40.0,…,,
,Balance on primary income,...,...,...,...,...,...,...,...,...,...,…,9.7,9.5,28.2,23.9,29.1,36.0,29.9,…,,
,     Credit,...,...,...,...,...,...,...,...,...,...,…,10.9,14.2,28.6,24.3,29.1,36.0,30.7,…,,
