ARMENIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Labor force participation rate   (%),61.4,58.7 |,62.7,61.4,58.6,57.7,55.9,54.5 |,59.5,59.2,61.2,63.0,62.7,63.4 |,63.1,62.5,61.0,60.9,63.6*
,     Male,...,...,...,...,...,...,...,... |,70.8,69.0,72.3,72.7,72.1,72.8 |,73.2,72.6,71.4,70.7,...
,     Female,...,...,...,...,...,...,...,... |,50.4,51.0,52.2,55.3,55.2,55.9 |,55.2,54.3,52.5,52.8,...
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSf   calendar year (AMD billion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"1,031","1,176","1,362","1,625","1,908","2,243","2,656","3,149","3,568","3,142","3,460","3,778","4,001","4,556","4,829","5,044","5,067","5,564","6,005"
,"     Agriculture, forestry, and fishing",240,301,320,350,432,428,497,575,581,531,588,768,764,840,873,869,831,834,822
,     Mining and quarrying,8,10,16,22,62,72,69,71,55,52,89,103,114,103,103,108,131,186,173
,     Manufacturing,174,184,206,249,259,304,288,295,304,271,335,399,398,441,467,464,521,592,679
,"     Electricity, gas, steam, and air-conditioning supply",78,79,86,94,101,113,100,105,95,90,98,131,154,183,188,231,227,227,221
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,12,13,16,15,14,13,14,19,24,28,29
,     Construction,105,114,172,255,297,440,629,773,903,584,599,491,498,477,449,474,393,404,398
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,102,125,151,185,221,255,302,343,412,396,445,477,509,549,570,551,499,615,681
,     Accommodation and food service activities,3,5,5,6,7,9,8,12,15,20,25,27,36,44,55,60,62,78,110
,     Transportation and storage,75,82,84,96,114,134,168,218,126,104,117,117,131,120,145,126,143,169,194
,     Information and communication,,,,,,,,,133,140,133,135,146,151,162,171,179,186,194
,     Financial and insurance activities,19,22,21,24,31,39,55,80,122,124,126,152,181,183,207,196,222,273,319
,     Real estate activities,46,50,53,59,67,72,98,118,77,72,73,101,115,371,404,438,435,436,476
,"     Professional, scientific, and technical activities",,,,,,,,,34,48,47,44,41,46,54,58,61,61,69
,     Administrative and support service activities,,,,,,,,,26,31,34,38,41,38,41,42,45,50,58
,     Public administration and defense; compulsory social security,34,35,36,43,54,62,68,80,96,120,128,142,150,184,208,245,251,263,252
,     Education,35,38,43,49,58,64,75,89,97,113,120,121,126,130,137,148,154,151,154
,     Human health and social work activities,13,15,32,37,42,55,67,78,96,109,111,139,149,175,186,198,207,231,255
,"     Arts, entertainment, and recreation",,,,,,,,,20,24,30,37,55,61,89,163,233,256,339
,     Other service activities,21,18,21,27,28,30,35,40,14,17,20,23,29,29,30,32,36,52,56
,"     Activities of households as employers; undifferentiated goods- and
          services-producing activities of households for own use",,,,,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Less: Financial intermediation services indirectly measured,16,17,15,18,24,26,28,44,55,51,64,96,109,92,100,89,97,103,117
,Gross value added at basic prices,937,"1,062","1,231","1,477","1,748","2,050","2,431","2,834","3,163","2,809","3,071","3,366","3,542","4,049","4,282","4,508","4,558","4,992","5,366"
,Taxes less subsidies on products,94,114,132,148,160,193,225,316,405,333,389,412,458,506,546,536,509,572,639
,Net factor income from abroad,-13,-1,-7,-18,57,61,90,95,144,60,127,208,253,280,225,212,108,...,...
,GNI,"1,019","1,174","1,356","1,607","1,965","2,303","2,746","3,244","3,712","3,202","3,587","3,986","4,253","4,835","5,054","5,255","5,175",...,...
,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,25.1,27.9,25.7,23.4,24.4,20.6,20.2,20.0,18.1,18.6,18.8,22.2,20.9,20.3,19.9,18.9,17.8,16.4,15.0
,               Industry,38.3,35.8,38.5,41.5,40.6,44.7,44.1,43.2,42.6,35.3,36.3,32.9,32.2,29.4,27.8,28.2,27.8,28.2,27.4
,               Services,36.5,36.2,35.8,35.1,35.1,34.6,35.6,36.8,39.4,46.1,45.0,44.9,46.8,50.3,52.2,52.9,54.3,55.4,57.6
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"1,031","1,176","1,362","1,625","1,908","2,243","2,656","3,149","3,568","3,142","3,460","3,778","4,001","4,556","4,829","5,044","5,067","5,564","6,005"
,     Final consumption expenditure,"1,123","1,233","1,350","1,519","1,768","1,930","2,187","2,576","2,919","2,944","3,290","3,649","4,048","4,515","4,714","4,599","4,599","5,139","5,565"
,          Household final consumption,998,"1,097","1,207","1,350","1,570","1,690","1,916","2,252","2,549","2,518","2,829","3,144","3,520","3,951","4,110","3,916","3,893","4,415","4,761"
,          NPISHs final consumption ,4,3,7,3,3,3,3,4,4,7,8,16,18,20,21,22,24,38,39
,          Government final consumption,122,133,136,166,194,237,268,320,365,419,452,488,510,544,584,661,682,685,766
,     Gross capital formation,192,232,295,394,475,683,954,"1,190","1,458","1,089","1,137","1,031","1,016","1,014","1,008","1,046",913,"1,073","1,345"
,          Gross fixed capital formation,190,208,287,374,455,668,944,"1,163","1,419","1,144","1,157",986,943,966,965,"1,040",880,982,"1,004"
,               Public,26,57,47,78,78,93,134,145,149,175,152,182,184,214,223,263,265,...,...
,               Private,164,151,240,296,378,575,810,"1,018","1,270",969,"1,004",803,759,752,743,777,614,...,...
,          Changes in inventories,2,24,8,20,19,15,10,27,40,-55,-19,45,74,48,42,6,33,91,340
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,241,299,400,522,567,646,621,604,537,486,721,898,983,"1,292","1,379","1,499","1,680","2,077","2,253"
,          Exports of goods,...,...,...,...,...,...,...,407,340,276,438,589,652,670,706,776,908,"1,151","1,256"
,          Exports of services,...,...,...,...,...,...,...,197,197,211,283,308,331,622,674,723,772,927,996
,     Less: Imports of goods and services,521,543,635,813,864,970,"1,043","1,233","1,451","1,351","1,568","1,789","1,974","2,196","2,272","2,112","2,167","2,754","3,176"
,          Imports of goods,...,...,...,...,...,...,...,948,"1,154","1,036","1,195","1,364","1,503","1,526","1,558","1,343","1,361","1,814","2,108"
,          Imports of services,...,...,...,...,...,...,...,285,297,315,373,425,471,670,713,768,806,940,"1,068"
,     Statistical discrepancy,-4,-46,-48,2,-37,-47,-63,12,105,-27,-119,-11,-73,-70,-1,11,43,30,19
,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumptiong,97.1,93.6,89.1,83.3,82.5,75.5,72.3,71.6,71.6,80.4,82.0,83.7,88.4,87.2,85.5,78.1,77.3,80.0,79.9
,               Government final consumption,11.8,11.3,10.0,10.2,10.2,10.6,10.1,10.2,10.2,13.3,13.1,12.9,12.7,11.9,12.1,13.1,13.5,12.3,12.8
,               Gross capital formation,18.6,19.8,21.7,24.3,24.9,30.5,35.9,37.8,40.9,34.7,32.9,27.3,25.4,22.3,20.9,20.7,18.0,19.3,22.4
,                    Changes in inventories,0.2,2.1,0.6,1.3,1.0,0.7,0.4,0.8,1.1,-1.7,-0.6,1.2,1.8,1.1,0.9,0.1,0.7,1.6,5.7
,               Exports of goods and services,23.4,25.5,29.4,32.2,29.7,28.8,23.4,19.2,15.0,15.5,20.8,23.8,24.6,28.4,28.6,29.7,33.1,37.3,37.5
,               Imports of goods and services,50.5,46.1,46.6,50.0,45.3,43.2,39.3,39.2,40.7,43.0,45.3,47.4,49.3,48.2,47.0,41.9,42.8,49.5,52.9
,               Statistical discrepancy,-0.4,-3.9,-3.5,0.1,-2.0,-2.1,-2.4,0.4,2.9,-0.8,-3.5,-0.3,-1.8,-1.5,-0.0,0.2,0.9,0.5,0.3
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at previous year's market prices,"1,046","1,130","1,353","1,554","1,795","2,172","2,539","3,021","3,368","3,063","3,211","3,621","4,049","4,405","4,722","4,985","5,052","5,449","5,856"
,"     Agriculture, forestry, and fishing",264,269,313,334,401,480,431,549,594,616,446,671,841,822,891,988,825,788,764
,     Mining and quarrying,,9,12,18,29,56,72,71,74,59,64,102,119,122,96,161,114,164,159
,     Manufacturing,225,191,216,241,242,282,302,293,298,288,305,377,416,433,468,441,516,583,657
,"     Electricity, gas, steam, and air-conditioning supply",...,73,80,90,101,108,101,106,110,84,80,117,139,159,155,198,231,236,248
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,11,15,16,15,15,15,20,24,26,28
,     Construction,106,111,161,250,294,379,606,743,860,528,604,527,515,464,455,435,407,404,408
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,103,119,151,171,203,251,287,329,370,390,410,466,499,524,567,523,579,602,674
,     Accommodation and food service activities,...,4,5,6,6,9,8,12,14,19,24,26,33,43,52,57,62,78,106
,     Transportation and storage,75,86,81,91,114,134,157,205,237,90,118,122,129,115,144,122,147,164,189
,     Information and communication,,,,,,,,,,147,144,134,148,162,166,176,181,188,194
,     Financial and insurance activities,…,21,20,22,30,39,52,79,106,120,137,156,182,184,208,199,214,263,321
,     Real estate activities,…,48,53,57,65,71,96,114,117,61,75,75,111,356,373,406,393,434,452
,"     Professional, scientific, and technical activities",,,,,,,,,,44,47,41,36,45,52,53,57,60,69
,     Administrative and support service activities,,,,,,,,,,27,31,36,38,36,41,40,45,50,56
,     Public administration and defense; compulsory social security,195,36,37,42,55,64,69,72,74,90,119,138,139,169,197,224,246,258,240
,     Education,...,37,42,48,58,63,67,77,84,99,119,124,123,124,128,138,149,149,152
,     Human health and social work activities,...,15,34,36,37,55,62,71,72,90,109,119,139,154,178,186,197,230,242
,"     Arts, entertainment, and recreation",,,,,,,,,,21,29,35,56,60,86,153,209,261,337
,     Other service activities,...,16,30,25,31,28,34,39,37,14,20,23,28,28,29,32,34,52,55
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",,,,,,0,0,0,1,1,1,2,2,3,3,3,3,3,3
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Less: Financial intermediation services indirectly measured,18,17,15,18,23,26,27,43,48,49,60,87,111,89,97,87,97,102,114
,Gross value added at basic prices,949,"1,020","1,223","1,411","1,643","1,993","2,317","2,715","2,999","2,749","2,834","3,217","3,595","3,931","4,206","4,466","4,536","4,891","5,238"
,Taxes less subsidies on products,97,110,130,142,151,180,222,306,369,314,377,404,453,475,516,519,516,558,618
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,               Growth of Outputh   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,5.9,9.6,15.1,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2
,               Agriculture,-1.0,12.2,3.8,4.2,14.6,11.2,0.5,10.4,3.3,5.9,-16.0,14.0,9.5,7.6,6.1,13.2,-5.0,-5.1,-8.5
,               Industry,12.8,5.2,21.3,24.7,7.4,14.8,16.6,11.7,7.8,-29.2,5.7,-0.0,5.7,0.5,-2.3,2.8,-0.3,9.0,4.4
,               Services,3.1,10.2,16.5,11.5,14.2,14.7,15.5,13.8,5.0,-4.3,4.7,6.1,6.9,2.8,6.7,1.0,3.4,10.4,9.4
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at previous year's market prices,"1,046","1,130","1,353","1,554","1,795","2,172","2,539","3,021","3,368","3,063","3,211","3,621","4,049","4,405","4,722","4,985","5,052","5,449","5,856"
,     Final consumption expenditure,"1,152","1,204","1,334","1,453","1,658","1,942","2,103","2,455","2,692","2,802","3,058","3,374","3,930","4,253","4,548","4,423","4,544","5,081","5,401"
,          Household final consumption,"1,027","1,074","1,191","1,294","1,470","1,708","1,830","2,170","2,373","2,436","2,615","2,897","3,431","3,733","3,991","3,791","3,874","4,376","4,627"
,          NPISHs final consumption ,3,3,7,3,3,3,3,3,4,6,8,16,18,19,20,21,25,38,38
,          Government final consumption,121,127,136,155,184,231,270,282,314,361,435,461,481,501,537,611,645,668,736
,     Gross capital formation,191,224,285,386,463,602,903,"1,142","1,340","1,008","1,095","1,078","1,036",982,984,995,955,"1,053","1,361"
,          Gross fixed capital formation,188,200,277,366,445,588,894,"1,115","1,302","1,059","1,111","1,022",967,936,945,989,921,965,"1,026"
,               Public,26,55,45,76,76,82,126,139,136,162,146,189,189,207,218,249,278,…,…
,               Private,163,145,232,290,369,506,767,976,"1,165",897,964,833,778,729,728,740,643,…,…
,          Changes in inventories,2,23,8,20,18,14,10,26,39,-51,-16,57,69,46,39,6,33,88,335
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Exports of goods and services,244,306,407,516,513,658,599,599,525,481,615,827,973,"1,278","1,375","1,447","1,786","1,993","2,172"
,          Exports of goods,...,...,...,...,...,...,...,409,342,293,371,519,654,664,716,795,962,"1,098","1,228"
,          Exports of services,...,...,...,...,...,...,...,190,184,188,244,308,319,614,659,652,824,895,944
,     Less: Imports of goods and services,527,555,645,803,789,988,"1,006","1,178","1,323","1,173","1,524","1,546","1,739","2,023","2,173","1,928","2,272","2,700","3,105"
,          Imports of goods,...,...,...,...,...,...,...,933,"1,059",879,"1,175","1,155","1,288","1,389","1,503","1,235","1,507","1,802","2,081"
,          Imports of services,...,...,...,...,...,...,...,245,264,294,349,391,451,634,670,693,765,898,"1,024"
,     Statistical discrepancy,-13,-49,-27,2,-50,-42,-60,4,134,-54,-33,-112,-151,-84,-13,48,40,21,27
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demandh   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumptiong,8.3,7.5,8.9,6.9,8.9,8.8,8.2,13.2,5.4,-4.4,3.9,2.7,9.1,0.9,1.0,-7.7,-1.0,12.4,4.8
,               Government final consumption,2.8,4.3,2.2,14.1,11.0,19.0,14.0,5.2,-1.9,-1.2,3.9,1.9,-1.4,7.6,-1.2,4.7,-2.4,-2.1,7.4
,               Gross capital formation,5.2,16.3,22.5,30.7,17.5,26.9,32.2,19.7,12.6,-30.9,0.5,-5.2,0.5,-9.1,-3.0,-1.2,-8.7,15.4,26.8
,               Exports of goods and services,19.0,27.0,35.8,29.1,-1.7,15.9,-7.3,-3.5,-13.1,-10.4,26.5,14.7,8.4,8.6,6.4,4.9,19.1,18.7,4.6
,               Imports of goods and services,7.2,6.4,18.9,26.5,-2.9,14.3,3.8,13.0,7.3,-19.2,12.8,-1.4,-2.8,-2.1,-1.0,-15.1,7.6,24.6,12.7
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,192,232,295,394,475,683,954,"1,190","1,458","1,089","1,137","1,031","1,016","1,014","1,008","1,046",913,"1,073","1,345"
,Gross national saving,-7,39,109,218,427,613,847,991,"1,142",554,508,606,475,659,649,927,842,...,...
,     Gross domestic saving,-92,-57,13,106,140,313,469,573,649,198,171,129,-47,41,114,444,469,426,440
,     Net factor income from abroad,-13,-1,-7,-18,57,61,90,95,144,60,127,208,253,280,225,212,108,...,...
,     Net current transfers from abroad,98,98,103,130,229,240,289,323,348,296,210,269,269,338,310,271,266,...,...
,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,-8.9,-4.8,0.9,6.5,7.4,14.0,17.7,18.2,18.2,6.3,4.9,3.4,-1.2,0.9,2.4,8.8,9.2,7.7,7.3
,               Gross national saving,-0.6,3.3,8.0,13.4,22.4,27.3,31.9,31.5,32.0,17.6,14.7,16.0,11.9,14.5,13.4,18.4,16.6,...,...
,               Gross capital formation,18.6,19.8,21.7,24.3,24.9,30.5,35.9,37.8,40.9,34.7,32.9,27.3,25.4,22.3,20.9,20.7,18.0,19.3,22.4
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (AMD '000),,,,,,,,,,,,,,,,,,,
,Per capita GDP ,320.2,366.1,425.8,510.5,602.8,712.8,849.4,"1,013.5","1,155.9","1,024.7","1,136.4","1,247.7","1,322.9","1,507.5","1,602.2","1,678.6","1,693.4","1,867.7","2,022.6"
,Per capita GNI,316.3,365.6,423.7,504.9,621.0,732.1,878.0,"1,044.1","1,202.6","1,044.3","1,178.0","1,316.4","1,406.5","1,600.0","1,676.9","1,749.1","1,729.4",...,...
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,65.6,64.1,66.3,70.3,79.2,108.4,112.4,116.5,121.6,126.0,103.0,119.6,135.5,141.3,141.7,150.4,135.4,…,…
,Industry;   previous year = 100,106.4,105.3,114.6,115.1,102.4,107.6,99.1,102.6,101.7,92.4,109.7,113.9,108.8,106.9,102.7,105.0,106.9,112.5,103.7
,Mining;   previous year = 100,124.7,119.7,119.6,111.9,110.5,95.4,106.2,103.3,99.8,110.7,124.3,112.4,114.9,108.0,92.4,146.9,108.6,114.6,86.0
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Coal   (t),,,,,,,,,,,,,,,,,,,
,     Production ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– 
,     Exports ,– ,– ,– ,– ,– ,2,– ,– ,– ,– ,– ,– ,– ,95,– ,– ,– ,– ,– 
,     Imports ,17,– ,0,27,10,"1,371","1,119","2,730","2,507",359,"2,324","3,013","2,650","1,265","1,041","1,145","1,889","1,638","1,917"
,     Consumption ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,145","1,889","1,638",…
,,,,,,,,,,,,,,,,,,,,
,Natural gas   (m3 million),,,,,,,,,,,,,,,,,,,
,     Production ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– 
,     Exportsi,– ,– ,– ,– ,13,34,22,26,32,31,70,106,69,53,– ,– ,– ,– ,– 
,     Imports ,"1,382",986,"1,073","1,201","1,347","1,685","1,716","2,054","2,254","1,774","1,761","2,062","2,448","2,355","2,451","2,372","2,237","2,379","2,456"
,     Consumption ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"2,423","2,339","2,239","2,355",…
,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,"5,959","5,745","5,519","5,501","6,030","6,317","5,941","5,898","6,114","5,672","6,491","7,433","8,036","7,710","7,750","7,798","7,315","7,763","7,777"
,     Exports,815,698,666,583,930,"1,011",664,451,360,336,"1,061","1,383","1,696","1,226","1,314","1,424","1,229","1,440","1,619"
,     Imports,352,330,287,307,260,231,353,419,343,291,246,301,98,198,206,174,275,320,140
,     Consumption,"5,496","5,374","5,165","5,225","5,277","5,503","5,145","5,865","6,098","5,627","5,676","6,351","6,438","6,682","6,706","6,548","6,362","6,643","6,298"
,,,,,,,,,,,,,,,,,,,,
,Retail prices   (AMD/L),,,,,,,,,,,,,,,,,,,
,"     Gasoline, regular",277.8,272.0,260.4,282.1,311.5,332.5,360.8,327.7,367.7,320.3,375.6,437.4,484.7,487.2,470.5,431.0,375.2,383.0,448.0
,     Diesel,183.3,181.6,177.4,196.2,224.3,275.8,289.4,287.6,367.1,284.3,342.7,421.8,459.6,473.2,462.8,425.7,346.3,359.0,460.0
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   previous year = 100,,,,,,,,,,,,,,,,,,,
,Consumer (national),99.2,103.1,101.1,104.7,107.0,100.6,102.9,104.4,109.0,103.4,108.2,107.2,102.6,105.8,103.0,103.7,98.6,101.0,102.5
,     Food and nonalcoholic beverages,94.1,104.7,102.2,106.9,110.9,100.8,103.3,106.7,111.1,99.1,109.4,111.4,102.0,105.8,101.7,103.1,96.7,104.1,102.3
,"     Alcoholic beverages, tobacco, and narcotics",128.0,101.5,93.9,100.0,101.2,99.7,100.4,100.1,100.0,101.4,101.5,101.1,105.1,105.9,107.1,101.6,99.6,103.2,104.2
,     Clothing and footwear,96.2,98.9,102.4,101.4,98.8,97.9,102.6,103.6,106.8,108.5,111.5,102.1,106.8,106.4,104.5,105.0,97.9,98.7,103.7
,"     Housing, water, electricity, gas, and other fuels",101.8,99.9,100.1,101.8,102.8,103.4,102.6,99.8,106.6,114.6,111.0,102.9,100.8,109.2,111.1,103.2,102.5,95.4,100.2
,"     Furnishings, household equipment, and routine household maintenance",97.6,102.1,102.7,100.3,99.8,100.0,105.1,100.5,102.7,110.3,103.8,100.6,104.0,104.1,102.0,109.3,95.6,95.3,101.5
,     Health,97.4,103.7,95.0,97.2,99.2,98.5,103.4,108.4,113.6,112.5,106.6,108.0,107.0,110.9,103.3,107.0,101.1,100.6,104.4
,     Transport,111.7,99.8,100.3,106.2,102.8,99.9,105.0,97.7,106.6,99.9,107.3,108.2,102.0,103.2,94.9,99.6,95.9,101.9,107.9
,     Communication,,,,,,,,,,,98.9,98.8,98.8,95.9,99.2,98.3,99.0,100.0,99.7
,     Recreation and culture,103.7,101.6,104.0,100.3,99.9,100.6,104.5,103.5,102.9,105.1,104.9,100.7,98.1,102.7,103.7,107.0,103.9,102.8,101.2
,     Education,,,,,,,,,,,106.5,98.8,102.9,107.4,105.9,103.2,102.7,101.9,102.4
,     Restaurants and hotels,...,...,...,...,...,...,...,...,...,...,106.1,104.0,105.4,102.1,103.6,110.9,100.8,101.2,103.5
,     Miscellaneous goods and services,99.9,102.3,100.9,101.5,101.2,101.2,102.7,102.6,107.8,107.8,109.9,102.7,104.5,104.9,99.8,106.3,101.1,98.4,100.2
,Producer   ,100.8,99.6,102.5,108.9,121.7,107.7,100.9,100.6,102.2,107.1,122.6,109.1,107.0,104.7,108.5,99.2,101.5,103.9,101.6
,Implicit GDP deflatorf,98.6,104.1,100.7,104.6,106.3,103.2,104.6,104.2,105.9,102.6,107.8,104.3,98.8,103.4,102.3,101.2,100.3,102.1,102.5
,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
,               Consumer price index,-0.8,3.1,1.1,4.7,7.0,0.6,2.9,4.4,9.0,3.4,8.2,7.2,2.6,5.8,3.0,3.7,-1.4,1.0,2.5
,               Food and nonalcoholic beverages price index,-5.9,4.7,2.2,6.9,10.9,0.8,3.3,6.7,11.1,-0.9,9.4,11.4,2.0,5.8,1.7,3.1,-3.3,4.1,2.3
,               Producer price index ,0.8,-0.4,2.5,8.9,21.7,7.7,0.9,0.6,2.2,7.1,22.6,9.1,7.0,4.7,8.5,-0.8,1.5,3.9,1.6
,               Implicit GDP deflatorf,-1.4,4.1,0.7,4.6,6.3,3.2,4.6,4.2,5.9,2.6,7.8,4.3,-1.2,3.4,2.3,1.2,0.3,2.1,2.5
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKINGj   as of end of period (AMD billion),,,,,,,,,,,,,,,,,,,
,Money supply (M1),71,77,115,123,132,202,295,457,416,387,433,514,546,583,531,556,656,789,895
,     Currency in circulation,59,65,89,92,99,144,211,326,316,282,304,349,384,384,348,346,391,445,477
,     Demand deposits,12,12,26,31,34,58,84,131,100,104,128,164,162,199,183,210,265,344,418
,Quasi-money,80,81,89,111,154,163,190,235,292,428,479,613,801,962,"1,143","1,300","1,524","1,794","1,880"
,Money supply (M2)k,152,158,203,234,286,366,486,692,708,815,911,"1,127","1,346","1,545","1,674","1,856","2,180","2,583","2,775"
