PAKISTAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,5.2,5.9,6.0,6.3,6.4,7.0,7.0,7.4,8.6,8.8,8.8,8.3,8.1,8.2,8.4,...,...,9.2
,     Accommodation and food service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.2
,     Transportation and storage,...,1.9,2.3,2.4,2.4,2.5,2.7,2.6,2.8,2.7,2.8,2.8,2.9,2.8,3.1,3.1,...,...,3.5
,     Information and communication,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.3
,     Financial and insurance activities,,,,,,,,,,,,,,,,,,,0.3
,     Real estate activities,,,,,,,,,,,,,,,,,,,0.3
,     Other service activitiesd,14.9,5.7,6.5,6.6,6.8,7.0,7.3,7.6,7.7,7.2,6.8,6.8,7.7,8.4,8.2,8.1,...,...,9.7
,Unemployed,3.2,3.2,3.6,3.6,3.5,3.6,3.1,2.7,2.8,3.1,3.2,3.4,3.5,3.7,3.6,3.6,...,...,3.8
,Unemployment rate    (%),7.8,7.8,8.5,8.3,7.7,7.7,6.1,5.2,5.2,5.5,5.6,6.0,6.0,6.2,6.0,5.9,...,...,5.8
,Labor force    (% annual change),0.7,2.1,4.4,2.1,3.7,2.3,7.9,2.1,3.2,5.1,1.8,1.6,2.6,1.7,-0.4,1.6,...,...,2.4
,Labor force participation ratee    (%),42.8,43.3,43.3,43.3,43.7,43.7,45.0,45.2,45.2,45.7,45.9,45.7,45.7,45.7,45.5,45.2,...,...,44.3
,     Male,70.4,70.3,70.3,70.3,70.6,70.6,72.0,70.1,69.5,69.3,68.8,68.7,68.7,68.9,68.1,67.8,...,...,68.0
,     Female,13.7,14.4,14.4,14.4,15.9,15.9,18.9,19.1,19.6,20.7,21.5,21.7,21.7,21.5,22.2,22.0,...,...,20.1
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   fiscal year ending 30 June (PRs billion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"4,243.4","4,627.6","4,920.5","5,374.4","6,203.7","7,126.2","8,216.2","9,239.8","10,637.8","13,199.7","14,867.0","18,276.4","20,046.5","22,385.7","25,168.8","27,443.0","29,075.6","31,962.6","34,396.5*"
,"     Agriculture, forestry, and fishing","1,087.0","1,119.8","1,134.8","1,228.8","1,432.0","1,636.2","1,775.3","2,014.3","2,393.5","2,998.6","3,461.3","4,592.7","4,753.1","5,335.0","5,976.2","6,536.1","6,750.0","7,313.3","7,764.2*"
,     Mining and quarrying,99.8,119.9,135.9,160.9,202.2,198.4,254.3,297.2,324.3,413.3,475.4,494.7,642.2,697.0,741.0,707.2,652.8,645.9,710.9*
,     Manufacturing,433.7,492.1,522.2,583.2,729.2,904.8,"1,065.3","1,226.0","1,572.9","1,679.1","1,943.8","2,527.7","2,809.7","3,037.3","3,408.5","3,510.5","3,512.6","3,829.9","4,171.5*"
,"     Electricity, gas, steam, and air-conditioning supply",120.6,121.9,112.9,117.6,164.5,157.7,110.1,101.2,146.1,147.0,209.9,406.2,439.6,368.0,406.2,480.5,541.9,574.0,590.4*
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,90.5,98.1,98.6,104.5,119.7,158.9,186.4,221.8,269.1,293.9,302.6,318.5,378.1,423.4,484.4,540.9,601.1,685.1,778.6*
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,686.0,759.4,788.6,871.5,"1,050.6","1,274.4","1,523.1","1,720.4","2,201.7","2,479.8","2,824.1","3,568.2","4,006.8","4,369.5","4,924.5","5,045.3","5,104.9","5,791.6","6,326.7*"
,     Accommodation and food service activities,,,,,,,,,,,,,,,,,,,
,     Transportation and storage,501.6,585.1,669.1,734.2,786.1,858.1,959.5,"1,080.2","1,065.7","1,693.8","1,834.5","1,923.4","1,905.7","2,311.8","2,474.8","3,107.8","3,518.9","3,699.2","3,673.4*"
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,100.0,115.3,134.8,127.3,125.7,187.5,282.9,342.8,401.1,481.3,474.7,536.3,570.5,522.3,584.1,596.0,544.3,591.7,662.8*
,     Real estate activities,301.2,321.7,342.3,356.9,385.1,443.6,504.7,560.0,637.0,707.3,789.2,886.4,984.1,"1,092.7","1,229.1","1,371.4","1,506.4","1,668.5","1,845.7*"
,"     Professional, scientific, and technical activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Administrative and support service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social security,231.8,247.4,273.7,300.8,328.4,361.2,425.2,470.7,529.1,654.1,778.0,"1,009.4","1,244.7","1,486.1","1,660.4","1,818.5","2,050.6","2,263.4","2,616.8*"
,     Education,,,,,,,,,,,,,,,,,,,
,     Human health and social work,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,314.9,347.5,388.4,425.5,467.0,537.1,628.8,701.3,814.9,994.1,"1,155.0","1,384.1","1,626.9","1,860.2","2,139.7","2,375.5","2,619.0","2,955.4","3,266.0*"
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"3,967.3","4,328.0","4,601.3","5,011.3","5,790.5","6,718.0","7,715.8","8,735.8","10,355.3","12,542.3","14,248.5","17,647.6","19,361.5","21,503.3","24,028.9","26,089.7","27,402.3","30,017.9","32,407.0*"
,Taxes less subsidies on production and imports,276.1,299.6,319.2,363.1,413.3,408.2,500.4,504.0,282.5,657.4,618.4,628.9,685.0,882.3,"1,139.9","1,353.3","1,673.3","1,944.7","1,989.5*"
,Net factor income from abroad,-48.0,-54.5,23.7,151.8,124.5,134.5,149.9,157.6,208.9,346.3,566.2,820.2,"1,035.7","1,161.6","1,428.2","1,674.8","1,782.9","1,744.6","1,817.3*"
,GNI,"4,195.4","4,573.1","4,944.2","5,526.2","6,328.2","7,260.7","8,366.1","9,397.4","10,846.7","13,546.0","15,433.2","19,096.7","21,082.2","23,547.3","26,597.0","29,117.8","30,858.5","33,707.2","36,213.7*"
,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,27.4,25.9,24.7,24.5,24.7,24.4,23.0,23.1,23.1,23.9,24.3,26.0,24.5,24.8,24.9,25.1,24.6,24.4,24.0*
,               Industry,18.8,19.2,18.9,19.3,21.0,21.1,20.9,21.1,22.3,20.2,20.6,21.2,22.1,21.0,21.0,20.1,19.4,19.1,19.3*
,               Services,53.8,54.9,56.4,56.2,54.3,54.5,56.0,55.8,54.6,55.9,55.1,52.7,53.4,54.1,54.2,54.9,56.0,56.5,56.8*
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"4,243.4","4,627.6","4,920.5","5,374.4","6,203.7","7,126.2","8,216.2","9,239.8","10,637.8","13,199.7","14,867.0","18,276.4","20,046.5","22,385.7","25,168.8","27,443.0","29,075.6","31,962.6","34,396.5*"
,     Final consumption expenditure,"3,545.2","3,866.7","4,131.6","4,449.5","5,125.9","6,115.1","7,236.9","8,110.1","9,746.7","11,844.2","13,385.0","16,610.7","18,630.5","20,554.9","23,100.1","24,901.5","26,554.4","29,796.5","32,499.7*"
,          Household final consumption,"3,202.0","3,526.7","3,728.9","4,004.6","4,644.3","5,583.4","6,379.5","7,197.8","8,709.6","10,455.8","11,851.3","14,831.3","16,527.8","18,091.8","20,391.2","21,890.3","23,266.5","26,197.5","28,243.6*"
,          NPISHs final consumption ,,,,,,,,,,,,,,,,,,,
,          Government final consumption,343.1,340.0,402.7,444.9,481.5,531.7,857.5,912.3,"1,037.2","1,388.5","1,533.7","1,779.4","2,102.6","2,463.1","2,708.9","3,011.2","3,287.9","3,599.0","4,256.2*"
,     Gross capital formation,745.9,805.2,793.0,895.9,"1,019.5","1,262.9","1,588.3","1,735.9","2,043.1","2,316.5","2,349.7","2,580.7","3,022.2","3,348.3","3,683.5","4,310.5","4,560.8","5,144.2","5,649.5*"
,          Gross fixed capital formation,678.0,731.2,714.2,810.0,920.3,"1,148.9","1,456.9","1,588.0","1,872.9","2,105.3","2,111.8","2,288.3","2,701.5","2,990.1","3,280.8","3,871.4","4,095.6","4,632.8","5,099.1*"
,               Public,218.2,232.8,161.4,170.3,218.7,268.8,347.7,420.8,509.0,565.8,553.9,590.5,751.1,787.8,797.0,"1,028.2","1,099.7","1,427.3","1,727.9*"
,               Private,459.9,498.4,552.9,639.7,701.6,880.1,"1,109.2","1,167.3","1,363.8","1,539.4","1,557.9","1,697.8","1,950.3","2,202.3","2,483.8","2,843.2","2,995.9","3,205.5","3,371.2*"
,          Changes in inventories,67.9,74.0,78.7,86.0,99.3,114.0,131.5,147.8,170.2,211.2,237.9,292.4,320.7,358.2,402.7,439.1,465.2,511.4,550.3*
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,514.3,617.1,677.9,815.2,883.7,"1,019.8","1,161.3","1,221.0","1,317.2","1,636.2","2,009.5","2,552.6","2,485.1","2,972.2","3,081.3","2,910.2","2,659.2","2,632.3","2,933.9*"
,          Exports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Exports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Less: Imports of goods and services,562.0,661.5,681.9,786.2,825.4,"1,271.6","1,770.4","1,827.2","2,469.2","2,597.2","2,877.2","3,467.6","4,091.3","4,489.8","4,696.2","4,679.1","4,698.8","5,610.3","6,686.6*"
,          Imports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Imports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Statistical discrepancy ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–*
,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand     (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumptionf,75.5,76.2,75.8,74.5,74.9,78.4,77.6,77.9,81.9,79.2,79.7,81.1,82.4,80.8,81.0,79.8,80.0,82.0,82.1*
,               Government final consumption,8.1,7.3,8.2,8.3,7.8,7.5,10.4,9.9,9.7,10.5,10.3,9.7,10.5,11.0,10.8,11.0,11.3,11.3,12.4*
,               Gross capital formation,17.6,17.4,16.1,16.7,16.4,17.7,19.3,18.8,19.2,17.5,15.8,14.1,15.1,15.0,14.6,15.7,15.7,16.1,16.4*
,                    Changes in inventories,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6*
,               Exports of goods and services,12.1,13.3,13.8,15.2,14.2,14.3,14.1,13.2,12.4,12.4,13.5,14.0,12.4,13.3,12.2,10.6,9.1,8.2,8.5*
,               Imports of goods and services,13.2,14.3,13.9,14.6,13.3,17.8,21.5,19.8,23.2,19.7,19.4,19.0,20.4,20.1,18.7,17.1,16.2,17.6,19.4*
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices   ,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at constant 2005/2006 market prices,"6,031.6","6,246.0","6,402.7","6,772.6","7,283.7","7,758.5","8,216.2","8,613.2","8,759.8","9,007.8","9,152.6","9,404.1","9,733.9","10,161.9","10,636.9","11,140.1","11,755.8","12,426.0","13,100.7*"
,"     Agriculture, forestry, and fishing","1,524.8","1,513.8","1,525.3","1,592.6","1,638.0","1,753.0","1,775.3","1,836.1","1,869.3","1,934.7","1,939.1","1,977.2","2,048.8","2,103.6","2,156.1","2,202.0","2,205.4","2,251.0","2,336.8*"
,     Mining and quarrying,189.5,201.3,216.3,239.5,291.7,245.5,254.3,273.0,281.6,274.7,282.3,269.8,283.7,294.7,298.9,313.7,333.1,331.8,341.9*
,     Manufacturing,584.6,645.9,672.2,721.2,839.3,973.8,"1,065.3","1,161.6","1,232.4","1,181.0","1,197.2","1,227.1","1,252.7","1,313.4","1,387.6","1,441.5","1,494.6","1,581.5","1,680.2*"
,"     Electricity, gas, steam, and air-conditioning supply",179.0,162.0,136.9,140.3,196.8,180.9,110.1,96.1,131.8,115.8,135.1,221.4,224.5,165.3,164.1,186.2,203.7,215.5,219.5*
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,134.4,141.4,140.7,146.5,136.4,159.3,186.4,210.4,242.8,218.8,237.0,216.8,223.4,225.8,239.3,256.7,291.8,320.5,349.8*
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,952.3,"1,008.9","1,033.4","1,102.1","1,220.1","1,390.7","1,523.1","1,612.1","1,703.7","1,652.9","1,682.5","1,718.0","1,746.5","1,808.1","1,894.4","1,943.6","2,035.5","2,187.4","2,351.7*"
,     Accommodation and food service activities,,,,,,,,,,,,,,,,,,,
,     Transportation and storage,768.9,810.3,820.9,857.0,881.4,918.9,959.5,"1,025.7","1,082.5","1,137.0","1,170.6","1,198.9","1,254.1","1,304.7","1,355.6","1,424.3","1,493.8","1,560.2","1,616.0*"
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,157.9,168.4,173.2,185.3,209.6,243.6,282.9,308.7,328.1,296.4,286.8,274.7,279.2,302.4,315.4,335.4,357.0,395.5,419.7*
,     Real estate activities,410.4,425.8,440.7,455.1,471.1,487.6,504.7,524.9,546.0,567.9,590.7,614.5,639.0,664.5,691.1,718.7,747.3,777.1,808.2*
,"     Professional, scientific, and technical activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Administrative and support service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social security ,314.4,321.5,343.7,370.5,382.8,385.7,425.2,436.8,437.7,462.2,499.0,569.2,632.1,703.7,723.8,758.7,832.5,882.0,982.7*
,     Education,,,,,,,,,,,,,,,,,,,
,     Human health and social work,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,414.5,437.1,471.6,501.9,530.7,570.0,628.8,657.5,693.3,738.6,781.1,832.9,886.2,932.8,990.8,"1,050.8","1,122.0","1,211.6","1,286.1*"
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"5,630.7","5,836.5","5,974.9","6,312.1","6,797.9","7,309.1","7,715.8","8,143.0","8,549.1","8,580.0","8,801.4","9,120.3","9,470.3","9,819.1","10,217.1","10,631.6","11,116.8","11,714.1","12,392.6*"
,Taxes less subsidies on production and imports,400.9,409.5,427.7,460.5,485.7,449.4,500.4,470.3,210.6,427.8,351.2,283.8,263.7,342.8,419.8,508.5,639.0,711.8,708.1*
,Net factor income from abroad,-85.2,-84.0,36.5,225.8,161.2,157.7,149.9,146.5,152.1,201.6,310.5,372.7,386.6,403.1,474.0,548.9,675.1,669.6,692.7*
,GNI,"5,946.4","6,162.0","6,439.2","6,998.4","7,444.9","7,916.2","8,366.1","8,759.7","8,911.9","9,209.4","9,463.0","9,776.8","10,120.5","10,565.0","11,110.9","11,689.0","12,430.9","13,095.5","13,793.4*"
,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,...,3.6,2.5,5.8,7.5,6.5,5.9,4.8,1.7,2.8,1.6,2.7,3.5,4.4,4.7,4.7,4.6,5.4,5.8*
,               Agriculture,...,-0.7,0.8,4.4,2.8,7.0,1.3,3.4,1.8,3.5,0.2,2.0,3.6,2.7,2.5,2.1,0.2,2.1,3.8*
,               Industry,...,5.8,1.3,7.0,17.4,6.5,3.6,7.7,8.5,-5.2,3.4,4.5,2.5,0.8,4.5,5.2,5.7,5.4,5.8*
,               Services,...,5.1,3.5,5.7,6.4,8.1,8.2,5.6,4.9,1.3,3.2,3.9,4.4,5.1,4.5,4.4,5.7,6.5,6.4*
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 2005/2006 market prices,"6,031.6","6,246.0","6,402.7","6,772.6","7,283.7","7,758.5","8,216.2","8,613.2","8,759.8","9,007.8","9,152.6","9,404.1","9,733.9","10,161.9","10,636.9","11,140.1","11,755.8","12,426.0","13,100.7*"
,     Final consumption expenditure,"5,333.3","5,467.8","5,632.8","5,838.6","6,179.7","6,804.0","7,236.9","7,503.2","7,732.2","7,805.5","7,951.4","8,273.1","8,711.3","8,977.8","9,434.0","9,766.3","10,518.1","11,390.9","12,214.5*"
,          Household final consumption,"4,835.1","5,003.1","5,093.2","5,274.3","5,613.7","6,218.6","6,379.5","6,655.0","6,891.8","6,858.8","7,010.2","7,331.7","7,700.7","7,865.4","8,304.9","8,545.4","9,196.7","10,000.1","10,626.9*"
,          NPISHs final consumption ,,,,,,,,,,,,,,,,,,,
,          Government final consumption,498.2,464.7,539.6,564.3,566.0,585.4,857.5,848.2,840.3,946.7,941.3,941.4,"1,010.6","1,112.4","1,129.1","1,220.9","1,321.4","1,390.8","1,587.7*"
,     Gross capital formation,"1,090.6","1,118.2","1,073.2","1,142.9","1,227.3","1,389.4","1,588.3","1,629.6","1,700.3","1,626.9","1,520.6","1,418.8","1,454.8","1,495.2","1,536.4","1,760.0","1,888.0","2,068.2","2,185.5*"
,          Gross fixed capital formation,994.1,"1,018.2",970.7,"1,034.5","1,110.7","1,265.3","1,456.9","1,491.8","1,560.2","1,482.8","1,374.2","1,268.3","1,299.1","1,332.6","1,366.3","1,581.8","1,699.9","1,869.4","1,975.9*"
,               Public,332.8,326.8,224.2,211.9,269.7,306.3,347.7,393.6,419.0,382.4,333.1,296.8,334.9,327.1,304.0,391.1,421.6,537.5,629.6*
,               Private,661.3,691.4,746.5,822.7,841.1,959.0,"1,109.2","1,098.2","1,141.2","1,100.4","1,041.1",971.5,964.1,"1,005.5","1,062.3","1,190.7","1,278.3","1,331.9","1,346.3*"
,          Changes in inventories,96.5,99.9,102.4,108.4,116.5,124.1,131.5,137.8,140.2,144.1,146.4,150.5,155.7,162.6,170.2,178.2,188.1,198.8,209.6*
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,606.6,680.4,748.2,960.5,945.8,"1,056.7","1,161.3","1,178.8","1,125.1","1,087.3","1,258.1","1,288.0","1,094.8","1,243.4","1,225.0","1,147.3","1,128.9","1,120.1","1,231.2*"
,          Exports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Exports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Less: Imports of goods and services,998.8,"1,020.4","1,051.5","1,169.4","1,069.1","1,491.7","1,770.4","1,698.3","1,797.9","1,511.9","1,577.6","1,575.8","1,527.0","1,554.6","1,558.6","1,533.5","1,779.2","2,153.3","2,530.6*"
,          Imports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Imports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand  (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumptionf,...,3.5,1.8,3.6,6.4,10.8,2.6,4.3,3.6,-0.5,2.2,4.6,5.0,2.1,5.6,2.9,7.6,8.7,6.3*
,               Government final consumption,...,-6.7,16.1,4.6,0.3,3.4,46.5,-1.1,-0.9,12.7,-0.6,0.0,7.3,10.1,1.5,8.1,8.2,5.3,14.2*
,               Gross capital formation,...,2.5,-4.0,6.5,7.4,13.2,14.3,2.6,4.3,-4.3,-6.5,-6.7,2.5,2.8,2.8,14.6,7.3,9.5,5.7*
,               Exports of goods and services,...,12.2,10.0,28.4,-1.5,11.7,9.9,1.5,-4.6,-3.4,15.7,2.4,-15.0,13.6,-1.5,-6.3,-1.6,-0.8,9.9*
,               Imports of goods and services,...,2.2,3.0,11.2,-8.6,39.5,18.7,-4.1,5.9,-15.9,4.3,-0.1,-3.1,1.8,0.3,-1.6,16.0,21.0,17.5*
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,745.9,805.2,793.0,895.9,"1,019.5","1,262.9","1,588.3","1,735.9","2,043.1","2,316.5","2,349.7","2,580.7","3,022.2","3,348.3","3,683.5","4,310.5","4,560.8","5,144.2","5,649.5*"
,Gross national saving,864.3,999.8,"1,149.1","1,460.3","1,587.6","1,660.9","1,764.9","1,930.2","1,908.0","2,613.2","3,118.4","3,840.4","4,090.3","4,831.0","5,525.5","6,481.5","6,731.5","6,383.2","6,564.1*"
,     Gross domestic savingg,698.2,760.9,788.9,924.9,"1,077.8","1,011.1",979.2,"1,129.6",891.0,"1,355.5","1,482.0","1,665.7","1,416.0","1,830.7","2,068.7","2,541.5","2,521.2","2,166.1","1,896.7*"
,     Net factor income from abroad,-48.0,-54.5,23.7,151.8,124.5,134.5,149.9,157.6,208.9,346.3,566.2,820.2,"1,035.7","1,161.6","1,428.2","1,674.8","1,782.9","1,744.6","1,817.3*"
,     Net current transfers from abroadh,214.0,293.3,336.5,383.6,385.3,515.3,635.7,642.9,808.0,911.4,"1,070.2","1,354.5","1,638.5","1,838.7","2,028.6","2,265.1","2,427.4","2,472.5","2,850.1*"
,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment    (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,16.5,16.4,16.0,17.2,17.4,14.2,11.9,12.2,8.4,10.3,10.0,9.1,7.1,8.2,8.2,9.3,8.7,6.8,5.5*
,               Gross national saving,20.4,21.6,23.4,27.2,25.6,23.3,21.5,20.9,17.9,19.8,21.0,21.0,20.4,21.6,22.0,23.6,22.9,19.4,19.1*
,               Gross domestic capital formation,17.6,17.4,16.1,16.7,16.4,17.7,19.3,18.8,19.2,17.5,15.8,14.1,15.1,15.0,14.6,15.7,15.7,16.1,16.4*
,,,,,,,,,,,,,,,,,,,,
,At Current Market Pricesi   (PRs),,,,,,,,,,,,,,,,,,,
,Per capita GDP,"30,854","32,969","34,369","36,624","41,455","46,720","52,881","58,417","64,604","78,486","86,572","104,252","112,048","122,641","135,178","144,536","150,215","162,033","171,161*"
,Per capita GNI,"30,506","32,581","34,534","37,659","42,287","47,601","53,846","59,413","65,873","80,545","89,869","108,931","117,837","129,005","142,849","153,357","159,426","170,877","180,204*"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXESj   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;  1999/2000 = 100 | 2005/2006 = 100,100.0,93.0,96.5,104.0,106.9,104.1 |,100.0,115.5,125.0,112.8,110.7,118.5,123.3,130.1,139.8,133.1,136.5,152.3,161.2*
,Mining;  1999/2000 = 100 | 2005/2006 = 100,100.0,105.6,112.5,119.6,134.8,148.7 |,100.0,103.7,108.9,108.1,110.2,108.0,113.7,115.3,118.5,120.5,121.6,123.2,129.8*
,Manufacturing;   1999/2000 = 100 | 2005/2006 = 100,100.0,101.0,114.8,123.1,146.4,173.0 |,100.0,109.5,116.1,109.1,109.6,111.1,112.4,117.4,123.7,127.9,131.9,139.6,146.9*
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Crude petroleumk    (t '000),,,,,,,,,,,,,,,,,,,
,     Production,"2,780","2,874","3,162","3,198","3,084","3,288","3,263","3,355","3,490","3,276","3,231","3,277","3,350","3,795","4,237","4,627","4,246","4,329","4,368"
,     Exports,362,441,242,157,36,37,–,–,–,–,–,–,–,–,25,566,318,190,383
,     Imports,...,"6,826","6,758","6,958","8,233","8,325","8,236","7,974","8,215","7,967","6,521","6,715","6,615","6,950","8,037","8,332","8,676","8,660","10,331"
,     Consumption,"18,053","17,931","17,232","16,716","13,637","14,907","14,863","17,117","18,370","18,199","19,439","19,190","18,978","19,704","21,109","22,160","23,287","25,562","24,678"
,,,,,,,,,,,,,,,,,,,,
,Coal   (t '000),,,,,,,,,,,,,,,,,,,
,     Production,"3,255","3,285","3,512","3,609","3,325","3,367","3,881","3,702","4,066","3,679","3,536","3,292","3,179","2,813","3,340","3,408","3,749","3,954","4,510"
,     Exports,–,–,–,–,–,–,–,–,–,–,–,–,–,3,0,1,...,...,...
