MALAYSIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,      Information and communication,...,...,...,...,...,...,...,...,...,...,179,207,209,194,213,214,209,220,217
,      Financial and insurance activitiesc,474,225,241,223,236,247,242,282,276,272,323,319,322,319,329,354,347,369,338
,      Real estate activities,–,349,397,404,459,459,508,558,553,602,59,61,69,73,80,71,82,85,97
,      Other servicesd,"2,010","1,758","1,819","1,955","1,988","2,045","2,000","2,129","2,189","2,385","3,121","3,190","3,215","3,431","3,583","3,676","3,704","3,689","3,827"
,Unemployed,287,342,344,370,367,368,354,351,369,418,404,389,401,435,411,450,504,503,504
,Unemployment rate   (%),3.0,3.5,3.5,3.6,3.5,3.5,3.3,3.2,3.3,3.7,3.3,3.1,3.0,3.1,2.9,3.1,3.4,3.4,3.3
,Labor force   (% annual change),4.4,1.5,1.9,3.6,1.0,0.6,2.1,2.5,1.3,2.6,8.7,3.6,3.8,5.7,2.0,1.8,1.0,2.1,2.0
,Labor force participation rate    (%),65.4,64.9,64.4,65.2,64.4,63.3,63.1,63.2,62.6,62.9,63.7,64.5,65.6,67.3,67.6,67.9,67.7,68.0,68.3
,     Male,83.3,82.3,81.5,82.1,80.9,80.0,79.9,79.5,79.0,78.9,79.3,79.7,80.5,81.0,80.6,80.6,80.2,80.1,80.4
,     Female,47.2,46.8,46.7,47.7,47.2,45.9,45.8,46.4,45.7,46.4,46.8,48.0,49.5,52.6,53.7,54.1,54.3,54.7,55.2
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (RM million),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"356,401","352,579","383,213","418,769","474,048","543,578","596,784","665,340","769,949","712,857","821,434","911,733","971,252","1,018,614","1,106,443","1,176,941","1,249,698","1,371,648","1,446,914"
,"     Agriculture, forestry, and fishing","30,647","28,245","34,432","38,971","43,949","44,912","51,383","66,446","76,753","65,719","82,882","104,424","95,122","92,830","98,177","97,539","105,756","118,114","109,051"
,     Mining and quarrying,"37,617","33,945","34,169","41,918","56,881","72,111","81,759","88,332","120,170","81,342","89,793","95,905","101,474","103,484","109,064","103,059","103,959","121,326","134,244"
,     Manufacturing,"109,998","103,434","112,076","125,332","144,007","149,754","164,510","173,804","189,105","169,661","192,493","212,618","224,730","232,659","253,087","262,379","272,396","299,792","312,012"
,"     Electricity, gas, steam, and air-conditioning supply","10,629","11,281","11,970","12,607","13,711","14,076","14,878","15,840","16,855","17,852","17,701","18,911","20,703","22,160","25,358","25,774","26,953","28,206","30,053"
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,"4,472","4,765","4,996","5,283","5,582","5,936","6,530","7,147","7,701"
,     Construction,"13,971","14,241","14,673","15,200","15,458","16,107","16,451","18,739","21,156","23,187","28,213","30,892","37,909","42,692","48,650","55,382","61,089","66,552","70,111"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"47,934","49,201","51,327","53,062","59,401","74,642","81,528","95,353","114,197","115,263","112,771","127,030","135,439","146,447","166,243","184,023","198,155","218,160","237,001"
,     Accommodation and food service activities,,,,,,,,,,,"21,863","23,970","25,954","28,317","31,342","36,219","40,153","44,739","50,309"
,     Transportation and storage,"24,898","26,488","28,197","30,172","33,319","36,434","39,290","43,009","46,482","46,900","28,998","31,034","32,953","34,876","37,194","42,057","45,234","48,806","52,784"
,     Information and communication,,,,,,,,,,,"39,513","42,667","46,666","51,097","56,425","62,303","67,730","73,914","80,324"
,     Financial and insurance activities,"48,287","50,986","55,829","57,914","60,531","66,015","72,521","80,827","89,966","94,257","61,578","64,341","70,053","72,390","75,379","78,633","81,457","86,171","91,137"
,     Real estate activities,,,,,,,,,,,"11,797","12,537","13,464","14,497","15,764","17,561","18,974","20,521","22,119"
,"     Professional, scientific, and technical activities",,,,,,,,,,,"13,679","14,815","16,556","18,368","20,049","22,928","25,089","27,740","30,750"
,     Administrative and support service activities,,,,,,,,,,,"6,885","7,424","7,971","8,739","9,845","10,942","12,011","12,991","14,074"
,     Public administration and defense; compulsory social security,"22,576","24,104","27,450","29,569","31,827","35,656","40,045","46,210","54,675","56,588","64,359","72,390","85,560","89,796","95,430","99,783","106,221","112,659","117,672"
,     Education,,,,,,,,,,,"5,906","6,457","7,046","7,623","8,282","9,233","10,029","10,863","11,683"
,     Human health and social work activities,,,,,,,,,,,"5,263","5,705","6,201","6,720","7,310","8,028","8,774","9,610","10,519"
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,"21,324","22,594","23,810","24,891","26,099","27,500","28,762","30,812","33,058","35,123","25,598","27,135","28,267","29,873","31,316","40,464","42,657","45,055","47,884"
,"     Activities of households as employers; undifferentiated goods- and services-producing
           activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Less: Financial intermediation services indirectly measured,"17,308","17,594","17,324","17,374","17,531",...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Plus: Taxes on imports,"5,826","5,653","6,605","6,507","6,396","6,372","5,659","5,969","7,531","6,964","7,672","8,711","10,186","10,763","11,947","14,699","16,529","19,280","17,486"
,Net factor income from abroad,"-28,909","-25,623","-25,061","-22,537","-24,402","-23,943","-17,294","-13,985","-23,033","-14,214","-26,131","-21,600","-35,841","-33,975","-36,624","-32,112","-34,592","-38,658","-51,586"
,GNI ,"327,492","326,956","358,152","396,232","449,646","519,635","579,490","651,355","746,916","698,643","795,303","890,133","935,410","984,639","1,069,819","1,144,829","1,215,105","1,332,990","1,395,328"
,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current producer prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,8.3,7.7,8.7,9.1,9.1,8.4,8.7,10.1,10.1,9.3,10.2,11.6,9.9,9.2,9.0,8.4,8.6,8.7,7.6
,               Industry,46.8,44.7,43.9,45.4,47.4,46.9,47.0,45.0,45.6,41.4,40.9,40.2,40.6,40.3,40.4,38.9,38.2,38.7,38.8
,               Services,44.9,47.6,47.4,45.5,43.5,44.7,44.3,44.9,44.4,49.3,48.9,48.2,49.5,50.5,50.7,52.7,53.2,52.6,53.6
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"356,400","352,580","383,212","418,769","474,047","543,578","596,784","665,340","769,949","712,857","821,434","911,733","971,252","1,018,614","1,106,443","1,176,941","1,249,698","1,371,648","1,446,914"
,    Final consumption expenditure,"192,170","205,066","222,141","240,980","268,206","302,556","331,231","377,377","432,796","441,185","498,591","558,333","616,679","667,456","727,460","789,121","841,704","926,807","1,003,787"
,         Household final consumption,"155,941","162,618","172,485","186,674","208,571","240,188","264,584","300,418","344,215","348,168","394,893","436,980","481,865","527,359","579,576","634,553","684,111","759,151","830,212"
,         NPISHs final consumption ,,,,,,,,,,,352,360,372,390,409,546,570,595,617
,         Government final consumption,"36,229","42,448","49,656","54,306","59,635","62,368","66,647","76,959","88,581","93,017","103,346","120,993","134,442","139,707","147,475","154,021","157,023","167,061","172,958"
,    Gross capital formation,"95,756","86,023","94,950","95,326","109,266","121,742","135,491","155,753","165,218","127,143","192,105","211,415","250,085","264,199","276,363","299,229","324,865","350,587","341,671"
,         Gross fixed capital formation,"90,141","88,580","89,995","93,864","99,336","121,237","131,024","149,064","158,381","156,660","184,292","202,251","246,343","269,699","287,393","304,423","318,895","343,931","350,297"
,               Public,...,...,...,...,...,...,...,...,...,...,"83,001",...,...,...,...,"106,274","107,370","109,417","104,585"
,               Private,...,...,...,...,...,...,...,...,...,...,"101,291",...,...,...,...,"198,150","211,525","234,514","245,712"
,         Changes in inventoriese,"5,615","-2,557","4,955","1,462","9,930",505,"4,467","6,689","6,837","-29,517","7,813","9,164","3,742","-5,500","-11,030","-5,195","5,970","6,656","-8,626"
,         Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,"427,003","389,256","415,040","447,846","546,925","613,694","669,505","706,382","766,096","651,671","714,075","777,302","770,202","770,368","816,483","817,370","834,491","960,778","994,860"
,         Exports of goods,...,...,...,...,...,...,...,...,...,...,"602,609","658,421","644,864","637,683","678,865","681,275","686,896","801,394","832,796"
,         Exports of services,...,...,...,...,...,...,...,...,...,...,"111,466","118,880","125,337","132,685","137,618","136,095","147,596","159,384","162,064"
,      Less: Imports of goods and services,"358,529","327,765","348,919","365,383","450,350","494,414","539,443","574,172","594,160","507,142","583,337","635,316","665,714","683,408","713,863","728,778","751,363","866,524","893,403"
,          Imports of goods,...,...,...,...,...,...,...,...,...,...,"478,427","517,893","531,835","541,131","565,538","572,051","584,850","684,281","713,614"
,          Imports of services,...,...,...,...,...,...,...,...,...,...,"104,910","117,424","133,879","142,277","148,325","156,727","166,513","182,243","179,789"
,      Statistical discrepancy ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,,,,,,,,,,,,,,,,,,,,
,              Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumptionf,43.8,46.1,45.0,44.6,44.0,44.2,44.3,45.2,44.7,48.8,48.1,48.0,49.7,51.8,52.4,54.0,54.8,55.4,57.4
,               Government final consumption,10.2,12.0,13.0,13.0,12.6,11.5,11.2,11.6,11.5,13.0,12.6,13.3,13.8,13.7,13.3,13.1,12.6,12.2,12.0
,               Gross capital formation,26.9,24.4,24.8,22.8,23.0,22.4,22.7,23.4,21.5,17.8,23.4,23.2,25.7,25.9,25.0,25.4,26.0,25.6,23.6
,                    Changes in inventoriese,1.6,-0.7,1.3,0.3,2.1,0.1,0.7,1.0,0.9,-4.1,1.0,1.0,0.4,-0.5,-1.0,-0.4,0.5,0.5,-0.6
,               Exports of goods and services,119.8,110.4,108.3,106.9,115.4,112.9,112.2,106.2,99.5,91.4,86.9,85.3,79.3,75.6,73.8,69.4,66.8,70.0,68.8
,               Imports of goods and services,100.6,93.0,91.1,87.3,95.0,91.0,90.4,86.3,77.2,71.1,71.0,69.7,68.5,67.1,64.5,61.9,60.1,63.2,61.7
,               Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices ,,,,,,,,,,,,,,,,,,,
, GDP by industrial origin at 2000 | 2005 | 2010 | 2015 market prices,"356,401","358,246","377,559","399,414","426,508 |","543,579","573,938","610,085","639,566","629,885 |","821,434","864,920","912,261","955,080","1,012,449 |","1,176,941","1,229,312","1,299,897","1,361,533"
,"      Agriculture, forestry, and fishing","30,647","30,594","31,471","33,369","34,929 |","44,912","47,533","48,188","50,036","50,063 |","82,882","88,555","89,406","91,181","93,048 |","97,539","93,977","99,381","99,470"
,      Mining and quarrying,"37,617","36,980","38,610","40,959","42,627 |","72,111","71,276","72,758","70,996","66,386 |","89,793","85,373","86,751","87,789","90,707 |","103,059","105,368","105,838","103,135"
,      Manufacturing,"109,998","105,301","109,640","119,687","131,127 |","149,754","160,880","165,879","167,148","152,150 |","192,493","202,960","211,921","219,152","232,527 |","262,379","273,899","290,463","304,847"
,"      Electricity, gas, steam, and air-conditioning supply","10,629","11,062","11,759","12,282","13,100 |","14,076","14,728","15,415","15,930","16,246 |","17,701","18,404","19,331","20,184","20,905 |","25,774","27,075","27,630","28,860"
,"      Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,"4,472","4,644","4,838","5,052","5,293 |","5,936","6,337","6,720","7,167"
,      Construction,"13,971","14,427","14,762","15,031","14,903 |","16,107","16,022","17,391","18,151","19,270 |","28,213","29,524","34,880","38,590","43,115 |","55,382","59,508","63,522","66,218"
,      Wholesale and retail trade; repair of motor vehicles and motorcycles,"47,934","48,974","50,986","51,965","56,441 |","74,642","79,608","91,405","101,344","103,444 |","112,771","120,411","125,905","133,797","145,714 |","184,023","195,707","209,698","226,786"
,      Accommodation and food service activities,,,,,,,,,,,"21,863","23,209","24,502","25,938","27,619 |","36,219","38,831","41,748","45,472"
,      Transportation and storage,"24,898","26,409","27,442","28,620","30,973 |","36,434","38,790","41,987","44,885","45,484 |","28,998","30,630","32,089","33,561","35,359 |","42,057","44,463","47,227","50,231"
,      Information and communication,,,,,,,,,,,"39,513","42,422","46,185","50,396","55,415 |","62,303","67,301","72,987","79,081"
,      Financial and insurance activities,"48,287","50,570","55,392","58,011","60,775 |","66,015","71,344","79,672","87,157","90,744 |","61,578","65,782","70,884","72,318","74,000 |","78,633","80,722","84,472","89,269"
,      Real estate activities,,,,,,,,,,,"11,797","12,299","12,917","13,592","14,374 |","17,561","18,412","19,323","20,221"
,"      Professional, scientific, and technical activities",,,,,,,,,,,"13,679","14,640","16,185","17,854","19,417 |","22,928","24,829","27,151","29,770"
,      Administrative and support service activities,,,,,,,,,,,"6,885","7,310","7,730","8,340","9,177 |","10,942","11,724","12,562","13,535"
,      Public administration and defense; compulsory social security,"22,576","23,583","24,816","26,693","28,243 |","35,656","39,806","41,494","44,633","46,145 |","64,359","71,503","78,397","84,164","89,490 |","99,783","104,620","109,485","114,357"
,      Education,,,,,,,,,,,"5,906","6,357","6,853","7,309","7,839 |","9,233","9,856","10,492","11,120"
,      Human health and social work activities,,,,,,,,,,,"5,263","5,534","5,860","6,194","6,524 |","8,028","8,473","8,951","9,484"
,"      Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,      Other service activities,"21,324","22,223","23,105","23,996","24,996 |","27,500","28,280","29,959","31,763","32,965 |","25,598","26,710","27,624","29,092","30,286 |","40,464","42,210","44,171","46,508"
,"     Activities of households as employers; undifferentiated goods- and services-producing
         activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,      Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Less: Financial intermediation services indirectly measured,"17,308","17,505","17,018","17,654","17,705 |",...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Plus: Taxes on imports,"5,826","5,629","6,594","6,453","6,099 |","6,372","5,671","5,937","7,523","6,989 |","7,672","8,654","10,004","10,577","11,639 |","14,699","16,000","18,076","16,002"
,Net factor income from abroad,"-28,909","-26,506","-25,888","-22,605","-23,670 |","-23,942","-19,694","-21,084","-23,034","-21,941 |","-26,131","-25,868","-40,457","-38,357","-39,913 |","-21,075","-18,011","-19,050","-34,417"
,GNI ,"327,492","331,740","351,671","376,809","402,838 |","519,637","554,244","589,001","616,532","607,944 |","795,303","839,052","871,804","916,722","972,535 |","1,155,866","1,211,301","1,280,848","1,327,116"
,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,8.9,0.5,5.4,5.8,6.8,5.3,5.6,6.3,4.8,-1.5,7.4,5.3,5.5,4.7,6.0,5.1,4.4,5.7,4.7
,               Agriculture,6.1,-0.2,2.9,6.0,4.7,2.6,5.8,1.4,3.8,0.1,2.4,6.8,1.0,2.0,2.0,1.4,-3.7,5.7,0.1
,               Industry,13.6,-2.6,4.2,7.5,7.3,3.6,4.3,3.2,0.3,-6.7,8.4,2.5,4.9,3.6,5.9,5.2,4.3,4.7,3.2
,               Services,6.0,4.1,5.8,4.2,6.4,7.3,7.3,10.4,8.9,2.9,7.4,7.2,6.6,6.0,6.8,5.3,5.7,6.4,6.9
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 2000 | 2005 | 2010 | 2015 market prices,"356,400","358,246","377,558","399,413","426,507 |","543,578","573,936","610,087","639,565","629,885 |","821,434","864,920","912,261","955,080","1,012,449 |","1,176,941","1,229,312","1,299,897","1,361,533"
,    Final consumption expenditure,"192,170","202,580","213,785","231,362","253,025 |","302,556","321,857","352,956","382,437","387,844 |","498,591","540,360","582,015","622,410","662,390 |","789,121","827,900","882,577","945,069"
,         Household final consumption,"155,941","160,662","166,883","180,423","198,193 |","240,188","256,065","282,807","307,467","309,169 |","394,893","422,016","457,255","490,418","524,645 |","634,553","671,698","717,747","774,842"
,         NPISHs final consumption ,,,,,,,,,,,352,361,370,380,393 |,546,562,573,589
,         Government final consumption,"36,229","41,918","46,902","50,939","54,832 |","62,368","65,792","70,149","74,970","78,675 |","103,346","117,983","124,390","131,612","137,351 |","154,021","155,640","164,257","169,638"
,    Gross capital formation,"95,756","86,832","93,699","92,283","98,614 |","121,742","132,185","144,160","146,721","132,902 |","192,105","200,789","237,492","249,022","255,370 |","299,229","312,487","331,827","321,211"
,         Gross fixed capital formation,"90,141","88,282","88,792","91,317","94,562 |","121,237","128,832","142,178","145,525","141,584 |","184,292","195,996","233,203","252,162","264,242 |","304,423","312,190","331,082","335,554"
,               Public,...,...,...,...,...,...,...,...,...,... |,"83,001","85,133","98,659","100,464","95,692 |","106,274","105,213","105,488","100,264"
,               Private,...,...,...,...,...,...,...,...,...,... |,"101,291","110,863","134,543","151,698","168,550 |","198,150","206,977","225,594","235,291"
,         Changes in inventoriese,"5,615","-1,450","4,907",966,"4,052 |",505,"3,353","1,982","1,196","-8,682 |","7,813","4,793","4,289","-3,140","-8,872 |","-5,195",297,745,"-14,344"
,         Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,"427,003","397,838","419,430","440,963","511,774 |","613,694","654,702","679,408","690,096","615,024 |","714,075","743,919","730,961","732,856","769,794 |","817,370","828,155","900,064","920,105"
,         Exports of goods,...,...,...,...,...,...,...,...,...,... |,"602,609","626,712","608,529","604,549","639,514 |","681,275","685,228","750,508","771,768"
,         Exports of services,...,...,...,...,...,...,...,...,...,... |,"111,466","117,207","122,432","128,307","130,280 |","136,095","142,927","149,556","148,337"
,      Less: Imports of goods and services,"358,529","329,004","349,356","365,195","436,906 |","494,414","534,808","566,438","579,688","505,886 |","583,337","620,147","638,206","649,208","675,105 |","728,778","739,230","814,571","824,852"
,          Imports of goods,...,...,...,...,...,...,...,...,...,... |,"478,427","505,184","510,239","516,075","535,528 |","572,051","578,719","644,246","660,997"
,          Imports of services,...,...,...,...,...,...,...,...,...,... |,"104,910","114,963","127,967","133,133","139,577 |","156,727","160,511","170,325","163,855"
,      Statistical discrepancy ,–,–,–,–,– |,–,–,–,–,– |,–,–,–,–,– |,–,–,–, – 
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumptionf,13.0,3.0,3.9,8.1,9.8,9.1,6.6,10.4,8.7,0.6,6.9,6.9,8.3,7.2,7.0,6.0,5.9,6.9,8.0
,               Government final consumption,1.6,15.7,11.9,8.6,7.6,6.5,5.5,6.6,6.9,4.9,3.4,14.2,5.4,5.8,4.4,4.5,1.1,5.5,3.3
,               Gross capital formation,29.2,-9.3,7.9,-1.5,6.9,-2.5,8.6,9.1,1.8,-9.4,25.3,4.5,18.3,4.9,2.5,6.7,4.4,6.2,-3.2
,               Exports of goods and services,16.1,-6.8,5.4,5.1,16.1,8.3,6.7,3.8,1.6,-10.9,11.1,4.2,-1.7,0.3,5.0,0.3,1.3,8.7,2.2
,               Imports of goods and services,24.4,-8.2,6.2,4.5,19.6,8.9,8.2,5.9,2.3,-12.7,15.6,6.3,2.9,1.7,4.0,0.8,1.4,10.2,1.3
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"95,756","86,023","94,950","95,326","109,266","121,742","135,491","155,753","165,218","127,143","192,105","211,415","250,085","264,199","276,363","299,229","324,865","350,587","341,671"
,Gross national saving,"128,008","113,713","125,444","145,952","166,568","200,109","231,531","257,931","296,568","237,790","274,906","310,735","300,262","299,685","324,916","334,383","354,773","388,883","372,259"
,     Gross domestic savingg,"164,230","147,514","161,071","177,789","205,841","241,022","265,553","287,963","337,153","271,672","322,843","353,400","354,572","351,158","378,983","387,821","407,994","444,841","443,127"
,     Net factor income from abroadh,"-28,909","-25,623","-25,061","-22,537","-24,402","-23,943","-17,294","-13,985","-23,033","-14,214","-26,131","-21,600","-35,841","-33,975","-36,624","-32,112","-34,592","-38,658","-51,586"
,     Net current transfers from abroadi,"-7,313","-8,178","-10,566","-9,300","-14,871","-16,970","-16,728","-16,047","-17,552","-19,668","-21,806","-21,065","-18,469","-17,498","-17,443","-21,325","-18,629","-17,300","-19,282"
,,,,,,,,,,,,,,,,,,,,
,              Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,46.1,41.8,42.0,42.5,43.4,44.3,44.5,43.3,43.8,38.1,39.3,38.8,36.5,34.5,34.3,33.0,32.6,32.4,30.6
,               Gross national saving,35.9,32.3,32.7,34.9,35.1,36.8,38.8,38.8,38.5,33.4,33.5,34.1,30.9,29.4,29.4,28.4,28.4,28.4,25.7
,               Gross capital formation,26.9,24.4,24.8,22.8,23.0,22.4,22.7,23.4,21.5,17.8,23.4,23.2,25.7,25.9,25.0,25.4,26.0,25.6,23.6
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices  (RM),,,,,,,,,,,,,,,,,,,
,Per capita GDP,"15,172","14,672","15,616","16,724","18,561","20,870","22,478","24,589","27,929","25,385","28,733","31,372","32,913","33,729","36,040","37,722","39,547","42,864","44,658"
,Per capita GNI,"13,942","13,606","14,595","15,824","17,606","19,951","21,826","24,073","27,094","24,879","27,819","30,629","31,698","32,604","34,848","36,693","38,453","41,656","43,066"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,78.1,81.9,83.5,90.7,95.3,99.7,105.0,104.7,112.1,110.1,110.6,119.7,119.6,121.9,120.8,121.9,122.7,...,...
,Mining;   2005 | 2010 | 2015 = 100,86.9,89.5,91.1,96.0,101.7,100.0,96.2,98.3,99.1,95.5 |,100.0,94.8,96.2,97.0,99.8 |,100.0,102.4,102.2,100.3
,Manufacturing;   2005 | 2010 | 2015 = 100,77.3,72.3,76.1,84.4,95.1,100.0,108.9,111.4,112.2,100.9 |,100.0,105.7,111.3,116.0,123.0 |,100.0,104.3,110.7,116.0
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Crude petroleum   (t ’000 ),,,,,,,,,,,,,,,,,,,
,     Production ,"32,784","31,993","33,545","35,437","36,712","33,787","32,030","32,788","33,133","31,642","30,653","30,653","27,370","27,612","28,549","31,346","32,113","31,701",...
,     Exports,"16,672","15,118","16,192","17,913","18,295","18,390","16,875","16,880","12,250","16,412","16,373","16,381","11,020","10,421","11,432","15,533","16,045","14,453",...
,     Imports,"6,963","8,559","6,845","7,991","7,888","9,121","10,278","10,529","9,228","8,862","9,067","9,067","8,797","8,794","9,450","8,096","10,488","9,793",...
,     Consumption,...,"24,806","23,628","27,364","26,274",...,...,...,"26,862","24,680","23,011","23,511",...,"25,755","25,526","23,746","26,596","26,333",...
,,,,,,,,,,,,,,,,,,,,
,Coal  (t ’000 ),,,,,,,,,,,,,,,,,,,
,     Production,383,498,353,175,389,789,921,"1,063","1,167","2,138","2,397","2,397","2,916","2,894","2,688","2,559","2,259","2,989",...
,     Exports,5,9,6,1,24,63,100,94,54,75,206,678,305,517,181,247,24,830,...
,     Imports,"2,677","3,706","5,340","6,353","9,555","10,303","11,404","10,954","5,457","9,304","19,973","21,989","21,019","22,063","21,738","25,461","27,237","30,426",...
,     Consumption,...,"4,156","5,251","4,623","13,275",...,...,...,"15,919",...,...,"23,247",...,"23,899","24,360","27,609","29,958","32,773",...
,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,"66,686","72,280","75,328","84,022","90,661","96,214","100,841","104,950","106,927","107,116","116,808","116,808","124,894","143,497","147,480","150,190","156,665","167,383",...
,     Exports,18,5,12,193,953,"1,814","2,680","2,252",570,92,253,148,10,23,12,–,694,"1,124",...
,     Imports,1,17,7,0,–,–,–,–,0,–,–,0,370,221,23,12,33,7,...
,     Consumption,"62,350","64,954","68,802","73,483","78,804","83,219","85,956","91,189","94,393","93,714","101,550","110,853","107,341","134,446","128,333","132,203","144,023","149,034",...
,,,,,,,,,,,,,,,,,,,,
,Retail prices   (RM/L),,,,,,,,,,,,,,,,,,,
