PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,
,     Accommodation and food service activities,60.1,65.7,69.5,74.5,83.2,89.6,98.4,111.3,121.4,129.5,145.2,161.3,178.8,194.2,213.0,233.7,258.7,289.4,321.4,,,,,,,,,,,,,,,,
,     Transportation and storage,130.8,153.0,164.4,178.1,204.5,225.2,242.1,260.4,278.0,282.9,304.4,337.8,372.3,404.0,449.1,494.3,535.9,575.7,622.5,,,,,,,,,,,,,,,,
,     Information and communication,88.5,110.4,132.4,158.0,190.4,218.3,234.8,254.2,270.9,278.2,281.8,289.5,307.5,323.9,335.8,361.8,373.4,386.8,408.0,,,,,,,,,,,,,,,,
,     Financial and insurance activities,187.1,208.6,225.3,247.5,280.7,334.0,396.9,449.7,499.9,544.5,622.4,684.1,763.7,885.1,988.9,"1,063.7","1,168.6","1,297.6","1,461.0",,,,,,,,,,,,,,,,
,     Real estate activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activities",333.7,357.0,386.4,431.0,491.5,560.1,631.0,700.8,816.5,884.1,979.1,"1,105.1","1,220.7","1,374.8","1,541.8","1,698.1","1,899.0","2,084.3","2,227.1",,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,184.5,196.6,200.4,207.8,225.7,233.8,260.2,269.3,285.9,323.6,372.3,404.3,457.6,486.0,500.7,513.0,575.0,654.0,787.5,,,,,,,,,,,,,,,,
,     Education,174.1,187.7,206.0,223.5,239.0,250.0,265.4,292.3,312.4,342.1,355.2,385.6,414.1,448.4,468.2,505.2,555.6,615.7,701.4,,,,,,,,,,,,,,,,
,     Human health and social work activities,46.1,52.4,58.0,63.7,71.9,81.4,89.4,97.0,105.6,114.9,125.5,139.7,154.6,170.4,202.7,222.2,246.8,272.9,293.7,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",44.5,48.9,54.3,60.9,70.4,76.2,83.9,96.0,105.6,120.7,159.6,170.9,204.4,222.4,224.5,255.0,277.0,281.5,298.4,,,,,,,,,,,,,,,,
,     Other service activities,30.1,31.1,32.0,33.0,34.1,35.4,37.1,40.7,44.8,47.8,49.5,50.8,62.4,65.8,69.2,74.6,81.0,87.1,93.3,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods- and services-producing activities 
          of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,Gross value added at basic pricesf,…,…,…,…,…,…,…,…,…,"7,486.6","8,414.7","9,072.3","9,843.8","10,723.3","11,693.9","12,287.2","13,363.0","14,614.1","15,940.1",,,,,,,,,,,,,,,,
,Taxes less subsidies on production and imports,…,…,…,…,…,…,…,…,…,539.5,588.7,635.9,717.4,815.1,940.3,"1,034.9","1,116.9","1,193.5","1,486.1",,,,,,,,,,,,,,,,
,Net factor income from abroad,616.2,705.2,780.8,823.0,913.4,"1,053.8","1,114.9","1,175.4","1,342.2","1,712.1","1,849.0","1,921.0","2,166.2","2,480.6","2,676.8","2,792.4","2,950.4","3,198.8","3,483.7",,,,,,,,,,,,,,,,
,GNI,"4,196.9","4,594.0","4,979.2","5,371.1","6,033.8","6,731.5","7,386.1","8,068.2","9,063.1","9,738.2","10,852.4","11,629.3","12,727.2","14,019.0","15,311.0","16,114.4","17,430.7","19,006.4","20,909.9",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,14.0,13.2,13.1,12.7,13.3,12.7,12.4,12.5,13.2,13.1,12.3,12.7,11.8,11.3,11.3,10.3,9.7,9.7,9.3,,,,,,,,,,,,,,,,
,               Industry,34.5,34.5,34.6,34.6,33.8,33.8,33.5,33.1,32.9,31.7,32.6,31.3,31.2,31.1,31.3,30.9,30.7,30.5,30.8,,,,,,,,,,,,,,,,
,               Services,51.5,52.2,52.2,52.7,52.9,53.5,54.1,54.5,53.9,55.2,55.1,55.9,56.9,57.6,57.3,58.8,59.6,59.9,59.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices   ,"3,580.7","3,888.8","4,198.3","4,548.1","5,120.4","5,677.7","6,271.2","6,892.7","7,720.9","8,026.1","9,003.5","9,708.3","10,561.1","11,538.4","12,634.2","13,322.0","14,480.3","15,807.6","17,426.2",,,,,,,,,,,,,,,,
,     Final consumption expenditure,"2,994.3","3,294.4","3,546.4","3,845.6","4,295.3","4,772.4","5,253.7","5,704.4","6,421.5","6,784.8","7,317.3","8,074.4","8,983.0","9,714.6","10,498.1","11,281.7","12,292.4","13,391.0","14,943.4",,,,,,,,,,,,,,,,
,          Household final consumption,"2,585.3","2,863.5","3,102.4","3,381.6","3,814.9","4,259.1","4,678.0","5,064.5","5,739.6","5,993.4","6,442.0","7,132.6","7,837.9","8,463.8","9,163.8","9,825.9","10,672.8","11,614.1","12,864.9",,,,,,,,,,,,,,,,
,          NPISHs final consumption ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Government final consumption,409.0,430.9,443.9,464.0,480.4,513.3,575.7,640.0,681.9,791.4,875.3,941.8,"1,145.1","1,250.8","1,334.3","1,455.8","1,619.6","1,776.9","2,078.4",,,,,,,,,,,,,,,,
,     Gross capital formation,657.7,861.0,"1,027.4","1,045.2","1,106.6","1,223.6","1,129.4","1,195.0","1,489.2","1,331.7","1,849.4","1,986.9","1,922.5","2,309.5","2,596.8","2,826.2","3,534.8","3,973.5","4,694.4",,,,,,,,,,,,,,,,
,          Gross fixed capital formation,791.3,810.6,863.5,941.0,"1,041.6","1,129.9","1,262.0","1,371.7","1,518.2","1,526.1","1,847.7","1,819.3","2,068.9","2,380.3","2,611.5","2,929.0","3,568.2","3,953.6","4,663.9",,,,,,,,,,,,,,,,
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,          Changes in inventories,-133.6,50.4,163.9,104.2,65.0,93.6,-132.6,-176.6,-29.0,-194.4,1.6,167.7,-146.4,-70.8,-14.8,-102.8,-33.4,19.9,30.5,,,,,,,,,,,,,,,,
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Exports of goods and services,"1,839.4","1,789.9","1,962.6","2,144.8","2,487.1","2,619.5","2,921.0","2,981.8","2,849.9","2,587.0","3,133.5","3,109.7","3,254.8","3,232.8","3,652.9","3,782.9","4,069.2","4,904.0","5,521.3",,,,,,,,,,,,,,,,
,          Exports of goods,"1,662.4","1,599.7","1,751.1","1,918.4","2,167.8","2,232.9","2,404.1","2,298.3","2,152.1","1,799.7","2,259.9","2,034.5","2,120.2","2,104.3","2,392.8","2,295.6","2,334.1","2,835.8","3,169.3",,,,,,,,,,,,,,,,
,          Exports of services,177.0,190.2,211.5,226.3,319.3,386.6,516.9,683.5,697.8,787.3,873.6,"1,075.2","1,134.6","1,128.5","1,260.1","1,487.3","1,735.1","2,068.2","2,352.1",,,,,,,,,,,,,,,,
,     Less: Imports of goods and services,"1,910.7","2,056.5","2,338.0","2,487.5","2,768.6","2,937.8","3,032.9","2,988.6","3,039.7","2,677.4","3,296.7","3,462.7","3,599.3","3,718.6","4,113.6","4,568.7","5,416.1","6,461.0","7,732.8",,,,,,,,,,,,,,,,
,          Imports of goods,"1,566.6","1,703.7","1,992.2","2,134.8","2,395.0","2,531.8","2,599.7","2,504.4","2,512.0","2,104.8","2,635.8","2,826.1","2,875.9","2,914.1","3,211.9","3,543.0","4,284.1","5,185.8","6,322.4",,,,,,,,,,,,,,,,
,          Imports of services,344.1,352.7,345.8,352.6,373.6,406.0,433.2,484.2,527.8,572.6,661.0,636.5,723.4,804.4,901.7,"1,025.7","1,132.0","1,275.1","1,410.4",,,,,,,,,,,,,,,,
,     Statistical discrepancy ,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,–,–,-66.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumptiong,72.2,73.6,73.9,74.4,74.5,75.0,74.6,73.5,74.3,74.7,71.6,73.5,74.2,73.4,72.5,73.8,73.7,73.5,73.8,,,,,,,,,,,,,,,,
,               Government final consumption,11.4,11.1,10.6,10.2,9.4,9.0,9.2,9.3,8.8,9.9,9.7,9.7,10.8,10.8,10.6,10.9,11.2,11.2,11.9,,,,,,,,,,,,,,,,
,               Gross capital formation,18.4,22.1,24.5,23.0,21.6,21.6,18.0,17.3,19.3,16.6,20.5,20.5,18.2,20.0,20.5,21.2,24.4,25.1,26.9,,,,,,,,,,,,,,,,
,                   Changes in inventories,-3.7,1.3,3.9,2.3,1.3,1.6,-2.1,-2.6,-0.4,-2.4,0.0,1.7,-1.4,-0.6,-0.1,-0.8,-0.2,0.1,0.2,,,,,,,,,,,,,,,,
,               Exports of goods and services,51.4,46.0,46.7,47.2,48.6,46.1,46.6,43.3,36.9,32.2,34.8,32.0,30.8,28.0,28.9,28.4,28.1,31.0,31.7,,,,,,,,,,,,,,,,
,               Imports of goods and services,53.4,52.9,55.7,54.7,54.1,51.7,48.4,43.4,39.4,33.4,36.6,35.7,34.1,32.2,32.6,34.3,37.4,40.9,44.4,,,,,,,,,,,,,,,,
,               Statistical discrepancy,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,–,-0.0,0.0,-0.0,–,–,-0.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 2000 market prices,"3,580.7","3,684.3","3,818.7","4,008.5","4,276.9","4,481.3","4,716.2","5,028.3","5,237.1","5,297.2","5,701.5","5,910.2","6,305.2","6,750.6","7,165.5","7,600.2","8,123.4","8,665.8","9,206.9",,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishing",500.1,517.3,534.5,559.5,583.6,596.7,618.5,647.7,668.5,663.7,662.7,679.8,698.9,707.0,718.8,719.7,711.0,739.2,745.8,,,,,,,,,,,,,,,,
,     Mining and quarrying,22.5,21.3,35.0,39.5,37.6,43.6,43.5,51.6,50.9,59.1,65.9,70.5,72.0,72.9,81.7,80.5,83.7,84.8,85.9,,,,,,,,,,,,,,,,
,     Manufacturing,876.1,899.8,927.1,961.3,"1,011.6","1,062.6","1,106.1","1,145.5","1,194.9","1,137.5","1,264.5","1,324.3","1,395.7","1,538.9","1,666.5","1,761.0","1,885.5","2,044.2","2,145.0",,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supply ",119.3,123.1,126.6,135.6,143.8,146.6,150.9,159.1,169.8,167.1,184.8,186.0,195.6,205.0,211.9,224.4,245.5,254.0,267.8,,,,,,,,,,,,,,,,
,"     Water supply; sewerage, waste management, and remediation activities",13.7,14.2,13.3,14.5,16.7,16.1,16.7,17.5,18.8,20.1,20.8,21.1,22.7,23.5,24.9,25.6,27.0,27.7,29.3,,,,,,,,,,,,,,,,
,     Construction,203.9,189.1,181.5,187.3,198.4,198.2,217.6,249.4,266.8,285.0,325.8,294.6,348.3,381.7,409.3,456.9,512.1,538.1,618.3,,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,565.5,595.6,618.8,650.5,698.8,740.3,784.4,851.9,863.7,875.6,948.7,981.0,"1,055.7","1,121.1","1,185.8","1,270.5","1,367.4","1,467.0","1,554.9",,,,,,,,,,,,,,,,
,     Accommodation and food service activities,60.1,62.2,66.3,67.6,73.1,74.6,78.6,86.9,88.6,90.6,98.9,107.2,114.9,119.1,125.1,133.7,145.6,158.1,166.2,,,,,,,,,,,,,,,,
,     Transportation and storage,130.8,132.6,138.3,143.7,147.3,143.9,148.0,152.6,155.5,152.0,154.1,165.1,178.7,192.5,213.8,231.7,251.5,264.4,279.7,,,,,,,,,,,,,,,,
,     Information and communication,88.5,110.2,129.7,157.0,189.7,217.0,228.4,255.4,268.5,271.4,273.7,280.9,298.2,312.9,324.3,349.6,360.4,372.2,391.1,,,,,,,,,,,,,,,,
,     Financial and insurance activities,187.1,194.8,204.8,217.5,232.7,257.3,287.8,317.1,322.7,340.3,374.7,394.4,426.8,480.7,515.5,546.7,590.1,635.1,681.0,,,,,,,,,,,,,,,,
,     Real estate activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activities",333.7,333.3,340.6,358.7,393.0,419.5,447.0,482.5,526.1,547.9,588.9,638.2,678.9,739.0,798.1,854.7,930.7,999.4,"1,046.7",,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,184.5,187.9,189.5,196.0,210.7,212.1,219.6,222.7,227.2,241.0,255.1,260.0,274.9,282.3,293.8,297.4,318.5,346.2,398.9,,,,,,,,,,,,,,,,
,     Education,174.1,177.6,183.5,186.9,195.8,202.0,212.0,219.0,238.3,256.5,261.8,272.7,277.7,291.5,296.2,316.6,337.9,365.5,412.6,,,,,,,,,,,,,,,,
,     Human health and social work activities,46.1,48.4,51.1,53.2,57.4,62.1,63.9,66.3,67.7,71.0,75.6,81.8,87.9,94.0,111.6,121.7,132.4,143.3,148.1,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",44.5,47.6,50.8,54.4,61.3,63.6,67.3,75.5,80.2,88.5,115.3,122.2,142.5,151.6,150.4,169.1,181.2,181.3,188.4,,,,,,,,,,,,,,,,
,     Other service activities,30.1,29.3,27.5,25.3,25.2,25.1,25.9,27.5,28.9,30.0,30.2,30.3,35.9,36.8,37.8,40.1,42.8,45.3,47.3,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods- and services-producing activities 
          of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,Gross value added at basic prices,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,Taxes less subsidies on production and imports at constant prices,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,Net factor income from abroad,616.1,663.8,709.9,727.5,759.8,822.0,827.4,842.6,883.9,"1,103.4","1,149.6","1,147.8","1,254.3","1,401.6","1,474.7","1,543.0","1,632.3","1,728.5","1,803.4",,,,,,,,,,,,,,,,
,GNI,"4,196.9","4,348.1","4,528.6","4,735.9","5,036.7","5,303.3","5,543.6","5,870.9","6,121.0","6,400.7","6,851.1","7,058.0","7,559.5","8,152.2","8,640.2","9,143.2","9,755.7","10,394.3","11,010.3",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               GDP,4.4,2.9,3.6,5.0,6.7,4.8,5.2,6.6,4.2,1.1,7.6,3.7,6.7,7.1,6.1,6.1,6.9,6.7,6.2,,,,,,,,,,,,,,,,
,               Agriculture,3.4,3.4,3.3,4.7,4.3,2.2,3.6,4.7,3.2,-0.7,-0.2,2.6,2.8,1.2,1.7,0.1,-1.2,4.0,0.9,,,,,,,,,,,,,,,,
,               Industry,6.5,1.0,2.9,4.3,5.2,4.2,4.6,5.8,4.8,-1.9,11.6,1.9,7.3,9.2,7.8,6.4,8.0,7.1,6.7,,,,,,,,,,,,,,,,
,               Services,3.3,4.0,4.2,5.5,8.3,5.8,6.0,7.6,4.0,3.4,7.2,4.9,7.1,7.0,6.0,6.9,7.5,6.9,6.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP 2000 market prices,"3,580.7","3,684.3","3,818.7","4,008.5","4,276.9","4,481.3","4,716.2","5,028.3","5,237.1","5,297.2","5,701.5","5,910.2","6,305.2","6,750.6","7,165.5","7,600.2","8,123.4","8,665.8","9,206.9",,,,,,,,,,,,,,,,
,     Final consumption expenditure,"2,994.3","3,093.4","3,214.8","3,384.2","3,570.4","3,718.7","3,901.0","4,091.4","4,225.2","4,366.2","4,516.0","4,748.5","5,114.7","5,398.2","5,681.9","6,050.6","6,497.0","6,881.9","7,332.3",,,,,,,,,,,,,,,,
,          Household final consumption,"2,585.3","2,690.9","2,828.3","2,983.7","3,161.9","3,301.8","3,439.9","3,598.4","3,730.9","3,817.9","3,945.8","4,166.4","4,442.5","4,692.4","4,953.0","5,266.6","5,642.4","5,974.4","6,306.6",,,,,,,,,,,,,,,,
,          NPISHs final consumption ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Government final consumption,409.0,402.5,386.5,400.4,408.5,416.9,461.1,492.9,494.4,548.3,570.2,582.1,672.2,705.8,728.9,784.0,854.6,907.6,"1,025.7",,,,,,,,,,,,,,,,
,     Gross capital formation,657.7,815.4,943.1,938.9,917.9,945.0,802.1,798.3,984.8,899.3,"1,183.6","1,216.9","1,164.7","1,490.2","1,553.0","1,838.4","2,290.3","2,505.4","2,835.9",,,,,,,,,,,,,,,,
,          Gross fixed capital formation,791.3,769.4,792.0,844.8,863.0,883.3,931.0,979.7,"1,010.6",993.0,"1,182.2","1,159.8","1,285.1","1,437.2","1,540.3","1,800.5","2,270.6","2,484.2","2,804.8",,,,,,,,,,,,,,,,
,               Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,               Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,          Changes in inventories,-133.6,46.0,151.0,94.1,54.9,61.7,-128.9,-181.4,-25.8,-93.6,1.4,57.0,-120.5,53.0,12.8,37.9,19.7,21.2,31.1,,,,,,,,,,,,,,,,
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Exports of goods and services,"1,839.4","1,709.4","1,789.1","1,869.8","2,108.4","2,212.8","2,491.6","2,659.7","2,588.5","2,385.8","2,886.1","2,813.0","3,054.3","3,024.6","3,406.6","3,695.4","4,124.9","4,935.7","5,599.1",,,,,,,,,,,,,,,,
