VANUATU,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,     Financial and insurance activities,"2,106","2,645","2,397","3,011","3,192","3,827","4,214","4,113","5,202","4,354","4,307","5,011","4,842","5,464","5,470","6,776","7,133","5,963",…,
,     Real estate activities,,,2991,"3,094","3,256","3,513","3,611","3,800","3,970","4,045","4,311","4,438","4,928","5,096","5,478","6,199","6,432","6,610",…,
,"     Professional, scientific, and technical activities",,,1085,"1,038","1,130","1,210","1,306","1,438","1,807","2,177","2,121","2,239","1,857","1,881","1,912","2,052","2,756","2,840",…,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,…,
,     Public administration and defense; compulsory social securityc,"4,298","4,316","4,365","4,640","4,658","4,800","5,776","7,115","7,917","8,140","9,002","8,843","8,723","8,793","8,666","9,354","9,254","10,559",…,
,     Education,,,,,,,,,,,,,,,,,,,…,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,…,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,…,
,     Other service activitiesd,"6,649","6,615",915,935,822,910,"1,300","1,208","1,338","1,191","1,119","1,314","1,366","1,346","1,522","1,483","1,475","1,537",…,
,"     Activities of households as employers; undifferentiated goods- and
          services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,Imputed bank service charges at current prices,"1,289","1,504","1,397","1,536","1,556","1,897","2,113","2,333","2,651","2,910","3,160","3,644","3,082","3,236","3,574","3,448","3,364","3,228",…,
,Taxes on production and imports at current prices,"4,601","4,727","4,263","4,349","4,675","5,176","5,742","7,130","8,394","8,193","6,947","7,611","7,637","8,087","8,432","8,718","8,489","10,444",…,
,Net factor income from abroad,...,...,...,...,"-2,086","-2,835","-2,240","-2,834",-481,"-2,483","-1,352","-2,321","-2,527","-1,997","-1,327",…,…,…,…,
,GNI,...,...,...,...,"38,717","40,313","46,372","51,092","61,126","62,636","66,560","68,552","69,888","73,806","77,781",…,…,…,…,
,,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,              Agriculture,25.4,25.7,26.3,24.6,25.6,24.1,22.7,22.6,22.3,21.5,21.9,24.2,26.7,26.7,26.8,23.1,22.2,23.1,…,
,              Industry,12.2,9.7,9.7,8.8,8.2,8.5,8.7,8.6,9.8,11.8,13.0,10.3,8.0,8.4,8.7,11.5,11.1,11.0,…,
,              Services,62.3,64.6,64.0,66.5,66.2,67.4,68.6,68.9,68.0,66.7,65.0,65.5,65.3,64.9,64.5,65.4,66.6,65.9,…,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"37,627","38,040","36,553","38,423","40,803","43,148","48,613","53,926","61,607","65,119","67,912","70,873","72,415","75,803","79,109","82,798","87,250","94,887",…,
,     Final consumption expenditure,"29,667","30,958","31,888","32,696","33,811","34,689","37,481","40,868","44,222","48,596","53,962","55,305","56,495","58,644","60,562","67,660","69,439","75,310",…,
,          Household final consumption,"23,497","24,900","25,806","26,424","27,664","28,408","29,882","31,623","34,234","37,346","41,133","42,591","44,246","46,316","48,750","53,291","55,506","57,372",…,
,          NPISHs final consumption ,…,…,427,484,520,566,756,521,706,854,953,"1,063","1,048","1,044","1,378","1,253","1,316","1,393",…,
,          Government final consumption,"6,170","6,058","5,655","5,788","5,627","5,715","6,843","8,724","9,282","10,396","11,876","11,651","11,202","11,284","10,433","13,115","12,618","16,545",…,
,     Gross capital formation,"8,601","7,174","7,143","6,473","9,482","10,407","13,795","17,400","24,987","25,978","23,538","19,488","16,688","19,648","20,909","27,887","22,309","26,437",…,
,          Gross fixed capital formation,"8,415","7,000","6,944","6,237","9,206","10,103","13,378","16,864","24,157","25,256","22,962","18,973","16,173","19,133","20,506","27,207","21,366","25,756",…,
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,          Changes in inventories,186,174,196,186,272,304,439,520,745,594,549,510,504,513,524,665,774,626,…,
,          Acquisitions less disposals of valuables,…,…,3,50,4,–,-22,16,85,128,27,5,11,2,-121,15,169,55,…,
,     Exports of goods and services,"13,043","13,352","15,466","16,629","18,606","19,582","20,063","21,999","27,823","31,980","31,665","31,425","35,547","36,252","38,555","36,669","41,393","45,224",…,
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Less: Imports of goods and services,"16,438","17,951","18,053","18,556","21,669","23,641","23,464","25,700","35,497","36,647","35,816","35,412","36,815","38,884","40,456","53,381","51,398","54,907",…,
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Statistical discrepancy ,"2,754","4,507",108,"1,183",573,"2,111",738,-641,72,"-4,788","-5,437",68,500,142,-461,"3,964","5,505","2,823",…,
,,,,,,,,,,,,,,,,,,,,,
,             Structure of Demand (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,             Household final consumption,62.4,65.5,70.6,68.8,67.8,65.8,61.5,58.6,55.6,57.4,60.6,60.1,61.1,61.1,61.6,64.4,63.6,60.5,…,
,             Government final consumption,16.4,15.9,15.5,15.1,13.8,13.2,14.1,16.2,15.1,16.0,17.5,16.4,15.5,14.9,13.2,15.8,14.5,17.4,…,
,             Gross capital formation,22.9,18.9,19.5,16.8,23.2,24.1,28.4,32.3,40.6,39.9,34.7,27.5,23.0,25.9,26.4,33.7,25.6,27.9,…,
,                  Changes in inventories,0.5,0.5,0.5,0.5,0.7,0.7,0.9,1.0,1.2,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.9,0.7,…,
,             Exports of goods and services,34.7,35.1,42.3,43.3,45.6,45.4,41.3,40.8,45.2,49.1,46.6,44.3,49.1,47.8,48.7,44.3,47.4,47.7,…,
,             Imports of goods and services,43.7,47.2,49.4,48.3,53.1,54.8,48.3,47.7,57.6,56.3,52.7,50.0,50.8,51.3,51.1,64.5,58.9,57.9,…,
,             Statistical discrepancy,7.3,11.8,0.3,3.1,1.4,4.9,1.5,1.2,0.1,7.4,8.0,0.1,0.7,0.2,0.6,4.8,6.3,3.0,…,
,,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,                                                                                                                                                                                                                                                                                   ,,,,,,,,,,,,,,,
,GDP by industrial origin at 2006 market prices,"42,216","41,323","39,246","40,931","42,562","44,819","48,612","51,128","54,425","56,228","57,144","57,843","58,858","60,017","61,400","61,500","63,635","66,443",…,
,"     Agriculture, forestry, and fishing","9,144","9,108","9,058","9,397","9,826","10,054","10,201","10,558","10,828","10,899","11,424","12,117","12,386","12,978","13,525","11,390","11,973","12,022",…,
,     Mining and quarrying,...,...,–,–,–,–,10,125,22,22,16,13,19,16,14,11,19,24,…,
,     Manufacturing,"1,368","1,476","1,361","1,307","1,331","1,304","1,756","1,092","1,044","1,192","2,223","2,031","1,751","1,642","1,654","1,578","1,625","1,657",…,
,"     Electricity, gas, steam, and air-conditioning supply",828,845,837,829,857,893,917,978,"1,116","1,138","1,221","1,252","1,222","1,245","1,225","1,194","1,336","1,392",…,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,…,
,     Construction,"1,961","1,053","1,007",923,803,952,"1,252","1,341","2,327","3,402","3,020","1,925","1,073","1,559","1,710","3,448","3,516","3,881",…,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesa,"6,544","6,428","5,993","6,344","6,330","6,285","7,886","8,053","8,154","8,465","9,169","9,609","10,241","10,164","10,678","11,048","11,313","11,688",…,
,     Accommodation and food service activities,,,"1,758","1,718","1,979","1,916","1,986","2,195","2,427","2,827","2,877","2,848","2,973","3,084","3,123","2,820","2,925","3,013",…,
,     Transportation and storagec,"3,303","3,626","1,547","2,023","2,471","3,022","3,009","3,281","2,683","3,364","3,369","3,472","4,475","3,463","3,260","3,129","3,170","3,228",…,
,     Information and communication,,,"1,448","1,438","1,557","1,710","1,760","2,145","2,632","3,155","3,155","3,386","3,102","3,359","3,626","3,880","4,112","4,665",…,
,     Financial and insurance activities,"2,377","2,862","2,543","3,050","3,258","3,936","4,214","4,128","4,826","3,698","3,628","3,957","3,954","4,273","4,262","4,552","4,559","4,430",…,
,     Real estate activities,,,"2,965","3,089","3,273","3,526","3,611","3,700","3,838","3,906","4,137","4,265","4,653","4,739","4,868","4,958","5,136","5,222",…,
,"     Professional, scientific, and technical activities",,,"1,171","1,087","1,166","1,234","1,306","1,383","1,659","1,911","1,816","1,901","1,520","1,506","1,488","1,632","1,930","1,980",…,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,…,
,     Public administration and defense; compulsory social securityc,"5,585","5,448","5,495","5,804","5,648","5,723","5,776","6,161","6,377","6,569","6,915","6,634","6,764","7,198","7,331","7,447","7,581","7,661",…,
,     Education,,,,,,,,,,,,,,,,,,,…,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,…,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,…,
,     Other service activitiesd,"7,339","6,935",975,977,845,929,"1,300","1,163","1,221","1,041",931,"1,065","1,080","1,019","1,109","1,063",984,"1,028",…,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,Imputed bank service charge (constant prices),"1,469","1,655","1,507","1,608","1,607","1,936","2,113","2,245","2,434","2,555","2,705","3,093","2,468","2,517","2,597","2,727","2,348","2,546",…,
,Taxes less subsidies on production and imports,"5,236","5,196","4,595","4,553","4,825","5,271","5,742","7,070","7,705","7,194","5,948","6,461","6,114","6,292","6,126","6,078","5,803","7,098",…,
,GNI,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,,
,              GDP,5.9,-2.1,-5.0,4.3,4.0,5.3,8.5,5.2,6.4,3.3,1.6,1.2,1.8,2.0,2.3,0.2,3.5,4.4,…,
,              Agriculture,4.3,-0.4,-0.6,3.7,4.6,2.3,1.5,3.5,2.6,0.7,4.8,6.1,2.2,4.8,4.2,-15.8,5.1,0.4,…,
,              Industry,46.4,-18.8,-5.0,-4.6,-2.2,5.3,25.0,-10.1,27.5,27.6,12.6,-19.4,-22.2,9.8,3.2,35.3,4.3,7.1,…,
,              Services,2.2,0.6,-5.6,6.8,3.9,6.6,9.1,4.4,5.0,3.3,3.0,3.2,4.4,0.1,2.4,2.0,2.9,2.9,…,
,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 2006 market prices,…,…,"39,246","40,931","42,562","44,819","48,613","51,128","54,425","56,228","57,144","57,843","58,858","60,017","61,400","61,500","63,632","66,443",…,
,     Final consumption expenditure,…,…,"34,630","35,250","35,757","36,494","37,481","38,659","39,660","41,609","42,848","43,810","44,718","46,100","47,416","49,257","52,514","53,662",…,
,          Household final consumption,…,…,"27,260","27,873","28,489","29,185","29,882","30,554","31,451","32,272","33,110","34,103","35,140","36,357","37,779","38,289","41,680","40,889",…,
,          NPISHs final consumption ,…,…,451,510,535,581,756,503,649,738,765,807,796,766,989,861,872,871,…,
,          Government final consumption,…,…,"6,919","6,867","6,733","6,728","6,843","7,602","7,560","8,599","8,973","8,900","8,782","8,977","8,648","10,107","9,962","11,901",…,
,     Gross capital formation,…,…,"7,274","6,548","9,550","10,288","13,795","16,785","22,867","22,764","21,587","18,309","15,277","17,872","19,478","25,952","20,371","23,601",…,
,          Gross fixed capital formation,…,…,"7,047","6,302","9,256","9,980","13,378","16,283","22,128","21,994","20,982","17,769","14,754","17,267","18,957","25,255","19,611","22,910",…,
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,          Changes in inventories,…,…,224,193,289,308,439,487,662,658,582,536,514,604,609,686,640,650,…,
,          Acquisitions less disposals of valuables,…,…,3,53,5,–,-22,15,77,112,23,4,9,2,-88,10,119,41,…,
,     Exports of goods and services,…,…,"14,744","16,318","18,687","20,013","20,063","21,225","23,052","26,375","26,484","29,239","28,876","30,077","29,852","31,303","37,419","37,006",…,
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Less: Imports of goods and services,…,…,"18,543","18,482","22,675","23,325","23,464","25,129","33,028","34,002","33,266","32,625","32,896","35,020","35,090","44,279","45,308","46,784",…,
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Statistical discrepancy,…,…,"1,140","1,294","1,243","1,349",738,-412,"1,874",-518,-509,-890,"2,884",988,-256,-732,"-1,364","-1,042",…,
,,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,,
,               Household final consumption,…,…,...,2.2,2.2,2.4,2.4,2.2,2.9,2.6,2.6,3.0,3.0,3.5,3.9,1.3,8.9,-1.9,…,
,               Government final consumption,…,…,...,-0.8,-2.0,-0.1,1.7,11.1,-0.6,13.7,4.3,-0.8,-1.3,2.2,-3.7,16.9,-1.4,19.5,…,
,               Gross capital formation,...,...,...,-10.0,45.8,7.7,34.1,21.7,36.2,-0.5,-5.2,-15.2,-16.6,17.0,9.0,33.2,-21.5,15.9,…,
,               Exports of goods and services,…,…,...,10.7,14.5,7.1,0.2,5.8,8.6,14.4,0.4,10.4,-1.2,4.2,-0.7,4.9,19.5,-1.1,…,
,               Imports of goods and services,…,…,...,-0.3,22.7,2.9,0.6,7.1,31.4,2.9,-2.2,-1.9,0.8,6.5,0.2,26.2,2.3,3.3,…,
,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"8,601","7,174","7,141","6,423","9,478","10,407","13,795","17,400","24,987","25,978","23,538","19,488","16,688","19,648","20,909",...,...,...,…,
,Gross national saving,...,...,...,...,"6,334","5,566","10,957","13,536","20,908","22,010","19,030","15,065","14,725","17,176","20,757",...,...,...,…,
,     Gross domestic saving,"7,960","7,083","4,665","5,729","6,991","5,995","9,466","13,255","20,412","21,677","18,338","15,257","15,156","17,687","19,001",...,...,...,…,
,     Net factor income from abroade,...,...,...,...,"-2,086","-2,835","-2,240","-2,834",-481,"-2,483","-1,352","-2,321","-2,527","-1,997","-1,327",...,...,...,…,
,     Net current transfers from abroadf,...,...,"1,089",903,"1,429","2,406","3,731","3,115",977,"2,816","2,044","2,129","2,096","1,486","3,083",...,...,...,…,
,,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,21.2,18.6,12.8,14.9,17.1,13.9,19.5,24.6,33.1,33.3,27.0,21.5,20.9,23.3,24.0,...,...,...,…,
,               Gross national saving,...,...,...,...,15.5,12.9,22.5,25.1,33.9,33.8,28.0,21.3,20.3,22.7,26.2,...,...,...,…,
,               Gross capital formation,22.9,18.9,19.5,16.7,23.2,24.1,28.4,32.3,40.6,39.9,34.7,27.5,23.0,25.9,26.4,…,…,…,…,
,,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (Vt),,,,,,,,,,,,,,,,,,,,
,Per capita GDP,"197,054","194,769","182,895","187,940","195,084","201,657","222,091","240,824","268,941","278,259","283,285","288,990","288,637","295,349","301,298","308,259","320,230","340,779",…,
,Per capita GNI,...,...,...,...,"185,110","188,408","211,852","228,168","266,841","267,649","277,644","279,524","278,565","287,568","296,242",...,...,...,…,
,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages ,,,,,,,,,,,,,,,,,,,,
,Agriculture;  2004–2006 = 100,100.09,100.79,91.93,96.43,98.5,100.36,101.14,103.65,106.21,103.72,128.58,125.1,126.81,134.48,122.65,122.88,124.07,…,…,
,,,,,,,,,,,,,,,,,,,,,
,ENERGY  annual values,,,,,,,,,,,,,,,,,,,,
,Electricity (kWh million),,,,,,,,,,,,,,,,,,,,
,     Production,41,42,42,41,43,45,46,49,55,57,61,63,61,62,61,58,65,68,…,
,     Consumption,41,42,42,41,43,45,46,49,55,57,61,63,61,62,61,58,65,68,…,
,,,,,,,,,,,,,,,,,,,,,
,Retail prices (Vt/L),,,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",107,107,101,106,121,134,151,158,177,146,145,164,175,174,...,...,...,...,…,
,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES period averages; first quarter 2000 = 100,,,,,,,,,,,,,,,,,,,,
,Consumer (national),102.1,105.6,107.9,111.3,112.8,113.7,116.3,120.8,126.7,132.1,135.8,137.0,138.8,140.8,142.0,145.5,146.7,151.2,154.4,
,          Food and nonalcoholic beverages,101.0,103.0,104.0,104.0,108.1,108.7,112.5,116.8,126.2,135.2,141.4,142.5,145.4,147.6,150.1,155.5,159.0,169.8,175.8,
,"          Alcoholic beverages, tobacco, and narcotics",…,…,…,…,…,…,134.0,144.6,152.6,157.5,172.2,175.0,177.4,178.5,180.1,180.6,180.8,181.0,186.2,
,          Clothing and footwear,…,…,…,…,…,…,101.0,100.9,101.9,101.8,100.6,101.1,101.1,106.0,109.3,113.0,112.0,110.8,112.7,
,"          Housing, water, electricity, gas, and other fuels",…,…,…,…,…,…,118.2,123.4,125.8,127.1,129.3,131.1,130.5,133.4,133.4,135.9,132.3,132.4,134.4,
,"          Furnishings, household equipment, and routine household maintenance",…,…,…,…,…,…,102.2,101.8,103.3,104.3,103.9,102.7,107.3,107.5,107.1,107.0,107.9,108.2,113.0,
,          Health,…,…,…,…,…,…,…,…,100.0,100.3,101.0,101.6,100.7,101.2,102.1,102.3,101.8,102.0,103.7,
,          Transportg,…,…,…,…,…,…,121.9,125.4,134.1,144.2,147.0,145.8,143.7,143.3,144.4,152.9,158.3,166.4,170.3,
,          Communication,…,…,…,…,…,…,…,…,100.0,99.7,98.8,98.9,98.0,98.5,98.6,98.6,97.4,94.9,94.9,
,          Recreation and cultureh,…,…,…,…,…,…,116.0,121.4,119.8,125.9,130.4,133.2,136.4,137.1,132.7,132.5,133.3,131.1,135.9,
,          Education,…,…,…,…,…,…,…,…,100.0,105.2,101.0,105.1,107.7,110.4,111.1,115.1,120.5,124.3,110.5,
,          Restaurants and hotels,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,…,
,          Miscellaneous goods and services,…,…,…,…,…,…,…,…,…,101.8,102.3,102.9,110.0,113.9,115.1,114.2,112.2,110.4,112.3,
,Consumer (capital),…,…,…,…,…,…,116.1,120.6,126.1,131.5,135.4,136.7,138.6,140.6,141.7,145.9,147.2,152.6,156.6,
,          Food and nonalcoholic beverages,…,…,…,…,…,…,112.1,116.3,124.9,133.8,140.7,142.2,146.0,147.9,150.7,157.7,162.2,176.0,183.6,
,"          Alcoholic beverages, tobacco, and narcotics",…,…,…,…,…,…,135.5,146.3,155.3,161.2,177.4,179.2,182.1,182.7,184.6,185.8,186.0,185.9,192.0,
,          Clothing and footwear,…,…,…,…,…,…,102.4,102.5,103.4,103.5,101.5,102.6,102.6,107.0,110.5,115.1,113.0,111.1,112.9,
,"          Housing, water, electricity, gas, and other fuels",…,…,…,…,…,…,117.5,120.5,123.5,123.8,125.9,127.6,126.1,129.1,129.1,131.7,127.3,127.5,129.4,
,"          Furnishings, household equipment, and routine household maintenance",…,…,…,…,…,…,100.6,101.1,102.7,103.7,103.1,101.9,107.3,107.1,106.3,106.7,107.8,106.5,111.7,
,          Health,…,…,…,…,…,…,…,…,100.0,100.2,101.2,101.1,100.5,101.2,102.0,102.2,101.8,102.0,103.5,
,          Transportg,…,…,…,…,…,…,123.4,126.6,134.6,146.3,148.7,147.4,145.6,146.2,147.2,155.8,161.6,169.3,172.6,
,          Communication,…,…,…,…,…,…,…,…,100.0,99.6,98.5,98.7,97.7,97.9,98.0,98.1,96.4,93.8,93.7,
,          Recreation and cultureh,…,…,…,…,…,…,115.2,121.2,119.6,126.5,131.8,135.1,138.6,139.5,134.9,134.3,133.6,132.6,138.9,
,          Education,…,…,…,…,…,…,…,…,100.0,106.4,102.0,106.5,106.8,109.8,110.6,115.3,120.8,125.5,115.4,
,          Restaurants and hotels,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,…,
,          Miscellaneous goods and services,…,…,…,…,…,…,…,…,100.0,101.8,102.1,102.7,110.0,113.8,115.2,114.5,113.6,112.2,114.6,
,,,,,,,,,,,,,,,,,,,,,
,Implicit GDP deflator;   2006 = 100,89.1,92.1,93.1,93.9,95.9,96.3,100.0,105.5,113.2,115.8,118.8,122.5,123.0,126.3,128.8,134.6,137.1,142.8,…,
,,,,,,,,,,,,,,,,,,,,,
,              Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,,
,               Consumer price index,2.5,3.4,2.2,3.1,1.4,0.8,2.2,3.9,4.8,4.3,2.8,0.9,1.4,1.5,0.8,2.5,0.8,3.1,2.1,
,               Food price index,2.0,2.0,1.0,–,3.9,0.5,3.5,3.8,8.0,7.2,4.5,0.8,2.1,1.5,1.7,3.6,2.3,6.8,3.5,
,               Implicit GDP deflator,2.4,3.3,1.2,0.8,2.1,0.4,3.9,5.5,7.3,2.3,2.6,3.1,0.4,2.7,2.0,4.5,1.8,4.2,…,
,,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKING   as of end of period (Vt million),,,,,,,,,,,,,,,,,,,,
,Money supply (M1)  ,"4,933","5,085","11,525","12,176","12,733","14,040","15,767","18,497","20,012","22,448","22,145","22,413","22,634","26,476","28,202","35,468","42,658","46,511",…,
,     Currency in circulation,"1,834","1,941","1,916","2,108","2,490","2,691","3,156","3,570","3,756","3,917","4,553","4,886","4,889","5,054","5,533","6,284","7,151","7,832",…,
,     Demand depositsi,"3,099","3,144","9,608","10,068","10,243","11,349","12,611","14,927","16,256","18,532","17,592","17,528","17,745","21,422","22,669","29,184","35,506","38,678",…,
,Quasi-money,"28,802","30,523","23,485","22,553","25,414","28,522","29,788","34,412","39,861","37,697","34,407","34,874","34,296","27,296","30,189","29,593","29,311","32,150",…,
,Money supply (M2),"33,736","35,608","35,009","34,729","38,148","42,562","45,555","52,908","59,873","60,146","56,552","57,251","56,930","53,767","58,342","65,016","71,968","78,661",…,
,     Foreign assets (net),"24,677","26,312","24,647","24,679","27,575","29,488","32,593","37,497","40,878","31,838","21,876","20,113","18,847","14,131","15,974","26,291","34,394","40,631",…,
,     Domestic credit ,"12,781","13,483","15,093","15,888","17,094","18,547","19,854","21,944","30,293","38,706","40,857","47,658","50,469","51,768","53,837","49,815","48,470","50,462",…,
,          Claims on government sector (net),924,710,"1,320","1,129",955,-163,-697,"-1,110","-3,010","-2,971","-3,211",-713,"-1,200","-1,089","-1,618","-6,855","-8,419","-9,641",…,
,          Claims on private sector,"11,699","12,451","13,437","14,738","16,103","18,669","20,457","22,971","33,216","41,553","43,957","47,963","51,262","52,124","54,058","55,412","55,508","58,688",…,
,          Claims on other financial institutionsj,158,322,336,22,36,40,95,84,87,124,111,407,407,733,"1,397","1,258","1,380","1,414",…,
,     Other items,"-3,722","-4,186","-4,731","-5,838","-6,521","-5,472","-6,892","-6,533","-11,298","-10,398","-6,180","-10,520","-12,385","-12,132","-11,470","-11,090","-10,895","-12,433",…,
,,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)  (% annual change),5.5,5.6,-1.7,-0.8,9.8,11.6,7.0,16.1,13.2,0.5,-6.0,1.2,-0.6,-5.6,8.5,11.4,10.7,9.3,…,
