UZBEKISTAN,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,"     Electricity, gas, steam, and air-conditioning supply; water supply;       
     sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,,,,,,,,,,,"1,034","1,069","1,106","1,144","1,183","1,222","1,264","1,290",…
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,…,…,…,…,…,…,…,…,…,…,"1,236","1,270","1,306","1,342","1,378","1,414","1,452","1,480",…
,     Accommodation and food service activities,…,…,…,…,…,…,…,…,…,…,249,258,267,277,287,297,308,313,…
,     Transportation and storage,…,…,…,…,…,…,…,…,…,…,510,529,549,570,592,615,638,655,…
,     Information and communication,…,…,…,…,…,…,…,…,…,…,53,55,56,58,60,62,64,64,…
,     Financial and insurance activities,…,…,…,…,…,…,…,…,…,…,70,74,73,72,70,70,67,72,…
,     Real estate activities,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Other servicesd,"4,745","4,914","5,101","5,303","5,559","5,879","6,136","6,299","6,519","6,923","3,753","3,795","3,946","3,956","3,983","4,008","4,057","4,148",…
,Unemployede,35,38,35,32,35,28,26,23,17,20,16,13,6,5,3,3,5,14,32
,Unemployment rate   (%),0.4,0.4,0.4,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2
,Labor force (% annual change),1.1,1.7,2.1,2.7,3.4,2.8,2.6,2.5,2.7,2.7,2.6,2.5,2.5,2.4,2.6,1.9,1.8,2.4,2.0
,Labor force participation ratef  (%),…,…,…,…,…,…,…,…,…,…,…,…,…,…,71.3,71.9,72.5,73.5,…
,     Male,…,…,…,…,…,…,…,…,…,…,…,…,…,…,75.3,75.6,76.1,76.9,…
,     Female,…,…,…,…,…,…,…,…,…,…,…,…,…,…,67.1,67.9,68.6,69.9,…
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSg  calendar year (SUM billion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market pricesh,"3,256","4,925","7,450","9,844","12,261","15,923","21,125","28,190","38,970","49,376 |","74,042","96,950","120,242","144,548","177,154","210,183","242,496","302,537","407,514"
,"     Agriculture, forestry, and fishing",979,"1,476","2,244","2,802","3,242","4,193","5,298","6,550","7,673","9,200 |","21,251","30,659","36,955","42,637","53,613","64,680","74,779","90,984","117,316"
,     Mining and quarrying,,,,,,,,,,,"3,299","3,512","4,987","5,464","5,422","6,449","5,960","10,434","21,586"
,     Manufacturing,462,696,"1,079","1,553","2,147","3,371","4,597","5,907","9,148","11,651 |","8,037","10,576","13,442","17,806","23,706","28,354","34,875","43,862","66,581"
,"     Electricity, gas, steam, and air-conditioning supply",,,,,,,,,,,"1,593","1,770","1,923","1,968","2,801","3,392","4,200","4,773","6,027"
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,69,94,111,150,208,272,363,502,890
,     Construction,196,286,365,459,588,771,"1,072","1,666","2,178","3,336 |","3,761","4,466","5,601","7,258","9,098","11,383","13,148","15,229","20,734"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,316,511,735,996,"1,179","1,400","1,892","2,660","3,370","4,381 |","5,552","7,036","8,228","10,277","12,718","14,819","17,095","19,561","24,102"
,     Accommodation and food service activities,,,,,,,,,,,431,584,728,941,"1,119","1,326","1,661","1,980","2,391"
,     Transportation and storage,251,371,613,924,"1,251","1,677","2,330","3,186","4,866","5,722 |","6,090","7,852","9,871","12,173","14,052","15,670","16,694","19,656","23,135"
,     Information and communication,,,,,,,,,,,"1,248","1,580","2,040","2,436","2,952","3,488","4,419","5,650","6,733"
,     Financial and insurance activities,124,196,251,,,,,,,,"1,555","2,112","2,655","3,448","4,093","5,026","5,577","9,230",
,     Real estate activities,…,…,…,,,,,,,,"1,339","1,938","2,595","3,219","4,127","5,121","5,916","6,990",
,"     Professional, scientific, and technical activities",…,…,…,,,,,,,,551,707,936,"1,126","1,339","1,578","1,806","2,249",
,     Administrative and support service activities,…,…,…,,,,,,,,896,"1,162","1,495","1,831","2,226","2,678","3,160","3,864",
,     Public administrationi,96,165,231,"1,765","2,128","2,822","3,797","5,363","7,880","10,322 |","1,653","2,293","3,142","4,265","5,151","6,356","8,130","9,069","72,456"
,     Education,…,…,…,,,,,,,,"4,850","6,003","7,623","9,226","11,023","13,389","14,997","17,041",
,     Human health and social work activities,…,…,…,,,,,,,,"1,820","2,443","2,921","3,654","4,369","5,206","5,862","6,308",
,"     Arts, entertainment, and recreation",…,…,…,,,,,,,,132,170,207,292,355,414,517,711,
,     Other service activities,424,638,994,,,,,,,,"1,036","1,234","1,553","1,822","2,316","2,760","3,452","3,655",
,"     Activities of households as employers; undifferentiated goods and 
     services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Less: Financial intermediation services indirectly measured,…,…,…,…,…,…,…,…,…,… |,583,869,"1,088","1,375","1,914","2,323","2,546","4,003",…
,Gross value added at basic prices,"2,848","4,341","6,512","8,499","10,536","14,233","18,986","25,331","35,115","44,611 |","64,578","85,322","105,925","128,620","158,774","190,036","220,064","267,745","361,951"
,Taxes less subsidies on production and imports,408,584,938,"1,345","1,725","1,690","2,139","2,859","3,855","4,764 |","9,464","11,628","14,317","15,928","18,380","20,147","22,431","34,792","45,563"
,Net factor income from abroad,-52,-89,-111,-113,-50,-27,-474,"1,176",141,36 |,"1,896","3,092","4,423","6,599","6,787","3,749","2,771","6,220","12,290"
,GNI,"3,204","4,837","7,339","9,731","12,211","15,896","20,651","29,366","39,110","49,412 |","75,938","100,042","124,665","151,147","183,941","213,932","245,267","308,757","419,805"
,,,,,,,,,,,,,,,,,,,,
,Structure of Output   (% of GDP at basic prices),,,,,,,,,,,,,,,,,,,
,Agriculture,34.4,34.0,34.5,33.0,30.8,29.5,27.9,25.9,21.9,20.6,32.9,35.9,34.9,33.1,33.8,34.0,34.0,34.0,32.4
,Industry,23.1,22.6,22.2,23.7,26.0,29.1,29.9,29.9,32.3,33.6,25.9,23.9,24.6,25.4,26.0,26.2,26.6,27.9,32.0
,Services,42.5,43.4,43.4,43.4,43.3,41.4,42.2,44.2,45.9,45.8,41.1,40.1,40.5,41.5,40.3,39.7,39.4,38.1,35.6
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"3,256","4,925","7,450","9,844","12,261","15,923","21,125","28,190","38,970","49,376 |","74,042","96,950","120,242","144,548","177,154","210,183","242,496","302,537","407,514"
,Final consumption expenditure,"2,624","3,939","5,828","7,192","8,346","10,236","13,415","17,907","24,677","31,722 |","52,100","66,665","85,073","107,042","131,171","159,146","188,840","221,064","283,026"
,     Household final consumption,"2,016","3,032","4,488","5,411","6,213","7,433","10,184","13,507","18,470","24,083 |","41,530","53,461","68,299","85,485","104,930","127,249","150,644","178,586","219,180"
,     NPISHs final consumption ,,,,,,,,,,,699,848,998,"1,135","1,495","1,756","2,080","2,490","2,803"
,     Government final consumption,607,907,"1,339","1,781","2,133","2,803","3,232","4,400","6,207","7,639 |","9,871","12,355","15,776","20,422","24,746","30,141","36,117","39,988","61,043"
,Gross capital formation,637,"1,041","1,579","1,992","2,989","4,224","6,255","7,951","12,485","14,787 |","19,608","25,823","30,841","36,804","46,884","54,784","63,946","89,167","163,721"
,     Gross fixed capital formation,781,"1,375","1,649","2,120","2,888","3,500","4,569","6,628","10,435","13,999 |","17,832","21,456","26,660","33,363","41,449","48,898","55,372","77,309","121,270"
,          Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Private,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Changes in inventories,-144,-334,-70,-128,100,723,"1,686","1,323","2,050",788 |,"1,776","4,367","4,181","3,441","5,436","5,886","8,575","11,858","42,451"
,     Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Exports of goods and services,864,"1,517","2,353","3,667","4,930","6,028","7,820","11,372","15,144","17,276 |","20,668","25,717","25,717","30,099","31,414","32,225","36,077","65,956","118,624"
,     Exports of goods,…,…,…,…,…,…,…,…,…,…,"18,550","22,662","21,250","23,922","24,392","24,315","26,790","53,133","94,202"
,     Exports of services,…,…,…,…,…,…,…,…,…,…,"2,118","3,054","4,468","6,177","7,022","7,911","9,287","12,823","24,422"
,Less: Imports of goods and services,869,"1,572","2,309","3,007","4,003","4,564","6,366","9,040","13,336","14,409 |","14,618","19,458","24,193","29,240","32,271","31,757","36,062","72,239","157,857"
,     Imports of goods,…,…,…,…,…,…,…,…,…,…,"13,838","18,491","22,797","27,244","29,674","29,301","33,651","61,589","139,746"
,     Imports of services,…,…,…,…,…,…,…,…,…,…,780,967,"1,396","1,995","2,597","2,455","2,410","10,651","18,110"
,Statistical discrepancy,–,–,–,–,–,–,–,–,–,– I,"-3,717","-1,796","2,804",-157,-44,"-4,216","-10,306","-1,411",…
,,,,,,,,,,,,,,,,,,,,
,Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,Household final consumptionj,61.9,61.6,60.2,55.0,50.7,46.7,48.2,47.9,47.4,48.8 |,57.0,56.0,57.6,59.9,60.1,61.4,63.0,59.9,54.5
,Government final consumption,18.7,18.4,18.0,18.1,17.4,17.6,15.3,15.6,15.9,15.5 |,13.3,12.7,13.1,14.1,14.0,14.3,14.9,13.2,15.0
,Gross capital formation,19.6,21.1,21.2,20.2,24.4,26.5,29.6,28.2,32.0,29.9 |,26.5,26.6,25.6,25.5,26.5,26.1,26.4,29.5,40.2
,Changes in inventories,-4.4,-6.8,-0.9,-1.3,0.8,4.5,8.0,4.7,5.3,1.6 |,2.4,4.5,3.5,2.4,3.1,2.8,3.5,3.9,10.4
,Exports of goods and services,26.5,30.8,31.6,37.2,40.2,37.9,37.0,40.3,38.9,35.0 |,27.9,26.5,21.4,20.8,17.7,15.3,14.9,21.8,29.1
,Imports of goods and services,26.7,31.9,31.0,30.5,32.7,28.7,30.1,32.1,34.2,29.2 |,19.7,20.1,20.1,20.2,18.2,15.1,14.9,23.9,38.7
,Statistical discrepancy,–,–,–,–,–,–,–,–,–,– I,-5.0,-1.9,2.3,-0.1, -0.0,-2.0,-4.2,-0.5,…
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at previous year's market pricesh,"2,214","3,402","5,132","7,765","10,578","13,115","17,108","23,127","30,733","42,107 |","62,248","79,806","104,100","129,362","154,926","190,348","222,992","253,315","318,033"
,"     Agriculture, forestry, and fishing",637,"1,019","1,565","2,397","3,034","3,434","4,490","5,642","6,858","8,118 |","17,878","22,543","32,793","39,334","45,188","56,885","68,670","75,640","91,223"
,     Mining and quarrying,,,,,,,,,,,"2,973","3,250","3,822","4,818","5,090","5,578","6,502","7,011","13,755"
,     Manufacturing,309,475,720,"1,112","1,653","2,228","3,580","4,901","6,308","9,523 |","6,895","8,690","11,239","15,118","19,223","25,101","30,248","36,346","46,609"
,"     Electricity, gas, steam, and air-conditioning supply",,,,,,,,,,,"1,446","1,545","1,705","1,942","2,049","2,944","3,514","4,011","4,959"
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,56,80,99,119,168,222,299,392,562
,     Construction,147,203,296,379,479,651,887,"1,244","1,758","2,923 |","3,298","4,064","5,111","6,631","8,539","10,809","12,206","13,943","16,741"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,206,343,511,850,"1,111","1,274","1,563","2,267","3,149","3,845 |","4,903","6,412","7,543","9,385","11,307","14,096","16,112","17,271","20,424"
,     Accommodation and food service activities,,,,,,,,,,,358,509,634,809,"1,086","1,302","1,530","1,872","2,070"
,     Transportation and storage,161,259,397,637,"1,009","1,415","1,886","2,700","3,692","5,075 |","5,112","6,449","8,374","10,174","12,733","14,615","16,234","18,156","20,393"
,     Information and communication,,,,,,,,,,,"1,389","1,713","2,102","2,136","2,877","3,422","3,978","5,352","6,512"
,     Financial and insurance activities,81,145,213,...,...,...,...,...,...,...,"1,365","1,699","2,354","2,934","3,863","4,512","5,459","7,490",
,     Real estate activities,…,…,…,,,,,,,,"1,031","1,424","2,055","2,795","3,501","4,466","5,456","6,183",
,"     Professional, scientific, and technical activities",…,…,…,,,,,,,,489,591,759,"1,020","1,164","1,431","1,792","2,061",
,     Administrative and support service activities,…,…,…,,,,,,,,747,982,"1,271","1,599","2,042","2,475","3,000","3,362",
,     Public administrationi,74,102,173,"1,427","1,837","2,216","2,909","4,055","5,749","8,290 |","1,295","1,814","2,477","3,409","4,648","5,582","6,619","8,153","58,078"
,     Education,…,…,…,,,,,,,,"3,912","5,305","6,630","8,239","10,039","11,945","13,822","15,487",
,     Human health and social work activities,…,…,…,,,,,,,,"1,380","1,983","2,492","3,067","3,836","4,567","5,407","6,063",
,"     Arts, entertainment, and recreation",…,…,…,,,,,,,,106,144,176,227,305,374,460,548,
,     Other service activities,297,424,650,...,...,...,...,...,...,… |,922,"1,165","1,385","1,703","2,069","2,557","3,117","3,526",
,"     Activities of households as employers; undifferentiated goods- and 
     services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Less: Financial intermediation services indirectly measured,…,…,…,…,…,…,…,…,…,… |,620,643,"1,043","1,379","1,700","2,104","2,722","3,253",…
,GDP by industrial origin at previous year's basic prices,"1,912","2,969","4,525","6,801","9,122","11,217","15,315","20,809","27,514","37,774 |","54,936","69,720","91,979","114,082","138,030","170,778","201,701","229,614","281,326"
,Taxes less subsidies on production and imports,301,433,607,964,"1,455","1,897","1,793","2,318","3,219","4,333 |","7,312","10,086","12,122","15,280","16,896","19,570","21,292","23,700","36,707"
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,GDP,4.0,4.5,4.2,4.2,7.5,7.0,7.4,9.5,9.0,8.1,7.3,7.8,7.4,7.6,7.2,7.4,6.1,4.5,5.1
,Agriculture,3.2,4.1,6.0,6.8,8.3,5.9,7.1,6.5,4.7,5.8,6.1,6.1,7.0,6.4,6.0,6.1,6.2,1.2,0.3
,Industry,1.8,2.9,3.4,3.2,5.9,5.3,7.8,8.4,6.5,9.9,5.5,5.2,7.6,9.8,7.4,8.3,5.9,5.4,10.5
,Services,5.4,5.1,3.3,3.2,7.4,7.6,7.8,12.5,12.3,6.8,10.6,11.2,8.7,7.5,8.3,8.3,6.3,6.4,5.4
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at previous year's market prices,...,...,...,...,...,...,...,...,...,… |,"62,248","79,806","104,100","129,362","154,926","190,348","222,992","253,315","318,033"
,Final consumption expenditure,...,...,...,...,...,...,...,...,...,… |,"44,696","58,658","73,581","93,441","118,015","145,449","172,054","195,294","230,202"
,      Household final consumption,...,...,...,...,...,...,...,...,...,… |,"36,019","47,206","59,292","75,306","94,648","117,497","139,274","156,482","186,340"
,      NPISHs final consumption,...,...,...,...,...,...,...,...,...,… |,504,715,880,"1,008","1,230","1,539","1,834","2,160","2,643"
,      Government final consumption,...,...,...,...,...,...,...,...,...,… |,"8,173","10,737","13,410","17,126","22,137","26,412","30,947","36,653","41,218"
,Gross capital formation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…
,      Gross fixed capital formation,...,...,...,...,...,...,...,...,...,… |,"15,781","18,296","23,731","29,672","36,628","45,360","50,914","66,098","91,302"
,            Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…
,            Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…
,      Changes in inventories,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,      Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…
,Exports of goods and services,...,...,...,...,...,...,...,...,...,… |,"17,642","23,191","24,195","28,576","27,845","32,147","35,805","36,545","72,989"
,      Exports of goods,...,...,...,...,...,...,...,...,...,… |,"15,687","20,380","20,135","22,997","21,484","25,053","27,741","29,181","57,287"
,      Exports of services,...,...,...,...,...,...,...,...,...,… |,"1,955","2,811","4,061","5,580","6,361","7,094","8,064","7,364","15,701"
,Less: Imports of goods and services,...,...,...,...,...,...,...,...,...,… |,"13,455","18,074","21,984","26,328","29,319","28,653","31,043","41,641","100,687"
,      Imports of goods,...,...,...,...,...,...,...,...,...,… |,"12,733","17,180","20,716","24,528","26,965","26,441","28,961","35,751","88,605"
,      Imports of services,...,...,...,...,...,...,...,...,...,… |,721,893,"1,268","1,800","2,354","2,212","2,082","5,890","12,082"
,Statistical discrepancy,...,...,...,...,...,...,...,...,...,… |,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumptionj,...,...,...,...,...,...,...,...,...,… |,51.7,13.5,10.8,10.1,10.7,11.9,9.4,3.9,4.4
,               Government final consumption,...,...,...,...,...,...,...,...,...,… |,7.0,8.8,8.5,8.6,8.4,6.7,2.7,1.5,3.1
,               Gross capital formation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…
,               Exports of goods and services,...,...,...,...,...,...,...,...,...,… |,2.1,12.2,-5.9,11.1,-7.5,2.3,11.1,1.3,10.7
,               Imports of goods and services,...,...,...,...,...,...,...,...,...,… |,-6.6,23.6,13.0,8.8,0.3,-11.2,-2.2,15.5,39.4
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,637,"1,041","1,579","1,992","2,989","4,224","6,255","7,951","12,485","14,787 |","19,608","25,823","30,841","36,804","46,884","54,784","63,946","89,167","163,721"
,Gross national saving,586,917,"1,604","2,829","4,291","7,080","9,187","14,226","19,365","18,969 |","23,781","33,336","41,346","46,140","54,331","55,386","66,188","109,829","170,736"
,     Gross domestic saving,632,986,"1,623","2,652","3,915","5,688","7,710","10,283","14,293","17,653 |","21,942","30,285","35,169","37,507","45,983","51,037","53,655","81,473","124,488"
,     Net factor income from abroad,-49,-87,-124,-139,22,687,50,"1,478","2,382","1,525 |","1,896","3,092","4,423","6,599","6,787","3,749","2,771","6,220","12,290"
,     Net current transfers from abroadk,3,18,106,317,354,706,"1,428","2,465","2,691",-210 |,-56,-41,"1,754","2,035","1,561",600,"9,762","22,138","33,958"
,,,,,,,,,,,,,,,,,,,,
,Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,Gross domestic saving,19.4,20.0,21.8,26.9,31.9,35.7,36.5,36.5,36.7,35.8 |,29.6,31.2,29.2,25.9,26.0,24.3,22.1,26.9,30.5
,Gross national saving,18.0,18.6,21.5,28.7,35.0,44.5,43.5,50.5,49.7,38.4 |,32.1,34.4,34.4,31.9,30.7,26.4,27.3,36.3,41.9
,Gross capital formation,19.6,21.1,21.2,20.2,24.4,26.5,29.6,28.2,32.0,29.9 |,26.5,26.6,25.6,25.5,26.5,26.1,26.4,29.5,40.2
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (SUM),,,,,,,,,,,,,,,,,,,
,Per capita GDP  ,132,197,295,385,474,609,798,"1,049","1,427","1,778 |","2,592","3,304","4,038","4,780","5,760","6,715","7,614","9,341","12,366"
,Per capita GNI  ,130,194,290,381,472,607,780,"1,093","1,432","1,779 |","2,659","3,410","4,187","4,998","5,980","6,835","7,701","9,533","12,739"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100 I previous year = 100,81.8,82.7,85.4,87.7,94.6,99.3,106.0,105.9,112.0,115.0,120.1,126.9,131.4,139.1 |,106.1,106.1,106.1,101.2,100.3
,Mining;   previous year = 100,101.8,103.1,103.4,100.7,106.1,...,...,...,...,...,...,...,...,...,93.8,103.1,100.7,115.9,128.2
,Manufacturing;  previous year = 100,107.1,108.6,109.8,107.3,110.2,...,...,...,...,...,...,...,...,...,108.2,105.9,106.9,104.2,106.4
,,,,,,,,,,,,,,,,,,,,
,ENERGY    annual values,,,,,,,,,,,,,,,,,,,
,Coal  (t '000),,,,,,,,,,,,,,,,,,,
,     Production,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,397","3,486","3,867","4,039","4,174"
,     Exports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,–,–,–,0
,     Imports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,892,869,836,864,"1,302"
,     Consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,289","4,355","4,704","4,902","5,476"
,,,,,,,,,,,,,,,,,,,,
,Natural gas  (m3 billion),,,,,,,,,,,,,,,,,,,
,     Production,56.4,57.4,58.4,58.1,58.8,60.3,...,...,...,61.4,60.1,63.0,61.5,58.3,54.2,54.6,56.1,56.6,59.8
,     Exports,6.9,7.0,4.6,7.5,3.0,12.4,...,...,...,...,...,9.1,15.2,12.4,10.7,12.0,11.7,10.2,14.9
,     Imports,1.6,1.6,0.9,1.4,–,1.1,...,...,...,...,...,0.1,0.1,0.1,0.1,0.1,0.1,–,–
,     Consumption,51.3,50.6,56.4,51.6,55.8,49.8,...,...,...,...,...,53.4,45.5,46.3,45.4,41.4,43.6,46.1,46.6
,,,,,,,,,,,,,,,,,,,,
,Electricity  (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,"46,864","47,961","49,398","49,400","51,030","47,706","49,374","49,011","50,219","50,104","51,976","52,806","53,000","54,619","55,766","57,658","59,101","60,820",…
,     Exports,"12,745","12,959","11,527","11,465","11,843",...,...,...,...,...,...,"8,816","8,600","8,107","1,447","1,088","1,543","1,847","2,627"
,     Imports,"14,026","13,453","11,444","11,548","11,929",...,...,...,...,...,...,"8,082","7,930","7,225",231,–,–,"1,143","2,233"
,     Consumption,"48,145","48,455","49,315","49,317","50,944",...,...,...,...,...,...,"52,072","52,330","53,737","54,987","56,369","57,605","60,181",…
,,,,,,,,,,,,,,,,,,,,
,Retail prices (SUM/L),,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",104.4,164.2,224.1,261.4,331.1,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages;   previous year = 100 ,,,,,,,,,,,,,,,,,,,
,"Consumer (national)l,m",124.9,127.4,127.6,110.3,101.6,106.4,108.7,106.1,107.2,107.8,107.6,107.3,107.2,107.0,106.4,105.5 |,109.5,113.9,117.5
,Food and nonalcoholic beverages,130.0,128.6,128.6,105.2,94.8,104.3,107.8,101.6,103.2,104.6,104.9,103.6,105.2,104.8,103.7,102.7 |,107.9,118.1,120.1
,"Alcoholic beverages, tobacco, and narcotics",118.5,115.8,114.7,109.1,104.3,101.4,100.4,113.4,106.9,100.9,101.7,100.8,101.9,105.2,107.2,104.7 |,108.9*,112.2*,120.8*
,Clothing and footwear,127.5,119.8,118.4,116.2,105.3,103.0,101.5,101.5,101.3,101.9,103.0,101.1,102.9,105.3,107.3,108.1 |,110.8*,112.2*,116.2*
,"Housing, water, electricity, gas, and other fuelsn",156.9,140.2,143.6,131.6,126.5,118.8,122.6,125.9,123.9,118.3,113.7,120.3,112.2,111.8,116.2,107.8 |,118.1,110.7,115.6
,"Furnishings, household equipment, and routine household maintenance",131.7,119.8,121.4,113.8,102.5,101.4,101.4,101.2,104.4,101.6,103.6,101.1,103.0,103.8,104.8,108.0 |,109.8*,107.7*,111.1*
,Health,135.2,120.4,124.5,116.1,105.5,105.1,106.5,105.9,107.7,106.0,108.6,102.9,102.9,103.7,108.1,107.7 |,107.6*,105.9*,109.4*
,Transport,169.4,140.3,128.9,115.0,116.8,109.0,112.1,114.5,110.6,108.2,110.1,114.7,113.2,113.4,108.7,105.3 |,107.8*,113.1*,118.8*
,Communication,133.9,142.2,132.1,135.7,116.7,103.8,105.8,102.5,104.6,110.9,112.8,107.9,117.8,112.8,114.8,112.4 |,114.0*,119.8*,114.5*
,Recreation and cultureo,126.1,122.6,129.4,122.9,109.0,108.6,106.0,114.3,117.1,124.1,115.5,106.6,103.4,105.6,107.9,108.1 |,107.5*,110.6*,110.7*
,Education,131.5,138.2,152.4,128.3,111.2,121.5,122.1,125.3,167.8,151.4,143.3,128.7,126.5,119.6,104.0,112.9 |,112.4,107.8,108.7
,Restaurants and hotels,132.6,132.0,132.9,120.1,109.0,106.6,103.9,105.5,112.8,118.0,113.2,107.8,106.7,107.8,106.2,104.2 |,106.8*,106.7*,113.8*
,Miscellaneous goods and services,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,– |,…,…,…
,Producerp,160.9,142.2,148.0,129.9,129.6,125.6,130.2,114.1,109.1,124.7,115.6,119.6,114.5,111.7,113.6,113.5,114.8,117.5,131.8
,Implicit GDP deflator,147.1,144.8,145.2,126.8,115.9,121.4,123.5,121.9,126.8,117.3,118.9,121.5,115.5,111.7,114.3,110.4,108.7,119.4,128.1
,,,,,,,,,,,,,,,,,,,,
,Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
