NEW ZEALAND,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Mining and quarrying,"1,382","1,423","1,477","1,324","1,533","1,800","2,051","3,791","4,238","4,132","4,185","4,006","3,741","3,579","3,584","2,378","2,433",...,...
,     Manufacturing,"18,580","19,552","21,023","21,268","22,499","23,666","22,893","23,009","23,506","20,924","22,048","23,314","23,071","23,829","26,824","28,731","26,978",...,...
,"     Electricity, gas, steam, and air-conditioning supply","2,483","2,568","2,943","3,447","3,525","3,896","3,957","4,257","4,648","4,817","4,961","5,202","5,575","5,776","5,898","5,830","5,962",...,...
,"     Water supply; sewerage, waste management, and remediation activities",686,719,755,763,836,939,"1,016","1,116","1,223","1,250","1,390","1,396","1,577","1,646","1,695","1,837","1,937",...,...
,     Construction,"5,139","5,484","6,053","6,806","8,010","8,709","9,634","10,702","10,406","10,491","10,525","10,886","11,650","12,508","13,938","15,262","16,895",...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"11,967","13,563","14,085","15,134","15,643","16,147","16,947","18,088","17,645","18,161","18,550","19,405","20,020","21,579","22,977","23,912","25,351",...,...
,     Accommodation and food service activities,"2,317","2,521","2,477","2,832","3,148","3,216","3,365","3,649","3,505","3,789","3,857","3,940","4,124","4,368","4,783","5,291","5,966",...,...
,     Transportation and storage,"5,297","5,612","6,129","6,586","7,155","7,512","7,316","8,013","7,418","7,927","8,755","9,323","9,782","10,348","11,405","12,303","12,663",...,...
,     Information and communication,"4,842","4,995","5,458","5,749","5,878","6,035","5,801","6,172","5,700","5,901","5,841","6,113","6,176","6,434","6,551","6,628","6,763",...,...
,     Financial and insurance activities,"5,390","5,906","6,430","7,289","7,803","7,941","8,058","8,328","9,353","11,257","10,262","11,011","11,286","12,666","14,017","14,467","15,079",...,...
,     Real estate activities,"15,233","15,894","17,077","18,481","19,955","21,663","23,267","24,128","25,026","25,360","26,826","28,706","29,713","31,404","32,445","34,591","36,846",...,...
,"     Professional, scientific, and technical activities","7,596","8,426","9,095","9,672","10,415","11,353","12,397","13,720","14,812","14,730","15,523","15,863","16,550","17,757","18,565","19,871","21,529",...,...
,     Administrative and support service activities,"2,067","2,321","2,553","2,733","2,944","3,217","3,626","3,903","3,767","3,645","3,983","4,208","4,214","4,331","4,562","4,899","5,285",...,...
,     Public administration and defense; compulsory social security,"4,506","4,793","5,038","5,310","5,769","6,414","7,055","7,695","8,423","8,723","8,822","9,028","9,131","9,382","9,810","10,299","10,944",...,...
,     Education,"5,066","5,207","5,553","6,044","6,564","6,909","7,532","8,059","8,696","9,201","9,591","9,982","10,151","10,499","10,989","11,423","11,846",...,...
,     Human health and social work activities,"5,711","6,171","6,586","7,195","7,920","8,733","9,382","10,320","11,263","11,963","12,342","12,667","13,135","13,475","14,262","15,146","15,844",...,...
,"     Arts, entertainment, and recreation ","1,815","2,026","2,228","2,414","2,459","2,440","2,704","2,833","2,743","2,864","2,845","2,997","3,163","3,215","3,383","3,548","3,685",...,...
,     Other service activities,"2,267","2,518","2,734","2,906","3,096","3,199","3,305","3,602","3,673","3,710","3,733","3,912","3,934","4,185","4,554","4,707","5,104",...,...
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",,,,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,,,,,,,,,,,,,,,,,,,
,Taxes on production and importsg,"8,204","8,740","9,574","10,270","11,115","11,785","13,229","14,130","14,075","14,231","15,993","17,896","18,482","19,292","20,269","21,576","23,452",...,...
,Gross value added at basic prices,"111,635","119,973","125,607","134,231","143,444","151,152","158,883","172,716","175,543","180,021","187,440","195,345","198,991","213,352","221,823","232,536","246,405",...,...
,Net factor income from abroad,"-6,808","-6,512","-6,810","-6,866","-8,707","-10,528","-11,550","-13,315","-13,744","-7,964","-10,108","-9,656","-9,052","-9,175","-9,781","-8,569","-8,669","-10,641",...
,GNI,"113,031","122,200","128,371","137,636","145,852","152,409","160,562","173,531","175,874","186,287","193,326","203,585","208,421","223,469","232,311","245,543","261,187","272,562",...
,,,,,,,,,,,,,,,,,,,,
,          Structure of Output  (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,          Agriculture,8.3,8.6,6.3,6.2,5.8,4.9,5.4,6.6,5.4,6.2,7.1,6.9,6.0,7.7,5.2,4.9,6.2,...,...
,          Industry,25.3,24.8,25.7,25.0,25.4,25.8,24.9,24.8,25.1,23.1,23.0,22.9,22.9,22.2,23.4,23.2,22.0,...,...
,          Services,66.4,66.6,68.0,68.8,68.8,69.3,69.7,68.6,69.5,70.7,69.9,70.2,71.0,70.1,71.4,71.9,71.8,...,...
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"119,838","128,712","135,181","144,502","154,558","162,937","172,112","186,846","189,617","194,251","203,434","213,241","217,472","232,644","242,092","254,112","269,857","285,011","296,238"
,     Final consumption expenditure,"89,869","94,499","100,326","107,085","115,039","123,878","131,908","140,370","147,091","151,554","157,911","166,346","170,459","177,761","184,649","192,785","204,434","215,562","226,005"
,          Household final consumption,"67,789","71,084","76,013","81,102","86,840","92,795","98,413","103,829","107,097","110,556","115,501","122,210","126,095","131,770","136,699","143,186","152,832","161,109","168,930"
,          NPISHs final consumption ,"1,695","1,774","1,773","1,814","1,953","1,996","2,094","2,345","2,763","2,834","2,643","2,730","2,519","2,685","2,768","2,775","2,880","3,024","3,175"
,          Government final consumption,"20,385","21,642","22,540","24,169","26,246","29,086","31,401","34,196","37,231","38,163","39,767","41,406","41,845","43,307","45,181","46,824","48,722","51,429","53,900"
,     Gross capital formation,"26,406","29,542","30,748","34,867","39,076","41,420","40,867","46,250","43,003","38,186","40,855","43,594","45,500","51,209","55,371","58,946","63,413","66,919","70,337"
,          Gross fixed capital formation,"24,987","27,656","29,655","33,607","37,431","40,320","41,132","44,639","42,952","39,037","39,992","42,326","44,712","49,365","54,111","58,219","61,771","65,707","69,392"
,               Public,"4,322","6,690","7,176","7,557","8,211","9,917","9,156","9,869","11,499","12,244","12,761","12,381","11,719","12,945","13,892","14,741","14,997","15,967",...
,               Private,"20,665","20,966","22,479","26,051","29,221","30,402","31,976","34,769","31,453","26,793","27,232","29,945","32,992","36,420","40,219","43,478","46,774","49,740",...
,          Changes in inventories,"1,419","1,886","1,094","1,259","1,644","1,100",-265,"1,611",51,-851,862,"1,268",789,"1,844","1,260",727,"1,642",854,946
,          Acquisitions less disposals of valuables,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,...,...,...
,     Exports of goods and services,"42,837","45,604","44,403","43,119","45,662","46,087","50,928","54,644","60,759","55,832","61,559","64,749","62,766","67,001","67,845","70,782","71,349","78,605","83,853"
,          Exports of goods,"30,892","32,761","30,553","29,064","31,230","31,513","35,531","38,624","44,114","39,941","45,290","48,042","46,528","50,409","49,167","48,833","48,842","54,754",...
,          Exports of services,"11,944","12,843","13,850","14,055","14,432","14,574","15,397","16,020","16,645","15,891","16,269","16,707","16,238","16,592","18,678","21,949","22,507","23,851",...
,     Less: Imports of goods and services,"39,273","40,934","40,296","40,569","45,218","48,447","51,592","54,419","61,235","51,320","56,891","61,448","61,253","63,327","65,774","68,401","69,339","76,074","83,958"
,          Imports of goods,"29,015","30,584","30,069","30,449","33,885","36,393","39,058","41,097","46,207","37,814","42,363","46,079","46,012","47,729","49,665","51,376","51,822","57,449",...
,          Imports of services,"10,259","10,350","10,227","10,120","11,334","12,055","12,534","13,322","15,028","13,506","14,528","15,369","15,241","15,598","16,109","17,025","17,518","18,625",...
,     Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,322,...
,,,,,,,,,,,,,,,,,,,,
,          Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,          Household final consumption  (includes NPISHs),58.0,56.6,57.5,57.4,57.4,58.2,58.4,56.8,57.9,58.4,58.1,58.6,59.1,57.8,57.6,57.4,57.7,57.6,58.1
,          Government final consumption,17.0,16.8,16.7,16.7,17.0,17.9,18.2,18.3,19.6,19.6,19.5,19.4,19.2,18.6,18.7,18.4,18.1,18.0,18.2
,          Gross capital formation,22.0,23.0,22.7,24.1,25.3,25.4,23.7,24.8,22.7,19.7,20.1,20.4,20.9,22.0,22.9,23.2,23.5,23.5,23.7
,          Changes in inventories,1.2,1.5,0.8,0.9,1.1,0.7,-0.2,0.9,0.0,-0.4,0.4,0.6,0.4,0.8,0.5,0.3,0.6,0.3,0.3
,          Exports of goods and services,35.7,35.4,32.8,29.8,29.5,28.3,29.6,29.2,32.0,28.7,30.3,30.4,28.9,28.8,28.0,27.9,26.4,27.6,28.3
,          Imports of goods and services,32.8,31.8,29.8,28.1,29.3,29.7,30.0,29.1,32.3,26.4,28.0,28.8,28.2,27.2,27.2,26.9,25.7,26.7,28.3
,          Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.1,...
,,,,,,,,,,,,,,,,,,,,
,At Chained Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial originh at  2009/2010 market prices,"152,477","157,767","165,151","172,687","179,653","185,621","190,899","196,651","194,667","194,251","197,234","201,860","206,341","211,662","219,530","227,390","235,685","243,118","249,769"
,"     Agriculture, forestry, and fishing","10,816","10,617","10,556","11,740","11,379","11,970","12,007","10,108","11,076","11,174","10,293","11,576","12,155","11,842","12,494","12,815","12,987","13,117","13,530"
,     Mining and quarrying,"2,724","2,570","2,634","2,292","2,241","2,327","2,234","3,911","3,933","4,132","3,840","3,358","3,250","3,328","3,492","3,350","2,883","3,147","2,960"
,     Manufacturing,"20,679","20,947","22,775","23,366","24,115","24,339","23,621","23,873","21,841","20,926","21,327","21,260","21,534","21,741","22,212","22,722","23,237","23,848","24,222"
,"     Electricity, gas, steam, and air-conditioning supply","5,137","4,959","5,284","5,449","5,408","5,403","5,787","5,740","5,779","6,068","6,240","6,139","6,326","6,278","6,465","6,742","6,728","6,709","6,816"
,"     Water supply; sewerage, waste management,  and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,"7,316","7,605","8,203","8,909","9,830","10,136","10,627","11,280","10,497","10,491","10,430","10,446","10,998","11,563","12,563","13,463","14,486","14,785","15,147"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"15,091","15,919","15,548","16,006","17,272","18,126","18,656","19,475","18,754","18,161","19,006","19,818","20,380","21,031","21,847","22,365","23,245","24,393","25,387"
,     Accommodation and food service activities,"3,103","3,207","3,349","3,416","3,577","3,706","3,862","3,884","3,767","3,789","3,858","3,985","4,013","4,169","4,504","4,736","5,031","5,333","5,417"
,     Transportation and storage,"6,607","6,914","7,166","7,390","7,929","8,125","7,918","8,212","8,162","7,927","8,636","8,781","8,844","9,030","9,667","10,144","10,551","11,066","11,625"
,     Information and communication,"4,104","4,379","4,622","4,831","4,990","5,086","5,354","5,729","5,835","5,901","6,210","6,449","6,776","7,398","7,970","8,487","8,225","8,383","8,623"
,     Financial and insurance activities,"7,710","7,765","8,057","8,742","9,461","9,935","10,472","10,734","10,899","11,257","11,344","11,649","11,938","12,457","12,846","13,160","13,880","14,552","15,025"
,     Real estate activities,"18,656","19,618","20,801","21,773","22,655","23,708","24,761","24,777","24,884","25,360","25,840","27,045","27,701","28,415","28,747","30,132","31,194","31,566","32,387"
,"     Professional, scientific, and technical activities","10,810","11,769","12,447","12,655","12,893","13,512","14,157","15,058","15,176","14,730","15,248","15,339","15,709","16,747","17,246","18,053","19,231","20,191","20,796"
,     Administrative and support service activities,"3,167","3,420","3,666","3,765","3,892","4,119","4,457","4,497","3,797","3,645","4,063","4,266","4,169","4,169","4,275","4,562","4,835","5,078","5,170"
,     Public administration and defense; compulsory social security,"5,352","5,452","5,696","5,969","6,348","6,715","7,590","8,133","8,686","8,723","8,865","8,882","8,871","9,162","9,446","9,727","9,924","10,341","10,810"
,     Education,"8,151","8,532","8,969","9,143","9,059","8,821","8,862","8,864","9,106","9,200","9,229","9,210","9,237","9,175","9,222","9,322","9,350","9,484","9,565"
,     Human health and social work activities,"8,325","8,496","8,677","9,219","9,522","10,163","10,552","11,081","11,546","11,963","11,898","12,081","12,464","12,702","13,060","13,270","13,939","14,525","15,015"
,"     Arts, entertainment, and recreation ","2,382","2,613","2,775","2,909","2,904","2,912","2,911","2,942","2,811","2,864","2,767","2,841","2,936","2,880","2,994","3,121","3,207","3,147","3,206"
,     Other service activities,"3,008","3,249","3,408","3,601","3,741","3,680","3,628","3,822","3,798","3,710","3,662","3,786","3,694","3,807","4,003","3,876","4,143","4,309","4,442"
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",,,,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,,,,,,,,,,,,,,,,,,,
,Taxes on production and importsg,"10,393","10,807","11,568","12,465","13,101","13,538","14,108","14,682","14,280","14,231","14,477","14,728","15,125","15,607","16,307","17,191","18,050","18,668","19,120"
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,                    Growth of Output  (% annual change),,,,,,,,,,,,,,,,,,,
,                    GDP,2.9,3.5,4.7,4.6,4.0,3.3,2.8,3.0,-1.0,-0.2,1.5,2.3,2.2,2.6,3.7,3.6,3.6,3.2,2.7
,                    Agriculture,3.6,-1.8,-0.6,11.2,-3.1,5.2,0.3,-15.8,9.6,0.9,-7.9,12.5,5.0,-2.6,5.5,2.6,1.3,1.0,3.1
,                    Industry,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,                    Services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDPh at 2009/2010 market prices,"149,511","155,199","163,058","170,470","176,038","181,878","186,589","193,601","190,592","194,251","196,129","201,409","206,449","210,611","217,968","227,177","235,576","241,845","248,679"
,     Final consumption expenditure,"110,576","113,895","118,709","125,671","132,243","139,117","143,640","149,498","150,165","151,554","154,933","159,393","162,034","167,374","172,516","178,523","187,270","194,303","200,003"
,          Household final consumption,"81,230","83,457","87,661","93,169","98,173","102,881","106,097","110,101","109,151","110,556","113,444","117,174","120,123","124,580","128,268","133,309","141,160","147,025","151,889"
,          NPISHs final consumption ,"2,185","2,191","2,251","2,315","2,431","2,351","2,330","2,512","2,681","2,834","2,600","2,650","2,419","2,516","2,648","2,650","2,682","2,656","2,659"
,          Government final consumption,"27,214","28,328","28,804","30,157","31,596","33,857","35,190","36,874","38,345","38,164","38,889","39,570","39,493","40,283","41,604","42,576","43,466","44,689","45,535"
,     Gross capital formation,"30,518","33,002","35,348","40,361","44,031","45,779","43,343","48,335","44,174","38,186","41,008","44,292","45,759","49,441","53,573","54,820","57,141","59,212","60,951"
,          Gross fixed capital formation,"29,004","31,391","33,883","38,737","41,911","44,273","43,544","46,934","43,513","39,037","40,480","42,901","45,074","49,466","53,390","55,478","57,452","60,133","61,644"
,               Public,"5,302","7,816","8,581","9,138","9,593","11,323","9,980","10,665","11,844","12,244","12,822","12,202","11,377","12,504","13,301","13,643","13,638","14,381","14,941"
,               Private,"23,514","23,521","25,200","29,509","32,203","32,895","33,449","36,142","31,626","26,793","27,658","30,714","33,772","37,042","40,187","41,944","43,947","45,888","46,836"
,          Changes in inventories,"1,114","1,194","1,065","1,249","1,646","1,039",-302,"1,177",589,-851,447,"1,087",518,154,"1,367",688,966,479,670
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,"43,781","45,220","48,626","49,930","51,514","51,286","53,065","55,147","53,666","55,832","57,407","58,724","60,510","60,592","63,396","67,134","68,031","70,059","72,615"
,          Exports of goods,"29,383","30,157","32,515","33,610","35,064","35,013","36,623","38,419","37,343","39,941","41,119","42,239","44,503","44,381","45,550","46,632","47,342","48,751","50,607"
,          Exports of services,"14,561","15,285","16,325","16,515","16,645","16,464","16,633","16,910","16,503","15,891","16,287","16,467","15,870","16,077","17,790","20,489","20,677","21,295","21,996"
,     Less: Imports of goods and services,"35,716","37,242","39,982","45,246","51,293","53,791","52,892","58,662","56,619","51,320","57,219","60,980","61,789","66,811","71,768","73,387","77,139","82,622","85,976"
,          Imports of goods,"26,406","28,105","30,081","34,254","38,775","40,567","40,033","44,077","42,374","37,814","42,528","45,403","46,331","50,286","54,662","56,339","59,345","64,216","66,374"
,          Imports of services,"9,292","9,121","9,880","10,976","12,498","13,200","12,838","14,561","14,224","13,506","14,691","15,576","15,449","16,513","17,091","17,048","17,805","18,491","19,640"
,     Statistical discrepancy,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,          Growth of Demand  (% annual change),,,,,,,,,,,,,,,,,,,
,          Household final consumption (includes NPISHs),1.4,2.7,5.0,6.2,5.4,4.6,3.0,3.9,-0.7,1.4,2.3,3.3,2.3,3.7,3.0,3.9,5.8,4.1,3.3
,          Government final consumption,1.3,4.1,1.7,4.7,4.8,7.2,3.9,4.8,4.0,-0.5,1.9,1.8,-0.2,2.0,3.3,2.3,2.1,2.8,1.9
,          Gross capital formation,-3.8,8.1,7.1,14.2,9.1,4.0,-5.3,11.5,-8.6,-13.6,7.4,8.0,3.3,8.0,8.4,2.3,4.2,3.8,2.9
,          Exports of goods and services,6.1,3.3,7.5,2.7,3.2,-0.4,3.5,3.9,-2.7,4.0,2.8,2.3,3.0,0.1,4.6,5.9,1.3,3.0,3.6
,          Imports of goods and services,-1.1,4.3,7.4,13.2,13.4,4.9,-1.7,10.9,-3.5,-9.4,11.5,6.6,1.3,8.1,7.4,2.3,5.1,7.1,4.1
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"26,406","29,542","30,748","34,867","39,076","41,420","40,867","46,250","43,003","38,186","40,855","43,594","45,500","51,209","55,371","58,947","63,413","67,051",...
,Gross national saving,"23,641","27,924","28,170","30,809","31,133","28,682","29,251","33,851","29,543","35,353","35,239","36,896","37,552","45,338","47,221","52,375","56,465","58,104",...
,     Gross domestic saving,"29,970","34,213","34,856","37,417","39,520","39,061","40,204","46,476","42,527","42,698","45,523","46,895","47,013","54,957","57,443","61,327","65,423","69,138",...
,     Net factor income from abroad,"-6,808","-6,512","-6,810","-6,866","-8,707","-10,528","-11,550","-13,315","-13,744","-7,964","-10,108","-9,656","-9,052","-9,175","-9,781","-8,569","-8,669","-10,641",...
,     Net current transfers from abroad,481,223,125,258,320,150,597,691,760,620,-176,-343,-409,-444,-439,-383,-288,-431,...
,,,,,,,,,,,,,,,,,,,,
,          Savings and Investment  (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,          Gross domestic saving, 25.0 , 26.6 , 25.8 , 25.9 , 25.6 , 24.0 , 23.4 , 24.9 , 22.4 , 22.0 , 22.4 , 22.0 , 21.6 , 23.6 , 23.7 , 24.1 , 24.2 , 24.3 , ... 
,          Gross national saving, 19.7 , 21.7 , 20.8 , 21.3 , 20.1 , 17.6 , 17.0 , 18.1 , 15.6 , 18.2 , 17.3 , 17.3 , 17.3 , 19.5 , 19.5 , 20.6 , 20.9 , 20.4 , ... 
,          Gross capital formation, 22.0 , 23.0 , 22.7 , 24.1 , 25.3 , 25.4 , 23.7 , 24.8 , 22.7 , 19.7 , 20.1 , 20.4 , 20.9 , 22.0 , 22.9 , 23.4 , 23.8 , 23.6 , ... 
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (NZ$),,,,,,,,,,,,,,,,,,,
,Per capita GDP,"31,003","33,007","34,051","35,724","37,685","39,281","41,011","44,116","44,397","44,987","46,629","48,547","49,228","52,158","53,401","54,968","57,154","59,063",...
,Per capita GNI,"29,242","31,338","32,335","34,027","35,562","36,743","38,259","40,973","41,179","43,143","44,312","46,348","47,178","50,101","51,243","53,114","55,318","56,856",...
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,87.88,91.00,92.16,96.77,101.10,99.00,99.90,102.49,101.34,102.46,103.72,104.39,109.14,109.66,116.01,118.21,117.28,...,...
,Manufacturing;   2015 = 100,86.97,86.80,91.76,94.77,98.14,98.40,97.40,101.58,99.75,93.77,97.22,94.45,95.02,95.49,98.46,100.00,101.25,103.63,104.47
,,,,,,,,,,,,,,,,,,,,
,ENERGY  annual values,,,,,,,,,,,,,,,,,,,
,Crude petroleumi  (t ’000),,,,,,,,,,,,,,,,,,,
,     Productionj,"1,629","1,533","1,384","1,073",931,872,835,"1,891","2,725","2,574","2,467","2,125","1,867","1,605","1,788","1,870","1,585","1,404","1,104"
,     Exports,"1,217","1,280","1,093",898,722,622,675,"1,608","2,543","2,275","2,342","2,026","1,767","1,449","1,681","1,744","1,410","1,315","1,043"
,     Imports,"4,482","4,220","4,516","4,793","4,421","4,488","4,591","4,417","4,707","4,542","4,901","5,158","5,304","5,180","4,946","5,119","5,206","5,216","5,113"
,     Consumptionk,"4,755","4,791","5,007","5,240","5,371","5,439","5,455","5,534","5,481","5,299","5,298","5,329","5,295","5,397","5,494","5,645","5,757","6,016","6,081"
,,,,,,,,,,,,,,,,,,,,
,Coal   (t ’000),,,,,,,,,,,,,,,,,,,
,     Production,"3,457","3,911","4,459","5,180","5,155","5,267","5,674","4,835","4,832","4,513","5,342","4,959","4,922","4,625","3,984","3,391","2,867","2,919","3,167"
,     Exports,"1,551","1,710","1,932","2,210","1,908","2,331","2,720","2,014","2,561","2,164","2,419","2,161","2,202","2,096","1,741","1,370","1,187","1,186","1,583"
,     Imports,16,31,77,422,876,"1,084","1,236",721,599,702,251,171,1,550,472,433,453,466,460
,     Consumption,906,"1,086","1,122","1,349","1,077","1,033","1,101","1,195","1,264","1,034","1,145","1,134","1,195","1,279","1,250","1,252","1,137","1,144","1,126"
,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,
