"HONG KONG, CHINA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,     Accommodation and food service activitiesg,0.51,0.51,0.50,0.50,0.52,0.52,0.52,0.55,0.55,0.54,0.56,0.58,0.59,0.61,0.63,0.63,0.62,0.64,0.63,
,     Transportation and storageh,0.30,0.30,0.29,0.29,0.30,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.32,0.32,
,     Information and communication,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.11,0.10,0.11,0.12,0.12,0.12,0.12,0.13,0.14,0.13,0.13,
,     Financial and insurance activitiesi,0.36,0.38,0.37,0.36,0.36,0.38,0.40,0.42,0.50,0.50,0.50,0.53,0.54,0.56,0.58,0.60,0.61,0.62,0.63,
,     Real estate activities,0.10,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,
,     Otherse,0.77,0.82,0.84,0.86,0.87,0.89,0.91,0.94,0.86,0.88,0.90,0.93,0.96,0.99,0.99,1.03,1.04,1.05,1.09,
,Unemployed,0.17,0.17,0.25,0.28,0.24,0.20,0.17,0.15,0.13,0.19,0.16,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.11,
,Unemployment rate   (%),4.90,5.10,7.30,7.90,6.80,5.60,4.80,4.00,3.50,5.30,4.30,3.40,3.30,3.40,3.30,3.30,3.40,3.10,2.80,
,Labor force   (% annual change),1.60,1.60,1.30,-0.20,1.40,0.60,1.10,1.40,0.40,0.60,-0.80,2.00,2.10,1.90,0.40,0.80,0.40,0.70,0.80,
,Labor force participation rate   (%),61.40,61.50,61.70,61.40,61.30,60.90,61.20,61.20,60.90,60.80,59.60,60.10,60.50,61.20,61.10,61.10,61.10,61.10,61.20,
,     Male,73.50,73.00,72.40,72.00,71.60,71.10,70.90,70.40,69.70,69.40,68.50,68.40,68.70,69.20,68.80,68.80,68.60,68.30,68.50,
,     Female,49.90,50.80,51.90,51.70,51.90,51.80,52.60,53.10,53.10,53.20,51.90,53.00,53.50,54.50,54.50,54.70,54.80,55.10,55.10,
,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (HK$ billion),,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,
,"GDP by industrial originj, k at current market prices","1,338","1,321","1,297","1,257","1,317","1,412","1,503","1,651","1,707","1,659","1,776","1,934","2,037","2,138","2,260","2,398","2,491","2,663","2,843",
,"     Agriculture, forestry, and fishing",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,…,
,     Mining and quarrying,,,,,,,,,,,,,,,,,,,,
,     Manufacturing,61,54,46,39,39,40,40,32,32,29,30,31,31,30,28,27,27,27,…,
,"     Electricity, gas, steam, and air-conditioning supplyl",38,39,40,40,41,41,41,41,40,35,34,34,35,35,36,35,34,35,…,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,,
,     Construction,63,58,52,45,41,39,39,41,48,50,57,65,73,83,96,108,125,130,…,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesm,277,282,284,290,321,360,367,379,399,370,413,493,512,524,532,528,526,549,…,
,     Accommodation and food service activitiesn,38,34,31,27,34,37,43,49,54,49,56,66,72,75,79,78,80,84,…,
,     Transportation and storageh,98,94,97,95,109,115,116,120,98,99,138,120,121,125,138,150,150,153,…,
,     Information and communication,43,45,46,45,43,46,49,52,49,48,55,63,71,76,78,81,84,87,…,
,     Financial and insurance activities,164,154,154,163,168,190,246,323,277,256,284,305,319,346,368,410,429,482,…,
,     Real estate activities,64,58,53,49,53,61,63,72,85,87,89,106,117,105,110,116,123,127,…,
,"     Professional, scientific, and technical activitieso",54,53,53,54,61,61,65,75,81,87,100,108,116,120,129,137,143,148,…,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social securityp,243,256,253,248,249,248,251,262,278,288,295,314,338,356,380,407,437,465,…,
,     Education,,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,,
,     Other service activitiesq,139,143,139,131,126,139,152,158,178,183,185,195,208,219,232,248,259,264,…,
,Gross value added at basic prices,"1,283","1,270","1,250","1,227","1,285","1,378","1,474","1,605","1,620","1,582","1,737","1,901","2,013","2,098","2,206","2,325","2,418","2,553",…,
,Taxes on products,31,26,24,25,33,35,40,65,58,55,69,69,64,75,83,95,84,111,…,
,Statistical discrepancy,23,25,23,4,-2,-1,-11,-19,29,23,-30,-36,-40,-35,-29,-23,-11,-1,…,
,Net primary income from abroad,11,30,8,32,28,7,36,53,101,50,38,53,29,41,47,44,63,116,142,
,GNI,"1,348","1,352","1,306","1,289","1,345","1,420","1,539","1,704","1,808","1,709","1,814","1,987","2,067","2,179","2,307","2,443","2,553","2,778","2,985",
,,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,               Agriculturer,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,…,
,               Industrys,12.6,11.8,11.0,10.1,9.4,8.7,8.2,7.1,7.4,7.2,7.0,6.8,6.9,7.1,7.2,7.3,7.7,7.5,…,
,               Servicest,87.3,88.1,88.9,89.8,90.5,91.3,91.8,92.9,92.6,92.7,93.0,93.1,93.0,92.9,92.7,92.7,92.2,92.4,…,
,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDPk at current market prices,"1,338","1,321","1,297","1,257","1,317","1,412","1,503","1,651","1,707","1,659","1,776","1,934","2,037","2,138","2,260","2,398","2,491","2,663","2,843",
,     Final consumption expenditure,910,922,891,861,908,942,"1,001","1,121","1,174","1,166","1,248","1,393","1,500","1,612","1,717","1,824","1,898","2,047","2,224",
,          Household final consumption,784,788,753,723,771,812,869,982,"1,026","1,014","1,090","1,224","1,315","1,413","1,503","1,593","1,650","1,785","1,943",
,          NPISHs final consumption,,,,,,,,,,,,,,,,,,,,
,          Government final consumption,125,135,138,138,136,131,132,139,148,153,157,169,185,199,214,231,248,261,281,
,     Gross capital formation,369,337,301,281,294,297,335,353,359,362,424,467,514,514,538,517,536,587,618,
,          Gross fixed capital formation,355,341,295,272,287,302,337,340,351,340,387,455,517,516,531,537,535,576,612,
,               Public,65,63,58,56,53,46,40,38,43,48,65,77,91,99,112,118,124,131,135,
,               Private,289,278,237,216,234,256,297,302,308,291,322,378,426,416,419,419,412,445,477,
,          Changes in inventories,14,-4,6,9,7,-5,-2,13,8,23,38,12,-4,-2,7,-21,0,11,6,
,          Acquisitions less disposals of valuablesu,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Exports of goods and servicesv,"1,686","1,622","1,713","1,895","2,210","2,506","2,784","3,077","3,303","2,956","3,647","4,117","4,397","4,739","4,816","4,698","4,658","5,026","5,353",
,          Exports of goods,"1,440","1,379","1,452","1,631","1,892","2,137","2,361","2,574","2,758","2,454","3,021","3,407","3,633","3,926","3,987","3,889","3,893","4,213","4,461",
,          Exports of services,246,243,261,264,318,368,423,503,544,501,626,711,764,813,829,809,765,813,891,
,     Less: Imports of goods and servicesv,"1,627","1,560","1,608","1,780","2,095","2,333","2,616","2,901","3,129","2,825","3,543","4,043","4,374","4,726","4,811","4,641","4,601","4,997","5,351",
,          Imports of goods,"1,280","1,217","1,264","1,443","1,703","1,896","2,121","2,365","2,563","2,351","2,996","3,465","3,780","4,143","4,238","4,067","4,023","4,391","4,716",
,          Imports of services,347,343,344,338,392,437,495,536,565,474,547,578,594,583,574,574,578,606,635,
,     Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,
,,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,               Household final consumptionw,58.6,59.6,58.0,57.5,58.6,57.5,57.8,59.5,60.1,61.1,61.4,63.3,64.6,66.1,66.5,66.4,66.2,67.1,68.3,
,               Government final consumption,9.4,10.2,10.6,11.0,10.4,9.2,8.8,8.4,8.7,9.2,8.9,8.7,9.1,9.3,9.5,9.6,10.0,9.8,9.9,
,               Gross capital formation,27.6,25.5,23.2,22.4,22.4,21.1,22.3,21.4,21.0,21.8,23.9,24.1,25.2,24.0,23.8,21.5,21.5,22.0,21.7,
,                    Changes in inventories,1.1,-0.3,0.4,0.7,0.5,-0.3,-0.1,0.8,0.5,1.4,2.1,0.6,-0.2,-0.1,0.3,-0.9,0.0,0.4,0.2,
,               Exports of goods and servicesv,126.0,122.8,132.1,150.8,167.8,177.5,185.2,186.4,193.4,178.1,205.3,212.9,215.8,221.6,213.1,195.9,187.0,188.7,188.3,
,               Imports of goods and servicesv,121.6,118.1,123.9,141.7,159.1,165.2,174.0,175.7,183.2,170.3,199.4,209.0,214.7,221.0,212.9,193.5,184.7,187.7,188.2,
,               Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,
,,,,,,,,,,,,,,,,,,,,,
,At Chained Pricesx,,,,,,,,,,,,,,,,,,,,
,"GDP by industrial originj, k at chained 2017 market prices","1,456","1,464","1,488","1,534","1,667","1,791","1,917","2,040","2,084","2,033","2,170","2,275","2,313","2,385","2,451","2,510","2,564","2,663","2,743",
,"     Agriculture, forestry, and fishing",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,
,     Mining and quarrying,,,,,,,,,,,,,,,,,,,,
,     Manufacturing,41,37,34,30,31,31,32,32,29,27,28,28,28,28,28,27,27,27,28,
,"     Electricity, gas, steam, and air-conditioning supplyl",31,31,32,33,34,34,35,35,35,36,36,36,37,36,36,35,35,35,35,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,,
,     Construction,98,96,94,90,82,75,68,68,74,68,79,93,101,105,119,125,131,130,130,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesm,221,225,239,267,307,352,382,404,432,391,456,497,506,523,529,524,527,549,574,
,     Accommodation and food service activitiesn,64,58,53,45,56,59,65,72,73,65,71,77,78,81,83,81,82,84,87,
,     Transportation and storageh,81,81,85,85,96,103,110,115,118,112,119,127,128,134,137,142,146,153,159,
,     Information and communication,42,47,50,52,56,58,63,66,66,67,68,69,71,74,77,80,84,87,90,
,     Financial and insurance activities,149,148,156,171,202,227,263,308,306,319,339,361,364,392,413,438,456,482,505,
,     Real estate activities,113,113,115,118,119,121,120,127,128,130,128,130,136,121,123,120,124,127,129,
,"     Professional, scientific, and technical activitieso",88,88,90,89,93,99,104,112,114,116,124,128,131,134,138,142,145,148,150,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social securityp,334,346,344,343,351,355,358,367,372,383,392,399,407,417,427,438,451,465,479,
,     Education,,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,,
,     Other service activitiesq,200,208,212,217,222,229,237,244,248,249,251,253,256,257,259,260,262,264,267,
,Gross value added at basic prices,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,
,Taxes on products,83,76,75,78,92,90,97,122,120,114,121,113,101,95,101,108,98,111,108,
,Statistical discrepancy,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,
,Net primary income from abroad         ,12,36,10,42,36,8,44,65,122,61,45,61,33,44,49,46,64,116,137,
,GNI,"1,606","1,649","1,672","1,714","1,785","1,862","1,986","2,150","2,221","2,119","2,197","2,301","2,297","2,389","2,453","2,545","2,627","2,778","2,889",
,,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,,
,               GDP,7.7,0.6,1.7,3.1,8.7,7.4,7.0,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,3.0,
,               Agriculturer,...,0.3,-2.6,-5.3,0.4,-0.2,-3.3,-4.3,-17.0,-4.6,3.9,0.8,-3.2,4.9,-6.0,-6.8,-2.0,-5.2,-1.5,
,               Industrys,...,-3.8,-3.2,-4.7,-1.9,-1.4,-2.1,-0.2,1.4,-4.7,7.7,8.9,4.4,1.5,7.4,2.4,3.0,-0.7,0.3,
,               Servicest,...,1.8,2.9,4.5,9.7,7.8,6.8,7.1,2.4,-1.7,6.9,5.2,1.8,2.7,2.5,1.7,2.3,3.6,3.4,
,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at chained 2017 market prices,"1,456","1,464","1,488","1,534","1,667","1,791","1,917","2,040","2,084","2,033","2,170","2,275","2,313","2,385","2,451","2,510","2,564","2,663","2,743",
,     Final consumption expenditure,"1,116","1,140","1,134","1,123","1,193","1,224","1,290","1,393","1,419","1,426","1,508","1,623","1,688","1,762","1,821","1,904","1,946","2,047","2,156",
,          Household final consumption,948,962,952,937,"1,004","1,039","1,103","1,198","1,221","1,223","1,298","1,407","1,464","1,532","1,583","1,658","1,692","1,785","1,884",
,          NPISHs final consumption,,,,,,,,,,,,,,,,,,,,
,          Government final consumption,170,181,186,191,193,188,190,196,200,205,212,217,225,231,238,246,254,261,272,
,     Gross capital formation,395,384,381,391,400,401,434,467,466,470,523,539,558,575,584,537,558,587,595,
,          Gross fixed capital formation,382,393,378,383,396,412,441,455,462,446,480,529,565,579,579,560,560,576,588,
,               Public,84,83,83,84,80,69,60,55,59,66,88,99,109,115,124,127,130,131,130,
,               Private,299,310,296,300,317,343,379,397,399,377,391,429,455,463,454,433,430,445,457,
,          Changes in inventories,22,-7,10,15,12,-7,-2,19,11,33,53,15,-4,-1,8,-22,0,11,7,
,          Acquisitions less disposals of valuablesu,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Exports of goods and servicesv,"1,945","1,924","2,089","2,363","2,744","3,077","3,390","3,670","3,799","3,453","4,059","4,254","4,391","4,734","4,780","4,714","4,747","5,026","5,219",
,          Exports of goods,"1,660","1,631","1,767","2,030","2,347","2,639","2,909","3,109","3,209","2,848","3,362","3,518","3,634","3,932","3,965","3,897","3,957","4,213","4,366",
,          Exports of services,289,299,328,339,403,446,489,567,595,605,698,737,758,803,816,818,790,813,853,
,     Less: Imports of goods and servicesv,"1,976","1,957","2,095","2,334","2,670","2,919","3,208","3,499","3,612","3,322","3,928","4,148","4,324","4,682","4,730","4,646","4,687","4,997","5,227",
,          Imports of goods,"1,554","1,532","1,662","1,920","2,211","2,414","2,641","2,901","3,009","2,800","3,357","3,581","3,744","4,116","4,176","4,065","4,094","4,391","4,608",
,          Imports of services,409,412,419,405,450,495,554,586,592,516,567,566,579,566,554,582,593,606,619,
,     Statistical discrepancy,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,
,,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,,
,               Household final consumptionw,4.5,1.4,-1.0,-1.6,7.1,3.5,6.1,8.6,1.9,0.2,6.1,8.4,4.1,4.6,3.3,4.8,2.0,5.6,5.5,
,               Government final consumption,2.4,6.3,2.9,2.4,1.4,-2.6,0.9,3.2,2.0,2.3,3.4,2.5,3.6,2.7,3.1,3.4,3.4,2.8,4.2,
,               Gross capital formation,16.1,-2.6,-0.8,2.4,2.5,0.0,8.3,7.6,-0.1,0.7,11.3,3.1,3.5,3.1,1.6,-8.1,4.0,5.2,1.3,
,               Exports of goods and servicesv,16.9,-1.1,8.6,13.1,16.1,12.2,10.2,8.2,3.5,-9.1,17.6,4.8,3.2,7.8,1.0,-1.4,0.7,5.9,3.8,
,               Imports of goods and servicesv,17.1,-1.0,7.0,11.4,14.4,9.3,9.9,9.1,3.2,-8.0,18.2,5.6,4.2,8.3,1.0,-1.8,0.9,6.6,4.6,
,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,369,337,301,281,294,297,335,353,359,362,424,467,514,514,538,517,536,587,618,
,Gross national saving,428,418,403,417,425,465,526,568,615,526,549,575,546,546,570,596,634,711,739,
,     Gross domestic saving,428,399,407,396,409,470,503,529,533,493,529,542,537,527,543,574,593,616,619,
,     Net primary income from abroad,11,30,8,32,28,7,36,53,101,50,38,53,29,41,47,44,63,116,142,
,     Net current transfers from abroady,-11,-11,-12,-11,-12,-12,-13,-14,-18,-16,-18,-20,-20,-21,-20,-22,-21,-21,-21,
,,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,32.0,30.2,31.3,31.5,31.1,33.3,33.4,32.1,31.2,29.7,29.8,28.0,26.4,24.6,24.0,23.9,23.8,23.1,21.8,
,               Gross national saving,32.0,31.6,31.1,33.2,32.3,32.9,35.0,34.4,36.0,31.7,30.9,29.7,26.8,25.5,25.2,24.9,25.5,26.7,26.0,
,               Gross capital formation,27.6,25.5,23.2,22.4,22.4,21.1,22.3,21.4,21.0,21.8,23.9,24.1,25.2,24.0,23.8,21.5,21.5,22.0,21.7,
,,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (HK$),,,,,,,,,,,,,,,,,,,,
,Per capita GDP,"200,675","196,765","192,367","186,704","194,140","207,263","219,240","238,676","245,406","237,960","252,887","273,549","284,899","297,860","312,609","328,924","339,478","360,247","381,544",
,Per capita GNI,"202,287","201,301","193,611","191,492","198,264","208,359","224,419","246,312","259,851","245,096","258,240","281,019","289,019","303,504","319,056","335,010","348,010","375,879","400,551",
,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,,
,Agriculture;   1983–1987 = 100,42.0,43.0,43.0,41.0,37.0,42.0,38.0,30.0,18.0,15.0,15.0,16.0,17.0,17.0,16.0,16.0,16.0,17.0,18.0,
,Manufacturingz;   2000 | 2008 = 100,100.0,95.6,86.2,78.3,80.6 |,106.4,108.7,107.2,100.0,91.7,95.0,95.7,94.9,95.0,94.6,93.2,92.7,93.1,94.3,
,,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,,
,Coal    (t '000),,,,,,,,,,,,,,,,,,,,
,     Production,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,
,     Exports,1,1,3,13,0,0,0,0,0,0,–,–,0,2,0,–,–,–,–,
,     Imports,"6,060","8,034","8,721","10,690","10,692","10,825","11,404","12,261","11,345","12,332","10,324","12,529","12,351","12,974","13,789","11,184","11,161","10,503","10,884",
,     Consumption,"6,059","8,034","8,718","10,677","10,692","10,825","11,404","12,261","11,345","12,332","10,324","12,529","12,351","12,974","13,789","11,184","11,161","10,503","10,884",
,,,,,,,,,,,,,,,,,,,,,
,Electricity    (kWh million),,,,,,,,,,,,,,,,,,,,
,     Production,"31,329","32,429","34,312","35,506","37,129","38,448","38,613","38,948","37,990","38,728","38,292","39,026","38,752","39,063","39,803","37,924","38,154","36,917","36,459",
,     Exports,"1,181","1,581","2,175","3,008","3,087","4,498","4,528","4,035","3,553","3,731","2,609","2,957","1,838","1,650","1,226","1,187","1,205","1,341",556,
,     Imports,"10,203","10,355","10,182","10,397","9,837","11,001","10,897","10,959","11,297","11,590","10,511","10,735","11,156","9,969","10,288","11,742","11,621","12,576","12,599",
,     Consumption,"36,299","37,261","38,087","38,454","39,223","40,048","40,334","40,853","40,929","41,491","41,863","42,064","43,031","42,556","43,880","43,912","44,028","43,779","44,199",
,,,,,,,,,,,,,,,,,,,,,
,Retail prices   (HK$/L),,,,,,,,,,,,,,,,,,,,
,"     Gasoline, unleaded",10.3,10.6,10.6,11.0,11.7,12.5,13.1,13.1,14.7,12.5,13.6,15.3,15.8,15.7,15.6,13.7,13.2,14.0,15.1,
,     Diesel,6.3,5.8,5.8,6.1,6.7,7.8,8.6,8.8,10.3,8.6,9.7,11.6,12.2,12.5,12.6,10.9,10.7,11.9,13.5,
,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages ,,,,,,,,,,,,,,,,,,,,
,Consumer (national)aa;   October 2014–September 2015 = 100,78.4,77.1,74.8,72.8,72.6,73.2,74.7,76.2,79.5,80.0,81.8,86.1,89.6,93.5,97.7,100.6,103.0,104.5,107.0,
,     Food and nonalcoholic beverages,...,...,...,...,...,57.7,59.1,63.3,73.9,74.6,77.2,84.9,90.4,94.3,97.7,100.9,104.5,105.7,110.2,
,"     Alcoholic beverages, tobacco, and narcotics",...,...,...,...,...,64.9,62.5,61.8,61.8,73.5,75.9,88.9,91.5,92.9,98.9,100.2,101.8,102.4,103.8,
,     Clothing and footwear,...,...,...,...,...,81.0,81.9,85.2,85.9,88.1,89.7,95.8,98.8,100.4,101.3,99.6,96.3,95.9,97.5,
,"     Housing, water, electricity, gas, and other fuels",...,...,...,...,...,66.0,68.9,70.1,72.2,72.9,75.4,80.0,83.7,89.2,95.7,100.9,104.5,106.3,109.1,
,"     Furnishings, household equipment, and routine household maintenance",...,...,...,...,...,84.2,85.8,87.2,89.5,88.5,87.5,89.8,93.0,96.0,98.5,100.5,102.2,103.5,106.1,
,     Health,...,...,...,...,...,76.9,77.5,78.9,81.8,83.2,85.3,88.3,91.4,94.5,97.6,100.9,105.3,109.3,113.6,
,     Transport,...,...,...,...,...,85.3,86.0,85.9,88.1,87.4,89.1,93.1,95.9,98.2,100.3,99.9,101.5,103.9,105.5,
,     Communication,...,...,...,...,...,156.0,146.7,136.8,129.8,123.5,119.3,114.2,108.4,105.0,103.4,98.3,93.7,90.3,85.3,
,     Recreation and culture,...,...,...,...,...,89.9,89.9,92.6,95.5,93.9,96.0,98.4,100.9,102.8,103.2,99.3,98.7,98.1,102.0,
,     Education,...,...,...,...,...,90.9,92.6,92.5,88.2,84.4,85.5,87.6,90.0,93.4,97.2,101.0,104.9,105.3,102.9,
,     Restaurants and hotels,...,...,...,...,...,70.6,71.5,73.3,77.6,78.8,80.0,84.2,88.8,92.6,96.9,101.0,104.3,107.1,110.2,
,     Miscellaneous goods and services,...,...,...,...,...,78.8,80.7,82.1,85.7,87.5,89.9,93.4,95.3,96.7,98.7,100.3,101.4,102.1,103.7,
,"Producersz, ab;   2000 | 2008 = 100",100.0,98.4,95.7,95.4,97.6 |,89.9,91.9,94.7,100.0,98.3,104.2,112.9,113.0,109.5,107.6,104.7,106.1,110.1,112.3,
,Implicit GDP deflator;   2017 = 100         ,91.9,90.2,87.2,81.9,79.0,78.9,78.4,80.9,81.9,81.6,81.9,85.0,88.1,89.7,92.2,95.6,97.1,100.0,103.6,
,,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,,
,               Consumer price indexaa,-3.7,-1.7,-3.0,-2.7,-0.3,0.8,2.0,2.0,4.3,0.6,2.3,5.3,4.1,4.3,4.4,3.0,2.4,1.5,2.4,
,               Food and nonalcoholic beverages price index,...,...,...,...,...,...,2.4,7.1,16.7,0.9,3.5,10.0,6.5,4.3,3.6,3.3,3.6,1.1,4.3,
,               Producer price index ,0.2,-1.6,-2.7,-0.3,2.3,0.8,2.2,3.0,5.6,-1.7,6.0,8.3,0.1,-3.1,-1.7,-2.7,1.3,3.8,2.0,
,               Implicit GDP deflator,-3.4,-1.8,-3.4,-6.0,-3.6,-0.2,-0.5,3.1,1.3,-0.4,0.3,3.9,3.5,1.8,2.9,3.6,1.6,3.0,3.6,
,,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKING   as of end of period (HK$ billion),,,,,,,,,,,,,,,,,,,,
,Money supply (M1)ac,244,258,296,413,484,435,492,617,646,902,"1,017","1,127","1,377","1,511","1,709","1,971","2,214","2,431","2,422",
,     Currency in circulation,92,102,113,128,141,142,150,158,170,194,219,248,282,314,330,349,390,439,467,
,     Demand deposits (excluding government deposits),152,156,182,286,344,292,341,459,475,707,798,879,"1,095","1,197","1,379","1,622","1,824","1,993","1,955",
,Quasi-moneyac,"3,406","3,292","3,223","3,400","3,682","3,944","4,563","5,490","5,622","5,700","6,119","6,930","7,573","8,546","9,303","9,647","10,294","11,324","11,926",
,Money supply (M2),"3,649","3,550","3,518","3,813","4,167","4,379","5,054","6,106","6,268","6,602","7,136","8,058","8,950","10,056","11,011","11,618","12,508","13,755","14,348",
,,,,,,,,,,,,,,,,,,,,,
