"KOREA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Expenditure on GDP at current market prices,"651,634","707,021","784,741","837,365","908,439","957,448","1,005,602","1,089,660","1,154,217","1,205,348","1,322,611","1,388,937","1,440,111","1,500,819","1,562,929","1,658,020","1,740,780","1,835,698","1,893,497"
,     Final consumption expenditure,"426,170","474,802","532,348","554,493","581,232","624,060","667,733","718,291","768,507","799,520","854,936","910,746","949,805","982,776","1,018,422","1,054,900","1,100,100","1,155,837","1,213,787"
,          Household final consumption,"347,316","382,961","430,309","441,850","456,886","488,042","519,431","556,349","589,654","605,170","649,706","691,781","716,113","732,358","754,025","777,068","803,432","840,678","874,617"
,          NPISHs final consumption,"7,825","8,731","9,898","10,887","11,815","12,869","13,847","15,461","16,702","17,638","17,355","19,338","22,199","25,648","26,437","27,744","31,373","32,114","33,657"
,          Government final consumption,"71,028","83,111","92,142","101,757","112,531","123,149","134,455","146,482","162,151","176,712","187,875","199,627","211,493","224,771","237,959","250,088","265,295","283,046","305,513"
,     Gross capital formation,"214,346","223,440","243,998","270,298","295,693","311,249","331,781","360,650","388,588","354,372","430,538","462,786","450,995","448,525","465,604","489,602","524,718","592,711","592,858"
,          Gross fixed capital formation,"206,895","217,426","238,401","261,797","281,906","291,800","306,642","328,572","357,760","372,056","399,786","418,825","425,614","436,628","452,590","481,002","517,350","578,457","574,986"
,               Public,"172,268","179,228","198,703","214,742","231,143","240,872","255,664","274,479","297,023","293,999","330,518","349,612","356,658","364,951","384,851","409,153","440,228","497,221","490,165"
,               Private,"34,627","38,198","39,698","47,055","50,763","50,928","50,979","54,093","60,736","78,057","69,268","69,213","68,956","71,677","67,739","71,849","77,122","81,236","84,822"
,          Changes in inventories,"7,451","6,013","5,598","8,502","13,787","19,449","25,139","32,079","30,829","-17,684","30,752","43,961","25,381","11,897","13,014","8,600","7,368","14,255","17,872"
,          Acquisitions less disposals of valuables,,,,,,,,,,,,,,,,,,,
,     Exports of goods and services,"221,159","224,746","233,639","262,915","333,891","337,817","358,260","407,448","549,891","544,641","622,999","740,828","779,015","769,801","747,571","712,776","698,621","751,429","788,279"
,          Exports of goods,"187,292","190,326","201,416","229,207","288,474","293,913","314,115","353,029","471,795","475,340","545,803","661,539","689,443","682,500","653,839","620,257","605,601","664,860","695,828"
,          Exports of services,"33,867","34,420","32,223","33,707","45,417","43,904","44,145","54,419","78,095","69,301","77,197","79,288","89,572","87,301","93,732","92,519","93,020","86,568","92,451"
,     Less: Imports of goods and services,"209,540","215,189","224,281","249,340","302,159","316,357","352,217","397,534","552,575","493,569","585,862","725,422","739,703","700,283","668,668","599,257","582,659","664,279","701,151"
,          Imports of goods,"174,260","176,845","182,695","205,604","247,709","258,353","290,071","323,989","454,190","396,838","480,860","619,419","625,568","588,883","554,973","478,471","458,001","526,817","565,501"
,          Imports of services,"35,280","38,345","41,586","43,736","54,451","58,004","62,145","73,544","98,385","96,731","105,002","106,003","114,135","111,400","113,695","120,786","124,658","137,462","135,650"
,     Statistical discrepancy,-501,-777,-963,"-1,001",-217,679,44,805,-194,384,–,–,–,–,–,–,–,–,-276
,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumption,53.3,54.2,54.8,52.8,50.3,51.0,51.7,51.1,51.1,50.2,49.1,49.8,49.7,48.8,48.2,46.9,46.2,45.8,46.2
,               Government final consumption,10.9,11.8,11.7,12.2,12.4,12.9,13.4,13.4,14.0,14.7,14.2,14.4,14.7,15.0,15.2,15.1,15.2,15.4,16.1
,               Gross capital formation,32.9,31.6,31.1,32.3,32.5,32.5,33.0,33.1,33.7,29.4,32.6,33.3,31.3,29.9,29.8,29.5,30.1,32.3,31.3
,                    Changes in inventories,1.1,0.9,0.7,1.0,1.5,2.0,2.5,2.9,2.7,-1.5,2.3,3.2,1.8,0.8,0.8,0.5,0.4,0.8,0.9
,               Exports of goods and services,33.9,31.8,29.8,31.4,36.8,35.3,35.6,37.4,47.6,45.2,47.1,53.3,54.1,51.3,47.8,43.0,40.1,40.9,41.6
,               Imports of goods and services,32.2,30.4,28.6,29.8,33.3,33.0,35.0,36.5,47.9,40.9,44.3,52.2,51.4,46.7,42.8,36.1,33.5,36.2,37.0
,               Statistical discrepancy,-0.1,-0.1,-0.1,-0.1,-0.0,0.1,0.0,0.1,-0.0,0.0,–,–,–,–,–,–,–,–,-0.0
,,,,,,,,,,,,,,,,,,,,
,At Chained Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 2015 market prices,"903,551","947,395","1,020,582","1,052,703","1,107,416","1,155,130","1,215,940","1,286,459","1,325,219","1,335,724","1,426,618","1,479,198","1,514,737","1,562,674","1,612,718","1,658,020","1,706,880","1,760,812","1,807,736"
,"     Agriculture, forestry, and fishing","27,070","27,180","26,360","24,738","26,642","26,794","27,414","28,783","30,636","32,056","30,888","30,571","30,420","31,697","33,307","33,225","31,353","32,060","32,540"
,     Mining and quarrying,"3,370","3,407","3,393","3,470","3,333","3,256","3,219","3,031","3,028","2,952","2,661","2,346","2,260","2,356","2,363","2,145","2,296","2,205","2,031"
,     Manufacturing,"207,466","213,365","233,593","245,340","270,703","285,096","307,506","332,669","344,459","336,416","382,243","402,282","407,960","420,493","433,854","441,134","451,294","468,070","483,823"
,"     Electricity, gas, steam, and air-conditioning supply","19,979","21,592","23,558","24,128","25,838","28,078","28,664","29,884","30,778","31,441","32,816","32,267","32,095","30,397","31,288","32,384","32,047","35,119","36,333"
,"     Water supply; sewerage, waste management, and remediation activities","4,702","4,725","4,980","5,327","5,678","5,789","6,031","6,308","6,566","7,131","7,384","7,734","8,318","8,705","9,089","9,377","9,216","8,831","8,974"
,     Construction,"64,922","67,899","70,743","76,829","78,338","78,384","78,981","80,858","78,208","79,283","76,144","72,505","72,170","75,294","76,415","81,174","89,140","94,369","90,562"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"78,300","80,238","85,025","82,046","81,961","84,500","87,845","92,574","94,189","94,009","101,941","108,056","112,771","118,044","118,923","123,433","126,132","129,378","132,571"
,     Accommodation and food service activities,"29,939","33,124","35,315","34,884","34,831","33,803","34,326","35,673","36,100","35,580","36,163","35,629","35,913","35,575","36,272","36,912","38,573","38,390","39,059"
,     Transportation and storage,"33,787","35,283","36,567","36,873","38,919","40,200","41,923","44,433","46,547","44,473","50,295","52,571","55,626","56,446","57,135","58,500","58,714","60,289","61,889"
,     Information and communication,"27,308","32,528","38,046","40,472","44,167","48,405","50,789","52,461","54,343","56,340","58,443","61,601","64,106","67,895","69,064","69,789","73,517","75,814","78,942"
,     Financial and insurance activities,"35,656","38,609","47,821","47,551","47,418","50,502","52,811","59,364","63,003","66,637","68,643","70,356","73,997","77,293","82,077","88,258","89,948","93,709","99,000"
,     Real estate activities,"78,273","82,820","83,671","86,792","89,451","93,606","98,056","100,634","105,026","107,141","109,866","113,402","113,859","115,168","120,196","122,198","126,461","129,307","132,058"
,"     Professional, scientific, and technical activities","39,027","43,415","48,188","51,019","53,674","55,723","60,793","65,906","69,498","71,380","74,386","77,813","80,317","84,389","88,785","93,215","94,384","94,866","97,001"
,     Administrative and support service activities,"18,399","17,919","19,533","22,424","23,998","25,658","27,098","29,566","31,527","31,366","36,077","38,968","40,359","43,756","46,414","48,704","50,694","53,097","53,519"
,     Public administration and defense; compulsory social security,"57,424","59,113","61,358","63,818","66,406","69,115","72,070","74,602","76,677","80,058","82,556","84,904","87,761","90,221","92,972","95,491","98,023","100,723","104,100"
,     Education,"52,166","55,081","58,504","61,515","63,728","65,247","68,376","70,852","73,303","74,116","75,424","77,321","78,852","80,729","81,146","82,134","83,161","84,806","86,441"
,     Human health and social work activities,"27,477","26,271","28,080","29,849","31,704","33,838","36,010","39,110","40,577","43,731","46,645","49,825","53,265","56,505","60,491","63,337","67,975","72,330","78,160"
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,"28,077","30,348","33,734","33,356","33,130","34,185","36,135","38,411","39,369","39,624","41,370","41,212","41,259","41,320","40,890","39,499","40,839","40,496","41,218"
,Gross value added at basic prices,"819,508","858,697","927,265","957,728","1,008,287","1,051,713","1,107,876","1,176,059","1,215,778","1,226,048","1,308,667","1,356,276","1,389,384","1,436,068","1,480,547","1,520,908","1,563,765","1,613,713","1,657,802"
,Plus: Taxes less subsidies on products,"83,240","87,821","92,579","94,390","98,606","102,870","107,530","110,038","109,390","109,693","117,904","122,815","125,268","126,634","132,173","137,113","143,115","147,105","149,967"
,Net factor income from abroad,"-6,489","-6,743","-3,996","-3,836","-2,047","-8,448","-3,688","-3,427",111,"-2,013","2,002","8,815","15,346","9,701","7,626","5,186","6,177","7,085","4,520"
,GNIb,"926,961","963,701","1,046,880","1,074,837","1,121,037","1,148,216","1,193,968","1,261,872","1,266,674","1,298,061","1,391,621","1,414,273","1,455,657","1,511,626","1,564,407","1,663,207","1,736,627","1,793,818","1,815,558"
,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,…,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.7
,               Agriculture,…,0.4,-3.0,-6.2,7.7,0.6,2.3,5.0,6.4,4.6,-3.6,-1.0,-0.5,4.2,5.1,-0.2,-5.6,2.3,1.5
,               Industry,…,3.5,8.1,5.6,8.1,4.4,5.9,6.7,2.3,-1.3,9.6,3.2,1.1,2.8,2.9,2.4,3.1,4.2,2.2
,               Services,…,5.6,7.3,1.8,2.8,4.1,4.5,5.1,3.5,2.0,4.6,3.5,3.2,3.0,2.7,2.7,3.1,2.7,3.4
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 2015 market prices,"903,551","947,395","1,020,582","1,052,703","1,107,416","1,155,130","1,215,940","1,286,459","1,325,219","1,335,724","1,426,618","1,479,198","1,514,737","1,562,674","1,612,718","1,658,020","1,706,880","1,760,812","1,807,736"
,     Final consumption expenditure,"627,729","664,781","721,628","725,696","734,193","769,351","811,336","856,239","875,717","889,512","930,995","957,649","979,446","1,003,096","1,028,320","1,054,900","1,086,839","1,120,029","1,159,040"
,          Household final consumption,"498,971","527,784","575,063","572,160","573,966","600,660","630,397","663,348","673,871","674,862","706,108","726,067","735,825","745,679","760,603","777,068","794,746","817,304","839,749"
,          NPISHs final consumption,"12,483","13,308","14,615","15,362","15,946","16,722","17,361","18,648","19,198","19,721","18,973","20,390","22,991","26,334","26,805","27,744","30,930","31,287","32,558"
,          Government final consumption,"115,735","123,200","131,262","137,910","144,259","151,963","163,566","174,245","182,641","194,787","205,739","211,013","220,490","231,036","240,901","250,088","261,162","271,429","286,645"
,     Gross capital formation,"305,770","311,010","335,632","354,037","368,707","376,880","395,728","415,650","414,563","373,573","437,274","451,364","439,479","443,911","459,679","489,602","520,296","576,997","566,376"
,          Gross fixed capital formation,"306,030","312,806","336,087","353,958","363,826","369,229","383,896","403,309","400,827","402,485","425,635","431,261","430,686","442,806","456,558","481,002","512,635","562,777","549,071"
,               Public,"248,752","253,213","275,834","286,822","295,282","301,399","316,427","333,716","330,985","315,968","350,306","359,459","360,669","369,917","388,251","409,153","435,881","484,337","469,394"
,               Private,"57,698","60,183","60,452","67,703","69,091","68,272","67,709","69,752","70,042","87,289","75,491","71,837","70,036","72,912","68,308","71,849","76,753","78,410","79,619"
,          Changes in inventories,"10,058","8,346","9,436","7,449","13,828","17,797","26,174","26,877","30,420","-8,059","17,171","32,599","27,990","5,280","6,203","8,600","7,662","13,945","16,658"
,          Acquisitions less disposals of valuables,,,,,,,,,,,,,,,,,,,
,     Exports of goods and services,"218,958","215,018","242,568","275,508","333,378","359,712","403,039","453,838","488,340","486,109","549,438","634,146","670,885","696,514","711,110","712,776","729,685","747,784","773,753"
,          Exports of goods,"179,755","176,340","204,111","237,115","286,134","312,573","354,115","397,673","421,694","422,573","480,900","563,734","592,067","615,269","622,145","620,257","632,553","660,435","682,338"
,          Exports of services,"41,640","41,123","39,716","38,680","47,677","47,382","49,139","56,393","66,394","63,422","68,314","70,116","78,668","81,075","88,973","92,519","97,132","87,352","91,435"
,     Less: Imports of goods and services,"231,805","223,779","257,103","284,045","318,370","343,052","385,837","429,758","443,781","413,126","485,464","555,914","570,188","579,538","586,859","599,257","630,267","686,089","691,374"
,          Imports of goods,"189,515","181,229","208,169","232,434","257,404","274,777","309,687","341,412","351,972","326,488","389,454","458,488","468,226","473,929","475,272","478,471","497,193","541,187","549,885"
,          Imports of services,"41,518","41,947","48,244","50,805","60,148","67,556","75,280","87,852","91,376","86,468","95,308","95,111","100,019","103,973","110,671","120,786","133,074","144,901","141,370"
,     Statistical discrepancy,-137,-781,"-1,330","-1,210",-285,"1,913","1,424","1,021",352,135,-132,-818,-269,210,354,–,327,"-1,130","-2,512"
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumption,…,5.8,9.0,-0.5,0.3,4.7,5.0,5.2,1.6,0.1,4.6,2.8,1.3,1.3,2.0,2.2,2.3,2.8,2.7
,               Government final consumption,…,6.5,6.5,5.1,4.6,5.3,7.6,6.5,4.8,6.7,5.6,2.6,4.5,4.8,4.3,3.8,4.4,3.9,5.6
,               Gross capital formation,…,1.7,7.9,5.5,4.1,2.2,5.0,5.0,-0.3,-9.9,17.1,3.2,-2.6,1.0,3.6,6.5,6.3,10.9,-1.8
,               Exports of goods and services,…,-1.8,12.8,13.6,21.0,7.9,12.0,12.6,7.6,-0.5,13.0,15.4,5.8,3.8,2.1,0.2,2.4,2.5,3.5
,               Imports of goods and services,…,-3.5,14.9,10.5,12.1,7.8,12.5,11.4,3.3,-6.9,17.5,14.5,2.6,1.6,1.3,2.1,5.2,8.9,0.8
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"214,346","223,440","243,998","270,298","295,693","311,249","331,781","360,650","388,588","354,372","430,538","462,786","450,995","448,525","465,604","489,602","524,718","592,711","592,858"
,Gross national saving,"221,026","226,197","247,544","276,799","322,993","324,214","331,623","366,107","386,166","402,902","464,451","482,737","500,807","524,949","548,691","604,062","641,904","680,905","676,993"
,     Gross domestic saving,"225,465","232,219","252,393","282,872","327,207","333,387","337,868","371,369","385,710","405,828","467,675","478,191","490,307","518,043","544,507","603,120","640,680","679,861","679,710"
,     Net factor income from abroad,"-4,360","-4,785","-2,913","-2,922","-1,575","-6,762","-2,937","-2,763",293,"-1,868","1,976","8,598","15,059","9,566","7,564","5,186","6,364","7,483","4,956"
,     Net current transfers from abroad,-79,"-1,237","-1,937","-3,151","-2,640","-2,412","-3,309","-2,499",163,"-1,058","-5,199","-4,052","-4,559","-2,660","-3,380","-4,245","-5,139","-6,439","-7,673"
,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,34.6,32.8,32.2,33.8,36.0,34.8,33.6,34.1,33.4,33.7,35.4,34.4,34.0,34.5,34.8,36.4,36.8,37.0,35.9
,               Gross national saving,33.9,32.0,31.5,33.1,35.6,33.9,33.0,33.6,33.5,33.4,35.1,34.8,34.8,35.0,35.1,36.4,36.9,37.1,35.8
,               Gross capital formation,32.9,31.6,31.1,32.3,32.5,32.5,33.0,33.1,33.7,29.4,32.6,33.3,31.3,29.9,29.8,29.5,30.1,32.3,31.3
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (W '000),,,,,,,,,,,,,,,,,,,
,Per capita GDP ,"13,862","14,925","16,471","17,484","18,893","19,870","20,760","22,382","23,529","24,445","26,690","27,814","28,688","29,761","30,799","32,501","33,988","35,740","36,691"
,Per capita GNI ,"13,769","14,824","16,410","17,423","18,861","19,730","20,700","22,326","23,535","24,407","26,730","27,986","28,988","29,951","30,948","32,602","34,112","35,886","36,787"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,103.9,103.8,100.6,98.4,99.3,99.9,100.7,101.4,104.6,107.5,101.1,97.9,99.2,103.4,106.0,104.1,102.7,…,…
,Mining;   2015 = 100,133.6,133.4,139.0,137.8,133.0,122.6,117.5,112.2,101.0,107.8,100.0,104.5,99.8,106.9,98.5,100.0,103.4,100.2,89.4
,Manufacturing;   2015 = 100,58.6,60.7,62.4,64.4,67.5,69.8,72.6,76.5,80.5,83.2,89.8,93.9,95.9,97.5,100.3,100.0,102.3,104.6,105.9
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Crude petroleumc   (t '000),,,,,,,,,,,,,,,,,,,
,     Production,"121,424","118,862","112,446","110,176","116,120","120,900","124,448","125,223","122,976","119,558","122,999","131,296","135,547","131,259","134,942","147,235","153,143","161,963","164,887 *"
,     Exports,"40,124","38,646","31,326","27,389","30,851","34,407","37,868","38,261","43,723","43,349","44,774","53,492","57,758","56,237","58,796","62,857","64,362","67,014","70,135 *"
,     Imports,"143,870","139,403","133,561","134,236","133,738","133,955","141,526","141,847","142,723","144,532","150,554","158,247","164,930","163,001","164,293","174,752","185,067","187,678","190,986 *"
,     Consumption,"97,275","97,420","99,936","99,945","98,555","99,701","100,283","104,138","99,644","101,981","104,050","105,015","108,426","108,101","107,611","117,365","126,677","128,935","127,482 *"
,,,,,,,,,,,,,,,,,,,,
,Coal   (t '000),,,,,,,,,,,,,,,,,,,
,     Production,"4,150","3,817","3,318","3,298","3,191","2,832","2,824","2,886","2,773","2,519","2,084","2,084","2,094","1,815","1,748","1,764","1,726","1,485","1,202"
,     Exports,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
