AZERBAIJAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,"     Electricity, gas, steam, and air-conditioning supply; water supply;
          sewerage, waste management, and remediation activities",49,51,52,46,49,52,55,60,62,55,56,55,56,58,56,52,58,58,64
,     Construction,189,191,195,203,208,212,217,223,226,229,288,309,322,326,334,336,344,348,355
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,612,617,618,629,631,635,649,657,670,679,627,635,647,664,682,695,700,706,709
,     Accommodation and food service activities,20,21,21,22,24,25,25,26,26,26,47,48,49,49,56,62,68,74,78
,     Transportation and storage,166,168,170,171,173,175,177,179,181,184,179,182,183,184,185,197,198,201,203
,     Information and communication,29,29,30,30,31,32,33,33,34,34,56,58,59,58,59,60,61,62,63
,     Financial and insurance activities,16,16,17,17,17,18,21,21,22,22,24,26,27,31,33,33,27,27,27
,     Real estate activities,78,79,82,83,84,82,83,84,85,86,70,71,75,79,86,90,88,89,91
,     Others,959,972,987,993,"1,008","1,017","1,020","1,032","1,043","1,071","1,078","1,081","1,098","1,129","1,153","1,180","1,206","1,218","1,223"
,Unemployed,515,477,439,401,349,318,291,281,262,260,258,251,243,237,238,244,253,252,254
,Unemployment rate   (%),11.8,10.9,10.0,9.2,8.0,7.3,6.6,6.3,5.9,5.7,5.6,5.4,5.2,5.0,4.9,5.0,5.0,5.0,4.9
,Labor force   (% annual change),0.8,-0.0,0.0,0.1,-0.2,0.3,0.5,0.9,0.8,1.2,1.2,0.8,1.3,1.5,1.7,1.5,2.0,1.2,1.2
,Labor force participation rate   (%),77.6,75.5,73.6,71.7,69.9,68.4,67.1,66.4,65.4,65.1,64.8,64.5,64.5,64.7,65.1,65.4,66.0,66.2,66.3
,     Male,82.7,80.6,78.6,76.7,74.5,73.1,72.1,71.4,69.9,68.5,67.8,67.5,67.8,68.0,68.3,68.5,69.5,69.7,69.7
,     Female,72.7,70.7,68.8,67.0,65.4,64.1,62.5,61.6,61.2,61.8,62.0,61.5,61.4,61.4,62.0,62.4,62.8,62.9,63.1
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (AZN million),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"4,718","5,316","6,063","7,147","8,530","12,523","18,746","28,361","40,137","35,602","42,465","52,082","54,744","58,182","59,014","54,380","60,425","70,338","79,797"
,"     Agriculture, forestry, and fishing",759,789,846,888,937,"1,138","1,329","1,901","2,246","2,180","2,345","2,644","2,814","3,122","3,139","3,359","3,387","3,944","4,190"
,     Mining and quarrying,"1,305","1,576","1,751","1,968","2,477","5,284","9,534","15,219","21,165","15,090","19,377","24,980","23,606","22,790","20,222","14,370","18,557","24,039","30,559"
,     Manufacturing,250,329,451,617,707,812,"1,082","1,414","1,889","1,967","1,916","2,077","2,319","2,453","2,778","2,714","2,979","3,306","3,848"
,"     Electricity, gas, steam, and air-conditioning supply",145,95,68,82,86,80,105,235,438,387,674,887,"1,082","1,108","1,078",735,756,729,761
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,26,48,59,83,66,55,67,66,91,91,94,107,134,139
,     Construction,308,311,528,802,"1,062","1,127","1,446","1,825","2,800","2,554","3,440","4,141","5,508","6,754","7,454","6,500","6,339","6,751","6,354"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,296,393,453,507,603,760,"1,006","1,401","2,198","2,381","2,725","3,284","3,654","4,149","4,652","5,388","6,252","7,290","7,671"
,     Accommodation and food service activities,19,21,24,33,52,71,101,160,303,344,443,757,897,"1,069","1,269","1,313","1,424","1,665","1,835"
,     Transportation and storage,567,539,597,714,812,651,876,"1,602","2,062","2,403","2,369","2,659","2,694","2,569","2,656","3,242","4,076","4,719","5,033"
,     Information and communication,,,,,,266,367,473,620,669,792,829,945,"1,012","1,071","1,088","1,058","1,144","1,243"
,     Financial and insurance activities,44,65,63,85,116,173,248,429,709,760,493,715,920,"1,262","1,537","1,581","1,549","1,562","1,625"
,     Real estate activities,129,169,138,213,249,74,147,177,371,541,688,816,858,"1,210","1,466","1,851","1,848","2,077","2,110"
,"     Professional, scientific, and technical activities",,,,,,151,240,290,451,546,385,598,673,792,834,858,855,"1,045","1,058"
,     Administrative and support service activities,,,,,,57,85,128,186,219,229,279,336,361,385,373,373,452,463
,     Public administration and defense; compulsory social security,96,142,201,263,333,378,489,371,599,765,854,"1,162","1,353","1,472","1,639","1,696","1,730","2,029","2,145"
,     Education,233,244,248,235,296,310,430,737,"1,127","1,305","1,434","1,604","1,711","1,897","1,943","1,947","1,902","1,985","2,039"
,     Human health and social work activities,87,91,82,112,129,175,252,239,489,667,688,724,909,"1,031","1,133","1,138","1,083","1,108","1,126"
,"     Arts, entertainment, and recreation",,,,,,53,65,73,141,247,290,368,435,533,595,611,542,609,619
,     Other service activities,218,169,162,119,122,64,64,56,153,270,395,436,573,630,660,666,690,746,753
,"     Activities of households as employers; undifferentiated goods- 
          and services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Less: Financial intermediation services indirectly measuredc,27,35,35,42,66,73,192,298,581,569,– ,– ,– ,– ,– ,– ,– ,– ,– 
,Gross value added at basic prices,"4,427","4,897","5,576","6,597","7,915","11,576","17,722","26,490","37,449","32,792","39,589","49,026","51,352","54,304","54,601","49,521","55,504","65,333","73,569"
,Taxes less subsidies on products and imports,291,418,486,550,616,947,"1,024","1,870","2,689","2,810","2,877","3,056","3,392","3,878","4,413","4,859","4,921","5,004","6,228"
,Net factor income from abroad,-85,-135,-189,-247,-505,"-1,428","-2,244","-4,145","-4,125","-2,628","-2,543","-3,563","-3,099","-2,894","-1,692","-1,739","-3,631","-2,758","-4,114"
,GNI,"4,634","5,181","5,874","6,899","8,026","11,094","16,502","24,216","36,013","32,974","39,923","48,519","51,645","55,288","57,323","52,641","56,794","67,580","75,684"
,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,17.1,16.1,15.2,13.5,11.8,9.8,7.5,7.2,6.0,6.6,5.9,5.4,5.5,5.7,5.7,6.8,6.1,6.0,5.7
,               Industry,45.3,47.2,50.2,52.6,54.7,63.3,68.9,70.8,70.4,61.2,64.3,65.6,63.4,61.1,57.9,49.3,51.8,53.5,56.6
,               Services,37.5,36.7,34.7,34.0,33.4,26.9,23.6,22.0,23.6,32.2,29.8,29.0,31.1,33.1,36.3,43.9,42.1,40.5,37.7
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,"4,718","5,316","6,063","7,147","8,530","12,523","18,746","28,361","40,137","35,602","42,465","52,082","54,744","58,182","59,014","54,380","60,425","70,338","79,797"
,     Final consumption expenditure,"3,754","3,994","4,565","5,171","5,861","6,580","8,556","12,213","16,830","19,182","21,336","24,680","27,370","30,363","33,239","37,576","43,229","48,482","50,553"
,          Household final consumption,"2,973","3,200","3,740","4,230","4,698","5,211","6,873","9,375","13,286","15,049","16,528","19,216","21,390","24,150","26,583","30,595","35,197","40,210","42,145"
,          NPISHs final consumption,66,69,73,56,63,64,82,98,134,173,187,189,218,230,232,233,278,295,295
,          Government final consumption,715,725,752,885,"1,100","1,305","1,601","2,740","3,410","3,960","4,621","5,275","5,762","5,983","6,424","6,748","7,754","7,977","8,113"
,     Gross capital formation,975,"1,099","2,096","3,800","4,947","5,201","5,598","6,105","7,503","6,746","7,669","10,556","12,217","14,928","16,235","15,179","15,518","17,148","16,020"
,          Gross fixed capital formation,"1,092","1,216","2,066","3,779","4,923","5,173","5,568","6,069","7,457","6,700","7,715","10,509","12,293","15,007","16,188","15,131","15,127","16,753","16,464"
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Changes in inventories,-116,-117,30,21,24,28,30,36,46,46,-46,47,-76,-79,47,48,391,395,-444
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Exports of goods and services,"1,895","2,206","2,593","3,002","4,162","7,882","12,467","19,322","26,401","18,383","23,061","29,388","29,000","28,169","25,538","20,553","28,054","34,148","43,324"
,          Exports of goods,"1,663","1,936","2,241","2,578","3,678","7,235","11,627","18,251","25,130","16,956","21,250","27,241","25,637","24,929","22,167","15,993","21,083","26,078","35,349"
,          Exports of services,233,270,352,424,484,647,840,"1,071","1,271","1,428","1,811","2,148","3,363","3,241","3,371","4,560","6,971","8,069","7,974"
,     Less: Imports of goods and services,"1,811","1,984","3,034","4,684","6,203","6,625","7,266","8,086","9,419","8,227","8,782","12,542","13,844","15,279","15,467","18,928","26,375","29,440","30,099"
,          Imports of goods,"1,377","1,364","1,773","2,674","3,520","4,115","4,708","5,187","6,223","5,235","5,414","8,029","8,184","8,752","7,320","10,029","14,370","15,554","18,619"
,          Imports of services,434,619,"1,262","2,010","2,683","2,510","2,558","2,899","3,196","2,992","3,368","4,513","5,660","6,527","8,147","8,899","12,006","13,885","11,480"
,     Statistical discrepancy,-96,– ,-158,-142,-237,-516,-609,"-1,192","-1,178",-483,-818,– ,– ,– ,-530,– ,– ,– ,– 
,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Household final consumption,63.0,60.2,61.7,59.2,55.1,41.6,36.7,33.1,33.1,42.3,38.9,36.9,39.1,41.5,45.0,56.3,58.2,57.2,52.8
,               Government final consumption,15.2,13.6,12.4,12.4,12.9,10.4,8.5,9.7,8.5,11.1,10.9,10.1,10.5,10.3,10.9,12.4,12.8,11.3,10.2
,               Gross capital formation,20.7,20.7,34.6,53.2,58.0,41.5,29.9,21.5,18.7,18.9,18.1,20.3,22.3,25.7,27.5,27.9,25.7,24.4,20.1
,                    Changes in inventories,-2.5,-2.2,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.1,-0.1,0.1,-0.1,-0.1,0.1,0.1,0.6,0.6,-0.6
,               Exports of goods and services,40.2,41.5,42.8,42.0,48.8,62.9,66.5,68.1,65.8,51.6,54.3,56.4,53.0,48.4,43.3,37.8,46.4,48.5,54.3
,               Imports of goods and services,38.4,37.3,50.0,65.5,72.7,52.9,38.8,28.5,23.5,23.1,20.7,24.1,25.3,26.3,26.2,34.8,43.6,41.9,37.7
,               Statistical discrepancy,-2.0,– ,-2.6,-2.0,-2.8,-4.1,-3.2,-4.2,-2.9,-1.4,-1.9,– ,– ,– ,-0.9,– ,– ,– ,– 
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at previous year's market prices,"4,194","5,185","5,877","6,739","7,872","10,784","16,837","23,442","31,412","43,869","37,399","42,495","53,210","57,924","59,782","59,673","52,675","60,474","71,291"
,"     Agriculture, forestry, and fishing",779,843,839,893,932,"1,000","1,148","1,383","2,017","2,325","2,078","2,481","2,818","2,952","3,041","3,346","3,447","3,528","4,125"
,     Mining and quarrying,...,"1,441","1,641","1,819","2,017","4,220","8,770","13,208","16,244","24,392","15,300","17,494","23,697","23,725","22,166","20,406","14,476","17,699","24,127"
,     Manufacturing,...,260,356,514,682,822,886,"1,193","1,514","1,651","2,101","2,149","2,174","2,370","2,544","2,857","2,680","2,925","3,534"
,"     Electricity, gas, steam, and air-conditioning supply","1,139",146,99,79,84,79,88,97,247,384,384,447,990,"1,117","1,174",747,731,736,780
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,10,25,40,60,82,65,52,67,74,98,93,93,105,139
,     Construction,421,326,565,780,"1,098","1,089","1,236","1,688","2,483","2,571","2,957","4,128","4,886","6,681","7,349","6,456","5,031","6,244","6,143"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,293,346,456,534,621,680,897,"1,160","1,618","2,394","2,580","3,003","3,599","4,016","4,564","5,159","5,469","6,408","7,509"
,     Accommodation and food service activities,...,...,...,...,...,65,91,137,216,355,396,543,900,"1,041","1,264","1,447","1,340","1,508","1,792"
,     Transportation and storage,470,632,581,669,794,677,866,995,"1,816","2,253","2,440","2,350","2,792","2,864","2,691","2,954","3,220","4,423","5,088"
,     Information and communication,,,,,,273,330,485,607,702,863,885,960,"1,046","1,165","1,144","1,139","1,128","1,250"
,     Financial and insurance activities,35,49,72,68,93,118,189,257,448,743,767,500,725,"1,212","1,485","1,602","1,402","1,622","1,615"
,     Real estate activities,...,...,...,...,...,114,84,154,198,394,452,774,889,"1,075","1,345","1,473","1,855","1,918","2,080"
,"     Professional, scientific, and technical activities",...,...,...,...,...,109,159,249,309,474,511,461,622,719,803,"1,017",858,805,"1,028"
,     Administrative and support service activities,...,...,...,...,...,51,59,88,136,197,226,247,299,324,375,391,356,364,452
,     Public administration and defense; compulsory social security,79,100,154,210,279,339,400,509,387,626,768,893,"1,248","1,360","1,513","1,702","1,793","1,756","2,112"
,     Education,...,...,...,...,...,300,326,446,772,"1,181","1,344","1,489","1,660","1,729","1,893","1,937","1,802","1,945","1,976"
,     Human health and social work activities,...,...,...,...,...,120,183,261,257,515,671,732,766,918,"1,069","1,117","1,100","1,072","1,102"
,"     Arts, entertainment, and recreation",...,...,...,...,...,47,55,67,78,153,226,320,403,467,553,597,560,531,613
,     Other service activities,...,...,...,...,...,73,70,67,60,162,233,437,446,556,626,654,679,719,748
,"     Activities of households as employers; undifferentiated goods- 
          and services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Less: Financial intermediation services indirectly measuredc,13,19,34,30,37,67,73,177,215,418,– ,– ,– ,– ,– ,– ,– ,– ,– 
,Gross value added at basic prices,"3,941","4,805","5,408","6,198","7,266","10,119","15,788","22,304","29,250","41,132","34,359","39,380","49,941","54,245","55,716","55,098","48,030","55,435","66,212"
,Taxes less subsidies on products and imports,253,381,469,541,606,664,"1,050","1,138","2,162","2,737","3,040","3,115","3,268","3,679","4,067","4,575","4,645","5,039","5,079"
,Net factor income from abroad,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,GNI,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.0,10.8,9.3,5.0,0.1,2.2,5.8,2.8,1.1,-3.1,0.2,1.4
,               Agriculture,12.1,11.1,6.4,5.6,5.0,6.7,0.9,4.0,6.1,3.5,-4.7,5.8,6.6,4.9,-2.6,6.6,2.6,4.2,4.6
,               Industry,5.7,8.3,15.2,14.1,11.9,43.6,50.2,32.8,9.6,10.3,3.7,-4.7,-1.0,4.3,0.4,-3.4,-5.7,-3.6,-0.7
,               Services,9.6,7.1,5.9,8.9,9.6,9.6,16.9,12.4,14.6,10.2,8.8,7.2,7.6,8.6,7.6,6.8,-0.8,3.5,3.2
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at previous year's market prices,"4,194","5,185","5,877","6,739","7,872","10,784","16,837","23,442","31,412","43,869","37,399","42,495","53,210","57,924","59,782","59,673","52,675","60,474","71,291"
,     Final consumption expenditure,"3,748","4,077","4,360","5,101","5,691","6,526","7,406","9,799","13,997","18,131","20,959","22,897","26,477","29,436","32,565","35,599","38,567","43,640",…
,          Household final consumption,"3,145","3,324","3,530","4,183","4,767","5,388","6,039","8,136","11,124","14,564","16,864","18,120","21,038","23,469","26,360","29,091","31,360","35,801",…
,          NPISHs final consumption,,,,,,,,,,,,,,,,,,,
,          Government final consumption,603,753,831,918,924,"1,138","1,367","1,664","2,873","3,567","4,095","4,777","5,439","5,967","6,205","6,508","7,207","7,839",…
,     Gross capital formation,"1,026","1,176","2,022","3,385","4,613","5,234","5,955","6,090","7,368","8,216","6,881","7,746","10,978","12,767","14,675","14,433","12,288","15,363",…
,          Gross fixed capital formation,"1,104","1,317","2,238","3,337","4,588","5,208","5,923","6,058","7,325","8,165","6,834","7,792","10,929","12,846","14,752","14,391","12,249","14,976",…
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Changes in inventories,-78,-140,-216,49,25,25,32,32,43,51,47,-46,49,-79,-78,42,39,387,…
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Exports of goods and services,"1,218","2,542","2,067","3,101","4,191","6,359","11,689","16,968","20,752","30,176","20,056","23,522","27,948","29,609","27,634","25,512","22,891","27,427",…
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Less: Imports of goods and services,"1,854","2,680","2,309","4,782","6,272","7,431","7,956","8,726","9,421","9,466","9,247","8,914","12,153","13,996","14,958","15,390","21,070","25,956",…
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Statistical discrepancy,54,70,-263,-67,-350,97,-257,-689,"-1,284","-3,189","-1,250","-2,755",-41,108,-134,-481,– ,– ,…
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumptiond,10.0,9.4,8.0,9.7,11.2,13.2,14.5,17.0,17.4,8.5,10.8,8.4,8.4,8.6,8.1,8.5,1.7,0.9,…
,               Government final consumption,2.3,5.3,14.5,22.1,4.4,3.4,4.7,3.9,4.9,4.6,3.4,3.4,3.1,3.6,3.7,1.3,6.8,1.1,…
,               Gross capital formation,2.6,20.6,84.0,61.5,21.4,5.8,14.5,8.8,20.7,9.5,2.0,1.0,4.0,4.5,-1.7,-11.1,-19.0,-1.0,…
,               Exports of goods and services,15.4,34.1,-6.3,19.6,39.6,52.8,48.3,36.1,7.4,14.3,9.1,2.0,-4.9,2.1,-1.9,-0.1,11.4,-2.2,…
,               Imports of goods and services,17.3,48.0,16.4,57.6,33.9,19.8,20.1,20.1,16.5,0.5,12.4,1.5,-3.1,1.1,-2.1,-0.5,11.3,-1.6,…
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,975,"1,099","2,096","3,800","4,947","5,201","5,598","6,105","7,503","6,746","7,669","10,556","12,217","14,928","16,235","15,179","15,518","17,148","16,020"
,Gross national saving,945,"1,258","1,377","1,860","2,349","4,972","8,452","12,866","20,046","14,371","18,995","24,371","24,235","24,931","24,220","15,293","13,656","20,318","26,374"
,     Gross domestic saving,964,"1,321","1,497","1,976","2,669","5,943","10,190","16,148","23,307","16,419","21,129","27,402","27,374","27,819","25,775","16,804","17,197","21,856","29,244"
,     Net factor income from abroad,-85,-135,-189,-247,-505,"-1,428","-2,244","-4,145","-4,125","-2,628","-2,543","-3,563","-3,099","-2,894","-1,692","-1,739","-3,631","-2,758","-4,114"
,     Net current transfers from abroade,65,71,68,132,185,457,506,862,863,580,409,532,-39,5,137,228,91,"1,220","1,243"
,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,20.4,24.9,24.7,27.6,31.3,47.5,54.4,56.9,58.1,46.1,49.8,52.6,50.0,47.8,43.7,30.9,28.5,31.1,36.7
,               Gross national saving,20.0,23.7,22.7,26.0,27.5,39.7,45.1,45.4,49.9,40.4,44.7,46.8,44.3,42.8,41.0,28.1,22.6,28.9,33.1
,               Gross capital formation,20.7,20.7,34.6,53.2,58.0,41.5,29.9,21.5,18.7,18.9,18.1,20.3,22.3,25.7,27.5,27.9,25.7,24.4,20.1
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (AZN),,,,,,,,,,,,,,,,,,,
,Per capita GDP,593.2,661.7,747.5,872.7,"1,030.4","1,494.3","2,208.2","3,296.6","4,603.7","4,033.2","4,753.0","5,752.9","5,966.1","6,258.3","6,268.0","5,706.6","6,269.6","7,226.0","8,126.2"
,Per capita GNI,582.6,645.0,724.3,842.5,969.5,"1,323.9","1,943.8","2,814.8","4,130.6","3,735.4","4,468.4","5,359.4","5,628.4","5,947.0","6,088.3","5,524.2","5,892.8","6,942.6","7,707.2"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,76.5,82.5,86.6,91.0,90.2,104.4,105.4,104.1,108.2,120.5,119.6,127.2,132.9,135.4,130.8,139.2,141.8,…,…
,Industry;   1990 = 100,31.9,33.5,34.7,36.8,38.9,51.9,70.9,87.9,93.2,101.2,103.8,98.6,96.3,98.0,97.3,99.6,99.1,95.7,97.2
,Mining;   1990 = 100,77.8,82.4,84.5,85.7,87.7,124.1,179.6,231.9,244.4,274.7,278.0,254.6,243.9,245.6,240.4,245.2,243.5,243.0,243.5
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Coalf   (t ’000),,,,,,,,,,,,,,,,,,,
,     Production,11.0,24.0,71.0,21.0,26.0,12.0,67.0,84.7,169.0,127.2,396.4,268.6,231.0,223.0,251.9,254.8,206.6,226.9,244.0*
,     Exports,11.0,23.0,71.0,19.0,23.0,10.0,61.0,82.7,161.3,119.9,389.9,262.5,192.9,214.7,286.7,263.9,172.7,257.3,225.9*
,     Imports,– ,– ,– ,– ,– ,– ,– ,– ,0.1,– ,0.1,0.1,– ,– ,0.1,4.0,0.1,0.8,0.3*
,     Consumption,– ,– ,2.0,2.0,3.0,2.0,6.0,2.0,7.8,7.3,6.6,4.2,4.2,2.9,1.4,0.1,2.0,2.8,7.7*
,,,,,,,,,,,,,,,,,,,,
,Crude petroleum   (t ’000),,,,,,,,,,,,,,,,,,,
,     Production,"14,017","14,909","15,334","15,381","15,548","22,214","32,268","42,597","44,514","50,416","50,838","45,626","43,375","43,457","42,076","41,628","41,050","38,688","38,780"
,     Exports,"5,638","8,462","8,881","8,997","9,048","14,296","24,820","34,780","36,858","44,332","44,508","39,029","36,757","36,708","35,227","35,110","34,972","32,845","32,651"
,     Imports,...,...,...,...,...,...,...,– ,– ,1,– ,– ,– ,– ,0,– ,– ,63,– 
,     Consumption,"8,311","6,344","6,369","6,344","6,385","7,481","7,552","7,503","7,366","6,055","6,174","6,345","6,216","6,576","6,721","6,496","6,011","5,888","6,103"
,,,,,,,,,,,,,,,,,,,,
,Natural gas   (m3 million),,,,,,,,,,,,,,,,,,,
,     Production,"5,642","5,535","5,144","5,128","4,995","5,732","6,080","10,832","16,337","16,325","16,673","16,361","17,242","17,895","18,827","19,236","18,718","18,186","19,210"
,     Exports,...,...,...,...,...,...,65,"1,824","5,260","5,867","6,187","6,817","6,617","7,308","8,093","8,145","8,049","8,857","9,915"
,     Imports,293,"3,337","3,935","4,079","4,798","4,683","4,431",– ,– ,– ,– ,– ,– ,– ,– ,– ,298,"2,110","1,798"
,     Consumption,"5,472","8,319","8,454","8,725","9,201","9,504","9,590","8,618","10,090","8,616","8,216","8,996","9,408","9,449","10,056","10,282","10,356","10,073","10,495"
,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh billion),,,,,,,,,,,,,,,,,,,
,     Productiong,18.7,19.0,18.7,21.3,21.7,22.9,24.5,21.8,21.6,18.9,18.7,20.3,23.0,23.4,24.7,24.7,25.0,24.3,25.2
,     Exports,0.9,1.0,0.9,0.9,1.0,0.9,0.9,0.8,0.8,0.4,0.5,0.8,0.7,0.5,0.5,0.3,1.1,1.3,1.5
,     Imports,1.4,1.6,2.4,2.4,2.4,2.1,1.8,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,     Consumption,16.4,17.1,16.3,18.4,19.0,20.0,21.7,18.0,17.8,14.4,14.4,15.5,19.0,19.6,20.9,21.6,21.6,20.9,21.7
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages; previous year = 100,,,,,,,,,,,,,,,,,,,
,Consumer (national),101.8,101.5,102.8,102.2,106.7,109.6,108.3,116.7,120.8,101.5,105.7,107.9,101.1,102.4,101.4,104.0,112.4,112.9,102.3
,     Food and nonalcoholic beverages,…,…,…,…,…,…,112.4,116.9,129.2,98.3,107.5,110.6,100.7,102.0,100.7,104.8,113.7,117.2,102.0
,"     Alcoholic beverages, tobacco, and narcotics",…,…,…,…,…,…,102.0,102.2,113.3,103.3,100.4,105.6,106.0,107.8,109.3,149.1,140.5,98.1,96.0
,     Clothing and footwear,…,…,…,…,…,…,104.6,106.7,111.3,104.6,102.0,103.6,101.3,101.0,100.6,100.7,113.7,115.9,102.1
,"     Housing, water, electricity, gas, and other fuels",…,…,…,…,…,…,102.7,164.6,101.2,117.9,115.3,105.2,102.1,100.4,101.3,99.8,106.9,119.6,104.4
,"     Furnishings, household equipment, and routine household maintenance",…,…,…,…,…,…,100.5,104.4,118.0,106.0,102.4,101.4,100.7,101.1,101.3,101.3,105.1,109.5,102.2
