MYANMAR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Accommodation and food service activities,,,,,,,,,,,,,,,,,,,
,     Transportation and storage,153.4,191.8,358.1,776.7,936.6,"1,412.2","2,020.0","2,781.7","3,731.5","4,586.6","4,926.6","5,913.3","6,718.5","7,839.5","8,671.0","9,751.9","10,583.4","11,788.9",...
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,2.6,3.3,4.8,5.3,6.7,10.2,14.4,16.9,20.9,27.4,37.7,65.3,85.3,114.4,139.7,173.4,239.8,297.9,...
,     Real estate activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,"     Professional, scientific, and technical activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Administrative and support service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social security,39.4,44.7,50.7,64.7,103.9,112.6,340.9,371.3,399.7,551.7,915.7,989.0,"1,326.1","1,683.3","2,025.5","2,686.7","2,806.4","2,920.4",...
,     Education,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activitiese,35.1,50.1,86.0,119.8,151.6,196.5,283.1,378.5,506.4,609.8,738.5,883.3,"1,095.6","1,323.9","1,537.3","1,812.1","2,159.0","2,718.8",...
,"     Activities of households as employers; undifferentiated goods- and services-producing
           activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Taxes less subsidies on production and imports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Net factor income from abroad, -0.1, -0.2, -0.0, -0.0, -0.1, -0.0,0.3,0.5,0.3,-0.2, -37.6, -7.0, -73.9, -197.0, -381.7, -435.9, -406.5, -559.2,...
,GNI,"2,552.6","3,548.3","5,625.2","7,716.6","9,078.8","12,286.8","16,853.0","23,336.6","29,233.6","33,893.8","39,739.1","46,300.9","51,185.4","57,814.6","64,880.1","72,278.1","79,353.6","89,891.8",...
,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current producer prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,57.2,57.1,54.5,50.6,48.2,46.7,43.9,43.3,40.3,38.1,36.9,32.5,30.6,29.5,27.8,26.8,25.5,23.3,...
,               Industry,9.7,10.6,13.0,14.3,16.4,17.5,19.2,20.4,22.7,24.5,26.5,31.3,32.4,32.4,34.5,34.5,35.0,36.3,...
,               Services,33.1,32.4,32.5,35.1,35.5,35.8,36.8,36.3,37.1,37.4,36.7,36.2,37.0,38.1,37.7,38.8,39.5,40.4,...
,,,,,,,,,,,,,,,, , , , ,
,Expenditure on GDP at current producer prices,"2,552.7","3,548.5","5,625.3","7,716.6","9,078.9","12,286.8","16,852.8","23,336.1","29,233.3","33,894.0","39,776.8","46,307.9","51,259.3","58,011.6","65,261.9","72,714.0","79,760.1","90,450.9",...
,     Final consumption expenditure,"2,237.5","3,139.9","5,049.9","6,865.7","7,965.5","10,682.3","14,291.4","19,861.4","24,141.3","28,543.0","26,770.8","29,191.2","32,478.1","39,022.7","46,711.5","53,788.9","58,432.1","64,453.0",...
,          Household final consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Government final consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Gross capital formation,317.7,410.6,570.8,850.5,"1,108.7","1,620.8","2,306.4","3,455.7","4,570.6","6,394.6","9,221.1","13,543.2","15,848.8","18,538.2","20,978.1","25,315.3","27,490.1","30,805.4",...
,          Gross fixed capital formation,301.0,413.2,551.7,850.1,"1,069.0","1,563.8","2,282.4","3,390.5","4,599.8","6,436.2","9,115.1","13,516.2","15,316.4","18,282.8","20,700.9","25,152.2","26,464.2","29,627.7",...
,               Public,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,               Private,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,          Changes in inventories,16.7,-2.6,19.1,0.4,39.7,57.0,24.0,65.2,-29.2,-41.6,106.1,27.1,532.5,255.4,277.3,163.1,"1,025.9","1,177.7",...
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,     Exports of goods and servicesf,12.6,16.4,19.4,13.7,16.0,19.8,29.3,34.0,32.2,38.7,"7,791.7","7,140.4","7,572.5","9,690.0","11,519.6","12,648.6","13,877.9","18,058.1",...
,          Exports of goods,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,          Exports of services,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,     Less: Imports of goods and servicesf,15.1,18.4,14.9,13.4,11.3,11.5,16.8,18.4,24.9,22.8,"6,002.3","7,300.3","7,722.9","13,302.0","16,596.5","20,317.5","21,632.4","25,316.0",...
,          Imports of goods,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,          Imports of services,...,...,...,...,...,...,...,...,...,…,...,...,...,...,…,…,...,...,...
,     Statistical discrepancy ,–,–,–,–,– |,-24.6,242.5,3.4,514.1,"-1,059.4","1,995.4","3,733.4","3,082.7","4,062.7","2,649.2","1,278.7","1,592.3","2,450.5",...
,,,,,,,,,,,,,,,,,,,,
,            Structure of Demand   (% of GDP at current producer prices),,,,,,,,,,,,,,,,,,,
,            Household final consumptiong,87.7,88.5,89.8,89.0,87.7,86.9,84.8,85.1,82.6,84.2,67.3,63.0,63.4,67.3,71.6,74.0,73.3,71.3,...
,            Government final consumption,,,,,,,,,,,,,,,,,,, 
,            Gross capital formation,12.4,11.6,10.1,11.0,12.2,13.2,13.7,14.8,15.6,18.9,23.2,29.2,30.9,32.0,32.1,34.8,34.5,34.1,...
,                        Changes in inventories,0.7,-0.1,0.3,0.0,0.4,0.5,0.1,0.3,-0.1,-0.1,0.3,0.1,1.0,0.4,0.4,0.2,1.3,1.3,...
,            Exports of goods and services,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,19.6,15.4,14.8,16.7,17.7,17.4,17.4,20.0,...
,            Imports of goods and services,0.6,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,15.1,15.8,15.1,22.9,25.4,27.9,27.1,28.0,...
,            Statistical discrepancy,–,–,–,–,–,-0.2,1.4,0.0,1.8,-3.1,5.0,8.1,6.0,7.0,4.1,1.8,2.0,2.7,...
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 1985/1986 | 2000/2001 | 2005/2006 | 2010/2011 producer prices,100.3 |,"2,842.3","3,184.1","3,624.9","4,116.6","4,675.2 |","13,893.4","15,559.4","17,155.1","18,964.9 |","39,776.8","42,000.9","45,080.7","48,879.2","52,785.1","56,476.2","59,787.1","63,827.9",...
,"     Agriculture, forestry, and fishing",42.3 |,"1,588.3","1,684.1","1,881.2","2,087.8","2,340.0 |","6,290.3","6,789.9","7,170.2","7,569.8 |","14,659.0","14,562.1","14,807.1","15,346.1","15,768.8","16,306.2","16,230.9","16,439.3",...
,     Mining and quarrying,2.4 |,15.8,20.5,22.3,25.2,33.2 |,98.8,104.8,119.6,133.3 |,366.4,401.2,374.1,472.5,699.3,600.6,654.1,736.5,...
,     Manufacturing,10.2 |,222.8,286.8,350.0,436.4,532.2 |,"1,919.9","2,326.0","2,750.7","3,269.5 |","7,900.5","8,754.6","9,483.4","10,387.9","11,370.5","12,496.2","13,659.3","15,060.3",...
,"     Electricity, gas, steam, and air-conditioning supply",1.1 |,3.2,3.9,4.5,4.8,5.7 |,30.5,31.9,35.5,41.8 |,421.9,444.0,484.0,551.8,633.3,716.3,773.5,822.0,...
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,, 
,     Constructiond,4.7 |,59.6,95.6,114.5,130.0,144.3 |,531.9,623.4,736.3,837.6 |,"1,839.3","2,004.8","2,191.9","2,550.9","2,956.0","3,149.7","3,389.9","3,597.6",...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,20.9 |,678.9,750.3,849.9,958.7,"1,074.3 |","3,009.8","3,357.6","3,680.2","4,043.0 |","7,971.2","8,341.1","8,711.4","9,217.9","9,690.3","10,286.2","11,001.9","11,826.7",...
,     Accommodation and food service activities,,,,,,,,,,,,,,,,,,, 
,     Transportation and storage,6.8 |,184.1,237.4,284.0,337.2,392.4 |,"1,652.8","1,922.9","2,211.7","2,569.9 |","4,926.6","5,574.4","6,800.3","7,787.9","8,795.6","9,772.8","10,604.0","11,535.9",...
,     Information and communication,,,,,,,,,,,,,,,,,,, 
,     Financial and insurance activities,2.1 |,3.3,4.8,5.3,6.7,10.2 |,12.0,14.2,17.6,23.0 |,37.7,78.0,110.1,147.6,180.3,223.8,309.5,384.4,...
,     Real estate activities,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,"     Professional, scientific, and technical activities",…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,     Administrative and support service activities,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social security,6.0 |,44.7,50.7,56.2,64.5,69.9 |,122.7,133.7,143.9,154.3 |,915.7,989.0,"1,129.4","1,271.0","1,421.4","1,506.6","1,573.6","1,637.9",...
,     Education,,,,,,,,,,,,,,,,,,, 
,     Human health and social work activities,,,,,,,,,,,,,,,,,,, 
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,, 
,     Other service activitiese,3.8 |,41.6,50.0,57.0,65.3,73.1 |,224.6,255.0,289.5,322.8 |,738.5,851.6,988.9,"1,145.6","1,269.5","1,417.9","1,590.4","1,787.3",...
,"     Activities of households as employers; undifferentiated goods- and services-producing
           activities of households for own use",…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,Taxes less subsidies on production and imports,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...
,Net factor income from abroad,-4.3 |, -0.2, -0.0, -0.0, -0.0,-0.0 |,0.2,0.3,0.2,-0.1 |,-37.6,-6.4,-65.0,-166.0,-308.8,-338.6,-304.7,-394.6,...
,GNI,96.0 |,"2,842.2","3,184.1","3,624.9","4,116.6","4,675.2 |","13,893.6","15,559.7","17,155.3","18,964.8 |","39,739.1","41,994.5","45,015.7","48,713.1","52,476.3","56,137.7","59,482.5","63,433.3",...
,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,                GDP,13.7,11.3,12.0,13.8,13.6,13.6,13.1,12.0,10.3,10.6,9.6,5.6,7.3,8.4,8.0,7.0,5.9,6.8,...
,                Agriculture,11.0,8.7,6.0,11.7,11.0,12.1,9.7,7.9,5.6,5.6,4.7,-0.7,1.7,3.6,2.8,3.4,-0.5,1.3,...
,                Industry,21.3,21.8,35.0,20.8,21.4,19.9,20.0,19.6,18.0,17.6,18.6,10.2,8.0,11.4,12.1,8.3,8.9,9.4,...
,                Services,13.4,12.9,14.8,14.6,14.4,13.1,14.2,13.2,11.6,12.1,9.5,8.5,12.0,10.3,9.1,8.7,8.1,8.3,...
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at  1985/1986 | 2000/2001 | 2005/2006 | 2010/2011 producer prices,100.3 |,"2,842.3","3,184.1","3,624.9","4,116.6","4,675.2 |","13,893.4","15,559.4","17,155.1","18,964.9 |","39,776.8","42,000.9","45,080.7","48,879.2","52,785.1","56,476.2","59,787.1","63,827.9",...
,     Final consumption expenditure,61.8 |,"2,518.4","2,821.1","3,175.0","3,546.7","4,064.6 |","11,781.8","13,242.7","14,169.1","15,969.9 |","26,770.8","28,390.6","30,697.6","34,904.0","38,793.1","40,610.0","41,519.7","43,303.1",...
,           Household final consumption,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,           Government final consumption,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,      Gross capital formation,31.5 |,326.7,359.6,448.6,564.7,732.8 |,"1,968.1","2,523.5","2,949.0","3,973.2 |","9,221.1","12,276.9","13,943.1","15,658.3","16,836.9","19,544.7","20,385.2","21,765.3",...
,           Gross fixed capital formation,30.9 |,328.7,348.9,449.0,546.5,708.5 |,"1,947.8","2,478.4","2,965.2","3,997.4 |","9,115.1","12,250.5","13,470.2","15,405.2","16,612.1","19,389.2","19,621.9","20,923.1",...
,                Public,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,                Private,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,          Changes in inventories,0.6 |,-2.1,10.7,-0.4,18.3,24.3 |,20.3,45.0,-16.1,-24.1 |,106.1,26.4,473.0,253.1,224.8,155.5,763.3,842.2,...
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,      Exports of goods and servicesf,13.2 |,14.0,17.3,12.9,15.0,15.5 |,24.8,24.0,20.3,19.9 |,"7,791.7","6,723.6","7,157.4","8,081.7","9,592.1","11,037.2","10,989.8","13,076.1",...
,           Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,           Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,      Less: Imports of goods and servicesf,6.2 |,16.7,13.8,11.6,9.7,9.9 |,16.4,17.6,23.1,18.8 |,"6,002.3","6,073.5","6,299.3","9,723.7","11,888.6","14,460.9","12,809.3","14,010.0",...
,           Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,           Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...
,      Statistical discrepancy,– |,–,–,–,–,-127.8 |,135.0,-213.2,39.8,-979.3 |,"1,995.4",683.3,-418.3,-41.2,-548.3,-254.8,-298.2,-306.6,...
,,,,,,,,,,,,,,,,,,,,
,                Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,                Household final consumptiong,4.3,12.5,12.0,12.5,11.7,14.6,10.3,12.4,7.0,12.7,2.6,6.1,8.1,13.7,11.1,4.7,2.2,4.3,...
,                Government final consumption,,,,,,,,,,,,,,,,,,,
,                Gross capital formation,11.3,2.8,10.1,24.8,25.9,29.8,21.4,28.2,16.9,34.7,34.6,33.1,13.6,12.3,7.5,16.1,4.3,6.8,...
,                Exports of goods and services,79.3,16.6,23.0,-25.0,15.6,3.6,25.3,-3.1,-15.5,-2.0,10.9,-13.7,6.5,12.9,18.7,15.1,-0.4,19.0,...
,                Imports of goods and services,-8.0,11.0,-17.5,-15.8,-16.5,2.2,42.4,7.4,31.3,-18.9,51.9,1.2,3.7,54.4,22.3,21.6,-11.4,9.4,...
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Producer Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formation,317.7,410.6,570.8,850.5,"1,108.7","1,620.8","2,306.4","3,455.7","4,570.6","6,394.6","9,221.1","13,543.2","15,848.8","18,538.2","20,978.1","25,315.3","27,490.1","30,805.4",…
,Gross national saving,317.1,409.7,576.4,851.4,"1,114.2","1,605.5","2,562.4","3,476.3","5,094.1","5,352.6","12,969.6","17,111.8","19,047.5","20,449.2","15,904.0","18,856.2","21,846.5","25,680.3",…
,      Gross domestic saving,315.3,408.5,575.3,850.9,"1,113.4","1,604.5","2,561.4","3,474.7","5,092.0","5,351.1","13,005.9","17,116.7","18,781.1","19,595.3","14,976.8","16,997.7","19,624.3","22,864.5",…
,      Net factor income from abroad, -0.1, -0.2, -0.0, -0.0, -0.1, -0.0,0.3,0.5,0.3, -0.2, -37.6, -7.0, -73.9, -197.0, -381.7, -435.9, -406.5, -559.2,…
,      Net current transfers from abroad,1.9,1.4,1.1,0.6,0.9,1.0,0.7,1.2,1.7,1.7,1.3,2.2,340.3,"1,051.0","1,308.9","2,294.4","2,628.7","3,374.9",…
,,,,,,,,,,,,,,,,,,,,
,              Savings and Investment   (% of GDP at current producer prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,12.3,11.5,10.2,11.0,12.3,13.1,15.2,14.9,17.4,15.8,32.7,37.0,36.6,33.8,22.9,23.4,24.6,25.3,…
,               Gross national saving,12.4,11.5,10.2,11.0,12.3,13.1,15.2,14.9,17.4,15.8,32.6,37.0,37.2,35.3,24.4,25.9,27.4,28.4,…
,               Gross capital formation,12.4,11.6,10.1,11.0,12.2,13.2,13.7,14.8,15.6,18.9,23.2,29.2,30.9,32.0,32.1,34.8,34.5,34.1,…
,,,,,,,,,,,,,,,,,,,,
,At Current Producer Pricesh  (MK),,,,,,,,,,,,,,,,,,,
,Per capita GDP,"55,379","76,102","119,330","162,029","188,854","253,426","345,015","474,585","590,813","680,594","793,063","916,026","1,005,349","1,127,573","1,255,278","1,386,349","1,507,277","1,694,230",…
,Per capita GNI,"55,377","76,097","119,330","162,029","188,852","253,426","345,020","474,595","590,820","680,589","792,312","915,887","1,003,900","1,123,744","1,247,935","1,378,039","1,499,596","1,683,756",…
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES    period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;  2004–2006 | 2010 = 100,75.4,80.0,82.4,87.6,91.6,98.2,110.3,116.7,125.9,130.3 |,100.0,96.5,96.7,98.6,99.9,102.2,101.4,101.5,…
,Mining;i   2005/2006 | 2010 = 100,...,...,...,...,...,...,...,111.6,118.8,161.1 |,100.0,114.0,106.2,139.2,206.7,173.4,224.7,249.2,…
,Manufacturing;i  2005/2006 | 2010 = 100,...,...,...,...,...,...,...,...,...,205.1 |,100.0,110.1,117.6,128.0,140.0,154.3,168.3,184.8,…
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Crude petroleumj  (t '000),,,,,,,,,,,,,,,,,,,
,     Production ,558,653,862,967,"1,011","1,098","1,049","1,046",993,"1,107","1,079","1,053",848,838,789,644,588,543,235
,     Exports ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Imports ,530,638,675,–,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…
,     Consumption ,...,"1,181","1,449","1,023","1,060",...,852,816,849,948,884,911,690,552,618,479,443,324,158
,,,,,,,,,,,,,,,,,,,,
,Coal  (t ’000 ),,,,,,,,,,,,,,,,,,,
,     Production ,52,44,52,57,234,224,357,315,245,235,240,351,471,380,387,420,550,737,640
,     Exports ,...,...,...,...,...,...,...,...,...,...,...,…,...,...,20,20,16,203,…
,     Imports ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...,…,…
,     Consumption ,...,56,57,113,117,...,...,...,...,...,...,...,...,380,367,400,534,534,640
,,,,,,,,,,,,,,,,,,,,
,Natural gask  (ft3 million),,,,,,,,,,,,,,,,,,,
,     Production ,"183,421","310,323","330,315","371,811","426,171","437,729","460,442","476,832","405,521","439,615","450,381","464,935","467,025","482,276","644,028","1,069,002","670,080","667,582","305,755"
,     Exports ,…,…,…,…,…,…,…,…,…,…,…,…,"362,115","372,276","518,649","557,183","693,298","514,888","228,664"
,     Imports ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...,…,…
,     Consumption ,...,"42,867","44,336","58,906","61,026",...,"134,742","135,116","70,292","104,459","79,778","105,891","81,560","82,929","109,425","121,258","130,814","132,497","68,280"
,,,,,,,,,,,,,,,,,,,,
,Electricityl  (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,"5,522","4,689","5,068","5,426","5,608","6,064","6,164","6,398","6,622","6,964","8,625","10,425","10,965","12,247","14,156","15,965","17,867","20,055","11,129"
,     Exports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Imports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Consumptionm,"4,087","3,041","3,484","3,850","3,909","4,353","4,355","4,438","4,701","4,993","6,312","7,877","8,441","9,795","11,407","13,551","15,482","17,252","9,573"
,,,,,,,,,,,,,,,,,,,,
,Retail prices   (MK/L),,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",...,...,...,...,...,...,...,"1,100","1,338",793,848,"1,069","1,085","1,078","1,075",881,655,774,951
,     Diesel,...,...,...,...,...,...,...,969,"1,257",769,820,987,988,"1,020","1,059",934,590,750,965
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Consumer (national);   1997 | 2006 = 100 | December 2012 = 100,151.7,183.8,288.6,394.3,412.1,450.8 |,100.0,119.0,142.5,144.6,155.7,163.5 |,95.7,104.2,109.4,119.7,128.0,133.9,143.0
,     Food and nonalcoholic beverages,…,…,…,…,…,… |,100.0,118.7,143.6,141.8,152.3,156.7 |,99.1,105.8,113.1,127.9,139.7,145.9,155.5
,"     Alcoholic beverages, tobacco, and narcotics",…,…,…,…,…,… |,100.0,104.2,121.3,131.5,148.0,155.0 |,109.6,92.9,103.5,116.5,127.8,133.1,146.9
,     Clothing and footwear,…,…,…,…,…,… |,100.0,118.8,139.6,145.7,150.7,156.1 |,98.0,102.0,102.8,109.9,115.0,117.2,120.5
