AFGHANISTAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,               Government final consumption,...,...,7.7,9.1,10.0,10.0,10.8,10.3,10.1,11.3,14.0,12.3,12.1,11.7,12.3,12.1,12.0,11.9,12.4
,               Gross capital formationj,...,...,11.3,11.7,17.8,21.8,24.5,18.8,18.1,17.4,17.5,15.8,16.4,16.7,17.6,19.0,17.2,18.2,22.0
,                    Changes in inventoriesi,...,...,...,...,...,...,...,...,-12.4,-0.5,5.3,16.9,31.8,33.2,28.5,28.1,29.6,36.6,21.4
,               Exports of goods and services,...,...,29.7,40.7,30.9,26.0,24.9,16.9,17.3,14.3,9.8,5.8,5.4,6.1,6.4,6.9,6.8,7.6,8.1
,               Imports of goods and services,...,...,59.8,88.1,79.1,73.6,69.6,55.2,46.3,41.0,43.9,42.2,49.8,48.3,44.5,49.0,45.4,50.3,42.8
,               Statistical discrepancy,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 2002 market prices,...,...,"202,528","219,192","224,329","246,542","269,126","312,441","319,728","374,841","386,930","420,485","466,406","496,612","511,830","502,658","520,496","557,436 |","548,531"
,"     Agriculture, forestry, and fishing",...,...,"87,425","90,398","77,324","86,777","93,430","113,202","99,945","123,252","101,044","105,782","109,220","118,257","122,681","102,003","114,632","139,181 |","120,785"
,     Mining and quarrying,...,...,264,256,493,580,695,"1,214","1,247","1,412","2,018","3,834","3,791","3,724","3,644","3,356","3,703","4,206 |","4,316"
,     Manufacturing,...,...,"34,287","35,556","37,035","38,250","39,472","41,263","42,231","44,468","46,175","47,587","51,069","51,728","50,439","50,964","51,524","51,872 |","52,565"
,"     Electricity, gas, steam, and air-conditioning supply",...,...,121,173,163,195,197,215,178,201,201,182,190,219,225,222,231,235 |,210
,"     Water supply; sewerage, waste management, and remediation activities",...,...,,,,,,,,,,,,,,,,,
,     Construction,...,...,"8,700","11,842","18,495","24,460","31,798","34,978","38,474","41,065","44,216","50,090","54,526","58,869","62,990","68,077","64,903","65,138 |","73,330"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,"19,104","18,282","17,817","18,423","18,563","21,379","21,757","23,423","24,121","26,140","33,202","32,713","31,822","32,742","29,640","34,189 |","33,659"
,     Accommodation and food service activities,...,...,"1,246","1,271","1,568","1,760","2,011","2,154","2,307","2,718","3,365","4,304","4,854","5,513","6,019","6,555","6,792","6,926 |","7,031"
,     Transportation and storage,...,...,"19,515","27,944","30,598","27,699","28,940","39,218","44,087","48,008","50,971","55,571","71,162","77,616","76,258","76,785","77,195","78,175 |","76,900"
,     Information and communication,...,...,759,814,"1,066","1,903","5,660","7,427","12,772","19,092","31,630","35,368","38,544","45,096","48,610","53,375","59,283","62,395 |","62,395"
,     Financial and insurance activities,...,...,"1,260","2,042","2,610","3,096","3,625","3,772","4,579","6,509","7,446","4,083","4,201","3,729","7,929","7,744","9,258","4,899 |","4,809"
,     Real estate activities,...,...,28,27,30,32,33,35,38,46,46,47,48,44,42,40,39,39 |,39
,"     Professional, scientific, and technical activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Administrative and support service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Public administration and defense; compulsory social securityg,...,...,"10,000","9,704","11,366","17,857","19,073","24,619","28,587","30,626","38,904","47,470","52,957","55,195","59,604","58,229","58,531","61,727 |","64,480"
,     Education,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Human health and social work activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,"     Arts, entertainment, and recreation",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Other service activitiesh,...,...,"17,249","16,256","20,000","18,886","18,198","16,042","16,357","22,607","24,220","26,224","26,112","26,032","25,612","24,050","24,804","25,999 |","25,061"
,"     Activities of households as employers; undifferentiated goods- 
          and services-producing activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,...,...,"199,958","214,564","218,565","239,919","261,695","305,518","312,559","363,428","374,357","406,683","449,875","478,736","495,877","484,143","500,535","534,981 |","525,580"
,Taxes less subsidies on production and imports,...,...,"2,570","4,628","5,764","6,623","7,432","6,923","7,170","11,413","12,573","13,801","16,531","17,876","15,953","18,515","19,961","22,454 |","22,951"
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,GNI,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,...,...,...,8.2,2.3,9.9,9.2,16.1,2.3,17.2,3.2,8.7,10.9,6.5,3.1,-1.8,3.5,7.1,-0.2
,               Agriculture,...,...,...,3.4,-14.5,12.2,7.7,21.2,-11.7,23.3,-18.0,4.7,3.2,8.3,3.7,-16.9,12.4,21.4,-10.3
,               Industry,...,...,...,10.3,17.5,13.0,13.7,7.6,5.7,6.1,6.3,9.8,7.8,4.5,2.4,4.5,-1.8,0.9,7.6
,               Services,...,...,...,10.4,11.4,5.4,7.2,19.3,13.8,17.3,18.1,10.2,16.0,6.4,4.0,1.4,2.3,3.3,1.2
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,Gross capital formationj,...,...,"22,875","28,243","47,474","71,475","91,913","97,418","97,969","110,052","130,424","141,792","178,414","200,176","214,397","239,843","236,143","265,637 |","325,528"
,     Gross domestic savingk,...,...,"-38,147","-85,874","-81,531","-84,467","-75,838","-101,324","-126,013","-62,363","-84,984","-32,968","41,639","92,927","96,970","63,527","112,579","176,204 |","129,382"
,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,...,...,-18.8,-35.7,-30.5,-25.8,-20.2,-19.5,-23.3,-9.9,-11.4,-3.7,3.8,7.8,7.9,5.0,8.2,12.0,8.7
,               Gross capital formationj,...,...,11.3,11.7,17.8,21.8,24.5,18.8,18.1,17.4,17.5,15.8,16.4,16.7,17.6,19.0,17.2,18.2,22.0
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices   (AF),,,,,,,,,,,,,,,,,,,
,Per capita GDP,...,...,"9,290.4","10,841.0","11,522.0","13,887.5","15,566.5","21,167.9","21,644.5","24,815.4","28,725.3","33,817.4","40,228.1","43,515.9","43,455.0","44,056.2","47,021.5","49,243.8","46,794.5"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,87.1,78.4,95.9,98.7,96.1,106.4,97.6,108.6,100.6,116.9,116.0,110.9,122.2,119.4,123.7,119.1,125.4,...,...
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Coal   (t ’000),,,,,,,,,,,,,,,,,,,
,     Production,...,...,21,35,34,33,35,247,347,500,725,"1,480","1,240","1,347","1,517","1,365","1,698","2,191","2,445"
,     Exports,...,...,...,...,...,...,...,...,...,8,20,46,203,231,252,425,733,"1,014","1,117"
,,,,,,,,,,,,,,,,,,,,
,Natural gas (m3 million),,,,,,,,,,,,,,,,,,,
,     Imports ,...,...,7,9,9,16,8,28,43,67,107,205,214,361,475,710,741,627,614
,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,697,676,557,827,781,907,917,"1,007",827,937,936,847,883,"1,022","1,049","1,034","1,076","1,098",979
,     Imports,...,...,...,...,...,...,...,...,835,957,"1,867","2,732","3,071","3,615","3,711","3,779","4,400","4,611","4,986"
,     Consumption,...,444,301,741,623,691,684,715,839,"1,313","1,467","1,700","2,665","2,222","2,967","2,987","2,866","2,920","3,447"
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages,,,,,,,,,,,,,,,,,,,
,Consumer (national);   April 2015 = 100,...,...,...,...,46.4,52.0,56.7,59.2,72.5,76.0,72.6,82.6,89.5,95.3,100.6,100.1,104.1,111.5,111.7
,     Food and nonalcoholic beverages,...,...,...,...,45.9,50.0,53.9,57.1,75.3,78.6,71.4,81.4,87.1,91.6,100.8,100.2,105.1,115.6,113.7
,"     Alcoholic beverages, tobacco, and narcoticsl",...,...,...,...,53.5,51.6,54.3,56.6,58.0,66.2,70.0,72.8,76.2,85.0,92.1,98.8,113.7,124.7,127.6
,     Clothing and footwear,...,...,...,...,52.3,53.6,55.6,56.8,59.0,66.3,68.0,70.9,83.4,90.0,97.5,100.3,109.5,112.3,116.7
,"     Housing, water, electricity, gas, and other fuels",...,...,...,...,31.0,40.1,46.6,46.3,50.0,51.9,55.0,61.8,80.1,93.0,92.4,99.9,100.3,107.4,109.2
,"     Furnishings, household equipment, and routine household maintenance",...,...,...,...,55.1,56.4,58.0,59.6,62.8,67.6,68.1,86.1,84.0,87.3,94.7,99.4,107.1,109.8,112.3
,     Health,...,...,...,...,45.0,49.3,55.8,61.8,64.3,75.1,73.1,75.0,76.7,85.3,92.8,99.9,102.9,105.3,106.9
,     Transport,...,...,...,...,29.6,36.8,43.0,50.7,65.1,64.2,67.0,84.6,95.1,92.7,108.1,100.7,97.9,104.8,107.3
,     Communication,...,...,...,...,102.6,102.6,107.0,106.1,112.3,111.5,113.4,109.0,114.2,106.6,105.0,100.1,99.7,97.8,96.7
,     Recreation and culture,...,...,...,...,...,...,...,...,...,...,...,77.7,89.9,92.8,98.9,100.1,105.5,102.9,101.4
,     Education,...,...,...,...,78.5,79.1,79.0,79.1,81.6,85.7,85.0,89.2,94.4,96.3,98.2,100.1,92.4,115.4,117.6
,     Restaurants and hotels,...,...,...,...,...,...,...,...,...,...,...,86.6,94.6,96.9,99.4,101.6,102.4,102.8,104.0
,     Miscellaneous goods and services,...,...,...,...,33.6,37.2,41.4,43.6,52.0,58.0,62.3,68.1,82.7,87.2,93.8,100.7,108.0,114.8,119.2
,Consumer (Kabul),...,...,...,...,46.6,53.6,58.6,61.4,74.2,76.6,72.6,84.7,94.3,99.7,101.5,99.7,106.8,114.9,116.0
,     Food and nonalcoholic beverages,...,...,...,...,47.0,52.4,55.6,59.2,77.2,77.9,70.0,82.8,90.8,93.1,100.5,99.5,108.3,122.1,121.8
,"     Alcoholic beverages, tobacco, and narcoticsl",...,...,...,...,58.9,57.5,55.4,55.2,58.4,62.6,65.3,71.5,75.3,79.8,88.7,100.2,121.8,141.6,143.4
,     Clothing and footwear,...,...,...,...,56.2,62.2,63.3,65.0,69.5,75.5,76.5,79.2,85.5,88.7,95.6,100.9,120.1,122.0,127.4
,"     Housing, water, electricity, gas, and other fuels",...,...,...,...,40.0,53.5,65.6,64.9,69.1,74.1,77.5,89.1,107.1,119.6,105.0,99.2,99.1,106.8,108.6
,"     Furnishings, household equipment, and routine household maintenance",...,...,...,...,51.5,53.3,56.9,58.3,59.4,61.7,62.3,81.0,83.5,86.7,92.2,98.8,111.8,114.1,116.8
,     Health,...,...,...,...,36.4,43.9,51.0,54.7,56.4,69.9,69.8,71.6,74.2,89.7,96.7,100.7,104.4,104.0,106.1
,     Transport,...,...,...,...,32.0,38.5,41.5,54.5,67.5,68.2,71.9,82.6,93.3,89.2,118.9,101.4,104.1,111.6,111.0
,     Communication,...,...,...,...,107.6,110.1,110.9,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,100.2,101.4,99.7,97.4
,     Recreation and culture,...,...,...,...,...,...,...,...,...,...,...,...,84.7,84.7,84.6,99.9,109.2,104.9,102.2
,     Education,...,...,...,...,89.4,89.3,89.2,88.8,88.1,89.3,88.9,99.4,98.2,98.2,97.8,100.2,90.1,120.9,124.3
,     Restaurants and hotels,...,...,...,...,...,...,...,...,...,...,...,...,99.2,99.2,93.5,103.2,105.5,101.2,100.8
,     Miscellaneous goods and services,...,...,...,...,32.5,35.5,45.3,49.0,55.7,65.7,65.7,74.4,89.9,89.9,90.0,100.3,119.0,135.0,137.7
,Implicit GDP deflator;   2002 = 100,...,...,100.0,109.8,119.2,132.9,139.4,166.0,169.2,168.8,193.0,213.1,232.9,241.0,238.6,250.7,263.8,262.4,269.6
,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
,               Consumer price index (national),...,...,...,...,...,11.9,9.0,4.5,22.5,4.9,-4.5,13.7,8.4,6.4,5.6,-0.6,4.0,7.2,0.2
,               Food and nonalcoholic beverages price index (national),...,...,...,...,...,9.1,7.7,6.0,31.9,4.3,-9.1,14.0,7.0,5.2,10.0,-0.6,4.9,10.0,-1.6
,               Implicit GDP deflator,...,...,...,9.8,8.5,11.6,4.9,19.1,2.0,-0.3,14.3,10.4,9.3,3.5,-1.0,5.1,5.2,-0.5,2.7
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKINGm   as of end of period; beginning 21 March | ending 20 December | beginning 21 March | ending 20 December (AF million),,,,,,,,,,,,,,,,,,,
,Money supply (M1),...,...,"22,164","29,116","38,953 |","55,663","79,506 |","89,252","114,895","158,376","212,648","261,215","297,865","318,650","340,093","354,604","367,790","402,439 |","453,480"
,     Currency in circulation,...,...,"20,080","26,914","37,116 |","42,515","46,815 |","49,566","57,501","73,842","92,545","126,300","141,326","137,779","162,368","174,174","183,848","202,531 |","219,911"
,     Demand deposits (excluding government deposits),...,...,"2,083","2,202","1,836 |","13,148","32,691 |","39,686","57,395","84,534","120,103","134,915","156,540","180,871","177,725","180,429","183,942","199,908 |","233,568"
,Quasi-money,...,...,177,265,"1,669 |","3,074","1,742 |","2,066","4,740","4,151","13,707","17,429","20,506","22,234","21,287","20,129","27,473","34,030 |","32,554"
,Money supply (M2)n,...,...,"22,341","29,380","40,622 |","58,737","81,248 |","91,317","119,635","162,527","226,355","278,644","318,371","340,884","361,380","374,733","395,263","436,469 |","486,034"
,     Foreign assets (net),...,...,...,...,"62,838 |","90,133","105,827 |","110,720","166,993","188,563","228,211","281,306","347,399","421,803","487,625","495,934","570,259","599,173 |","737,861"
,     Domestic credit,...,...,"14,951","-19,819","-4,869 |","-13,421","-6,846 |","-3,103","14,159","30,301","38,539","40,471","-15,498","-11,656","-32,192","-38,585","-31,452","-40,194 |","-74,583"
,          Claims on government sector (net),...,...,...,...,...,...,"-30,277 |","-29,600","-29,011","-24,949","-31,121","-43,151","-58,282","-60,179","-81,381","-83,143","-84,350","-88,175 |","-122,001"
,          Claims on private sector,...,...,...,...,...,...,"16,855 |","21,529","38,391","49,842","69,652","83,080","42,239","47,976","48,454","43,872","52,127","47,183 |","46,633"
,          Claims on other financial institutions,...,...,...,...,… |,"7,893","5,824 |","4,164",704,716,– ,534,537,540,644,594,676,703 |,691
,          Claims on state and local government,...,...,...,...,...,...,– | ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– | ,– 
,          Claims on public nonfinancial corporations,...,...,...,...,...,...,751 |,804,"4,075","4,692",8,8,8,7,92,92,95,94 |,94
,     Other items,...,...,...,...,"17,347 |","17,975","17,733 |","16,299","61,517","56,336","40,396","43,133","13,529","69,263","94,054","82,616","143,544","122,509 |","177,244"
,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)   (% annual change),...,...,...,31.5,38.3,...,38.3,...,31.0,35.9,39.3,23.1,14.3,7.1,6.0,3.7,5.5,10.4,2.6
,               M2o   (% of GDP at current market prices),...,...,11.0,12.2,15.2,17.9,21.7,17.6,22.1,25.7,30.3,31.1,29.3,28.5,29.6,29.7,28.8,29.8,32.9
,,,,,,,,,,,,,,,,,,,,
,Deposit Money Banksp   (AF million),,,,,,,,,,,,,,,,,,,
,Demand deposits,...,...,170,"2,721","7,974","13,043","22,308","34,692","61,240","83,361","107,002","115,402","139,479","153,854","171,233","183,056","190,690","200,671","203,814"
,Savings deposits,...,...,133,322,"1,007","2,651","9,557","19,960","27,333","38,031","34,653","43,383","45,477","44,523","40,142","41,716","50,531","51,999","50,427"
,Time deposits,...,...,...,...,114,531,"1,168","3,891","4,689","9,609","10,717","13,965","7,290","9,446","7,472","12,230","13,730","17,634","19,546"
,,,,,,,,,,,,,,,,,,,,
