BANGLADESH,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,"     Electricity, gas, steam, and air-conditioning supplyb",28.3,30.4,32.7,35.3,38.5,41.9 |,55.5,58.3,62.8,67.4,74.1,79.0,87.3,95.4,99.3,105.3,119.7,129.6,141.9
,"     Water supply, sewerage, waste management, and remediation activities",,,,,,,,,,,,5.1,5.6,5.9,6.5,7.2,7.7,8.5,9.0
,     Construction,154.6,168.0,182.4,197.2,213.5,231.2 |,298.2,318.4,337.4,359.6,385.5,412.4,447.1,483.0,522.1,567.0,615.5,669.5,736.0
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesc,263.3,280.2,298.7,316.9,337.7,361.6 |,623.5,675.7,724.8,767.3,812.2,866.5,924.6,981.7,"1,047.8","1,114.3","1,186.7","1,274.2","1,369.1"
,     Accommodation and food service activities ,,,,,,,,,,,,46.1,49.0,52.2,55.7,59.5,63.7,68.2,73.2
,     Transportation and storaged,181.4,195.8,208.6,222.9,236.8,255.5 |,465.0,508.8,550.8,595.1,640.1,554.4,594.3,626.1,657.6,696.6,737.4,786.8,838.7
,     Information and communication,,,,,,,,,,,,139.6,163.3,179.1,196.2,208.2,222.3,237.8,253.4
,     Financial and insurance activities,31.0,32.7,34.9,37.2,39.8,43.4 |,142.2,151.4,157.3,157.3,167.1,184.6,211.8,231.1,247.9,267.2,287.9,314.1,338.9
,     Real estate activities,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activities",,,,,,,,,,,,457.9,475.9,495.1,516.1,538.9,563.0,590.0,619.4
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,50.3,53.2,56.4,59.3,63.5,68.6 |,140.9,152.9,162.9,174.5,188.8,205.5,221.0,235.4,251.6,276.4,308.0,336.2,364.6
,     Education,,,,,,,,,,,,136.6,147.1,156.4,167.8,181.3,202.5,225.5,241.3
,     Human health and social work activities,...,...,...,...,...,...,...,...,...,...,...,120.8,125.4,131.4,138.0,145.2,156.1,168.0,179.8
,"     Arts, entertainment, and recreation activities",,,,,,,,,,,,,,,,,,,
,     Other service activitiese,434.5,451.7,470.1,489.8,512.1,536.6 |,"1,172.5","1,220.2","1,269.3","1,316.5","1,369.0",662.6,684.2,706.4,729.6,753.5,778.4,806.5,836.0
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",…,…,…,…,…,… ,…,…,…,…,…,…,…,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,… ,…,…,…,…,…,…,…,...,...,...,...,...,...
,Gross value added at basic prices,"1,971.7","2,078.4","2,168.9","2,284.4","2,417.5","2,561.0 |","4,576.1","4,904.2","5,191.2","5,464.1","5,794.3","6,179.2","6,594.3","6,999.4","7,429.8","7,915.4","8,482.7","9,096.5","9,815.3"
,Taxes and duties on imports ,77.7,79.1,83.7,86.5,102.2,108.8 |,247.2,259.6,283.2,286.5,276.7,284.2,290.6,299.6,311.6,333.2,352.7,382.5,409.1
,Net factor income from abroad,75.1,75.2,103.4,130.8,132.8,136.3 |,272.1,331.3,421.4,455.9,491.8,511.8,582.7,587.1,515.9,535.5,508.9,407.3,466.3
,GNI ,"2,124.4","2,232.6","2,356.0","2,501.8","2,652.5","2,806.1 |","5,095.4","5,495.1","5,895.7","6,206.5","6,562.7","6,975.2","7,467.6","7,886.0","8,257.3","8,784.1","9,344.3","9,886.3","10,690.6"
,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,
,               GDP,6.0,5.3,4.4,5.3,6.3,6.0,6.7,7.1,6.0,5.0,5.6,6.5,6.5,6.0,6.1,6.6,7.1,7.3,7.9
,               Agriculture,7.4,3.1,– ,3.1,4.1,2.2,5.5,6.7,4.5,3.5,6.2,4.5,3.0,2.5,4.4,3.3,2.8,3.0,4.2
,               Industry,6.2,7.5,6.5,7.3,7.6,8.3,9.8,9.0,7.0,6.9,7.0,9.0,9.4,9.6,8.2,9.7,11.1,10.2,12.1
,               Services,5.5,5.5,5.4,5.4,5.7,6.4,6.6,6.5,5.8,5.1,5.5,6.2,6.6,5.5,5.6,5.8,6.3,6.7,6.4
,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 1995/1996 | 2005/2006 market prices,"2,049.3","2,157.4","2,252.6","2,371.1","2,519.7","2,669.7 |","4,823.4","5,163.8","5,474.4","5,750.6","6,071.0","6,463.4","6,884.9","7,299.0","7,741.4","8,248.6","8,835.4","9,605.3","10,670.0"
,     Final consumption expenditure,"1,584.3","1,659.2","1,753.2","1,825.4","1,892.7","1,971.3 |","3,789.4","4,059.6","4,219.1","4,326.4","4,532.1","4,827.1","5,022.3","5,282.1","5,507.9","5,840.0","6,038.5","6,488.5","7,225.8"
,          Household final consumption,"1,497.4","1,568.4","1,645.0","1,702.9","1,757.1","1,825.2 |","3,527.0","3,789.2","3,940.0","4,030.3","4,215.9","4,489.6","4,674.3","4,913.9","5,110.8","5,408.1","5,570.4","5,984.1","6,643.7"
,          NPISHs final consumption ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          General government final consumption,86.9,90.8,108.2,122.5,135.6,146.1 |,262.4,270.4,279.0,296.1,316.3,337.6,348.0,368.1,397.2,431.9,468.1,504.4,582.1
,     Gross capital formationf,488.0,516.2,558.3,602.2,657.4,727.8 |,"1,261.0","1,351.2","1,483.8","1,593.4","1,729.9","1,895.3","2,095.5","2,208.0","2,425.5","2,598.2","2,829.7","3,116.9","3,444.2"
,          Gross fixed capital formationg,488.0,516.2,558.3,602.2,657.4,727.8 |,"1,261.0","1,351.2","1,483.8","1,593.4","1,729.9","1,895.3","2,095.5","2,208.0","2,425.5","2,598.2","2,829.7","3,116.9","3,444.2"
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,…,494.6,552.2,612.1,639.8,750.5,870.3
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,713.3","1,873.4","1,986.1","2,189.9","2,366.4","2,573.9"
,          Changes in inventories,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,          Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Exports of goods and services,282.1,324.2,316.7,338.5,380.9,440.3 |,788.8,891.1,954.2,954.5,963.5,"1,246.2","1,402.3","1,436.7","1,482.7","1,440.8","1,472.4","1,437.9","1,554.2"
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...
,     Less: Imports of goods and services,360.0,400.3,355.4,381.7,422.2,502.7 |,"1,049.5","1,217.3","1,194.1","1,163.1","1,171.1","1,512.5","1,671.5","1,691.9","1,711.7","1,766.5","1,641.2","1,688.4","2,144.5"
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...
,     Statistical discrepancy,54.8,58.1,-20.2,-13.3,10.9,33.0 |,33.6,79.2,11.4,39.4,16.5,7.3,36.3,64.1,36.8,136.1,136.0,124.1,144.6
,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,
,               Household final consumption,4.1,4.7,4.9,3.5,3.2,3.9,7.0,7.4,4.0,2.3,4.6,6.5,4.1,5.1,4.0,5.8,3.0,7.4,11.0
,               Government final consumption,0.9,4.5,19.1,13.2,10.7,7.7,8.1,3.1,3.2,6.1,6.8,6.7,3.1,5.8,7.9,8.8,8.4,7.8,15.4
,"               Gross capital formationf,g",7.3,5.8,8.2,7.9,9.2,10.7,9.9,7.1,9.8,7.4,8.6,9.6,10.6,5.4,9.9,7.1,8.9,10.1,10.5
,               Exports of goods and services,14.4,14.9,-2.3,6.9,12.5,15.6,25.5,13.0,7.1,0.0,0.9,29.3,12.5,2.5,3.2,-2.8,2.2,-2.3,8.1
,               Imports of goods and services,10.2,11.2,-11.2,7.4,10.6,19.1,18.2,16.0,-1.9,-2.6,0.7,29.2,10.5,1.2,1.2,3.2,-7.1,2.9,27.0
,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,
,"Gross capital formationf,g",545.9,585.4,632.4,703.5,799.9,909.2,"1,261.0","1,439.3","1,647.3","1,847.7","2,093.3","2,511.3","2,982.3","3,403.7","3,840.0","4,378.7","5,138.4","6,028.3","7,029.4"
,Gross national saving,509.3,562.0,636.9,747.5,847.1,958.1,"1,342.6","1,533.3","1,747.0","2,016.7","2,348.2","2,644.8","3,150.5","3,660.0","3,927.0","4,398.8","5,332.2","5,857.1","6,170.2"
,     Gross domestic saving,423.9,456.3,496.1,560.1,650.4,742.0,"1,034.0","1,140.7","1,206.4","1,433.6","1,659.7","1,888.6","2,239.5","2,642.0","2,968.2","3,358.8","4,328.3","5,004.6","5,138.9"
,     Net factor income from abroad,87.1,88.4,125.4,165.8,175.5,189.3,272.1,352.8,483.9,559.0,646.0,725.1,893.0,964.3,895.5,984.0,998.1,849.0,"1,026.3"
,     Net current transfersh,-1.8,17.3,15.4,21.6,21.2,26.8,36.5,39.9,56.7,24.1,42.5,31.0,17.9,53.7,63.3,56.0,5.8,3.5,5.0
,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,17.9,18.0,18.2,18.6,19.5,20.0,21.4,20.7,19.2,20.3,20.8,20.6,21.2,22.0,22.1,22.2,25.0,25.3,22.8
,               Gross national saving,21.5,22.2,23.3,24.9,25.4,25.8,27.8,27.9,27.8,28.6,29.4,28.9,29.9,30.5,29.2,29.0,30.8,29.6,27.4
,"               Gross capital formationf,g",23.0,23.1,23.1,23.4,24.0,24.5,26.1,26.2,26.2,26.2,26.2,27.4,28.3,28.4,28.6,28.9,29.7,30.5,31.2
,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices  (Tk),,,,,,,,,,,,,,,,,,,
,Per capita GDPi,"18,507.4","19,518.9","20,759.9","22,532.2","24,627.2","27,058.4","34,501.9","38,772.9","43,719.2","48,358.8","53,960.7","61,198.0","69,614.0","78,009.0","86,266.0","96,004.0","108,378.0","122,152.4","137,518.0"
,Per capita GNIi,"19,187.4","20,199.4","21,712.8","23,775.1","25,925.3","28,440.1","36,448.1","41,260.6","47,084.3","52,192.9","58,331.7","66,044.0","75,505.0","84,283.0","92,015.0","102,236.0","114,621.0","127,401.3","143,789.0"
,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES  period averages ,,,,,,,,,,,,,,,,,,,
,Agriculture;  2004-2006 = 100,90.0,88.2,90.6,93.0,91.0,102.9,106.1,111.8,119.8,121.0,128.1,132.5,133.3,135.6,141.4,142.4,145.7,...,…
,Mining;  1988/1989 | 2005/2006 = 100,213.0,239.0,251.0,269.0,290.0,307.0,336.0,360.0,384.0,418.0 |,134.4,135.2,142.4,153.2,157.2,159.9,185.6,185.6,186.1
,Manufacturing;  1988/1989 | 2005/2006 = 100,214.0,228.0,239.0,254.0,272.0,295.0,327.0,360.0,386.0,416.0 |,135.0,157.9,174.9,195.2,213.2,236.1,267.9,297.9,342.5
,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,
,Crude petroleum   (t ’000),,,,,,,,,,,,,,,,,,,
,     Production ,72.0,80.0,93.0,80.0,89.0,...,...,"1,108.0",253.5,278.8,336.0,371.2,378.7,410.4,412.8,482.6,665.3,690.8,...
,     Exports ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Imports ,"1,268.0",812.0,"1,241.0","1,621.0","2,947.0","1,099.0","1,366.0","2,093.0","1,040.1",860.9,"1,136.6","1,409.3","1,083.0","1,292.0","1,177.0","1,303.0",...,...,...
,     Consumption ,"3,525.0",...,...,...,...,"3,768.0","3,782.0","3,574.0","3,626.0",...,"3,737.0","4,868.0","5,213.6","5,086.5","5,485.0",...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,Coal   (t ’000),,,,,,,,,,,,,,,,,,,
,     Production ,– ,– ,– ,– ,– ,...,...,...,677.1,857.6,730.9,666.6,861.1,854.8,942.8,956.8,"1,030.7","1,132.3",...
,     Exports ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Imports ,53.0,142.0,604.0,199.0,213.0,...,...,...,...,...,2.2,0.1,– ,82.2,...,...,...,...,...
,     Consumption ,53.0,142.0,604.0,199.0,213.0,...,...,...,501.7,790.6,820.4,643.9,859.2,946.9,862.7,836.3,916.4,927.1,...
,,,,,,,,,,,,,,,,,,,,
,Natural gas   (m3 million),,,,,,,,,,,,,,,,,,,
,     Productionj,"9,412.0","10,573.0","11,094.0","11,926.0","12,827.0","13,783.0","14,921.0","15,920.0","17,015.0","18,511.0","19,919.0","20,075.0","21,056.0","22,669.0","23,231.9","25,263.4","27,559.0","27,445.0",...
