CO-42,"China, People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Attributes,Source,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Footnotes,,,
SU-980, ,1.2 Poverty gap ratio ,percent, , Ending 1231,World Bank,... ,... ,... ,... ,... ,7.3,... ,... ,3.8,... ,... ,4.2,... ,3.9,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1518, ,1.3 Share of Poorest Quintile in National Consumption (%) ,percent, , Ending 1231,Asian Development Bank,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,4.59,... ,... ,... ,... ,... ,,
SU-1518, ,1.3 Share of Poorest Quintile in National Consumption (%) ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,4.3,... ,... ,... ,... ,... ,,
SU-1518, ,1.3 Share of Poorest Quintile in National Consumption (%) ,percent, , Ending 1231,World Bank,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,4.7,... ,... ,... ,... ,... ,... ,... ,... ,2001 - Ranked by per capita consumption,
 ,Target 1.B: Achieve full and productive employment and decent work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1888, ,1.5 Employment-to-population ratio ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,75.9,76.7,76.7,76.6,76.2,76,75.7,75.2,74.9,74.7,74.3,73.9,73.5,73.2,72.9,72.7,... ,... ,... ,,
SU-1889, ,1.6 Employed people living below $1 (PPP) per day (%) ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,... ,33.4,31.8,27.9,24.6,19.6,18.9,18.9,20.6,... ,... ,16.5,... ,12.1,... ,... ,... ,... ,... ,,
 ,Target 1.C: Halve people suffering from hunger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1047, ,1.8 Underweight - Children Under 5 Years Old (%) ,percent, , Ending 1231,United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,19.1,... ,... ,... ,... ,... ,... ,... ,... ,... ,10,... ,7.8,... ,... ,... ,... ,... ,... ,... ,,
SU-1047, ,1.8 Underweight - Children Under 5 Years Old (%) ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,19.1,... ,16.2,... ,... ,14.5,... ,... ,10.3,... ,11.2,... ,7.8,... ,... ,6.9,... ,... ,... ,... ,,
SU-1065, ,"1.9 Population below minimum level of dietary energy consumption, % ",percent, , Ending 1231,Food and Agricultural Organization,... ,... ,... ,16,... ,... ,... ,... ,12,... ,... ,... ,... ,11,12,... ,... ,... ,... ,... ,... ,... ,"Data for 1991 are 1990-1992 average; for 1996, 1995-1997 average; for 2001, 2000-2002 average.; Figure for 2002 is 2001-2003 average.; Includes China (Mainland), Taiwan Province of China, China Hong Kong SAR, and China Macao SAR.",
SU-1065, ,"1.9 Population below minimum level of dietary energy consumption, % ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,16,... ,... ,... ,... ,12,... ,... ,... ,... ,... ,12,... ,... ,... ,... ,... ,... ,... ,,
 ,Target 2.A: Ensure completion of full primary schooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1088, ,"2.1 School enrollment, net primary, total ",percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,97.4,99.1,... ,... ,... ,... ,... ,... ,... ,... ,92.8,94.6,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1088, ,"2.1 School enrollment, net primary, total ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,99.1,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1089, ,"2.1.1 School enrollment, net primary, female ",percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,95.3,96.7,... ,... ,... ,... ,... ,... ,... ,... ,93.1,95,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1089, ,"2.1.1 School enrollment, net primary, female ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,96.7,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1090, ,"2.1.2 School enrollment, net primary, male ",percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,99.4,100.3,... ,... ,... ,... ,... ,... ,... ,... ,92.5,94.3,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1090, ,"2.1.2 School enrollment, net primary, male ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,100.3,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1073, ,2.2 Pupils Starting Grade 1 who reach last grade of primary (%) ,percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,86,86,... ,... ,... ,... ,... ,... ,97.3,... ,100,99.0428,99,... ,... ,... ,... ,... ,... ,... ,,
SU-1073, ,2.2 Pupils Starting Grade 1 who reach last grade of primary (%) ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,86,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1524, ,2.2.1  Pupils Starting Grade 1 who reach last grade of primary - boys (%) ,percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,94.4,57.6,... ,... ,... ,... ,... ,... ,97.1,... ,100,100,100,... ,... ,... ,... ,... ,... ,... ,,
SU-1524, ,2.2.1  Pupils Starting Grade 1 who reach last grade of primary - boys (%) ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,57.6,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1525, ,2.2.2  Pupils Starting Grade 1 who reach last grade of primary - girls (%) ,percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,... ,78.3,... ,... ,... ,... ,... ,... ,97.6,... ,95.8,97.986,98,... ,... ,... ,... ,... ,... ,... ,,
SU-1525, ,2.2.2  Pupils Starting Grade 1 who reach last grade of primary - girls (%) ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,78.3,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1529, ,"2.3 Literacy Rate, 15 to 24 Years Old (%) ",percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,95.3,95.6,95.8,96,96.3,96.5,96.8,97,97.3,97.5,97.7,97.9,98.1,98.3,98.9,... ,... ,... ,... ,... ,2004 applies to reference period 2000-2004,
SU-1529, ,"2.3 Literacy Rate, 15 to 24 Years Old (%) ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,94.3,... ,... ,... ,... ,... ,... ,... ,... ,... ,98.9,... ,... ,... ,... ,... ,... ,99.3,... ,... ,,
SU-1530, ,"2.3.1 Literacy Rate, 15 to 24 Years Old (%) - Male ",percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,96.97693,97.6,97.7,97.8,97.9,98,98.1,98.3,98.4,98.6,99.19846,98.8,99,99.1,99.2,... ,... ,... ,... ,... ,2004 applies to reference period 2000-2004, Data for 2004 refer to 2000-2004 average.
SU-1530, ,"2.3.1 Literacy Rate, 15 to 24 Years Old (%) - Male ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,97,... ,... ,... ,... ,... ,... ,... ,... ,... ,99.2,... ,... ,... ,... ,... ,... ,99.4,... ,... ,,
SU-1531, ,"2.3.2 Literacy Rate, 15 to 24 Years Old (%) - Female ",percent, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,91.4547,93.5,93.8,94.2,94.6,95,95.3,95.7,96,96.4,98.50486,96.9,97.1,97.4,98.5,... ,... ,... ,... ,... ,2004 applies to the reference period 2000-2004, Data for 2004 refer to 2000-2004 average.
SU-1531, ,"2.3.2 Literacy Rate, 15 to 24 Years Old (%) - Female ",percent, , Ending 1231,United Nations Statistical Division,... ,... ,91.5,... ,... ,... ,... ,... ,... ,... ,... ,... ,98.5,... ,... ,... ,... ,... ,... ,99.1,... ,... ,,
 ,Target 3.A: Eliminate gender disparity in education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1076, ,3.1.a Gender Parity Index in primary level enrolment ,Ratio, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,0.93,0.93,... ,... ,... ,... ,... ,... ,1.01,1.01,1.01,1.01,1,1,1,... ,0.99,... ,... ,... ,,
SU-1076, ,3.1.a Gender Parity Index in primary level enrolment ,Ratio, , Ending 1231,United Nations Statistical Division,... ,... ,... ,0.93,... ,... ,... ,... ,... ,... ,... ,... ,... ,1.01,1,1,... ,... ,0.99,... ,... ,... ,,
SU-1077, ,3.1.b Gender Parity Index in secondary level enrolment ,Ratio, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,0.75,0.75,... ,... ,... ,... ,... ,... ,... ,0.92,0.96,0.97,0.97,0.97,1,... ,1.01,... ,... ,... ,,
SU-1077, ,3.1.b Gender Parity Index in secondary level enrolment ,Ratio, , Ending 1231,United Nations Statistical Division,... ,... ,... ,0.75,... ,... ,... ,... ,... ,... ,... ,... ,... ,0.97,... ,0.97,... ,... ,1.01,... ,... ,... ,,
SU-1534, ,3.1.c Gender Parity Index in tertiary level enrolment ,Ratio, , Ending 1231,"United Nations Educational, Scientific And Cultural Organization",... ,... ,0.52,0.53,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,0.84,0.85,0.85,... ,0.98,... ,... ,... ,,
SU-1534, ,3.1.c Gender Parity Index in tertiary level enrolment ,Ratio, , Ending 1231,United Nations Statistical Division,... ,... ,... ,0.53,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,0.85,... ,... ,0.98,... ,... ,... ,,
SU-1535, ,3.2 Share of Women in Wage Employment in Non-Agri Sector (%) ,percent, , Ending 1231,International Labor Organization,... ,... ,37.7,37.8,37.8,37.3,38.1,38.7,38.7,38.8,37.9,39.2,39.7,40,40.3,40.6,40.9,... ,... ,... ,... ,... ,,
SU-1095, ,"3.3 Seats held by women in national parliament, % ",percent, , Ending 1231,Inter-Parliamentary Union,... ,... ,21.3,... ,... ,... ,... ,... ,... ,21,... ,21.8,21.8,21.8,21.8,21.8,20.2,20.2,20.3,... ,... ,... ,,
 ,Target 4.A: Reduce by two-thirds the under-five mortality rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1062, ,"4.1 Mortality, under-five, per thousand live  births ","Per 1,000 live births; ; Ending 1231",United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,49,... ,... ,... ,... ,46,... ,... ,... ,... ,40,... ,... ,37,31,27,... ,... ,... ,... ,,,,
SU-1058, ,"4.2 Mortality, infant (0-1), per thousand live births ","Per 1,000 live births; ; Ending 1231",Economic and Social Commission for Asia and the Pacific,... ,... ,30,... ,... ,... ,26,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,
SU-1058, ,"4.2 Mortality, infant (0-1), per thousand live births ","Per 1,000 live births; ; Ending 1231",United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,38,... ,... ,... ,... ,37,... ,... ,... ,... ,32,... ,... ,30,26,23,... ,... ,... ,... ,,,,
SU-1048, ,4.3 Proportion of 1 year-old children immunized against measles ,percent, , Ending 1231,United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,98,92,87,81,75,83,83,83,84,84,84,84,84,84,84,86,... ,... ,... ,... ,,
 ,Target 5.A: Reduce by three-quarters the maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1061, ,"5.1 Mortality, maternal, per 100,000 live births ","Per 100,000 live births; ; Ending 1231",United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,... ,... ,... ,... ,... ,60,... ,... ,... ,... ,56.2,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,
SU-1061, ,"5.1 Mortality, maternal, per 100,000 live births ","Per 100,000 live births; ; Ending 1231",United Nations Development Programme,130,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,
SU-1061, ,"5.1 Mortality, maternal, per 100,000 live births ","Per 100,000 live births; ; Ending 1231",World Health Organization,... ,... ,95,... ,... ,... ,... ,60,... ,... ,... ,... ,56,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,
SU-1043, ,5.2 Births attended by skilled health personnel ,percent, , Ending 1231,Ministry of Health,50.3,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,70,... ,... ,76,... ,... ,... ,... ,... ,... ,... ,,
SU-1043, ,5.2 Births attended by skilled health personnel ,percent, , Ending 1231,United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,97,95.9,... ,... ,... ,... ,... ,... ,,
SU-1043, ,5.2 Births attended by skilled health personnel ,percent, , Ending 1231,World Health Organization,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,82.8,... ,... ,... ,... ,... ,,
 ,"Target 5.B: Achieve, by 2015, universal access to reproductive health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-975, ,"5.3 Contraceptive use among currently married women 15-49 years old, any method, percentage ",percent, , Ending 1231,UN Population Division,... ,... ,... ,... ,84.6,... ,90.7,90.4,91.1,83.8,83.8,83,... ,87,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-975, ,"5.3 Contraceptive use among currently married women 15-49 years old, any method, percentage ",percent, , Ending 1231,World Bank,71.1,... ,... ,... ,84.6,... ,90.7,... ,91.1,83.8,83.8,83,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
 ,Target 6.C: Halted and begun to reverse the incidence of major diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1822, ,"6.6.a Malaria incidence: notified cases per 100,000 population ","Per 100,000 population; ; Ending 1231",World Health Organization,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,3.14795,... ,... ,... ,... ,... ,... ,,,,
SU-1550, ,6.6.b Malaria: death associated with ,"Per 100,000 population; ; Ending 1231",World Health Organization,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,0,... ,... ,0.00402,... ,... ,... ,... ,... ,... ,,,,
SU-1067, ,"6.8.a Tuberculosis: incidence per 100,000 population ","Per 100,000 population; ; Ending 1231",World Health Organization,... ,... ,324.51693,318.52503,312.61117,306.78386,306.70047,303.62174,291.08776,283.88774,277.45117,274.85504,271.39617,267.05241,261.54019,243.77276,222.26628,207.99219,... ,... ,... ,... ,,,,
SU-1552, ,6.8.b Tuberculosis: death rate associated with ,"Per 100,000 population; ; Ending 1231",World Health Organization,... ,... ,24.8,... ,... ,... ,... ,... ,... ,... ,... ,... ,19.8,19.5,19.2,18.1,16.6,... ,... ,... ,... ,... ,,,,
SU-1068, ,"6.9.a Tuberculosis: cases detected under DOTS, per cent ",percent, , Ending 1231,World Health Organization,... ,... ,... ,... ,... ,... ,... ,14.89514,28.47738,32.1832,31.94125,29.44687,30.65891,30.71649,30.02361,43.01819,63.37583,79.67472,... ,... ,... ,... ,,
SU-1553, ,"6.9.b Tuberculosis: DOTS treatment success, per cent ",percent, , Ending 1231,World Health Organization,... ,... ,... ,... ,... ,... ,93.98,95.83,96.23,96.34,96.63,96.35,94.58,96.13,92.52,93.59,93.78,... ,... ,... ,... ,... ,,
 ,Target 7.A: Reverse the loss of environmental resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1179, ,7.1 Land Area Covered by Forest (%) ,percent, , Ending 1231,Food and Agricultural Organization,... ,... ,16.8,... ,... ,... ,... ,... ,... ,... ,... ,... ,19,... ,... ,... ,... ,21.2,... ,... ,... ,... ,Hong Kong SAR of China and Macao SAR of China included.,
SU-1193, ,7.2.b Carbon Dioxide emissions (per capita metric tons) ,Per capita metric tons, , Ending 1231,Carbon Dioxide Information Analysis Center,... ,... ,2.0798,2.1568,2.2372,2.3341,2.4536,2.6267,2.7174,2.6511,2.4863,2.2308,2.1794,2.3473,2.7012,3.1933,... ,... ,... ,... ,... ,... ,,
SU-1193, ,7.2.b Carbon Dioxide emissions (per capita metric tons) ,Per capita metric tons, , Ending 1231,World Bank,2.13,2.13,2.12,2.19,2.27,2.36,2.48,2.65,2.75,2.68,2.51,2.25,2.21,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1199, ,7.2.c Ozone-Depleting CFCs Consumption (ODP Tons) ,ODP Metric Tons, , Ending 1231,UNEP-Ozone Secretariat,... ,... ,41829,50263.2,57044.6,66282.6,70778.6,75290.8,47089,51076.4,55414.2,42983.4,39123.6,33922.6,30621.2,22808.8,17902.5,13321.7,... ,... ,... ,... ,,
 ,Target 7.C: Halve the proportion of people with access to water and sanitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1035, ,"7.7 Proportion of the population using improved drinking water sources, total ",percent, , Ending 1231,United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,70,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,77,... ,77,... ,... ,... ,... ,... ,,
SU-1035, ,"7.7 Proportion of the population using improved drinking water sources, total ",percent, , Ending 1231,United Nations Development Programme,... ,... ,70.3,... ,... ,33,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1035, ,"7.7 Proportion of the population using improved drinking water sources, total ",percent, , Ending 1231,World Bank,... ,... ,71,... ,... ,... ,... ,... ,... ,... ,... ,... ,75,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-1039, ,"7.8 Proportion of the population using improved sanitation facilities, total ",percent, , Ending 1231,United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund),... ,... ,23,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,44,... ,44,... ,... ,... ,... ,... ,,
SU-1039, ,"7.8 Proportion of the population using improved sanitation facilities, total ",percent, , Ending 1231,United Nations Development Programme,... ,96,... ,... ,... ,76,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
 ,Target 7.D: Improve lives of at least 100 million slum dwellers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-1560, ,7.9. Slum population as percentage of urban ,percent, , Ending 1231,UN Human Settlements Programme,... ,... ,43.6,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,37.8,... ,... ,... ,... ,... ,... ,... ,... ,,
